,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,151.00M,48.32B,48.47B,10.28B,,10.28B,58.75B,1.122B,1.911B,950.00M,2.861B,4.493B,49.76B,46.00M,60.30B,74.11B,,,,,,,,,4.352B,4.352B,37.86B,6.629B,,,48.84B,55.56B,,17.39B,,,,334.00M,1.17B,18.56B,,AOR,
2020-09,173.00M,47.44B,47.62B,10.12B,,10.12B,57.73B,1.144B,1.911B,973.00M,2.884B,4.461B,48.26B,49.00M,58.85B,72.32B,,,,0.00,,0.00,0.00,0.00,4.351B,4.351B,37.31B,6.761B,,,48.42B,54.52B,,338.00M,13.50B,4.31B,1.205B,334.00M,856.00M,17.80B,,AOR,
2020-06,291.00M,45.87B,46.16B,10.24B,,10.24B,56.39B,1.135B,1.911B,996.00M,2.907B,4.399B,46.62B,130.00M,57.44B,70.99B,,,,0.00,,0.00,0.00,0.00,4.35B,4.35B,36.87B,6.872B,,,48.09B,53.92B,,338.00M,13.17B,4.299B,1.211B,334.00M,479.00M,17.07B,,AOR,
2020-03,211.00M,42.71B,42.92B,10.15B,,10.15B,53.08B,1.161B,1.913B,1.028B,2.941B,4.353B,43.87B,502.00M,54.82B,68.72B,,,,0.00,,0.00,0.00,0.00,4.349B,4.349B,36.58B,6.81B,,,47.74B,53.46B,,338.00M,12.82B,4.286B,1.22B,334.00M,-957.00M,15.27B,,AOR,
2019-12,185.00M,45.07B,45.25B,9.911B,,9.911B,55.16B,1.181B,1.913B,1.07B,2.983B,4.215B,46.74B,299.00M,57.48B,70.82B,,,,500.00M,,500.00M,500.00M,500.00M,4.348B,4.348B,36.52B,6.635B,,,47.50B,54.55B,,338.00M,12.68B,4.312B,1.117B,334.00M,52.00M,16.27B,,AOR,
2019-09,207.00M,45.32B,45.52B,9.913B,,9.913B,55.44B,1.194B,1.913B,1.126B,3.039B,3.736B,46.77B,376.00M,56.83B,70.26B,,,,500.00M,,500.00M,500.00M,500.00M,4.346B,4.346B,36.19B,6.82B,,,47.35B,54.18B,,338.00M,12.25B,4.302B,1.027B,334.00M,214.00M,16.08B,,AOR,Restated
2019-06,226.00M,43.53B,43.76B,10.12B,,10.12B,53.88B,1.222B,1.913B,1.191B,3.104B,3.612B,45.11B,615.00M,55.69B,69.47B,,,,500.00M,,500.00M,500.00M,500.00M,4.05B,4.05B,36.10B,6.833B,,,46.99B,54.18B,,338.00M,11.84B,4.30B,984.00M,334.00M,-198.00M,15.29B,,AOR,Restated
2019-03,104.00M,41.02B,41.13B,8.501B,,8.501B,49.63B,1.145B,1.29B,644.00M,1.934B,3.637B,42.32B,921.00M,51.17B,63.32B,,,,499.00M,,499.00M,499.00M,499.00M,3.767B,3.767B,32.97B,5.482B,,,42.22B,48.98B,,338.00M,11.57B,4.329B,1.014B,334.00M,-885.00M,14.34B,,AOR,Restated
2018-12,112.00M,39.94B,40.05B,8.352B,,8.352B,48.40B,1.006B,1.29B,657.00M,1.947B,3.704B,41.17B,1.248B,50.00B,62.31B,,,,413.00M,,413.00M,413.00M,413.00M,4.265B,4.265B,33.03B,5.282B,,,42.58B,49.21B,,338.00M,11.06B,4.378B,1.091B,334.00M,-1.579B,13.10B,,AOR,Restated
2018-09,102.00M,39.71B,39.81B,7.956B,,7.956B,47.76B,997.00M,1.29B,651.00M,1.941B,3.559B,40.76B,1.244B,49.66B,61.44B,,,,413.00M,,413.00M,413.00M,413.00M,4.263B,4.263B,32.30B,5.388B,,,41.95B,48.71B,,4.00M,10.97B,4.385B,1.114B,,-1.519B,12.73B,,AOR,Restated
