,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,534.00M,0.00,,0.00,43.00M,41.00M,84.00M,84.00M,13.00M,105.00M,105.00M,-174.00M,,377.00M,,-309.00M,130.00M,24.00M,,760.00M,,-22.00M,,0.00,158.00M,,136.00M,,-25.00M,,-25.00M,,-800.00M,-800.00M,,,,-105.00M,-105.00M,-8.00M,-4.00M,-942.00M,,821.00M,-46.00M,109.00M,884.00M,,,0.00,-25.00M,-800.00M,-326.00M,-214.00M,,AOR,
2020-09,281.00M,0.00,,0.00,42.00M,50.00M,92.00M,92.00M,11.00M,67.00M,67.00M,1.044B,,132.00M,,-505.00M,-318.00M,353.00M,,804.00M,,-30.00M,,0.00,207.00M,,177.00M,,-310.00M,,-310.00M,,-500.00M,-500.00M,,,,-103.00M,-103.00M,16.00M,-45.00M,-942.00M,,757.00M,39.00M,25.00M,821.00M,,,0.00,-310.00M,-500.00M,224.00M,38.00M,,AOR,
2020-06,410.00M,0.00,,0.00,41.00M,58.00M,99.00M,99.00M,-9.00M,64.00M,64.00M,-551.00M,,-48.00M,,1.217B,-301.00M,317.00M,,881.00M,,-30.00M,,-34.00M,-490.00M,,-554.00M,,-113.00M,,-113.00M,,0.00,0.00,,,,-102.00M,-102.00M,-45.00M,-26.00M,-286.00M,,690.00M,41.00M,26.00M,757.00M,,,2.093B,-2.206B,0.00,49.00M,125.00M,,AOR,
2020-03,792.00M,-25.00M,,-25.00M,41.00M,97.00M,138.00M,138.00M,-6.00M,76.00M,76.00M,-1.351B,,-275.00M,,1.045B,-56.00M,-637.00M,,338.00M,,-59.00M,,-304.00M,-75.00M,,-438.00M,,719.00M,,719.00M,,-463.00M,-463.00M,,,,-102.00M,-102.00M,-112.00M,40.00M,82.00M,,790.00M,-18.00M,-82.00M,690.00M,,,2.06B,-1.341B,-463.00M,53.00M,51.00M,,AOR,
2019-12,382.00M,-5.00M,,-5.00M,48.00M,97.00M,145.00M,145.00M,8.00M,65.00M,65.00M,-787.00M,,357.00M,,544.00M,-37.00M,77.00M,,672.00M,,-58.00M,,9.00M,51.00M,,2.00M,,51.00M,,51.00M,,-453.00M,-453.00M,,,,-103.00M,-103.00M,2.00M,-22.00M,-525.00M,,602.00M,149.00M,39.00M,790.00M,,,1.134B,-1.083B,-453.00M,74.00M,93.00M,,AOR,
2019-09,229.00M,-1.00M,,-1.00M,44.00M,101.00M,145.00M,145.00M,-19.00M,72.00M,72.00M,1.41B,,194.00M,,-776.00M,-452.00M,376.00M,,802.00M,,-61.00M,,12.00M,40.00M,,-9.00M,,-271.00M,,-271.00M,,-352.00M,-352.00M,,,,-104.00M,-104.00M,11.00M,-20.00M,-736.00M,,581.00M,57.00M,-36.00M,602.00M,,,1.359B,-1.63B,-352.00M,82.00M,49.00M,,AOR,Restated
2019-06,287.00M,-3.00M,,-3.00M,40.00M,97.00M,137.00M,137.00M,0.00,91.00M,91.00M,-336.00M,,-125.00M,,737.00M,-501.00M,-225.00M,,287.00M,,-49.00M,,1.00M,-147.00M,,-195.00M,,1.154B,,1.154B,,-1.055B,-1.055B,,,,-107.00M,-107.00M,-46.00M,-38.00M,-92.00M,,600.00M,0.00,-19.00M,581.00M,,,2.688B,-1.534B,-1.055B,164.00M,120.00M,,AOR,Restated
2019-03,676.00M,-4.00M,,-4.00M,40.00M,97.00M,137.00M,137.00M,-25.00M,89.00M,89.00M,-1.067B,,-454.00M,,1.15B,-428.00M,-799.00M,,74.00M,,-57.00M,,-9.00M,39.00M,,-27.00M,,177.00M,,177.00M,,-100.00M,-100.00M,,,,-96.00M,-96.00M,-98.00M,-23.00M,-140.00M,,656.00M,-93.00M,37.00M,600.00M,,,871.00M,-694.00M,-100.00M,33.00M,27.00M,,AOR,Restated
2018-12,284.00M,2.00M,,2.00M,50.00M,101.00M,151.00M,151.00M,-97.00M,124.00M,124.00M,-1.561B,,356.00M,,1.034B,418.00M,247.00M,,711.00M,,-61.00M,,-10.00M,18.00M,,-53.00M,,-125.00M,,-125.00M,,-198.00M,-198.00M,,,,-97.00M,-97.00M,-10.00M,-14.00M,-444.00M,,484.00M,214.00M,-42.00M,656.00M,,,1.794B,-1.919B,-198.00M,63.00M,94.00M,,AOR,Restated
2018-09,155.00M,3.00M,,3.00M,40.00M,100.00M,140.00M,140.00M,-35.00M,67.00M,67.00M,2.009B,,164.00M,,-1.072B,-869.00M,232.00M,,562.00M,,-68.00M,,-9.00M,-18.00M,,-95.00M,,-63.00M,,-63.00M,,-301.00M,-301.00M,,,,-98.00M,-98.00M,11.00M,-6.00M,-457.00M,,487.00M,10.00M,-13.00M,484.00M,,,1.408B,-1.471B,-301.00M,67.00M,27.00M,,AOR,Restated
2018-06,57.00M,0.00,,0.00,47.00M,282.00M,329.00M,329.00M,-119.00M,70.00M,70.00M,-380.00M,,-56.00M,,237.00M,135.00M,-64.00M,,273.00M,,-66.00M,,-19.00M,-82.00M,,-167.00M,,421.00M,,421.00M,,-402.00M,-402.00M,,,,-98.00M,-98.00M,-41.00M,-15.00M,-135.00M,,597.00M,-29.00M,-81.00M,487.00M,,,1.744B,-1.323B,-402.00M,149.00M,87.00M,,AOR,Restated
2018-03,604.00M,1.00M,,1.00M,39.00M,110.00M,149.00M,149.00M,26.00M,77.00M,77.00M,-874.00M,,-439.00M,,800.00M,-204.00M,-717.00M,,140.00M,,-45.00M,,-30.00M,421.00M,,346.00M,,104.00M,,104.00M,,-569.00M,-569.00M,,,,-89.00M,-89.00M,-109.00M,,-663.00M,,756.00M,-177.00M,18.00M,597.00M,,,808.00M,-704.00M,-569.00M,58.00M,58.00M,,AOR,Restated
2017-12,17.00M,14.00M,,14.00M,39.00M,100.00M,139.00M,139.00M,190.00M,105.00M,105.00M,-1.213B,,333.00M,,249.00M,546.00M,-85.00M,1.00M,381.00M,,-58.00M,,-805.00M,1.128B,,265.00M,,2.00M,,2.00M,,-511.00M,-511.00M,,,,-90.00M,-90.00M,-3.00M,-15.00M,-617.00M,,749.00M,29.00M,-22.00M,756.00M,,,3.00M,-1.00M,-511.00M,328.00M,77.00M,,AOR,Restated
2017-09,196.00M,-1.00M,,-1.00M,40.00M,101.00M,141.00M,141.00M,19.00M,66.00M,66.00M,1.145B,,140.00M,,-560.00M,-1.293B,-568.00M,0.00,-147.00M,,-43.00M,,-22.00M,1.098B,,1.033B,,-8.00M,,-8.00M,,-788.00M,-788.00M,,,,-92.00M,-92.00M,21.00M,-11.00M,-878.00M,,684.00M,8.00M,57.00M,749.00M,,,0.00,-8.00M,-788.00M,746.00M,51.00M,,AOR,Restated
2017-06,-43.00M,1.00M,,1.00M,54.00M,460.00M,514.00M,514.00M,-225.00M,70.00M,70.00M,-390.00M,,13.00M,,282.00M,32.00M,-63.00M,6.00M,260.00M,,-48.00M,,4.092B,-2.564B,,1.476B,,-381.00M,,-381.00M,,-974.00M,-974.00M,,,,-95.00M,-95.00M,-54.00M,-8.00M,-1.512B,,451.00M,224.00M,9.00M,684.00M,,,659.00M,-1.04B,-974.00M,50.00M,86.00M,,AOR,Restated
2017-03,265.00M,2.00M,,2.00M,54.00M,43.00M,97.00M,97.00M,-2.00M,78.00M,78.00M,375.00M,,-390.00M,,-7.00M,-236.00M,-258.00M,58.00M,240.00M,,-34.00M,,-48.00M,110.00M,,13.00M,,42.00M,,42.00M,,-126.00M,-126.00M,,,,-87.00M,-87.00M,-85.00M,-2.00M,-258.00M,,431.00M,-5.00M,25.00M,451.00M,,,992.00M,-950.00M,-126.00M,58.00M,58.00M,,AOR,Restated
2016-12,384.00M,2.00M,,2.00M,44.00M,40.00M,84.00M,84.00M,-17.00M,96.00M,96.00M,-1.223B,,299.00M,,1.064B,-12.00M,128.00M,174.00M,851.00M,,-49.00M,,-678.00M,164.00M,,-583.00M,,101.00M,,101.00M,,-220.00M,-220.00M,,,,-87.00M,-87.00M,-59.00M,-6.00M,-271.00M,,483.00M,-3.00M,-49.00M,431.00M,,,738.00M,-637.00M,-220.00M,65.00M,76.00M,,AOR,Restated
2016-09,284.00M,0.00,,0.00,39.00M,42.00M,81.00M,81.00M,-22.00M,66.00M,66.00M,1.571B,,89.00M,,-1.432B,-42.00M,186.00M,116.00M,711.00M,,-39.00M,,-14.00M,-224.00M,,-287.00M,,-3.00M,,-3.00M,,-287.00M,-287.00M,,,,-89.00M,-89.00M,17.00M,-9.00M,-371.00M,,438.00M,53.00M,-8.00M,483.00M,,,673.00M,-676.00M,-287.00M,64.00M,52.00M,,AOR,Restated
2016-06,273.00M,-6.00M,,-6.00M,41.00M,38.00M,79.00M,79.00M,-8.00M,65.00M,65.00M,-290.00M,,-28.00M,,470.00M,-142.00M,10.00M,78.00M,491.00M,,-31.00M,,-161.00M,328.00M,,115.00M,,-446.00M,,-446.00M,,-65.00M,-65.00M,,,,-87.00M,-87.00M,-22.00M,-20.00M,-640.00M,,465.00M,-34.00M,7.00M,438.00M,,,1.011B,-1.457B,-65.00M,48.00M,92.00M,,AOR,Restated
2016-03,312.00M,-35.00M,,-35.00M,38.00M,37.00M,75.00M,75.00M,23.00M,79.00M,79.00M,432.00M,,-307.00M,,-157.00M,-278.00M,-310.00M,129.00M,273.00M,,-37.00M,,81.00M,-228.00M,,-199.00M,,870.00M,,870.00M,,-685.00M,-685.00M,,,,-82.00M,-82.00M,-65.00M,-42.00M,-4.00M,,384.00M,70.00M,11.00M,465.00M,,,1.045B,-175.00M,-685.00M,41.00M,52.00M,,AOR,Restated
2015-12,421.00M,-52.00M,,-52.00M,-5.00M,-63.00M,-68.00M,-68.00M,-140.00M,81.00M,81.00M,-525.00M,,400.00M,,190.00M,-100.00M,-35.00M,,714.00M,,25.00M,,161.00M,-48.00M,,48.00M,,-381.00M,,-381.00M,,-400.00M,-400.00M,,,,-83.00M,-83.00M,118.00M,-13.00M,-759.00M,,398.00M,3.00M,-17.00M,384.00M,,,1.857B,-2.238B,-400.00M,69.00M,64.00M,,AOR,Restated
