,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,2.965B,2.965B,1.635B,1.33B,533.00M,533.00M,43.00M,41.00M,74.00M,,,82.00M,1.00M,-81.00M,,617.00M,713.00M,1.00M,82.00M,-81.00M,-6.00M,-81.00M,626.00M,92.00M,534.00M,0.00,,-10.00M,,524.00M,524.00M,792.00M,84.00M,708.00M,,2.29,0.00,,2.29,2.29,,2.27,0.00,,2.27,2.27,,229.20M,230.90M,0.46,,AOR,
2020-09,2.385B,2.385B,1.387B,998.00M,461.00M,461.00M,42.00M,50.00M,70.00M,0.00,,80.00M,3.00M,-77.00M,,553.00M,445.00M,3.00M,80.00M,-77.00M,-5.00M,-77.00M,363.00M,82.00M,281.00M,1.00M,,-7.00M,,275.00M,278.64M,535.00M,92.00M,443.00M,,1.18,0.00,,1.200,1.18,,1.18,0.00,,1.200,1.18,,232.60M,233.50M,0.44,,AOR,
2020-06,2.497B,2.497B,1.361B,1.136B,441.00M,441.00M,41.00M,58.00M,74.00M,-7.00M,,89.00M,0.00,-89.00M,,540.00M,596.00M,0.00,89.00M,-89.00M,-12.00M,-89.00M,495.00M,85.00M,410.00M,1.00M,,-13.00M,,398.00M,407.76M,683.00M,99.00M,584.00M,,1.71,0.00,,1.756,1.71,,1.70,0.00,,1.746,1.70,,232.70M,233.60M,0.44,,AOR,
2020-03,3.219B,3.219B,1.522B,1.697B,522.00M,522.00M,41.00M,97.00M,73.00M,25.00M,,83.00M,2.00M,-81.00M,,660.00M,1.037B,2.00M,83.00M,-81.00M,25.00M,-81.00M,981.00M,189.00M,792.00M,-1.00M,,-19.00M,,772.00M,754.44M,1.202B,138.00M,1.064B,,3.31,0.00,,3.230,3.31,,3.29,0.00,,3.211,3.29,,233.20M,234.50M,0.44,,AOR,
2019-12,2.885B,2.885B,1.601B,1.284B,618.00M,618.00M,48.00M,97.00M,91.00M,5.00M,,80.00M,4.00M,-76.00M,,763.00M,521.00M,4.00M,80.00M,-76.00M,-4.00M,-76.00M,441.00M,59.00M,382.00M,0.00,,-8.00M,,374.00M,378.33M,666.00M,145.00M,521.00M,,1.59,0.00,,1.608,1.59,,1.58,0.00,,1.598,1.58,,234.70M,236.70M,0.44,,AOR,
2019-09,2.379B,2.379B,1.368B,1.011B,503.00M,503.00M,44.00M,101.00M,76.00M,1.00M,,78.00M,1.00M,-77.00M,,648.00M,363.00M,1.00M,78.00M,-77.00M,-1.00M,-77.00M,285.00M,56.00M,229.00M,-1.00M,,-6.00M,,222.00M,224.61M,508.00M,145.00M,363.00M,,0.94,0.00,,0.9468,0.94,,0.93,0.00,,0.9367,0.93,,236.90M,239.10M,0.44,,AOR,Restated
2019-06,2.606B,2.606B,1.501B,1.105B,550.00M,550.00M,40.00M,97.00M,85.00M,2.00M,,77.00M,1.00M,-76.00M,,687.00M,418.00M,1.00M,77.00M,-76.00M,1.00M,-76.00M,343.00M,56.00M,287.00M,0.00,,-10.00M,,277.00M,277.00M,557.00M,137.00M,420.00M,,1.15,0.00,,1.15,1.15,,1.14,0.00,,1.14,1.14,,240.60M,242.80M,0.44,,AOR,Restated
2019-03,3.143B,3.143B,1.584B,1.559B,546.00M,546.00M,40.00M,97.00M,87.00M,5.00M,,72.00M,2.00M,-70.00M,,683.00M,876.00M,2.00M,72.00M,-70.00M,-4.00M,-70.00M,802.00M,126.00M,676.00M,0.00,,-17.00M,,659.00M,663.22M,1.011B,137.00M,874.00M,,2.72,0.00,,2.737,2.72,,2.70,0.00,,2.717,2.70,,242.20M,243.70M,0.40,,AOR,Restated
2018-12,2.77B,2.77B,1.601B,1.169B,513.00M,513.00M,50.00M,101.00M,87.00M,-2.00M,,70.00M,0.00,-70.00M,,664.00M,505.00M,0.00,70.00M,-70.00M,-14.00M,-70.00M,421.00M,137.00M,284.00M,69.00M,,-8.00M,,345.00M,286.12M,642.00M,151.00M,491.00M,,1.14,0.28,,1.182,1.42,,1.13,0.28,,1.171,1.41,,242.20M,244.90M,0.40,,AOR,Restated
2018-09,2.349B,2.349B,1.392B,957.00M,555.00M,555.00M,40.00M,100.00M,94.00M,-3.00M,,69.00M,,-69.00M,,695.00M,262.00M,,69.00M,-69.00M,1.00M,-69.00M,194.00M,39.00M,155.00M,-2.00M,,-6.00M,,147.00M,149.00M,403.00M,140.00M,263.00M,,0.61,-0.01,,0.61,0.60,,0.61,-0.01,,0.61,0.60,,244.00M,245.60M,0.40,,AOR,Restated
