,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,884.00M,308.00M,1.192B,3.07B,,3.07B,,13.79B,,624.00M,18.68B,,,,1.51B,,,1.51B,,1.51B,8.666B,640.00M,9.306B,,,,724.00M,610.00M,13.43B,32.11B,,,,,2.016B,,448.00M,,448.00M,,,,14.96B,17.42B,7.281B,897.00M,8.178B,262.00M,,262.00M,,1.763B,88.00M,,896.00M,11.10B,28.52B,,2.00M,1.042B,6.312B,,,,,-3.861B,3.495B,,AOR,
2020-09,,821.00M,448.00M,1.269B,2.906B,,3.037B,116.00M,13.55B,,58.00M,18.25B,,,,1.618B,,,1.618B,,1.618B,8.462B,665.00M,9.127B,59.00M,,94.00M,831.00M,132.00M,13.11B,31.36B,,1.608B,134.00M,1.742B,1.742B,472.00M,472.00M,224.00M,696.00M,251.00M,251.00M,,14.18B,16.87B,7.251B,982.00M,8.233B,223.00M,67.00M,290.00M,,1.647B,78.00M,,145.00M,10.87B,27.74B,,2.00M,1.423B,6.216B,,,,,-4.099B,3.542B,,AOR,
2020-06,,757.00M,654.00M,1.411B,3.314B,,3.397B,133.00M,13.79B,,62.00M,18.99B,,,,1.657B,,,1.657B,,1.657B,8.356B,699.00M,9.055B,51.00M,,100.00M,826.00M,124.00M,13.00B,32.00B,,1.488B,242.00M,1.73B,1.73B,782.00M,782.00M,216.00M,998.00M,294.00M,294.00M,,14.36B,17.38B,7.229B,1.025B,8.254B,200.00M,69.00M,269.00M,,1.688B,94.00M,,158.00M,10.92B,28.30B,,2.00M,1.751B,6.144B,,,,,-4.296B,3.601B,,AOR,
2020-03,,690.00M,170.00M,860.00M,3.554B,,3.633B,156.00M,12.40B,,66.00M,17.34B,,,,1.656B,,,1.656B,,1.656B,8.293B,746.00M,9.039B,52.00M,,101.00M,805.00M,120.00M,12.94B,30.28B,,1.549B,196.00M,1.745B,1.745B,1.884B,1.884B,200.00M,2.084B,309.00M,309.00M,,12.97B,17.11B,6.227B,984.00M,7.211B,189.00M,72.00M,261.00M,,1.696B,91.00M,,199.00M,9.911B,27.02B,,2.00M,1.455B,6.121B,,,,,-4.409B,3.169B,,AOR,
2019-12,,790.00M,138.00M,928.00M,3.112B,,3.204B,97.00M,11.83B,,78.00M,16.48B,0.00,,1.202B,1.066B,183.00M,358.00M,2.809B,-1.159B,1.65B,8.165B,783.00M,8.948B,53.00M,,102.00M,816.00M,144.00M,12.93B,29.40B,,1.939B,93.00M,2.032B,2.032B,712.00M,712.00M,210.00M,922.00M,270.00M,270.00M,,12.35B,15.57B,6.627B,1.02B,7.647B,199.00M,62.00M,261.00M,,1.787B,74.00M,,165.00M,10.38B,25.96B,,2.00M,1.254B,6.152B,,,,,-4.033B,3.375B,,AOR,
2019-09,,602.00M,177.00M,779.00M,2.866B,,3.043B,123.00M,11.04B,,92.00M,15.32B,,,,1.625B,,,1.625B,,1.625B,8.071B,874.00M,8.945B,52.00M,,100.00M,774.00M,141.00M,12.85B,28.17B,,1.499B,152.00M,1.651B,1.651B,1.148B,1.148B,218.00M,1.366B,256.00M,256.00M,,11.58B,14.85B,6.12B,1.004B,7.124B,209.00M,59.00M,268.00M,,1.599B,69.00M,,186.00M,9.755B,24.61B,,2.00M,1.436B,6.084B,,,,,-4.03B,3.492B,,AOR,Restated
2019-06,,581.00M,235.00M,816.00M,3.227B,,3.372B,128.00M,12.07B,,142.00M,16.74B,,,,1.623B,,,1.623B,,1.623B,8.198B,973.00M,9.171B,54.00M,,100.00M,760.00M,141.00M,13.06B,29.81B,,1.369B,133.00M,1.502B,1.502B,844.00M,844.00M,223.00M,1.067B,337.00M,337.00M,,12.58B,15.48B,6.74B,999.00M,7.739B,211.00M,59.00M,270.00M,,1.625B,77.00M,,203.00M,10.41B,25.89B,,2.00M,1.669B,6.002B,,,,,-3.837B,3.836B,,AOR,Restated
2019-03,,600.00M,134.00M,734.00M,3.242B,,3.323B,108.00M,11.41B,,106.00M,15.92B,,,,1.669B,,,1.669B,,1.669B,8.219B,1.077B,9.296B,55.00M,,99.00M,743.00M,130.00M,13.22B,29.14B,,1.479B,158.00M,1.637B,1.637B,426.00M,426.00M,241.00M,667.00M,305.00M,305.00M,,11.93B,14.54B,5.99B,1.028B,7.018B,205.00M,60.00M,265.00M,,1.634B,87.00M,,223.00M,9.736B,24.27B,,2.00M,2.555B,5.958B,,,,,-3.74B,4.775B,,AOR,Restated
2018-12,,656.00M,172.00M,828.00M,2.76B,,2.885B,97.00M,10.17B,,67.00M,14.37B,0.00,,1.20B,45.00M,154.00M,334.00M,1.733B,-1.145B,588.00M,8.171B,1.149B,9.32B,54.00M,,100.00M,717.00M,138.00M,12.05B,26.42B,,1.943B,83.00M,2.026B,2.026B,,251.00M,,251.00M,251.00M,251.00M,,10.77B,13.30B,5.993B,169.00M,6.162B,181.00M,65.00M,246.00M,,1.692B,68.00M,,222.00M,8.907B,22.20B,,2.00M,2.093B,5.965B,,,,,-3.909B,4.151B,,AOR,Restated
2018-09,,484.00M,167.00M,651.00M,2.656B,,2.863B,109.00M,9.314B,,163.00M,13.35B,,,,,,,,,594.00M,8.282B,1.26B,9.542B,52.00M,,75.00M,626.00M,157.00M,12.25B,25.60B,,1.60B,16.00M,1.616B,1.616B,,741.00M,,741.00M,266.00M,266.00M,,10.02B,12.64B,5.665B,157.00M,5.822B,273.00M,52.00M,325.00M,,1.663B,66.00M,,258.00M,8.631B,21.27B,,2.00M,2.042B,5.85B,,,,,-3.632B,4.262B,,AOR,Restated
