,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,1.079B,1.079B,419.00M,660.00M,0.00,73.00M,,,-99.00M,,227.00M,433.00M,,,-99.00M,18.00M,-99.00M,352.00M,88.00M,264.00M,,,,264.00M,264.00M,587.00M,154.00M,433.00M,,1.46,,1.46,1.46,,1.46,,1.46,1.46,,181.00M,182.00M,0.55,,AOR,
2020-06,931.00M,931.00M,391.00M,540.00M,0.00,75.00M,,,-101.00M,,227.00M,313.00M,,,-101.00M,20.00M,-101.00M,232.00M,56.00M,176.00M,,,,176.00M,176.00M,465.00M,152.00M,313.00M,,0.97,,0.97,0.97,,0.97,,0.97,0.97,,181.00M,181.00M,0.55,,AOR,
2020-03,844.00M,844.00M,383.00M,461.00M,0.00,77.00M,,,-96.00M,,222.00M,239.00M,,,-96.00M,16.00M,-96.00M,159.00M,35.00M,124.00M,,,,124.00M,124.00M,384.00M,145.00M,239.00M,,0.69,,0.69,0.69,,0.68,,0.68,0.68,,181.00M,181.00M,0.50,,AOR,
2019-12,902.00M,902.00M,412.00M,490.00M,-47.00M,71.00M,,,-98.00M,,223.00M,267.00M,,,-98.00M,-33.00M,-98.00M,136.00M,38.00M,98.00M,,,,98.00M,131.87M,419.00M,152.00M,267.00M,,0.54,,0.7271,0.54,,0.54,,0.7271,0.54,,181.00M,181.00M,0.50,,AOR,
2019-09,1.013B,1.013B,395.00M,618.00M,0.00,68.00M,,,-97.00M,,212.00M,406.00M,,,-97.00M,9.00M,-97.00M,318.00M,78.00M,240.00M,,,,240.00M,240.00M,550.00M,144.00M,406.00M,,1.33,,1.33,1.33,,1.33,,1.33,1.33,,181.00M,181.00M,0.50,,AOR,Restated
2019-06,882.00M,882.00M,372.00M,510.00M,6.00M,72.00M,,,-94.00M,,214.00M,296.00M,,,-94.00M,25.00M,-94.00M,227.00M,57.00M,170.00M,,,,170.00M,165.51M,438.00M,142.00M,296.00M,,0.94,,0.9152,0.94,,0.94,,0.9152,0.94,,181.00M,181.00M,0.50,,AOR,Restated
2019-03,813.00M,813.00M,365.00M,448.00M,3.00M,69.00M,,,-93.00M,,213.00M,235.00M,,,-93.00M,10.00M,-93.00M,152.00M,39.00M,113.00M,,,,113.00M,110.77M,379.00M,144.00M,235.00M,,0.62,,0.6077,0.62,,0.62,,0.6077,0.62,,181.00M,181.00M,0.455,,AOR,Restated
2018-12,850.00M,850.00M,394.00M,456.00M,-4.00M,67.00M,,,-91.00M,,208.00M,248.00M,,,-91.00M,13.00M,-91.00M,170.00M,58.00M,112.00M,,0.00,,112.00M,114.64M,389.00M,141.00M,248.00M,,0.62,,0.6344,0.62,,0.62,,0.6344,0.62,,183.00M,183.00M,0.455,,AOR,Restated
2018-09,976.00M,976.00M,390.00M,586.00M,-39.00M,71.00M,,,-89.00M,,212.00M,374.00M,,,-89.00M,-30.00M,-89.00M,255.00M,70.00M,185.00M,,2.00M,,187.00M,215.28M,515.00M,141.00M,374.00M,,1.04,,1.196,1.04,,1.04,,1.196,1.04,,181.00M,181.00M,0.455,,AOR,Restated
2018-06,853.00M,853.00M,348.00M,505.00M,0.00,69.00M,,,-86.00M,,203.00M,302.00M,,,-86.00M,6.00M,-86.00M,222.00M,60.00M,162.00M,,,,162.00M,162.00M,436.00M,134.00M,302.00M,,0.90,,0.90,0.90,,0.90,,0.90,0.90,,179.00M,179.00M,0.455,,AOR,Restated
