,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,560.00M,560.00M,358.00M,,559.00M,49.00M,39.00M,,142.00M,1.967B,25.23B,,25.23B,-5.866B,19.36B,1.504B,58.00M,1.562B,,202.00M,22.43B,24.39B,,162.00M,64.00M,226.00M,606.00M,832.00M,,,,1.111B,1.111B,317.00M,2.26B,262.00M,9.58B,83.00M,9.663B,2.06B,2.06B,386.00M,4.00M,1.47B,15.62B,17.88B,,2.00M,157.00M,6.739B,348.00M,,-38.00M,6.512B,,AOR,
2020-06,569.00M,569.00M,298.00M,,505.00M,51.00M,36.00M,,137.00M,1.896B,24.84B,,24.84B,-5.801B,19.04B,1.506B,61.00M,1.567B,,201.00M,22.11B,24.01B,,169.00M,58.00M,227.00M,602.00M,829.00M,,,,989.00M,989.00M,295.00M,2.113B,260.00M,9.589B,84.00M,9.673B,1.98B,1.98B,397.00M,4.00M,1.458B,15.56B,17.67B,,2.00M,-7.00M,6.73B,348.00M,,-39.00M,6.338B,,AOR,
2020-03,556.00M,556.00M,292.00M,,464.00M,50.00M,33.00M,,119.00M,1.801B,24.45B,,24.45B,-5.763B,18.69B,1.499B,64.00M,1.563B,,203.00M,21.74B,23.55B,,152.00M,64.00M,216.00M,567.00M,783.00M,,,,1.69B,1.69B,294.00M,2.767B,259.00M,8.621B,87.00M,8.708B,1.929B,1.929B,404.00M,4.00M,1.437B,14.54B,17.30B,,2.00M,-83.00M,6.713B,348.00M,,-41.00M,6.243B,,AOR,
2019-12,60.00M,60.00M,294.00M,,466.00M,44.00M,31.00M,,118.00M,1.285B,324.00M,801.00M,24.04B,-5.709B,18.34B,1.501B,67.00M,1.568B,,207.00M,21.40B,22.68B,,203.00M,46.00M,249.00M,680.00M,929.00M,,,,814.00M,814.00M,302.00M,2.045B,240.00M,8.639B,89.00M,8.728B,1.893B,1.893B,411.00M,5.00M,1.433B,14.52B,16.56B,,2.00M,-207.00M,6.70B,338.00M,,-36.00M,6.121B,,AOR,
2019-09,94.00M,94.00M,335.00M,,522.00M,46.00M,22.00M,,115.00M,799.00M,23.92B,,23.92B,-5.656B,18.26B,1.576B,74.00M,1.65B,,201.00M,21.44B,22.24B,,149.00M,78.00M,227.00M,586.00M,813.00M,,,,503.00M,503.00M,172.00M,1.488B,247.00M,8.64B,94.00M,8.734B,1.904B,1.904B,399.00M,6.00M,1.421B,14.56B,16.05B,,2.00M,-123.00M,6.695B,338.00M,,-46.00M,6.19B,,AOR,Restated
2019-06,64.00M,64.00M,337.00M,,516.00M,48.00M,22.00M,,91.00M,741.00M,23.47B,,23.47B,-5.557B,17.91B,1.575B,78.00M,1.653B,,202.00M,21.11B,21.85B,,140.00M,61.00M,201.00M,517.00M,718.00M,,,,422.00M,422.00M,177.00M,1.317B,245.00M,8.642B,97.00M,8.739B,1.823B,1.823B,398.00M,6.00M,1.413B,14.51B,15.83B,,2.00M,-273.00M,6.683B,338.00M,,-47.00M,6.027B,,AOR,Restated
2019-03,63.00M,63.00M,307.00M,,477.00M,44.00M,22.00M,,85.00M,691.00M,23.59B,,23.59B,-5.853B,17.74B,1.575B,80.00M,1.655B,,57.00M,20.77B,21.46B,,130.00M,64.00M,194.00M,489.00M,683.00M,,,,1.269B,1.269B,204.00M,2.156B,246.00M,7.562B,101.00M,7.663B,1.769B,1.769B,394.00M,6.00M,1.407B,13.38B,15.53B,,2.00M,-353.00M,6.668B,338.00M,,-47.00M,5.932B,,AOR,Restated
2018-12,130.00M,130.00M,301.00M,,487.00M,41.00M,28.00M,,95.00M,781.00M,718.00M,593.00M,23.20B,-5.795B,17.41B,1.575B,84.00M,1.659B,,63.00M,20.44B,21.22B,,175.00M,45.00M,220.00M,643.00M,863.00M,,,,1.035B,1.035B,196.00M,2.094B,252.00M,7.569B,0.00,7.569B,1.74B,1.74B,390.00M,7.00M,1.40B,13.26B,15.36B,,2.00M,-464.00M,6.657B,297.00M,,-34.00M,5.864B,,AOR,Restated
2018-09,86.00M,86.00M,347.00M,,550.00M,42.00M,29.00M,,93.00M,800.00M,,,22.73B,-5.671B,17.06B,1.571B,91.00M,1.662B,,76.00M,20.08B,20.88B,,141.00M,67.00M,208.00M,544.00M,752.00M,,,,827.00M,827.00M,169.00M,1.748B,259.00M,7.57B,,7.57B,1.691B,1.691B,393.00M,7.00M,1.39B,13.27B,15.02B,,2.00M,-432.00M,6.647B,297.00M,,-60.00M,5.86B,,AOR,Restated
2018-06,68.00M,68.00M,324.00M,,536.00M,42.00M,27.00M,,160.00M,833.00M,,,22.36B,-5.584B,16.78B,1.621B,101.00M,1.722B,,70.00M,19.64B,20.47B,,139.00M,48.00M,187.00M,599.00M,786.00M,,,,2.013B,2.013B,152.00M,2.951B,263.00M,6.345B,,6.345B,1.639B,1.639B,435.00M,7.00M,1.382B,11.78B,14.74B,,2.00M,-537.00M,6.637B,297.00M,,-69.00M,5.736B,,AOR,Restated
2018-03,55.00M,55.00M,273.00M,,461.00M,42.00M,26.00M,,145.00M,729.00M,,,22.00B,-5.518B,16.48B,1.379B,,1.379B,,81.00M,19.00B,19.73B,,133.00M,64.00M,197.00M,579.00M,776.00M,,,,1.604B,1.604B,159.00M,2.539B,265.00M,6.396B,,6.396B,1.607B,1.607B,429.00M,7.00M,1.361B,11.74B,14.28B,,2.00M,-617.00M,6.438B,297.00M,,-75.00M,5.451B,,AOR,Restated
2017-12,55.00M,55.00M,272.00M,,484.00M,41.00M,27.00M,,113.00M,720.00M,570.00M,585.00M,21.72B,-5.47B,16.25B,1.379B,9.00M,1.388B,,67.00M,18.76B,19.48B,,195.00M,33.00M,228.00M,703.00M,931.00M,,,,1.227B,1.227B,167.00M,2.325B,271.00M,6.49B,,6.49B,1.573B,1.573B,424.00M,8.00M,1.342B,11.77B,14.10B,,2.00M,-723.00M,6.432B,247.00M,,-79.00M,5.385B,,AOR,Restated
2017-09,93.00M,93.00M,312.00M,,546.00M,42.00M,28.00M,,151.00M,860.00M,,,20.95B,-5.265B,15.68B,1.373B,,1.373B,,73.00M,18.50B,19.36B,,144.00M,61.00M,205.00M,601.00M,806.00M,,,,790.00M,790.00M,151.00M,1.747B,279.00M,6.672B,,6.672B,2.885B,2.885B,505.00M,9.00M,1.338B,12.10B,13.84B,,2.00M,-573.00M,6.423B,247.00M,,-87.00M,5.518B,,AOR,Restated
2017-06,64.00M,64.00M,288.00M,,524.00M,41.00M,28.00M,,151.00M,808.00M,,,20.58B,-5.184B,15.39B,1.373B,,1.373B,,70.00M,18.16B,18.97B,,134.00M,47.00M,181.00M,552.00M,733.00M,,,,1.803B,1.803B,125.00M,2.661B,291.00M,5.65B,,5.65B,2.746B,2.746B,507.00M,9.00M,1.308B,10.92B,13.58B,,2.00M,-702.00M,6.416B,247.00M,,-85.00M,5.384B,,AOR,Restated
2017-03,78.00M,78.00M,250.00M,,477.00M,41.00M,23.00M,,148.00M,767.00M,,,20.19B,-5.061B,15.13B,1.345B,,1.345B,,72.00M,17.84B,18.61B,,108.00M,67.00M,175.00M,554.00M,729.00M,,,,1.554B,1.554B,135.00M,2.418B,297.00M,5.744B,,5.744B,2.652B,2.652B,506.00M,9.00M,1.293B,10.90B,13.32B,,2.00M,-759.00M,6.40B,274.00M,,-82.00M,5.287B,,AOR,Restated
2016-12,75.00M,75.00M,269.00M,,532.00M,39.00M,20.00M,,118.00M,784.00M,452.00M,419.00M,19.95B,-4.962B,14.99B,1.345B,,1.345B,,72.00M,17.70B,18.48B,,154.00M,31.00M,185.00M,672.00M,857.00M,,,,1.423B,1.423B,112.00M,2.392B,300.00M,5.749B,,5.749B,2.619B,2.619B,506.00M,10.00M,1.285B,10.87B,13.26B,,2.00M,-873.00M,6.388B,213.00M,,-86.00M,5.218B,,AOR,Restated
2016-09,46.00M,46.00M,302.00M,,587.00M,40.00M,23.00M,,105.00M,801.00M,,,19.38B,-4.817B,14.56B,1.313B,,1.313B,,75.00M,17.17B,17.97B,,135.00M,45.00M,180.00M,626.00M,806.00M,,,,1.004B,1.004B,118.00M,1.928B,300.00M,5.842B,,5.842B,2.547B,2.547B,414.00M,11.00M,1.288B,10.80B,12.73B,,2.00M,-839.00M,6.388B,214.00M,,-99.00M,5.238B,,AOR,Restated
2016-06,52.00M,52.00M,240.00M,,526.00M,42.00M,23.00M,,48.00M,691.00M,,,19.06B,-4.741B,14.32B,1.313B,,1.313B,,79.00M,17.02B,17.71B,,148.00M,39.00M,187.00M,438.00M,625.00M,,,,1.004B,1.004B,111.00M,1.74B,309.00M,5.85B,,5.85B,2.453B,2.453B,508.00M,11.00M,1.276B,10.81B,12.55B,,2.00M,-921.00M,6.382B,214.00M,,-96.00M,5.153B,,AOR,Restated
2016-03,66.00M,66.00M,220.00M,,467.00M,41.00M,22.00M,,42.00M,638.00M,,,18.74B,-4.647B,14.10B,1.313B,,1.313B,,79.00M,16.78B,17.42B,,116.00M,58.00M,174.00M,464.00M,638.00M,,,,893.00M,893.00M,83.00M,1.614B,352.00M,5.85B,,5.85B,2.381B,2.381B,510.00M,11.00M,1.21B,10.72B,12.34B,,2.00M,-991.00M,6.368B,210.00M,,-87.00M,5.082B,,AOR,Restated
2015-12,45.00M,45.00M,255.00M,,522.00M,38.00M,21.00M,,31.00M,657.00M,405.00M,404.00M,18.50B,-4.571B,13.93B,1.302B,,1.302B,,78.00M,16.58B,17.24B,,126.00M,26.00M,152.00M,555.00M,707.00M,,,,682.00M,682.00M,144.00M,1.533B,349.00M,5.862B,,5.862B,2.334B,2.334B,511.00M,12.00M,1.189B,10.66B,12.19B,,2.00M,-1.073B,6.351B,143.00M,,-88.00M,5.049B,,AOR,Restated
2015-09,75.22M,75.22M,305.09M,,595.76M,37.96M,23.48M,114.80M,31.78M,879.01M,399.51M,,18.09B,-4.482B,13.61B,1.313B,,1.313B,,77.13M,16.23B,17.11B,,281.29M,46.34M,327.63M,97.04M,424.66M,379.94M,,22.02M,401.97M,401.97M,338.76M,1.165B,349.59M,5.941B,,5.941B,2.400B,2.400B,507.62M,14.29M,1.167B,10.77B,11.94B,,1.807M,-1.050B,6.349B,56.12M,,-79.18M,5.165B,,AOR,Restated
2015-06,144.75M,144.75M,245.68M,,514.49M,38.33M,20.84M,130.17M,41.50M,890.08M,360.70M,,17.75B,-4.392B,13.36B,1.210B,,1.210B,,79.19M,15.84B,16.73B,,283.57M,41.14M,324.71M,55.99M,380.70M,820.98M,,61.96M,882.94M,882.94M,248.54M,1.512B,359.50M,5.433B,,5.433B,2.308B,2.308B,509.13M,14.29M,1.147B,10.17B,11.68B,,1.801M,-1.162B,6.324B,30.05M,,-80.05M,5.053B,,AOR,Restated
2015-03,24.29M,24.29M,231.72M,,461.84M,38.62M,21.03M,119.84M,63.39M,729.02M,352.18M,,17.40B,-4.302B,13.10B,1.208B,,1.208B,,76.05M,15.53B,16.26B,,203.41M,55.71M,259.12M,94.93M,354.06M,544.53M,,61.15M,605.68M,605.68M,267.81M,1.228B,362.72M,5.429B,,5.429B,2.224B,2.224B,509.13M,14.30M,1.117B,10.04B,11.27B,,1.799M,-1.224B,6.313B,16.59M,,-81.50M,4.993B,,AOR,Restated
2014-12,23.00M,23.00M,232.00M,,453.00M,37.00M,14.00M,,48.00M,575.00M,378.00M,303.00M,17.27B,-4.24B,13.03B,1.208B,,1.208B,,73.00M,15.46B,16.04B,,100.00M,25.00M,125.00M,452.00M,577.00M,,,,511.00M,511.00M,153.00M,1.241B,368.00M,5.427B,,5.427B,2.059B,2.059B,509.00M,15.00M,1.112B,9.882B,11.12B,,2.00M,-1.296B,6.302B,11.00M,,-82.00M,4.915B,,AOR,Restated
2014-09,74.13M,74.13M,249.69M,,486.34M,37.20M,20.04M,104.25M,28.74M,756.96M,371.02M,,17.05B,-4.250B,12.80B,1.208B,,1.208B,,76.44M,14.96B,15.72B,,260.71M,46.94M,307.66M,97.06M,404.72M,313.98M,,55.58M,369.56M,369.56M,284.66M,1.059B,368.83M,5.541B,,5.541B,2.144B,2.144B,178.36M,15.96M,1.104B,9.737B,10.80B,,1.793M,-1.333B,6.297B,10.22M,,-35.94M,4.920B,,AOR,Restated
2014-06,32.13M,32.13M,239.91M,,470.78M,36.84M,21.54M,119.14M,27.19M,707.64M,380.74M,,16.79B,-4.209B,12.58B,1.208B,,1.208B,,79.88M,14.72B,15.43B,,192.44M,37.58M,230.02M,55.54M,285.56M,702.44M,,15.03M,717.47M,717.47M,231.88M,1.235B,370.12M,5.218B,,5.218B,2.053B,2.053B,187.03M,15.96M,1.092B,9.318B,10.55B,,1.791M,-1.374B,6.290B,10.22M,,-34.67M,4.873B,,AOR,Restated
2014-03,30.76M,30.76M,223.61M,,426.98M,35.24M,28.58M,134.83M,31.60M,687.99M,375.55M,,16.66B,-4.191B,12.47B,1.208B,,1.208B,,60.99M,14.59B,15.27B,,183.84M,54.13M,237.97M,93.66M,331.62M,638.23M,,14.90M,653.13M,653.13M,212.95M,1.198B,370.94M,5.209B,,5.209B,2.024B,2.024B,191.73M,15.97M,1.085B,9.276B,10.47B,,1.79M,-1.428B,6.272B,10.02M,,-35.15M,4.801B,,AOR,Restated
2013-12,26.96M,26.96M,208.10M,,429.61M,32.97M,28.50M,17.72M,28.28M,571.81M,144.00M,275.20M,16.28B,-3.894B,12.39B,1.208B,,1.208B,,61.75M,14.52B,15.09B,,264.12M,32.17M,296.28M,52.09M,348.37M,630.31M,,14.17M,644.48M,644.48M,242.68M,1.236B,375.73M,5.213B,,5.213B,1.867B,1.867B,196.96M,17.18M,1.082B,9.125B,10.36B,,1.784M,-1.496B,6.261B,5.043M,,-34.64M,4.728B,,AOR,Restated
2013-09,32.45M,32.45M,256.55M,,481.52M,35.05M,25.43M,,38.76M,613.22M,373.14M,,16.15B,-4.039B,12.11B,1.208B,,1.208B,,62.47M,14.62B,15.23B,,209.77M,46.27M,256.04M,101.29M,357.33M,389.44M,,113.66M,503.10M,503.10M,281.05M,1.141B,372.48M,5.174B,,5.174B,1.771B,1.771B,685.67M,17.64M,1.052B,9.454B,10.60B,,1.781M,-1.505B,6.251B,5.043M,,-109.90M,4.633B,,AOR,Restated
2013-06,20.37M,20.37M,234.85M,,440.85M,33.82M,19.72M,,31.08M,545.84M,366.49M,,15.89B,-3.961B,11.93B,1.207B,,1.207B,,72.84M,14.43B,14.98B,,178.42M,37.43M,215.85M,54.53M,270.38M,466.46M,,113.86M,580.33M,580.33M,198.60M,1.049B,378.81M,5.181B,,5.181B,1.667B,1.667B,688.00M,17.64M,1.049B,9.356B,10.41B,,1.779M,-1.556B,6.244B,5.043M,,-112.47M,4.572B,,AOR,Restated
2013-03,21.18M,21.18M,182.85M,,366.73M,31.15M,31.62M,,41.17M,491.85M,359.35M,,15.72B,-3.925B,11.79B,1.207B,,1.207B,,69.30M,14.28B,14.77B,,166.72M,51.15M,217.88M,101.10M,318.98M,333.79M,,115.92M,449.71M,449.71M,189.65M,958.33M,379.28M,5.185B,,5.185B,1.546B,1.546B,701.88M,17.65M,1.101B,9.301B,10.26B,,3.497M,-1.607B,6.233B,5.043M,1.72M,-114.29M,4.510B,,AOR,Restated
