,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,264.00M,,-6.00M,-6.00M,,,154.00M,154.00M,78.00M,,,,-6.00M,-67.00M,11.00M,,,21.00M,-35.00M,,457.00M,,-469.00M,,-25.00M,-19.00M,,0.00,-488.00M,,-13.00M,125.00M,112.00M,,0.00,0.00,,,-100.00M,-100.00M,4.00M,9.00M,25.00M,,605.00M,-6.00M,599.00M,,,87.00M,25.00M,0.00,,AOR,
2020-06,176.00M,,-3.00M,-3.00M,,,152.00M,152.00M,58.00M,,,,-34.00M,-50.00M,63.00M,,,-19.00M,-6.00M,,351.00M,,-489.00M,,-27.00M,-19.00M,,0.00,-508.00M,,995.00M,-721.00M,274.00M,,0.00,0.00,,,-100.00M,-100.00M,7.00M,-8.00M,173.00M,,589.00M,16.00M,605.00M,,,801.00M,-527.00M,0.00,,AOR,
2020-03,124.00M,,-1.00M,-1.00M,,,145.00M,145.00M,38.00M,,,,-28.00M,-4.00M,-91.00M,,,-9.00M,-104.00M,,180.00M,,-431.00M,,-23.00M,-21.00M,,2.00M,-450.00M,,2.00M,854.00M,856.00M,,0.00,0.00,,,-90.00M,-90.00M,-5.00M,7.00M,768.00M,,91.00M,498.00M,589.00M,,,862.00M,-6.00M,0.00,,AOR,
2019-12,98.00M,,4.00M,47.00M,,,152.00M,152.00M,45.00M,,,,2.00M,29.00M,82.00M,,,-27.00M,84.00M,,438.00M,,-572.00M,,-33.00M,-150.00M,,31.00M,-691.00M,,-3.00M,313.00M,310.00M,,0.00,0.00,,,-90.00M,-90.00M,2.00M,6.00M,228.00M,,116.00M,-25.00M,91.00M,,,339.00M,-29.00M,0.00,,AOR,
2019-09,240.00M,,4.00M,-5.00M,,,144.00M,144.00M,78.00M,,,,-14.00M,-14.00M,31.00M,,,-12.00M,5.00M,,465.00M,,-433.00M,,-30.00M,-5.00M,,1.00M,-437.00M,,0.00,77.00M,77.00M,,0.00,0.00,,,-90.00M,-90.00M,7.00M,7.00M,1.00M,,87.00M,29.00M,116.00M,,,7.00M,70.00M,0.00,,AOR,Restated
2019-06,170.00M,,4.00M,7.00M,,,142.00M,142.00M,50.00M,,,,-25.00M,-45.00M,40.00M,,,-24.00M,-29.00M,,312.00M,,-409.00M,,-23.00M,-58.00M,,1.00M,-466.00M,,1.048B,-805.00M,243.00M,,0.00,0.00,,,-91.00M,-91.00M,7.00M,-4.00M,155.00M,,86.00M,1.00M,87.00M,,,945.00M,-702.00M,0.00,,AOR,Restated
2019-03,113.00M,,5.00M,2.00M,,,144.00M,144.00M,35.00M,,,,-35.00M,5.00M,-87.00M,,,-13.00M,-95.00M,,168.00M,,-344.00M,,-18.00M,-22.00M,,15.00M,-351.00M,,-10.00M,237.00M,227.00M,,-36.00M,-36.00M,,,-82.00M,-82.00M,-1.00M,2.00M,110.00M,,159.00M,-73.00M,86.00M,,,239.00M,-12.00M,-36.00M,,AOR,Restated
2018-12,112.00M,,4.00M,4.00M,,,141.00M,141.00M,53.00M,,0.00,,-18.00M,53.00M,48.00M,,,-10.00M,91.00M,,394.00M,,-476.00M,,-26.00M,-17.00M,,2.00M,-491.00M,,-193.00M,401.00M,208.00M,0.00,0.00,0.00,,,-82.00M,-82.00M,8.00M,6.00M,140.00M,,116.00M,43.00M,159.00M,,0.00,63.00M,-196.00M,0.00,,AOR,Restated
2018-09,185.00M,,3.00M,-15.00M,,,141.00M,141.00M,60.00M,,57.00M,,18.00M,-29.00M,31.00M,,,9.00M,11.00M,,467.00M,,-418.00M,,-21.00M,-4.00M,,26.00M,-396.00M,,1.129B,-1.087B,42.00M,0.00,0.00,0.00,,,-82.00M,-82.00M,2.00M,-14.00M,-52.00M,,97.00M,19.00M,116.00M,,0.00,1.34B,-211.00M,0.00,,AOR,Restated
2018-06,162.00M,,8.00M,8.00M,,,134.00M,134.00M,49.00M,,,,8.00M,-61.00M,19.00M,,,-22.00M,-64.00M,,306.00M,,-395.00M,,-20.00M,-369.00M,,1.00M,-763.00M,,-108.00M,468.00M,360.00M,183.00M,0.00,183.00M,,,-81.00M,-81.00M,7.00M,3.00M,472.00M,,82.00M,15.00M,97.00M,,183.00M,5.00M,-113.00M,0.00,,AOR,Restated
