,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-10,1.025B,1.025B,224.55M,800.89M,176.50M,79.80M,256.30M,339.57M,9.284M,,0.387M,0.75M,0.424M,-0.326M,,605.14M,195.74M,0.424M,0.75M,-0.326M,-3.853M,-0.326M,191.57M,-4.989M,196.56M,,,197.46M,196.96M,243.15M,50.83M,192.32M,1.3,,,,1.297,1.3,1.26,,,,1.2570000000000001,1.26,152.35M,157.60M
2020-07,964.13M,964.13M,193.01M,771.13M,156.46M,73.52M,229.97M,322.60M,9.931M,,1.977M,0.941M,0.78M,-0.161M,,562.50M,208.62M,0.78M,0.941M,-0.161M,28.39M,-0.161M,236.85M,-16.06M,252.91M,,,252.91M,251.38M,291.87M,54.08M,237.80M,1.67,,,,1.66,1.67,1.62,,,,1.61,1.62,151.35M,155.97M
2020-04,861.33M,861.33M,184.26M,677.06M,146.20M,62.47M,208.67M,302.57M,10.25M,,-29.67M,1.846M,0.879M,-0.967M,,521.50M,155.57M,0.879M,1.846M,-0.967M,-44.43M,-0.967M,110.17M,0.246M,109.92M,,,109.92M,134.50M,164.86M,52.85M,112.01M,0.73,,,,0.8932,0.73,0.71,,,,0.8692,0.71,150.60M,154.38M
2020-01,834.38M,834.38M,192.87M,641.51M,152.86M,68.74M,221.60M,314.28M,9.364M,,-8.751M,1.603M,1.478M,-0.125M,,545.25M,96.27M,1.478M,1.603M,-0.125M,3.431M,-0.125M,99.57M,-4.488M,104.06M,,,104.06M,110.38M,153.41M,52.23M,101.18M,0.69,,,,0.7321,0.69,0.67,,,,0.7109,0.67,150.24M,154.50M
2019-10,851.08M,851.08M,182.74M,668.34M,161.17M,63.42M,224.59M,290.50M,10.08M,,-13.44M,1.051M,1.579M,0.528M,,525.18M,143.16M,1.579M,1.051M,0.528M,-12.07M,0.528M,131.62M,-29.09M,160.71M,,,160.71M,170.10M,182.22M,49.54M,132.67M,1.07,,,,1.1320000000000001,1.07,1.04,,,,1.1,1.04,150.36M,155.18M
2019-07,852.97M,852.97M,186.63M,666.34M,157.11M,67.38M,224.49M,284.80M,10.11M,,-19.34M,2.214M,1.789M,-0.425M,,519.41M,146.93M,1.789M,2.214M,-0.425M,-13.60M,-0.425M,132.91M,32.98M,99.93M,,,99.93M,113.95M,184.42M,49.29M,135.12M,0.67,,,,0.7634,0.67,0.65,,,,0.7407,0.65,150.12M,154.60M
2019-04,836.24M,836.24M,190.68M,645.56M,158.65M,56.35M,215.00M,290.30M,10.32M,,-14.44M,3.841M,1.927M,-1.914M,,515.62M,129.94M,1.927M,3.841M,-1.914M,5.886M,-1.914M,133.92M,15.71M,118.21M,,,118.21M,128.56M,188.77M,51.01M,137.76M,0.79,,,,0.8592,0.79,0.77,,,,0.8373,0.77,149.71M,153.90M
2019-01,820.40M,820.40M,192.89M,627.51M,155.96M,42.06M,198.02M,271.33M,10.78M,,0.035M,4.554M,1.565M,-2.989M,,480.13M,147.38M,1.565M,4.554M,-2.989M,2.665M,-2.989M,147.06M,-6.459M,153.51M,,,153.51M,153.79M,203.44M,51.83M,151.61M,1.03,,,,1.032,1.03,1.01,,,,1.012,1.01,149.29M,152.66M
2018-10,795.08M,795.08M,190.58M,604.50M,167.32M,63.04M,230.37M,290.88M,10.70M,,-11.03M,4.326M,1.664M,-2.662M,,531.95M,72.55M,1.664M,4.326M,-2.662M,-17.64M,-2.662M,52.25M,-202.08M,254.33M,,,254.33M,261.04M,115.54M,58.96M,56.57M,1.71,,,,1.755,1.71,1.66,,,,1.704,1.66,149.86M,154.22M
2018-07,779.71M,779.71M,185.38M,594.33M,157.95M,84.34M,242.29M,277.40M,10.65M,,-0.023M,4.558M,1.096M,-3.462M,,530.34M,63.99M,1.096M,4.558M,-3.462M,11.36M,-3.462M,71.89M,-7.516M,79.41M,,,79.41M,78.24M,129.87M,53.42M,76.45M,0.53,,,,0.5221,0.53,0.52,,,,0.5123,0.52,148.49M,152.61M
2018-04,776.84M,776.84M,178.78M,598.06M,147.19M,58.81M,206.00M,252.13M,10.74M,,-2.176M,3.88M,0.927M,-2.953M,,468.87M,129.19M,0.927M,3.88M,-2.953M,-6.938M,-2.953M,119.30M,16.83M,102.47M,,,102.47M,103.38M,176.09M,52.91M,123.18M,0.69,,,,0.6961,0.69,0.67,,,,0.6759,0.67,149.03M,153.17M
2018-01,769.43M,769.43M,181.16M,588.27M,150.51M,56.37M,206.88M,264.41M,9.539M,,0.282M,2.843M,1.636M,-1.207M,,480.83M,107.44M,1.636M,2.843M,-1.207M,13.87M,-1.207M,120.10M,123.79M,-3.691M,,,-3.691M,-3.153M,166.87M,43.92M,122.95M,-0.02,,,,-0.0164,-0.02,-0.02,,,,-0.0164,-0.02,149.44M,149.44M
2017-10,696.64M,696.64M,166.86M,529.78M,154.01M,26.19M,180.20M,244.52M,7.808M,,-5.548M,1.816M,2.494M,0.678M,,432.52M,97.26M,2.494M,1.816M,0.678M,1.987M,0.678M,99.93M,220.01M,-120.08M,,,-120.08M,-117.04M,147.07M,45.33M,101.74M,-0.8,,,,-0.7798,-0.8,-0.8,,,,-0.7804,-0.8,150.45M,155.14M
2017-07,695.38M,695.38M,169.55M,525.84M,131.52M,46.35M,177.87M,228.66M,7.906M,,-6.026M,2.32M,2.015M,-0.305M,,414.44M,111.40M,2.015M,2.32M,-0.305M,1.70M,-0.305M,112.79M,-3.96M,116.75M,,,116.75M,120.20M,162.18M,47.07M,115.11M,0.78,,,,0.803,0.78,0.75,,,,0.7723,0.75,150.21M,154.68M
2017-04,680.07M,680.07M,162.03M,518.04M,137.21M,83.44M,220.65M,223.02M,7.864M,,-12.91M,1.86M,1.499M,-0.361M,,451.53M,66.51M,1.499M,1.86M,-0.361M,-4.132M,-0.361M,62.02M,8.714M,53.31M,,,53.31M,64.93M,111.46M,47.58M,63.88M,0.35,,,,0.4273,0.35,0.34,,,,0.415,0.34,150.38M,154.86M
