,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-10,197.46M,20.31M,,20.31M,,50.83M,50.83M,-37.15M,,78.43M,,21.75M,-147.14M,-37.98M,10.05M,69.93M,,-20.61M,-9.724M,-135.47M,202.15M,-35.49M,,-34.48M,,0.00,0.00,,-35.49M,-4.662M,,-4.662M,74.17M,-42.08M,32.09M,-16.56M,10.87M,1.052B,177.53M,8.454M,1.238B,74.17M,-0.001M,-4.661M,-42.08M
2020-07,252.91M,21.08M,,21.08M,,54.08M,54.08M,-36.69M,,61.84M,,16.57M,-5.134M,7.056M,-15.46M,122.83M,,-25.54M,-59.01M,24.75M,399.42M,-40.48M,,-39.57M,,-49.87M,2.151M,,-88.19M,-105.78M,,-105.78M,24.88M,-20.00M,4.876M,-29.88M,-130.78M,858.42M,180.45M,13.12M,1.052B,24.88M,0.00,-105.78M,-20.00M
2020-04,109.92M,16.31M,,16.31M,,52.85M,52.85M,-19.99M,,56.44M,,14.52M,161.83M,-18.79M,-14.59M,53.82M,,-11.45M,-26.07M,144.76M,379.92M,-27.12M,,-26.06M,,-75.79M,-0.262M,,-103.18M,-94.69M,,-94.69M,83.38M,-100.00M,-16.62M,-2.863M,-114.17M,702.28M,162.57M,-6.437M,858.42M,83.38M,80.00M,-174.69M,-100.00M
2020-01,104.06M,23.20M,,23.20M,,52.23M,52.23M,-17.69M,,51.88M,,13.76M,-246.36M,-5.302M,8.697M,-132.81M,,-20.98M,174.28M,-222.49M,9.82M,-55.67M,,-54.60M,,-75.39M,-2.50M,,-133.56M,192.74M,,192.74M,14.98M,-80.00M,-65.02M,-34.24M,93.48M,730.53M,-30.26M,2.013M,702.28M,14.98M,196.49M,-3.75M,-80.00M
2019-10,160.71M,0.00,,0.00,,49.54M,49.54M,-72.96M,,40.18M,,15.53M,-97.94M,22.04M,-11.56M,25.92M,,0.00,87.07M,25.53M,221.25M,-77.78M,,-75.77M,,-36.60M,-3.245M,,-117.64M,-3.751M,,-3.751M,49.01M,-120.00M,-70.99M,15.17M,-59.58M,688.68M,44.04M,-2.193M,730.53M,49.01M,0.00,-3.751M,-120.00M
2019-07,99.93M,-0.308M,,-0.308M,,49.29M,49.29M,13.82M,,39.45M,,17.80M,65.89M,10.93M,-19.68M,115.29M,,0.00,-26.96M,145.47M,370.46M,-54.15M,,-53.40M,,0.00,2.185M,,-51.96M,-149.61M,,-149.61M,24.00M,-100.00M,-76.00M,-39.14M,-264.75M,633.05M,53.75M,1.882M,688.68M,24.00M,4.137M,-153.75M,-100.00M
2019-04,118.21M,-3.744M,,-3.744M,,51.01M,51.01M,-17.27M,,36.91M,,15.63M,232.53M,-34.53M,-8.52M,58.61M,,0.00,-98.46M,149.62M,352.82M,-40.71M,,-39.96M,,0.00,4.176M,,-36.53M,-250.07M,,-250.07M,76.99M,-80.00M,-3.006M,-22.58M,-275.66M,594.21M,40.63M,-1.789M,633.05M,76.99M,3.68M,-253.75M,-80.00M
2019-01,153.51M,0.00,,0.00,,51.83M,51.83M,-6.215M,,38.46M,,12.79M,-209.05M,-15.83M,-10.03M,-219.10M,,0.00,58.10M,-395.90M,-144.02M,-29.74M,,-29.01M,,0.00,0.00,,-29.74M,72.27M,,72.27M,6.358M,-29.18M,-22.83M,-11.36M,38.09M,725.00M,-135.68M,4.882M,594.21M,6.358M,185.08M,-112.81M,-29.18M
2018-10,254.33M,0.00,,0.00,,58.96M,58.96M,-215.82M,,37.49M,,-103.39M,-54.09M,-17.31M,-2.886M,105.53M,,,-34.44M,-3.194M,130.92M,-28.74M,0.00,-28.51M,,-5.956M,-2.916M,,-37.62M,-152.18M,,-152.18M,51.11M,-33.00M,18.11M,29.86M,-104.21M,743.16M,-10.90M,-7.26M,725.00M,51.11M,5.635M,-157.81M,-33.00M
2018-07,79.41M,0.00,,0.00,,53.42M,53.42M,-33.37M,,37.25M,,37.25M,63.76M,-7.443M,-3.324M,75.27M,,,24.19M,152.46M,289.17M,-22.81M,0.00,-21.86M,,-3.15M,-0.151M,,-26.11M,97.19M,,97.19M,13.75M,-132.00M,-118.25M,-61.99M,-83.06M,572.77M,179.99M,-9.599M,743.16M,13.75M,165.00M,-67.81M,-132.00M
2018-04,102.47M,-0.097M,,-0.097M,,52.91M,52.91M,-7.294M,,32.96M,,32.96M,-70.65M,-25.19M,8.062M,8.101M,,,-40.92M,-120.58M,63.37M,-21.25M,1.662M,-18.63M,,-35.19M,0.00,,-54.78M,-47.81M,,-47.81M,46.49M,-55.00M,-8.511M,18.36M,-37.96M,607.92M,-29.37M,-5.782M,572.77M,46.49M,0.00,-47.81M,-55.00M
2018-01,-3.691M,0.004M,,0.004M,,43.92M,43.92M,46.17M,,32.32M,,32.32M,-34.81M,-15.81M,-14.50M,-139.86M,,,26.84M,-178.15M,-59.05M,-29.12M,,-28.32M,,-608.34M,12.45M,,-625.02M,428.12M,,428.12M,12.49M,-180.00M,-167.51M,-30.25M,230.36M,1.050B,-453.71M,11.56M,607.92M,12.49M,450.00M,-21.88M,-180.00M
2017-10,-120.08M,0.008M,0.001M,0.009M,,45.33M,45.33M,134.01M,0.00,28.60M,,28.60M,-40.12M,,2.688M,101.50M,,,50.11M,94.04M,182.77M,-20.20M,0.00,-20.10M,,-71.58M,147.49M,0.00,55.72M,-291.88M,,-291.88M,47.62M,-80.00M,-32.38M,-22.97M,-347.23M,1.155B,-108.74M,0.029M,1.050B,47.62M,50.00M,-341.88M,-80.00M
2017-07,116.75M,,0.00,0.00,,47.07M,47.07M,-14.30M,0.00,28.30M,,28.30M,-38.68M,,-0.345M,59.47M,,,80.98M,101.42M,279.85M,-20.10M,,-19.03M,,0.00,-6.448M,0.00,-26.54M,18.12M,,18.12M,16.46M,-120.00M,-103.54M,-7.318M,-92.73M,991.32M,160.58M,3.08M,1.155B,16.46M,20.00M,-1.875M,-120.00M
2017-04,53.31M,0.00,0.00,0.00,,47.58M,47.58M,-9.65M,0.00,25.56M,,25.56M,-41.09M,,11.60M,105.98M,,,-70.76M,5.727M,122.98M,-14.05M,0.00,-13.02M,,0.00,-1.616M,0.00,-15.67M,98.12M,,98.12M,55.05M,-100.00M,-44.95M,-2.212M,50.96M,827.71M,158.27M,5.345M,991.32M,55.05M,100.00M,-1.875M,-100.00M
2017-01,86.59M,,-0.001M,-0.001M,,49.46M,49.46M,12.99M,1.30M,25.83M,,27.13M,122.19M,,-24.89M,-129.32M,,,-97.50M,-129.52M,46.88M,-19.21M,,-18.18M,,-187.62M,1.946M,2.10M,-202.79M,115.00M,,115.00M,7.205M,-80.00M,-72.80M,-26.33M,15.88M,976.62M,-140.03M,-8.881M,827.71M,7.205M,150.00M,-35.00M,-80.00M
2016-10,72.70M,,0.015M,-0.003M,,49.22M,49.22M,-16.78M,0.00,25.54M,,25.54M,-120.80M,,17.37M,60.73M,,,91.47M,16.69M,147.66M,-19.83M,,-18.66M,,0.00,2.776M,,-17.06M,-72.50M,,-72.50M,55.40M,-100.00M,-44.60M,15.78M,-101.32M,946.32M,29.29M,1.013M,976.62M,55.40M,0.00,-72.50M,-100.00M
2016-07,64.72M,,-0.005M,-0.005M,,50.59M,50.59M,12.73M,0.00,25.57M,,25.57M,-16.09M,,0.267M,66.26M,,,47.47M,97.91M,251.71M,-20.34M,,-19.35M,,-13.96M,-12.63M,,-46.92M,27.50M,,27.50M,27.12M,-120.00M,-92.88M,-21.47M,-86.85M,827.95M,117.93M,0.438M,946.32M,27.12M,125.00M,-97.50M,-120.00M
2016-04,69.38M,,-0.013M,-0.013M,,50.79M,50.79M,-6.029M,0.00,23.46M,,23.46M,63.25M,,4.617M,37.22M,,,-20.44M,84.65M,222.43M,-14.62M,,-13.56M,,-27.16M,-7.441M,,-49.22M,22.50M,,22.50M,41.28M,-20.00M,21.28M,19.71M,63.49M,582.99M,236.71M,8.254M,827.95M,41.28M,30.00M,-7.50M,-20.00M
2016-01,60.04M,,0.003M,0.003M,,56.44M,56.44M,-3.955M,0.00,23.01M,,23.01M,30.36M,,-27.82M,-145.23M,,,-28.26M,-170.95M,-35.17M,-16.26M,,-15.34M,,-18.94M,5.717M,,-29.48M,22.50M,,22.50M,1.486M,-160.00M,-158.51M,-46.24M,-182.26M,836.19M,-246.91M,-6.296M,582.99M,1.486M,30.00M,-7.50M,-160.00M
2015-10,49.76M,,-0.087M,-0.087M,,57.29M,57.29M,12.75M,,22.94M,,22.94M,-73.51M,,12.73M,53.08M,,,17.27M,9.57M,152.42M,-20.14M,,-19.26M,,-213.27M,7.518M,0.00,-225.89M,-7.501M,,-7.501M,53.35M,-80.00M,-26.65M,-41.29M,-75.44M,986.42M,-148.92M,-1.315M,836.19M,53.35M,50.00M,-57.50M,-80.00M
2015-07,55.39M,,-0.005M,-0.005M,,52.48M,52.48M,-3.502M,,22.60M,0.0,22.60M,33.47M,,-1.252M,36.63M,,,78.70M,147.54M,275.01M,-24.66M,,-23.73M,,-124.58M,-0.224M,0.00,-149.47M,-7.50M,,-7.50M,2.408M,-36.00M,-33.59M,36.00M,-5.092M,868.84M,120.45M,-2.871M,986.42M,2.408M,160.00M,-167.50M,-36.00M
2015-04,55.60M,,-0.005M,-0.005M,,51.52M,51.52M,27.79M,,20.28M,0.0,20.28M,-57.35M,,8.276M,63.18M,,,-14.52M,-0.411M,155.08M,-25.33M,,-24.37M,,-2.303M,-16.61M,0.90M,-43.34M,-82.70M,,-82.70M,43.46M,0.00,43.46M,-0.102M,-39.34M,796.82M,72.40M,-0.38M,868.84M,43.46M,0.00,-82.70M,0.00
2015-01,65.19M,,-0.012M,-0.012M,,50.53M,50.53M,-0.158M,,20.58M,,20.58M,40.86M,,-42.86M,-125.32M,,,-96.45M,-223.77M,-87.34M,-20.52M,,-19.61M,,,-120.42M,,-140.93M,227.28M,,227.28M,10.54M,-144.00M,-133.46M,-36.01M,57.80M,985.76M,-170.47M,-18.47M,796.82M,10.54M,250.00M,-22.72M,-144.00M
2014-10,62.46M,,-0.461M,-0.461M,,52.08M,52.08M,-24.56M,,21.10M,,21.10M,-89.85M,,0.854M,68.92M,,,82.88M,62.80M,172.91M,-46.02M,,-45.19M,,-21.11M,0.461M,-0.488M,-67.15M,-7.729M,,-7.729M,58.39M,-40.00M,18.39M,-21.70M,-11.03M,903.05M,94.73M,-12.01M,985.76M,58.39M,0.00,-7.729M,-40.00M
2014-07,65.66M,,-0.009M,-0.009M,,49.16M,49.16M,-1.807M,,21.40M,,21.40M,84.41M,,5.539M,54.86M,,,61.41M,206.22M,340.13M,-29.12M,,-28.18M,,-5.548M,0.009M,-3.00M,-37.66M,-207.74M,,-207.74M,-7.99M,0.00,-7.99M,-4.302M,-220.03M,821.63M,82.44M,-1.023M,903.05M,-7.99M,0.00,-207.74M,0.00
2014-04,63.32M,,0.00,0.00,,47.87M,47.87M,3.375M,,18.82M,,18.82M,-67.49M,,9.078M,51.77M,,,-15.09M,-21.73M,111.80M,-15.62M,,-15.55M,0.90M,-367.96M,0.513M,,-383.07M,192.25M,,192.25M,31.74M,-25.00M,6.745M,-0.595M,198.40M,893.05M,-72.87M,1.449M,821.63M,31.74M,200.00M,-7.749M,-25.00M
2014-01,67.70M,,-6.529M,-6.529M,,43.71M,43.71M,5.891M,,18.12M,,18.12M,7.91M,,-13.64M,-134.90M,,,-61.76M,-202.38M,-73.89M,-16.16M,,-14.35M,-0.90M,,6.791M,,-9.364M,-7.748M,,-7.748M,21.58M,-54.75M,-33.17M,-0.111M,-41.02M,1.022B,-124.28M,-5.107M,893.05M,21.58M,0.00,-7.748M,-54.75M
2013-10,56.89M,,-0.767M,-0.767M,,45.65M,45.65M,-7.948M,,17.79M,,17.79M,29.38M,,2.554M,47.05M,,,1.529M,80.52M,191.34M,-18.76M,0.00,-17.84M,,0.00,0.767M,,-18.00M,-7.737M,,-7.737M,41.38M,-75.02M,-33.63M,-4.386M,-45.76M,892.37M,127.58M,2.487M,1.022B,41.38M,0.00,-7.737M,-75.02M
2013-07,52.30M,,0.00,0.00,,47.60M,47.60M,-0.953M,,16.49M,,16.49M,-31.08M,,12.88M,49.38M,,,116.46M,147.64M,263.08M,-19.09M,0.00,-18.20M,,0.00,0.00,,-19.09M,-7.738M,,-7.738M,15.34M,-35.00M,-19.66M,-3.867M,-31.27M,681.02M,212.72M,-1.364M,892.37M,15.34M,0.00,-7.738M,-35.00M
2013-04,68.69M,,-0.101M,-0.101M,,47.09M,47.09M,13.12M,,15.53M,,15.53M,18.95M,,-4.173M,54.64M,,,-78.83M,-9.422M,133.73M,-16.41M,2.00M,-13.45M,,0.00,0.222M,,-14.19M,-7.209M,,-7.209M,59.58M,-35.00M,24.58M,-1.914M,15.46M,550.36M,135.00M,-4.348M,681.02M,59.58M,0.00,-7.209M,-35.00M
2013-01,69.92M,,,,,47.06M,47.06M,-4.90M,,17.70M,,17.70M,20.34M,,-23.33M,-152.21M,,,-68.11M,-223.31M,-91.44M,-14.80M,,-13.98M,0.00,,0.00,,-14.80M,-8.028M,,-8.028M,15.62M,0.00,15.62M,-44.00M,-36.42M,700.38M,-142.66M,-7.357M,550.36M,15.62M,,-8.028M,0.00
