,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2009-07,47.44M,,-0.286M,-0.286M,,24.85M,24.85M,8.189M,,14.00M,,3.785M,57.40M,,,50.24M,7.962M,,18.89M,134.49M,232.46M,-10.64M,,-9.90M,-0.743M,-20.92M,-90.81M,,-122.37M,-0.951M,1.279M,0.328M,1.585M,0.00,1.585M,,1.913M,506.40M,112.00M,3.877M,622.28M,1.585M,1.279M,-0.951M,0.00
2009-04,48.29M,,-0.152M,-0.152M,,24.31M,24.31M,-0.728M,,14.66M,,1.233M,-43.80M,,2.009M,-5.659M,-3.047M,,-12.41M,-62.90M,24.71M,-7.241M,,-6.476M,-0.765M,0.00,-0.174M,,-7.415M,-0.492M,,-0.492M,25.50M,0.00,25.50M,,25.01M,470.16M,42.30M,-6.07M,506.40M,25.50M,,-0.492M,0.00
2009-01,52.43M,,-0.172M,-0.172M,,25.42M,25.42M,8.34M,,14.14M,,5.05M,-2.911M,,-2.009M,-105.94M,,,-76.28M,-187.13M,-81.93M,-8.978M,,-8.258M,-0.72M,-27.33M,3.988M,,-32.32M,-0.492M,,-0.492M,1.152M,0.00,1.152M,,0.66M,577.63M,-113.59M,6.122M,470.16M,1.152M,,-0.492M,0.00
2008-10,46.40M,,-0.057M,-0.057M,,23.61M,23.61M,-31.10M,,14.67M,,-4.742M,0.19M,,,57.62M,11.28M,,20.37M,67.11M,115.88M,-13.13M,,-12.37M,-0.76M,-3.632M,-43.73M,,-60.49M,-1.517M,0.00,-1.517M,22.58M,-50.00M,-27.42M,,-28.94M,545.49M,26.46M,5.685M,577.63M,22.58M,0.00,-1.517M,-50.00M
2008-07,57.75M,,-0.155M,-0.155M,,23.29M,23.29M,15.33M,,17.32M,,2.868M,38.22M,,,11.63M,-0.977M,,66.06M,114.94M,231.35M,-7.708M,,-7.002M,-0.706M,-181.02M,-89.83M,,-278.56M,-0.001M,0.00,-0.001M,19.65M,0.00,19.65M,,19.65M,574.89M,-27.56M,-1.841M,545.49M,19.65M,0.00,-0.001M,0.00
2008-04,39.39M,,-1.392M,-1.392M,,24.91M,24.91M,5.381M,,17.84M,,5.82M,-29.90M,,,5.973M,-9.115M,,-23.86M,-56.91M,35.04M,-10.48M,,-9.772M,-0.704M,0.00,183.52M,,173.04M,-1.452M,,-1.452M,24.85M,-87.19M,-62.34M,,-63.79M,428.06M,144.29M,2.542M,574.89M,24.85M,,-1.452M,-87.19M
2008-01,46.44M,,0.20M,0.20M,,25.33M,25.33M,-1.858M,,15.64M,,2.104M,-17.08M,,,-78.35M,-1.185M,,-42.44M,-139.05M,-51.18M,-10.43M,,-9.726M,-0.704M,0.00,-24.65M,,-35.08M,0.00,,0.00,12.10M,-82.86M,-70.77M,,-70.77M,579.33M,-157.03M,5.759M,428.06M,12.10M,,0.00,-82.86M
2007-10,41.01M,,,1.02M,27.52M,27.52M,27.52M,-15.94M,,,,22.73M,80.39M,,-4.055M,7.665M,,-129.84M,142.64M,96.80M,173.15M,-8.754M,0.00,-8.754M,,-23.35M,-43.23M,,-75.34M,,,,56.83M,-10.83M,46.00M,,46.00M,435.85M,143.81M,-0.333M,579.33M,56.83M,,,-10.83M
2007-07,24.86M,,,2.109M,25.17M,25.17M,25.17M,4.289M,,,,14.78M,-36.58M,,-0.283M,51.39M,,29.36M,1.01M,44.90M,116.10M,-12.42M,0.00,-12.42M,,-34.12M,-58.44M,,-104.98M,,,,21.41M,-59.40M,-37.98M,,-37.98M,461.07M,-26.86M,1.645M,435.85M,21.41M,,,-59.40M
2007-04,41.26M,,,-4.282M,25.50M,25.50M,25.50M,9.873M,,,,15.83M,-25.58M,,-5.432M,6.433M,,24.46M,0.10M,-0.021M,88.17M,-13.82M,26.30M,12.48M,,,-4.399M,,8.08M,,,,48.66M,-63.32M,-14.67M,,-14.67M,377.16M,81.58M,2.339M,461.07M,48.66M,,,-63.32M
2007-01,23.36M,,,-0.003M,27.18M,27.18M,27.18M,0.804M,,,,17.39M,-18.35M,,-5.84M,-66.08M,,78.14M,-0.539M,-12.66M,56.06M,-12.29M,,-12.29M,,,-61.03M,,-73.32M,,,,81.58M,-18.07M,63.51M,,63.51M,330.76M,46.25M,0.144M,377.16M,81.58M,,,-18.07M
2006-10,10.12M,,,0.777M,28.94M,28.94M,28.94M,-29.01M,,,,15.81M,-9.849M,,6.486M,26.26M,,65.03M,-14.83M,73.11M,99.75M,-14.94M,,-14.94M,,-20.29M,-0.122M,,-35.35M,,,,26.43M,-30.45M,-4.021M,,-4.021M,269.72M,60.38M,0.666M,330.76M,26.43M,,,-30.45M
2006-07,7.55M,,,-34.95M,27.57M,27.57M,27.57M,3.762M,,,,49.15M,28.20M,,0.831M,25.59M,,-1.712M,-46.52M,6.386M,59.46M,-11.81M,,-11.81M,,-8.956M,-1.576M,,-22.34M,,,,4.711M,-70.52M,-65.81M,,-65.81M,294.93M,-28.69M,3.472M,269.72M,4.711M,,,-70.52M
2006-04,5.375M,,,35.51M,28.34M,28.34M,28.34M,0.122M,,,,-19.23M,-54.70M,,0.717M,25.85M,,-56.34M,61.33M,-23.14M,26.97M,-16.36M,,-16.36M,,0.00,-40.30M,,-56.66M,,,,28.00M,-18.04M,9.951M,,9.951M,314.50M,-19.74M,0.172M,294.93M,28.00M,,,-18.04M
2006-01,1.697M,,,-0.553M,29.64M,29.64M,29.64M,-0.052M,,,,19.23M,17.20M,,-6.768M,-93.13M,,51.97M,0.475M,-30.25M,19.71M,-8.301M,,-8.301M,,-11.89M,-19.23M,,-39.42M,,,,10.43M,-80.98M,-70.55M,,-70.55M,404.44M,-90.26M,0.326M,314.50M,10.43M,,,-80.98M
2005-10,-15.11M,,,15.20M,28.96M,28.96M,28.96M,-11.22M,,,,,8.956M,,1.621M,21.31M,9.317M,27.82M,-11.62M,57.41M,74.34M,-11.79M,,-11.79M,,-3.078M,-2.622M,2.215M,-15.27M,,,,24.19M,-0.001M,24.19M,,24.19M,319.95M,83.26M,1.227M,404.44M,24.19M,,,-0.001M
2005-07,17.29M,,,-6.23M,39.94M,39.94M,39.94M,23.22M,,,,,40.64M,,12.15M,11.80M,-9.317M,-64.86M,-0.393M,-9.982M,64.25M,-11.82M,,-11.82M,,-80.13M,1.771M,-2.215M,-92.39M,,,,7.213M,-3.246M,3.967M,,3.967M,343.13M,-24.17M,0.998M,319.95M,7.213M,,,-3.246M
