,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2011-01,,700.61M,166.52M,867.13M,169.16M,,200.52M,,54.25M,72.38M,,1.194B,,,,,,,,,149.55M,1.267B,232.67M,1.499B,264.12M,106.15M,2.019B,3.213B,216.67M,2.515M,,219.19M,,219.19M,,,,,565.90M,565.90M,,785.08M,,,,35.71M,35.71M,128.70M,,,105.92M,270.33M,1.055B,1.492M,816.70M,1.543B,190.33M,,,-13.19M,2.158B
2010-10,,775.41M,163.15M,938.56M,181.10M,,199.53M,,36.20M,73.46M,,1.248B,0.0,20.41M,55.45M,282.69M,,87.40M,445.96M,-297.38M,148.58M,1.266B,249.66M,1.515B,268.76M,105.95M,2.039B,3.287B,16.33M,8.349M,,24.68M,80.44M,105.12M,,,,,600.57M,600.57M,,921.77M,,,,34.10M,34.10M,,,,101.88M,264.59M,1.186B,1.485M,770.67M,1.541B,197.59M,,,-15.77M,2.100B
2010-07,,883.44M,326.38M,1.210B,148.58M,,175.15M,,38.98M,72.02M,,1.496B,,,,,,,,,139.10M,1.003B,118.06M,1.121B,264.87M,94.11M,1.619B,3.115B,240.41M,2.736M,,243.14M,,243.14M,,,,,593.91M,593.91M,,837.05M,,,,33.97M,33.97M,101.73M,,,92.08M,227.78M,1.065B,1.475M,758.73M,1.527B,213.64M,,,-23.79M,2.050B
2010-04,,669.43M,409.02M,1.078B,149.65M,,185.95M,,45.26M,70.23M,,1.380B,,,,,,,,,140.63M,998.91M,119.81M,1.119B,270.36M,95.73M,1.625B,3.005B,186.80M,28.02M,,214.83M,,214.83M,,,,,505.77M,505.77M,,720.60M,,,,38.23M,38.23M,88.13M,,,100.22M,226.58M,947.18M,1.498M,725.10M,1.513B,165.27M,,,-16.06M,2.058B
2010-01,,626.49M,465.85M,1.092B,142.49M,,184.30M,,47.59M,74.28M,,1.399B,,,,,,,,,143.37M,934.23M,89.54M,1.024B,251.76M,92.35M,1.511B,2.910B,182.16M,33.59M,,215.75M,,215.75M,,,,,507.44M,507.44M,,723.18M,,,,39.43M,112.30M,88.55M,,,14.99M,215.84M,939.02M,1.465M,705.22M,1.511B,236.94M,,,-10.10M,1.971B
2009-10,,701.61M,466.71M,1.168B,127.01M,,178.20M,,43.82M,73.45M,,1.464B,0.0,21.98M,59.84M,251.66M,,73.01M,406.49M,-259.58M,146.91M,932.69M,96.81M,1.030B,205.40M,93.25M,1.475B,2.939B,10.14M,5.508M,,15.64M,235.45M,251.10M,,,,,553.99M,553.99M,9.506M,814.59M,,,,34.74M,104.45M,157.35M,,,18.29M,280.10M,1.095B,1.469M,574.98M,1.500B,228.62M,,,-3.831M,1.844B
2009-07,,622.28M,460.26M,1.083B,136.76M,,180.85M,,,136.07M,49.49M,1.449B,,,,,,,,,144.93M,933.56M,102.68M,1.036B,160.09M,87.53M,1.429B,2.878B,221.25M,13.05M,,234.30M,,234.30M,,,,,581.79M,581.79M,,816.09M,,,,36.79M,130.73M,168.01M,,,,298.73M,1.115B,1.443M,568.64M,1.488B,287.30M,,,-7.871M,1.763B
2009-04,,506.40M,370.45M,876.85M,189.12M,,236.77M,,,131.29M,50.09M,1.295B,,,,,,,,,136.80M,917.29M,99.34M,1.017B,165.60M,82.02M,1.401B,2.696B,176.23M,9.256M,,185.49M,,185.49M,,,,,540.61M,540.61M,,726.10M,,,,47.86M,124.19M,151.82M,,,,276.01M,1.002B,1.441M,522.13M,1.487B,291.13M,,,-25.59M,1.694B
2009-01,,470.16M,372.12M,842.28M,150.08M,,199.62M,,,136.53M,42.94M,1.221B,,,,,,,,,141.15M,917.79M,109.87M,1.028B,168.07M,78.40M,1.415B,2.637B,7.271M,9.395M,,16.67M,175.34M,192.00M,,,,,547.34M,547.34M,,739.35M,,,,61.64M,138.52M,154.68M,,,,293.20M,1.033B,1.42M,485.18M,1.483B,337.89M,,,-27.14M,1.604B
2008-10,,577.63M,373.67M,951.30M,147.36M,,197.22M,,40.16M,133.61M,,1.322B,0.0,20.41M,53.77M,331.45M,,71.15M,476.79M,-331.70M,145.09M,899.64M,114.76M,1.014B,177.39M,83.32M,1.420B,2.742B,23.17M,14.50M,266.60M,304.26M,,304.26M,,,,,604.72M,604.72M,,908.98M,,,,75.41M,75.41M,152.74M,,,76.97M,305.12M,1.214B,1.418M,434.06M,1.471B,342.86M,,,-35.28M,1.528B
2008-07,,545.49M,331.60M,877.09M,143.61M,51.23M,194.85M,,60.81M,121.42M,,1.254B,,,,,,,441.29M,-310.78M,130.51M,896.57M,123.97M,1.021B,151.08M,102.55M,1.405B,2.659B,240.68M,,,240.68M,1.896M,242.57M,,,,,603.52M,603.52M,,846.10M,,,,,,,,,,282.36M,1.128B,1.428M,395.38M,1.457B,323.88M,,,0.201M,1.530B
2008-04,,574.89M,242.61M,817.50M,171.99M,42.72M,214.72M,,57.34M,127.34M,,1.217B,,,,,,,438.00M,-310.78M,127.22M,765.58M,54.78M,820.35M,168.06M,97.63M,1.213B,2.430B,8.506M,,,8.506M,178.52M,187.03M,,,,,522.08M,522.08M,,709.10M,,,,,,,,,,286.23M,995.33M,1.417M,342.42M,1.436B,348.33M,,,3.417M,1.435B
2008-01,,428.06M,432.26M,860.32M,142.05M,40.68M,182.74M,,52.19M,126.26M,,1.222B,,,,,,,439.36M,-310.78M,128.58M,768.85M,67.17M,836.02M,181.40M,97.37M,1.243B,2.465B,6.964M,,,6.964M,174.66M,181.62M,,,,,528.93M,528.93M,,710.56M,,,,,,,,,,314.39M,1.025B,1.437M,313.41M,1.424B,302.44M,,,3.562M,1.440B
2007-10,,579.33M,405.13M,984.45M,123.90M,42.52M,166.42M,,53.50M,123.16M,,1.328B,0.0,13.41M,111.50M,317.73M,,,442.64M,-310.78M,131.87M,767.09M,78.79M,845.88M,216.64M,95.41M,1.290B,2.617B,11.61M,,,11.61M,442.17M,453.78M,,,,,577.30M,577.30M,,1.031B,,,,,,,,,,149.87M,1.181B,1.464M,263.98M,1.402B,234.92M,-1.256M,5.161M,3.905M,1.436B
2007-07,,435.85M,358.37M,794.22M,204.79M,43.66M,248.45M,,51.35M,112.44M,,1.206B,,,,,,,511.04M,-382.30M,128.74M,752.96M,79.81M,832.76M,197.04M,90.04M,1.249B,2.455B,8.303M,,,8.303M,247.46M,255.77M,,,,,568.84M,568.84M,164.41M,989.02M,,,,,,,,,,148.08M,1.137B,1.436M,249.10M,1.363B,292.32M,,,-3.714M,1.318B
2007-04,,461.07M,306.46M,767.54M,166.85M,41.54M,208.39M,,32.98M,112.19M,,1.121B,,,,,,,523.35M,-382.30M,141.04M,736.80M,81.13M,817.93M,191.55M,79.38M,1.230B,2.351B,6.595M,,,6.595M,350.84M,357.44M,,,,,540.00M,540.00M,,897.44M,,,,,,,,,,139.94M,1.037B,1.447M,226.61M,1.347B,255.83M,,,-5.83M,1.314B
2007-01,,377.16M,302.55M,679.70M,141.08M,41.49M,182.57M,,50.32M,111.40M,,1.024B,,,,,,,521.89M,-382.30M,139.58M,735.13M,92.90M,828.03M,204.98M,79.18M,1.252B,2.276B,6.808M,,,6.808M,345.23M,352.04M,,,,,522.92M,522.92M,,874.96M,,,,,,,,,,132.95M,1.008B,1.443M,192.84M,1.333B,248.30M,,,-11.05M,1.268B
2006-10,,330.76M,241.96M,572.72M,122.58M,42.54M,165.12M,,44.30M,112.34M,,894.49M,0.0,20.41M,109.09M,393.46M,,,522.96M,-382.30M,140.66M,735.64M,106.14M,841.79M,206.25M,74.63M,1.263B,2.158B,15.00M,,,15.00M,410.49M,425.50M,,,,,445.60M,445.60M,,871.10M,,,,,,,,,,123.56M,994.66M,1.406M,170.74M,1.316B,312.75M,-10.36M,-2.12M,-12.48M,1.163B
