,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2001-07,,134.50M,174.37M,308.88M,131.72M,,131.72M,,98.56M,,,539.15M,,,,,,,349.36M,-175.70M,173.66M,,39.43M,39.43M,,141.79M,354.88M,894.03M,120.98M,,,120.98M,,120.98M,,0.535M,,0.535M,250.75M,250.75M,36.69M,408.96M,0.123M,,0.123M,,,,,,24.88M,25.00M,433.96M,0.59M,421.51M,573.79M,552.17M,,,16.37M,460.08M
2001-04,,145.59M,247.11M,392.70M,132.29M,,132.29M,,95.30M,,,620.29M,,,,,,,342.12M,-175.70M,166.42M,,43.68M,43.68M,,152.04M,362.14M,982.43M,104.70M,,,104.70M,41.62M,146.32M,,1.624M,,1.624M,257.32M,257.32M,,405.27M,0.454M,,0.454M,,,,,,28.53M,28.99M,434.26M,0.607M,412.73M,567.50M,456.13M,,,23.47M,548.17M
2001-01,,199.57M,129.35M,328.92M,145.25M,,145.25M,,,,99.35M,573.52M,,,,,,,338.26M,-175.70M,162.56M,,48.01M,48.01M,,171.52M,382.09M,955.61M,95.51M,,,95.51M,,95.51M,,3.52M,,3.52M,,,263.40M,362.43M,0.504M,,0.504M,,,,,,23.66M,24.16M,386.59M,0.608M,408.04M,561.67M,438.91M,,,37.61M,569.02M
2000-10,,153.12M,282.52M,435.64M,146.45M,,146.45M,,,,102.43M,684.52M,,,,,,,332.94M,-175.70M,157.24M,,51.78M,51.78M,,157.45M,366.47M,1.051B,139.29M,,,139.29M,,139.29M,,6.416M,,6.416M,,,206.96M,352.66M,0.564M,,0.564M,,,,,,14.94M,15.50M,368.16M,0.629M,405.42M,558.72M,329.49M,,,47.56M,682.83M
2000-07,,450.97M,195.10M,646.07M,,,178.50M,,,,47.28M,871.85M,,,,,,,312.62M,-166.40M,146.21M,,52.21M,52.21M,,153.45M,351.87M,1.224B,116.63M,,,116.63M,,116.63M,,6.414M,,6.414M,,,212.86M,335.91M,0.719M,,0.719M,,,,,,15.26M,15.98M,351.89M,0.679M,434.72M,558.15M,164.02M,,,42.30M,871.83M
2000-04,,150.61M,466.10M,616.71M,,,160.36M,,,,61.28M,838.36M,,,,,,,296.50M,-155.20M,141.30M,,53.45M,53.45M,,114.99M,309.75M,1.148B,88.10M,,,88.10M,,88.10M,,12.30M,,12.30M,,,203.33M,303.73M,1.497M,,1.497M,,,,,,15.02M,16.51M,320.25M,0.684M,398.48M,556.03M,147.32M,,,19.98M,827.86M
2000-01,,222.20M,428.80M,651.00M,,,156.90M,,,,66.50M,874.40M,,,,,,,282.30M,-145.70M,136.60M,,57.50M,57.50M,,109.40M,303.50M,1.178B,80.90M,,,80.90M,,80.90M,,9.60M,,9.60M,,,189.80M,280.30M,4.10M,,4.10M,,,,,,16.50M,20.60M,300.90M,0.70M,377.90M,555.10M,75.20M,,,18.50M,877.00M
1999-09,,285.30M,418.90M,704.20M,,,155.90M,,,,54.60M,914.70M,,,,,,,259.20M,-133.00M,126.20M,,57.40M,57.40M,,75.60M,259.20M,1.174B,8.80M,,,8.80M,,8.80M,,8.60M,,8.60M,,,270.10M,287.50M,11.60M,,11.60M,,,,,,9.20M,20.80M,308.30M,0.70M,371.40M,530.50M,43.70M,,,6.60M,865.60M
1999-06,,157.00M,,157.00M,,,157.60M,,,,537.00M,851.60M,,,,,,,246.90M,-123.10M,123.80M,,,,,137.00M,260.80M,1.112B,101.60M,,,101.60M,,101.60M,,8.70M,,8.70M,,,130.10M,240.40M,11.40M,,11.40M,,,,,,9.20M,20.60M,261.00M,,344.20M,,,,,,851.40M
1999-03,,118.50M,,118.50M,,,139.20M,,,,612.60M,870.30M,,,,,,,233.80M,-114.70M,119.10M,,74.00M,74.00M,,36.00M,229.10M,1.099B,104.40M,,,104.40M,,104.40M,,8.90M,,8.90M,,,147.80M,261.10M,13.50M,,13.50M,,,,,,8.50M,22.00M,283.10M,,302.80M,,,,,,816.30M
1998-12,,86.20M,,86.20M,,,130.20M,,,,607.90M,824.30M,,,,,,,213.40M,-105.50M,107.90M,,,,,84.10M,192.00M,1.016B,92.90M,,,92.90M,,92.90M,,3.40M,,3.40M,,,132.60M,228.90M,9.80M,,9.80M,,,,,,8.20M,18.00M,246.90M,,276.20M,,,,,,769.40M
1998-09,,164.50M,,164.50M,,,126.30M,,,,482.60M,773.40M,,,,,,,173.30M,-73.40M,99.90M,,,,,78.30M,178.20M,951.60M,117.40M,,,117.40M,,117.40M,,7.80M,,7.80M,,,143.50M,268.70M,13.10M,,13.10M,,,,,,4.90M,18.00M,286.70M,,240.50M,,,,,,664.90M
1998-06,,166.10M,,166.10M,,,111.20M,,,,461.30M,738.60M,,,,,,,182.60M,-94.60M,88.00M,,,,,69.80M,157.80M,896.40M,121.90M,,,121.90M,,121.90M,,6.00M,,6.00M,,,132.70M,260.60M,3.80M,,3.80M,,,,,,6.00M,9.80M,270.40M,,205.50M,,,,,,626.00M
