,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-04,7.885B,7.885B,4.568B,4.568B,,43.30B,3.486B,,59.24B,,,,,199.76B,,199.76B,-84.96B,114.80B,18.85B,,18.85B,12.04B,145.68B,204.93B,,44.61B,4.607B,718.00M,49.94B,20.78B,70.72B,,9.338B,9.338B,700.00M,10.04B,,,,80.76B,29.48B,6.828B,36.30B,9.541B,9.541B,2.772B,,,45.85B,126.60B,,294.00M,82.98B,2.557B,,,-10.28B,75.55B,,AOR,Restated
2018-01,6.756B,6.756B,5.614B,5.614B,,43.78B,3.511B,,59.66B,0.00,25.30B,101.16B,55.08B,12.70B,3.619B,197.86B,-83.04B,114.82B,18.24B,,18.24B,11.80B,144.86B,204.52B,,46.09B,,3.718B,49.81B,13.30B,63.10B,,8.995B,8.995B,667.00M,9.662B,2.017B,2.017B,,78.52B,30.04B,6.78B,36.82B,8.354B,8.354B,2.953B,,,45.18B,123.70B,,295.00M,85.11B,2.648B,,,-10.18B,77.87B,,AOR,Restated
2017-10,7.026B,7.026B,5.865B,5.865B,,50.15B,2.33B,,65.37B,,,,,197.74B,,197.74B,-82.44B,115.30B,18.20B,,18.20B,10.54B,144.05B,209.41B,,47.59B,1.53B,540.00M,49.66B,21.76B,71.41B,,8.371B,8.371B,650.00M,9.021B,,,,80.44B,34.21B,6.70B,40.91B,9.167B,9.167B,2.761B,,,50.07B,130.51B,,297.00M,84.48B,2.501B,,,-11.13B,76.14B,,AOR,Restated
2017-07,6.469B,6.469B,5.395B,5.395B,,43.44B,1.457B,,56.76B,,,,,196.13B,,196.13B,-80.77B,115.35B,18.04B,,18.04B,11.41B,144.80B,201.57B,,42.39B,3.057B,505.00M,45.95B,19.69B,65.64B,,6.516B,6.516B,658.00M,7.174B,,,,72.81B,33.71B,6.763B,40.47B,9.24B,9.24B,2.657B,,,49.71B,122.52B,,299.00M,84.84B,2.352B,,,-11.10B,76.39B,,AOR,Restated
2017-04,6.545B,6.545B,5.252B,5.252B,,43.36B,2.178B,,57.34B,,,,,192.93B,,192.93B,-78.76B,114.17B,17.58B,,17.58B,10.64B,142.38B,199.72B,,41.37B,4.628B,2.018B,48.01B,19.71B,67.72B,,5.873B,5.873B,599.00M,6.472B,,,,74.19B,33.77B,6.251B,40.02B,9.386B,9.386B,2.423B,,,49.41B,123.60B,,302.00M,84.12B,2.223B,,,-12.95B,73.69B,,AOR,Restated
2017-01,6.867B,6.867B,5.835B,5.835B,,43.05B,1.941B,,57.69B,0.00,24.80B,98.55B,51.84B,11.64B,4.301B,191.13B,-76.95B,114.18B,17.04B,,17.04B,9.921B,141.14B,198.82B,,41.43B,,3.737B,45.17B,12.06B,57.23B,,3.355B,3.355B,565.00M,3.92B,1.856B,1.856B,,66.93B,36.02B,6.003B,42.02B,9.344B,9.344B,2.737B,,,51.36B,118.29B,,305.00M,89.35B,2.371B,,,-14.23B,77.80B,,AOR,Restated
2016-10,5.939B,5.939B,5.344B,5.344B,,49.82B,2.296B,,63.40B,,,,,191.15B,,191.15B,-76.06B,115.09B,17.79B,,17.79B,10.58B,143.46B,206.86B,,42.99B,1.541B,459.00M,44.99B,21.24B,66.23B,,7.348B,7.348B,549.00M,7.897B,,,,74.13B,36.18B,5.93B,42.11B,10.14B,10.14B,2.782B,,,52.25B,126.38B,,308.00M,87.64B,2.084B,,,-12.34B,77.69B,,AOR,Restated
2016-07,7.676B,7.676B,5.275B,5.275B,,43.45B,1.828B,,58.23B,,,,,190.14B,,190.14B,-74.73B,115.41B,16.34B,,16.34B,7.905B,139.65B,197.89B,,39.90B,3.101B,720.00M,43.72B,19.65B,63.37B,,4.197B,4.197B,551.00M,4.748B,,,,68.12B,36.67B,6.07B,42.74B,7.877B,7.877B,2.619B,,,50.62B,118.74B,,310.00M,85.97B,1.915B,,,-11.67B,76.52B,,AOR,Restated
2016-04,7.597B,7.597B,5.187B,5.187B,,44.51B,1.80B,,59.10B,,,,,189.96B,,189.96B,-73.47B,116.49B,16.75B,,16.75B,6.363B,139.61B,198.70B,,38.00B,4.723B,1.328B,44.05B,19.60B,63.65B,,6.07B,6.07B,559.00M,6.629B,,,,70.28B,37.15B,6.242B,43.39B,7.272B,7.272B,2.575B,,,50.66B,120.95B,,313.00M,84.14B,1.72B,,,-11.00B,75.18B,,AOR,Restated
2016-01,8.705B,8.705B,5.624B,5.624B,,44.47B,1.441B,,60.24B,0.00,25.62B,96.84B,49.95B,11.10B,4.539B,188.05B,-71.54B,116.52B,16.70B,,16.70B,6.131B,139.34B,199.58B,,38.49B,,3.065B,41.55B,13.65B,55.20B,,5.453B,5.453B,551.00M,6.004B,,,,64.62B,38.21B,5.816B,44.03B,7.321B,7.321B,3.065B,,,51.35B,115.97B,,317.00M,90.02B,1.805B,,,-11.60B,80.55B,,AOR,Restated
2015-10,6.99B,6.99B,5.012B,5.012B,,50.71B,2.404B,,65.11B,,,,,187.61B,,187.61B,-70.65B,116.96B,17.05B,,17.05B,6.025B,140.03B,205.14B,,40.55B,1.589B,587.00M,42.73B,19.50B,62.23B,,7.706B,7.706B,558.00M,8.264B,,,,70.49B,38.62B,5.581B,44.20B,7.824B,7.824B,3.059B,,,52.02B,122.51B,,321.00M,87.90B,2.006B,,,-10.66B,79.57B,,AOR,Restated
2015-07,5.751B,5.751B,5.275B,5.275B,,45.01B,2.099B,,58.13B,,,,,186.09B,,186.09B,-69.58B,116.51B,17.80B,,17.80B,6.178B,140.49B,198.62B,,37.22B,3.162B,373.00M,40.76B,18.29B,59.05B,,5.749B,5.749B,463.00M,6.212B,,,,65.26B,38.58B,4.262B,42.84B,8.391B,8.391B,3.253B,,,51.23B,116.50B,,321.00M,84.96B,1.979B,,,-8.388B,78.87B,,AOR,Restated
2015-04,7.759B,7.759B,5.813B,5.813B,,46.31B,2.251B,,62.13B,,,,,183.49B,,183.49B,-67.81B,115.68B,17.53B,,17.53B,5.398B,138.61B,200.75B,,37.22B,4.741B,1.707B,43.67B,18.68B,62.36B,,6.84B,6.84B,427.00M,7.267B,,,,69.62B,38.87B,4.097B,42.96B,8.169B,8.169B,3.416B,,,51.13B,120.76B,,323.00M,82.49B,2.354B,,,-8.595B,76.57B,,AOR,Restated
2015-01,9.135B,9.135B,6.778B,6.778B,,45.14B,2.224B,,63.28B,0.00,26.26B,97.50B,47.85B,5.239B,5.787B,182.63B,-65.98B,116.66B,18.10B,,18.10B,5.455B,140.21B,203.49B,,38.41B,,3.613B,42.02B,13.25B,55.28B,,6.383B,6.383B,287.00M,6.67B,,,,65.25B,40.89B,2.606B,43.50B,8.805B,8.805B,4.543B,,,52.30B,117.55B,,323.00M,85.78B,2.462B,,,-7.168B,81.39B,,AOR,Restated
2014-10,6.718B,6.718B,6.091B,6.091B,,51.50B,1.531B,,65.84B,,,,,183.13B,,183.13B,-65.63B,117.49B,18.89B,,18.89B,5.668B,142.05B,207.89B,,39.66B,1.553B,383.00M,41.59B,18.77B,60.36B,,10.89B,10.89B,302.00M,11.20B,,,,71.56B,41.72B,2.767B,44.49B,7.789B,7.789B,4.944B,0.00,,52.28B,123.84B,,323.00M,80.81B,2.223B,,,-4.251B,79.11B,,AOR,Restated
2014-07,6.184B,6.184B,6.146B,6.146B,,45.45B,1.851B,,59.63B,,,,,183.52B,,183.52B,-64.80B,118.72B,19.76B,,19.76B,5.872B,144.35B,203.98B,,36.83B,3.10B,511.00M,40.44B,18.24B,58.68B,,8.175B,8.175B,301.00M,8.476B,,,,67.15B,43.00B,2.695B,45.70B,8.311B,8.311B,5.077B,0.00,,54.01B,121.16B,,323.00M,77.17B,2.208B,,,-1.957B,77.75B,,AOR,Restated
