,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1994-10,16.70M,16.70M,,1.072B,,15.96B,,964.00M,18.01B,,,,,,,15.88B,-2.772B,13.10B,,,,3.378B,16.48B,34.49B,,7.793B,,,7.793B,,7.793B,,,2.760B,,2.760B,,,2.318B,12.87B,9.181B,,9.181B,349.70M,349.70M,,,,9.531B,22.40B,,,11.35B,,,,,12.09B,,,Restated
1994-07,9.60M,9.60M,,988.80M,,12.96B,,436.30M,14.40B,,,,,,,16.79B,-2.554B,14.24B,,,,1.660B,15.90B,30.29B,,5.608B,,,5.608B,,5.608B,,,2.107B,,2.107B,,,1.964B,9.679B,8.659B,,8.659B,340.20M,340.20M,,,0.10M,8.999B,18.68B,,,10.85B,,,,,11.61B,,,Restated
1994-04,76.50M,76.50M,,704.50M,,12.42B,,428.00M,13.63B,,,,,,,15.97B,-2.369B,13.60B,,,,1.391B,14.99B,28.62B,,5.404B,,,5.404B,,5.404B,,,1.698B,,1.698B,,,2.104B,9.206B,7.931B,,7.931B,335.50M,335.50M,,,0.10M,8.266B,17.47B,,,10.39B,,,,,11.15B,,,Restated
1994-01,20.00M,20.00M,690.00M,690.00M,11.48B,11.01B,182.00M,,12.11B,0.00,2.741B,6.818B,4.241B,2.059B,,15.86B,-2.683B,13.18B,,,,1.151B,14.33B,26.44B,,4.104B,,183.00M,4.287B,1.473B,5.76B,1.575B,20.00M,1.595B,51.00M,1.646B,,,,7.406B,6.156B,1.804B,7.96B,322.00M,322.00M,,,,8.282B,15.69B,,230.00M,9.987B,536.00M,0.00,,0.00,10.75B,,,Restated
1993-10,22.30M,22.30M,,969.90M,,12.44B,,462.20M,13.90B,,,,,,,14.74B,-2.604B,12.14B,,,,758.90M,12.90B,26.80B,,5.993B,,,5.993B,,5.993B,,,1.284B,,1.284B,,,1.542B,8.818B,7.783B,,7.783B,247.10M,247.10M,,,,8.03B,16.85B,,,9.192B,,,,,9.948B,,,
1993-07,14.10M,14.10M,,608.50M,,10.51B,,411.00M,11.54B,,,,,,,13.77B,-2.422B,11.34B,,,,671.30M,12.02B,23.56B,,4.364B,,,4.364B,,4.364B,,,1.333B,,1.333B,,,1.556B,7.253B,6.577B,,6.577B,225.40M,225.40M,,,-0.10M,6.802B,14.06B,,,8.800B,,,,,9.504B,,,
1993-04,7.70M,7.70M,,597.20M,,10.63B,,414.70M,11.65B,,,,,,,12.79B,-2.223B,10.57B,,,,618.50M,11.19B,22.84B,,4.815B,,,4.815B,,4.815B,,,1.929B,,1.929B,,,1.162B,7.906B,5.579B,,5.579B,217.70M,217.70M,,,,5.797B,13.70B,,,8.378B,,,,,9.135B,,,
1993-01,12.40M,12.40M,,524.60M,,9.268B,,392.30M,10.20B,,,,,,,11.40B,-1.608B,9.793B,,,,574.60M,10.37B,20.57B,,3.873B,,,3.873B,,3.873B,,,1.648B,,1.648B,,,1.233B,6.754B,4.845B,,4.845B,206.60M,206.60M,,,,5.052B,11.81B,,,8.003B,,,,,8.759B,,,Restated
1992-10,39.50M,39.50M,,694.60M,,10.34B,,837.00M,11.91B,,,,,,,10.51B,-1.942B,8.565B,,,,486.80M,9.052B,20.96B,,4.745B,,,4.745B,,4.745B,,,2.313B,,2.313B,,,1.190B,8.248B,4.459B,,4.459B,202.00M,202.00M,,,-0.10M,4.661B,12.91B,,,7.313B,,,,,8.052B,,,
1992-07,38.50M,38.50M,,438.90M,,8.516B,,1.096B,10.09B,,,,,,,9.370B,-1.966B,7.404B,,,,432.80M,7.837B,17.93B,,3.895B,,,3.895B,,3.895B,,,1.733B,,1.733B,,,1.082B,6.710B,3.348B,,3.348B,192.00M,192.00M,,,-0.10M,3.540B,10.25B,,,6.936B,,,,,7.676B,,,
1992-04,24.80M,24.80M,,435.60M,,7.883B,,820.70M,9.164B,,,,,,,8.676B,-1.828B,6.848B,,,,426.50M,7.274B,16.44B,,3.588B,,,3.588B,,3.588B,,,873.90M,,873.90M,,,1.148B,5.610B,3.331B,,3.331B,181.80M,181.80M,,,,3.512B,9.123B,,,6.576B,,,,,7.316B,,,
1992-01,30.60M,30.60M,,418.90M,,7.384B,,741.60M,8.575B,,,,,,,8.141B,-1.707B,6.434B,,,,434.20M,6.868B,15.44B,,3.454B,,,3.454B,,3.454B,,,494.00M,,494.00M,,,1.056B,5.004B,3.278B,,3.278B,172.00M,172.00M,,,,3.450B,8.454B,,,6.249B,,,,,6.990B,,,
1991-10,10.20M,10.20M,,583.50M,,8.072B,,493.50M,9.159B,,,,,,,7.709B,-1.582B,6.127B,,,,432.00M,6.559B,15.72B,,4.058B,,,4.058B,,4.058B,,,1.009B,,1.009B,,,969.00M,6.036B,3.118B,,3.118B,146.10M,146.10M,,,0.10M,3.264B,9.300B,,,5.698B,,,,,6.418B,,,
1991-07,86.70M,86.70M,,372.10M,,6.430B,,464.60M,7.353B,,,,,,,7.012B,-1.484B,5.528B,,,,416.60M,5.945B,13.30B,,3.078B,,,3.078B,,3.078B,,,73.80M,,73.80M,,,809.90M,3.962B,3.087B,,3.087B,138.20M,138.20M,,,,3.225B,7.187B,,,5.391B,,,,,6.111B,,,
1991-04,304.60M,304.60M,,325.80M,,6.023B,,315.60M,6.969B,,,,,,,6.495B,-1.384B,5.111B,,,,395.10M,5.506B,12.48B,,2.797B,,,2.797B,,2.797B,,,259.30M,,259.30M,,,811.30M,3.868B,2.691B,,2.691B,130.50M,130.50M,,,-0.10M,2.822B,6.690B,,,5.094B,,,,,5.786B,,,
1991-01,13.00M,13.00M,,305.10M,,5.808B,,288.30M,6.415B,,,,,,,5.997B,-1.285B,4.712B,,,,262.10M,4.974B,11.39B,,2.651B,,,2.651B,,2.651B,,,426.00M,,426.00M,,,913.10M,3.990B,1.899B,,1.899B,134.10M,134.10M,,,,2.033B,6.023B,,,4.836B,,,,,5.366B,,,
1990-10,9.80M,9.80M,,348.80M,,6.182B,,204.00M,6.745B,,,,,,,5.513B,-1.207B,4.306B,,32.90M,32.90M,21.30M,4.360B,11.11B,,2.996B,,,2.996B,,2.996B,,,756.60M,,756.60M,,,778.30M,4.531B,1.797B,,1.797B,134.10M,134.10M,,,,1.931B,6.462B,,,4.393B,,,,,4.643B,,,
1990-07,12.60M,12.60M,,192.50M,,5.090B,,165.00M,5.460B,,,,,,,5.078B,-1.125B,3.954B,,34.40M,34.40M,20.70M,4.009B,9.469B,,2.180B,,,2.180B,,2.180B,,,311.10M,,311.10M,,,632.10M,3.123B,1.792B,,1.792B,127.40M,127.40M,,,0.10M,1.920B,5.042B,,,4.176B,,,,,4.426B,,,
1990-04,8.50M,8.50M,,180.10M,,4.778B,,137.50M,5.104B,,,,,,,4.684B,-1.045B,3.639B,,35.90M,35.90M,18.50M,3.694B,8.798B,,2.102B,,,2.102B,,2.102B,,,483.00M,,483.00M,,,626.10M,3.211B,1.287B,,1.287B,121.10M,121.10M,,,-0.20M,1.408B,4.618B,,,3.942B,,,,,4.179B,,,
1990-01,12.80M,12.80M,,234.50M,,4.428B,,37.20M,4.713B,,,,,,,4.402B,-971.70M,3.43B,,37.50M,37.50M,18.40M,3.486B,8.198B,,1.827B,,,1.827B,,1.827B,,,208.70M,,208.70M,,,810.00M,2.845B,1.273B,,1.273B,115.00M,115.00M,,,-0.10M,1.388B,4.233B,,,3.728B,,,,,3.966B,,,
1989-10,9.40M,9.40M,,393.00M,,5.115B,,27.70M,5.545B,,,,,,,4.116B,-917.90M,3.198B,,36.50M,36.50M,20.00M,3.255B,8.800B,,2.430B,,,2.430B,,2.430B,,,841.20M,,841.20M,,,645.20M,3.917B,1.211B,,1.211B,107.60M,107.60M,,,,1.319B,5.236B,,,3.334B,,,,,3.564B,,,
1989-07,9.40M,9.40M,,330.10M,,3.998B,,23.40M,4.360B,,,,,,,3.713B,-848.20M,2.865B,,38.00M,38.00M,26.00M,2.929B,7.289B,,1.764B,,,1.764B,,1.764B,,,338.30M,,338.30M,,,525.30M,2.627B,1.197B,,1.197B,102.20M,102.20M,,,-0.10M,1.300B,3.927B,,,3.132B,,,,,3.362B,,,
1989-04,7.90M,7.90M,,276.40M,,3.774B,,28.60M,4.087B,,,,,,,3.546B,-786.40M,2.760B,,39.50M,39.50M,25.80M,2.825B,6.913B,,1.799B,,,1.799B,,1.799B,,,105.30M,,105.30M,,,535.80M,2.440B,1.201B,,1.201B,96.60M,96.60M,,,0.10M,1.298B,3.738B,,,2.944B,,,,,3.174B,,,
1989-01,12.60M,12.60M,,241.30M,,3.351B,,25.70M,3.631B,,,,,,,3.392B,-729.50M,2.662B,,41.00M,41.00M,25.70M,2.729B,6.360B,,,,,,,,,,40.30M,,40.30M,,,2.026B,2.066B,1.194B,,1.194B,92.40M,92.40M,,,,1.286B,3.352B,,,2.777B,,,,,3.008B,,,
1988-01,11.30M,11.30M,,222.80M,,2.652B,,19.20M,2.905B,,,,,,,2.685B,-539.90M,2.145B,,47.00M,47.00M,34.80M,2.227B,5.132B,,,,,,,,,,122.90M,,122.90M,,,1.621B,1.744B,1.053B,,1.053B,78.10M,78.10M,,,0.10M,1.131B,2.874B,,,2.030B,,,,,2.257B,,,
1987-01,165.50M,165.50M,,90.40M,,2.031B,,66.40M,2.353B,,,,,,,2.070B,-393.90M,1.676B,,,,19.50M,1.696B,4.049B,,,,,,,,,,13.50M,,13.50M,,,1.327B,1.340B,943.40M,,943.40M,74.90M,74.90M,,,0.10M,1.018B,2.359B,,,1.470B,,,,,1.690B,,,
1986-01,9.30M,9.30M,,57.70M,,1.388B,,329.10M,1.784B,,,,,,,1.589B,-285.30M,1.304B,,,,15.80M,1.319B,3.104B,,,,,,,,,,11.30M,,11.30M,,,981.40M,992.70M,775.90M,,775.90M,52.50M,52.50M,,,4.80M,833.20M,1.826B,,,1.068B,,,,,1.278B,,,
1985-01,1.90M,1.90M,,45.60M,,1.104B,,151.90M,1.303B,,,,,,,1.082B,-211.20M,870.30M,,,,31.60M,901.90M,2.205B,,,,,,,,,,10.50M,,10.50M,,,678.50M,689.00M,491.10M,,491.10M,34.60M,34.60M,,,5.80M,531.50M,1.220B,,,780.70M,,,,,984.70M,,,
