,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,525.00M,,2.00M,,,23.00M,25.00M,,,156.00M,156.00M,-39.00M,,64.00M,,-17.00M,-607.00M,-94.00M,295.00M,39.00M,,11.00M,-356.00M,,358.00M,-116.00M,,,,-6.00M,-152.00M,32.00M,-242.00M,-2.00M,-747.00M,-749.00M,,-25.00M,-25.00M,-174.00M,-174.00M,58.00M,,-890.00M,5.022B,-774.00M,19.00M,4.267B,,,-2.00M,-25.00M,,
2020-06,-459.00M,,14.00M,19.00M,,20.00M,53.00M,,,164.00M,164.00M,-78.00M,303.00M,3.00M,,-25.00M,673.00M,38.00M,-222.00M,-149.00M,,34.00M,374.00M,,335.00M,-155.00M,,,,0.00,14.00M,,-141.00M,696.00M,-759.00M,-63.00M,,-10.00M,-10.00M,-1.00M,-1.00M,32.00M,-22.00M,-64.00M,4.876B,130.00M,16.00M,5.022B,,698.00M,-2.00M,-10.00M,,
2020-03,-4.00M,,1.00M,0.00,,21.00M,22.00M,,,160.00M,160.00M,-72.00M,346.00M,71.00M,,-5.00M,299.00M,-72.00M,-132.00M,57.00M,,20.00M,172.00M,,690.00M,-177.00M,,,,-7.00M,-23.00M,,-207.00M,-503.00M,1.506B,1.003B,,-70.00M,-70.00M,-172.00M,-172.00M,77.00M,0.00,838.00M,3.596B,1.321B,-41.00M,4.876B,,0.00,-503.00M,-70.00M,,
2019-12,561.00M,,3.00M,-553.00M,,20.00M,-530.00M,,,144.00M,144.00M,-4.00M,777.00M,83.00M,,-39.00M,140.00M,114.00M,246.00M,-72.00M,,5.00M,433.00M,,1.425B,-166.00M,,,,-1.04B,-16.00M,,-1.222B,1.78B,3.00M,1.783B,,-500.00M,-500.00M,-174.00M,-174.00M,16.00M,-22.00M,1.103B,2.259B,1.306B,31.00M,3.596B,,1.783B,-3.00M,-500.00M,,
2019-09,598.00M,,2.00M,,,21.00M,23.00M,,,143.00M,143.00M,11.00M,,56.00M,,-11.00M,-487.00M,-83.00M,-369.00M,-48.00M,,-3.00M,-990.00M,,-170.00M,-125.00M,,,,0.00,-3.00M,,-128.00M,-5.00M,5.00M,0.00,,-313.00M,-313.00M,-156.00M,-156.00M,55.00M,-2.00M,-416.00M,2.987B,-714.00M,-14.00M,2.259B,,,-5.00M,-313.00M,,
2019-06,158.00M,0.00,11.00M,,,19.00M,30.00M,,,153.00M,153.00M,-20.00M,0.00,42.00M,,-59.00M,208.00M,-191.00M,429.00M,11.00M,,,457.00M,,761.00M,-303.00M,,,,0.00,0.00,,-301.00M,0.00,-4.00M,-4.00M,,-211.00M,-211.00M,-156.00M,-156.00M,38.00M,-26.00M,-359.00M,2.902B,101.00M,-16.00M,2.987B,,0.00,0.00,-211.00M,,
2019-03,557.00M,-71.00M,1.00M,,,18.00M,-52.00M,,,135.00M,135.00M,0.00,52.00M,70.00M,,-24.00M,-34.00M,-163.00M,-38.00M,-20.00M,,,-255.00M,,483.00M,-149.00M,,,,0.00,958.00M,,809.00M,-1.00M,2.00M,1.00M,,-218.00M,-218.00M,-156.00M,-156.00M,95.00M,0.00,-278.00M,1.876B,1.014B,12.00M,2.902B,,0.00,-1.00M,-218.00M,,
2018-12,577.00M,,2.00M,,,17.00M,19.00M,,,137.00M,137.00M,-37.00M,38.00M,73.00M,,-13.00M,203.00M,15.00M,415.00M,-35.00M,,,598.00M,,1.392B,-164.00M,,,,,98.00M,,-66.00M,,-166.00M,-166.00M,,-596.00M,-596.00M,-156.00M,-156.00M,26.00M,-2.00M,-894.00M,1.443B,432.00M,1.00M,1.876B,,,,-596.00M,,
2018-09,502.00M,,3.00M,,,18.00M,21.00M,,,132.00M,132.00M,-9.00M,,58.00M,,-21.00M,-546.00M,-36.00M,-202.00M,-18.00M,,,-802.00M,,-119.00M,-128.00M,,,,,159.00M,,31.00M,0.00,-3.00M,-3.00M,,-530.00M,-530.00M,-141.00M,-141.00M,33.00M,-1.00M,-642.00M,2.181B,-730.00M,-8.00M,1.443B,,,0.00,-530.00M,,
2018-06,188.00M,0.00,3.00M,,,19.00M,22.00M,,,142.00M,142.00M,91.00M,0.00,40.00M,,-66.00M,220.00M,-147.00M,141.00M,11.00M,,,225.00M,,642.00M,-261.00M,,,,,47.00M,,-214.00M,-1.00M,-114.00M,-115.00M,,-83.00M,-83.00M,-139.00M,-139.00M,25.00M,-38.00M,-350.00M,2.14B,78.00M,-37.00M,2.181B,,,-1.00M,-83.00M,,
2018-03,374.00M,0.00,5.00M,,,19.00M,24.00M,,,133.00M,133.00M,-22.00M,0.00,64.00M,,-64.00M,-44.00M,-66.00M,93.00M,-11.00M,,,-28.00M,,481.00M,-105.00M,,,,,94.00M,,-11.00M,0.00,-116.00M,-116.00M,,-278.00M,-278.00M,-140.00M,-140.00M,74.00M,0.00,-460.00M,2.105B,10.00M,25.00M,2.14B,,,0.00,-278.00M,,
