,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,155.28M,,-184.90M,-0.258M,-171.36M,242.73M,3.103M,245.84M,245.84M,,9.317M,,7.38M,-6.62M,-53.83M,-17.68M,,,-71.51M,255.17M,,-61.66M,,,-620.50M,9.871M,-14.03M,18.18M,,-139.77M,,-139.77M,0.00,0.00,0.00,,,,864.12M,-255.12M,-19.78M,-414.66M,,2.155B,-141.31M,7.017M,2.021B,,0.00,17.13M,-156.90M,0.00,13.67M,146.32M,,AOR,
2020-09,394.98M,,-482.91M,5.981M,-443.92M,255.53M,2.301M,257.83M,257.83M,,23.31M,,6.565M,92.83M,-55.62M,18.10M,,,-37.53M,297.97M,,-61.22M,,,-77.86M,1.55M,-195.22M,1.188B,,-2.347B,1.588B,-759.00M,0.00,0.00,0.00,,,,-253.27M,-253.27M,-149.62M,-1.162B,,1.826B,323.65M,5.444M,2.155B,,0.00,0.00,-2.347B,0.00,,134.50M,,AOR,
2020-06,159.22M,,-154.43M,-1.332M,-155.51M,265.37M,3.284M,268.66M,268.66M,,75.15M,,7.29M,-23.84M,11.59M,52.38M,,,63.97M,399.76M,,-52.72M,,,-88.61M,-13.04M,-6.346M,992.43M,,1.275B,-844.98M,429.79M,4.312M,-7.656M,-3.344M,,,,-256.17M,-256.17M,-130.29M,39.99M,,393.07M,1.432B,1.00M,1.826B,,4.312M,1.589B,428.84M,-7.656M,-0.471M,87.42M,,AOR,
2020-03,329.38M,,-255.17M,3.692M,-251.48M,274.80M,2.655M,277.46M,277.46M,,27.83M,,7.083M,-2.119M,43.28M,-30.03M,,,13.25M,411.86M,,-69.38M,,,-527.93M,-3.969M,-0.396M,149.75M,,13.36M,-742.61M,-729.26M,591.00M,,591.00M,,,,-354.68M,-354.68M,-51.36M,-544.30M,,385.77M,17.31M,-10.01M,393.07M,,591.00M,44.92M,-774.18M,,0.471M,140.22M,,AOR,
2019-12,240.14M,,-17.13M,-57.42M,-71.94M,262.64M,3.012M,265.66M,265.66M,,0.098M,,4.546M,-27.35M,-55.16M,-29.91M,,,-85.08M,326.07M,,-122.41M,,,-1.040B,33.58M,41.74M,-990.47M,,720.62M,,720.62M,370.02M,0.00,370.02M,,,,,-352.74M,-28.22M,709.68M,,330.74M,45.28M,9.746M,385.77M,,370.02M,998.90M,-278.27M,0.00,9.554M,158.01M,,AOR,Restated
2019-09,647.93M,,-569.01M,-3.262M,-506.44M,272.44M,3.38M,275.82M,275.82M,,18.10M,,5.309M,-25.75M,-4.938M,-54.57M,,,-59.51M,355.42M,,-82.24M,,,-361.45M,-11.74M,23.03M,1.473B,,-685.73M,-722.19M,-1.408B,38.95M,0.00,38.95M,,,,695.10M,-352.87M,-131.50M,-1.853B,,359.72M,-24.88M,-4.103M,330.74M,,38.95M,1.427B,-2.113B,0.00,2.744M,163.81M,,AOR,Restated
2019-06,150.04M,,3.595M,9.049M,12.64M,248.05M,3.767M,251.82M,251.82M,,9.939M,,7.663M,-26.28M,21.93M,82.78M,,,104.71M,510.59M,,-67.24M,,,-2.573B,-30.79M,-18.52M,-2.729B,,998.22M,1.450B,2.448B,113.61M,0.00,113.61M,,,,-352.30M,-352.30M,-36.42M,2.173B,,407.44M,-45.04M,-2.685M,359.72M,,113.61M,1.049B,677.12M,0.00,2.04M,104.23M,,AOR,Restated
2019-03,292.30M,,-169.90M,9.199M,-144.98M,243.93M,5.992M,249.92M,249.92M,,0.00,,7.529M,-26.96M,-25.25M,-27.37M,,,-52.62M,343.90M,,-56.94M,,,-264.46M,-7.829M,-38.24M,197.27M,,106.01M,-727.71M,-621.69M,533.54M,,533.54M,,,,-342.80M,-342.80M,-21.25M,-452.20M,,316.13M,88.96M,2.352M,407.44M,,533.54M,1.284B,-1.906B,,,148.49M,,AOR,Restated
2018-12,124.70M,,-40.29M,-0.195M,-40.43M,242.83M,5.514M,248.35M,248.35M,,76.02M,,4.846M,-25.03M,17.05M,-32.71M,,,-15.66M,372.80M,,-92.55M,,,-463.98M,4.998M,9.431M,-253.18M,,303.14M,-593.00M,-289.86M,547.16M,,547.16M,,,,,-342.59M,4.089M,-81.19M,,281.28M,38.43M,-3.583M,316.13M,,547.16M,427.12M,-123.97M,,-0.945M,188.95M,,AOR,Restated
2018-09,84.23M,,-15.73M,-0.344M,-12.04M,243.15M,4.747M,247.90M,247.90M,,6.74M,,6.075M,-21.37M,4.443M,56.76M,,,61.20M,372.72M,,-62.30M,,,-2.605B,91.76M,39.32M,-2.264B,,1.267B,772.00M,2.039B,232.22M,,232.22M,,,,,-335.42M,-35.87M,1.900B,,272.38M,9.029M,-0.127M,281.28M,,232.22M,2.281B,-1.014B,,-1.64M,103.30M,,AOR,Restated
2018-06,167.27M,,-18.22M,-1.249M,-19.16M,236.28M,4.458M,240.73M,240.73M,,4.632M,,5.168M,34.95M,-21.26M,57.42M,,,36.17M,469.78M,,-64.78M,,,-208.39M,-18.29M,-20.05M,-290.83M,,542.05M,-325.00M,217.05M,2.974M,,2.974M,,,,,-335.35M,-49.62M,-164.94M,,264.12M,14.01M,-5.749M,272.38M,,2.974M,569.35M,-27.30M,,4.835M,104.91M,,AOR,Restated
2018-03,453.56M,,-345.36M,2.429M,-331.22M,228.20M,4.889M,233.09M,233.09M,,28.18M,,11.56M,-21.41M,5.591M,-10.71M,,,-5.116M,368.64M,,-46.55M,,,-419.98M,-57.60M,63.18M,421.08M,,-627.33M,146.00M,-481.33M,7.214M,,7.214M,,,,,-335.51M,-25.73M,-835.35M,,309.30M,-45.63M,0.444M,264.12M,,7.214M,20.33M,-647.66M,,,104.25M,,AOR,Restated
2017-12,-89.74M,,-56.38M,59.45M,3.439M,238.46M,4.603M,243.06M,243.06M,,99.82M,,2.643M,-15.53M,109.96M,-144.90M,,,-34.94M,271.71M,,-91.13M,,,-271.82M,-98.02M,101.55M,-245.84M,,-42.15M,299.00M,256.85M,91.00M,,91.00M,,0.00,0.00,,-333.00M,-29.26M,-14.42M,,295.31M,11.46M,2.536M,309.30M,,91.00M,51.31M,131.53M,0.00,4.804M,175.37M,,AOR,Restated
2017-09,89.30M,,-1.298M,-3.408M,-4.706M,230.14M,4.438M,234.58M,234.58M,,0.00,,6.79M,-23.54M,-82.67M,101.71M,,,19.04M,318.36M,,-66.00M,,,-345.05M,34.53M,26.43M,-356.22M,,0.41M,35.00M,35.41M,106.54M,,106.54M,,0.00,0.00,,-332.27M,23.18M,-167.13M,,487.64M,-205.00M,12.67M,295.31M,,106.54M,36.16M,-0.75M,0.00,1.246M,102.71M,,AOR,Restated
2017-06,203.44M,,-41.42M,3.978M,-31.93M,224.85M,4.468M,229.32M,229.32M,,13.63M,,4.763M,-23.18M,9.264M,50.53M,,,59.79M,458.58M,,-51.03M,,,-187.32M,15.59M,2.366M,-163.53M,,-48.43M,-137.00M,-185.43M,304.80M,,304.80M,,0.00,0.00,,-330.56M,-28.16M,-239.35M,,423.14M,55.70M,8.806M,487.64M,,304.80M,149.26M,-334.69M,0.00,1.011M,100.75M,,AOR,Restated
2017-03,337.61M,,-242.87M,23.11M,-188.41M,228.28M,3.369M,231.64M,231.64M,,11.03M,,4.906M,-18.14M,-13.07M,19.48M,,,6.407M,385.53M,,-42.12M,,,-115.43M,56.53M,-16.58M,920.17M,,-809.90M,-123.00M,-932.90M,119.65M,,119.65M,,-287.50M,-287.50M,,-329.79M,-62.08M,-1.493B,,607.22M,-186.93M,2.843M,423.14M,,119.65M,12.54M,-945.44M,-287.50M,3.349M,109.44M,,AOR,Restated
2016-12,351.11M,,-200.10M,2.829M,-180.06M,227.92M,3.363M,231.28M,231.28M,,13.19M,,8.251M,-27.87M,17.52M,-65.32M,,,-47.80M,358.90M,,-77.95M,,,-756.92M,144.66M,21.29M,1.108B,,-291.25M,-705.00M,-996.25M,14.13M,,14.13M,,0.00,0.00,,-328.49M,-28.57M,-1.339B,,428.62M,127.40M,-10.58M,607.22M,,14.13M,266.47M,-747.72M,0.00,0.941M,181.12M,,AOR,Restated
2016-09,354.74M,,-164.87M,1.75M,-163.12M,218.06M,2.308M,220.37M,220.37M,,9.705M,,5.401M,-6.157M,-32.55M,36.00M,,,3.45M,424.51M,,-53.67M,,,-1.163B,-71.73M,-22.25M,-929.70M,,-159.30M,605.00M,445.70M,361.04M,,361.04M,,0.00,0.00,,-324.57M,-13.71M,468.46M,,466.58M,-36.73M,-1.238M,428.62M,,361.04M,31.55M,-100.85M,0.00,3.181M,123.56M,,AOR,Restated
2016-06,210.75M,,-1.53M,1.958M,0.461M,226.57M,2.125M,228.69M,228.69M,,0.00,,7.031M,-24.39M,-4.825M,57.15M,,,52.32M,475.05M,,-52.50M,,,-142.83M,70.95M,54.50M,-119.47M,,-58.85M,100.00M,41.15M,65.60M,,65.60M,,0.00,0.00,,-323.74M,-19.17M,-236.17M,,355.95M,119.41M,-8.775M,466.58M,,65.60M,91.86M,-50.71M,0.00,1.458M,101.99M,,AOR,Restated
2016-03,165.47M,,,3.82M,3.796M,228.70M,1.348M,230.04M,230.04M,,14.31M,,8.186M,-29.67M,1.816M,-13.53M,,,-11.71M,380.61M,,-35.02M,,,-184.27M,-30.77M,66.13M,-241.96M,,233.35M,-190.00M,43.35M,93.43M,,93.43M,,0.00,0.00,,-322.12M,41.41M,-143.93M,,360.91M,-5.282M,0.323M,355.95M,,93.43M,763.70M,-720.34M,0.00,2.431M,134.87M,,AOR,Restated
2015-12,149.42M,,-31.38M,3.273M,-28.31M,222.81M,2.279M,225.09M,225.09M,,0.00,,5.189M,2.962M,43.45M,-51.73M,,,-8.274M,346.28M,,-65.11M,,,-884.77M,-9.938M,-102.53M,-996.43M,,585.88M,345.00M,930.88M,113.74M,,113.74M,,,,,-308.52M,-28.73M,707.37M,,292.04M,57.22M,-6.264M,422.69M,,113.74M,714.10M,-128.22M,,0.725M,158.26M,,AOR,Restated
2015-09,199.25M,,-2.046M,2.631M,1.169M,205.80M,3.402M,209.20M,209.20M,,0.00,,5.477M,-29.69M,-0.927M,32.34M,,,31.42M,416.98M,,-55.55M,,,-357.62M,12.36M,2.462M,-283.20M,,-116.69M,140.00M,23.31M,79.63M,,79.63M,,,,,-307.00M,149.29M,-54.77M,,217.94M,79.01M,-4.906M,292.04M,,79.63M,85.81M,-202.50M,,1.349M,125.63M,,AOR,Restated
2015-06,330.46M,,-190.11M,2.952M,-168.27M,208.80M,1.895M,210.70M,210.70M,,0.00,,11.12M,-29.80M,-19.06M,57.91M,,,38.85M,393.16M,,-37.26M,,,-686.06M,-8.405M,3.03M,-412.67M,,358.70M,-60.00M,298.70M,72.80M,,72.80M,,,,,-305.70M,-33.91M,31.89M,,202.27M,12.38M,3.285M,217.94M,,72.80M,797.48M,-438.79M,,7.198M,74.15M,,AOR,Restated
2015-03,209.42M,,-115.27M,12.65M,-87.22M,188.83M,1.433M,190.26M,190.26M,,2.22M,,9.054M,-27.24M,-22.99M,-47.49M,,,-70.48M,226.18M,,-29.83M,,,-1.585B,-29.65M,-369.85M,-1.810B,,-279.99M,410.00M,130.01M,1.490B,,1.490B,,,,,-288.92M,-17.82M,1.313B,,473.73M,-270.76M,-0.69M,202.27M,,1.490B,82.72M,-362.71M,,2.942M,134.74M,,AOR,Restated
2014-12,206.48M,,-112.73M,7.721M,-98.53M,195.39M,1.581M,196.97M,196.97M,,0.00,,5.967M,-23.54M,26.10M,-29.12M,,,-3.027M,284.50M,,-46.46M,,,-1.326B,-50.56M,-24.44M,-1.019B,,412.12M,0.00,412.12M,82.96M,,82.96M,,,,,-277.09M,-7.31M,210.68M,,998.68M,-524.13M,-0.825M,473.73M,,82.96M,785.40M,-373.27M,,1.876M,138.43M,,AOR,Restated
2014-09,152.77M,,-29.56M,2.632M,-24.23M,200.97M,2.699M,203.67M,203.67M,,0.00,,4.271M,-24.60M,-30.28M,-24.69M,,,-54.97M,258.64M,,-31.64M,,,-503.25M,8.656M,-52.09M,-308.47M,,-26.36M,0.00,-26.36M,1.159B,,1.159B,,,,,-262.72M,-29.88M,839.97M,,207.35M,790.13M,1.194M,998.68M,,1.159B,87.41M,-113.77M,,4.717M,141.19M,,AOR,Restated
2014-06,87.85M,,-12.73M,11.52M,-0.68M,214.45M,1.492M,215.94M,215.94M,,0.00,,14.17M,-11.09M,-2.88M,30.96M,,,28.08M,336.87M,,-27.28M,,,-464.99M,-49.64M,-12.22M,-447.03M,,-90.44M,-562.00M,-652.44M,1.038B,,1.038B,,,,,-248.10M,-4.747M,132.92M,,185.93M,22.77M,-1.34M,207.35M,,1.038B,0.00,-220.44M,,1.891M,98.24M,,AOR,Restated
2014-03,65.20M,,,5.556M,5.408M,233.32M,1.938M,235.26M,235.26M,,0.00,,7.667M,-15.32M,-18.58M,-25.53M,,,-44.11M,258.66M,,-27.41M,,,-269.87M,1.787M,-14.04M,-351.39M,,-118.85M,432.00M,313.15M,63.76M,,63.76M,,,,,-247.15M,-10.15M,119.60M,,158.78M,26.87M,0.281M,185.93M,,63.76M,10.69M,-129.54M,,10.06M,126.30M,,AOR,Restated
2013-12,25.69M,,8.069M,4.658M,16.19M,243.38M,1.582M,244.96M,244.96M,,,,3.527M,-14.84M,18.15M,57.91M,,,76.06M,362.59M,,-53.31M,,,-222.71M,-66.76M,-11.23M,-329.04M,,863.66M,-704.05M,159.61M,62.08M,,62.08M,,,,,-237.48M,-9.857M,-25.64M,,164.84M,7.909M,-13.97M,158.78M,,62.08M,1.262B,-398.74M,,6.964M,104.37M,,AOR,Restated
2013-09,33.61M,,0.165M,0.331M,-3.572M,242.98M,0.187M,243.17M,243.17M,,,,3.956M,-12.76M,-29.36M,-15.86M,,,-45.23M,219.17M,,-34.04M,,,-681.53M,38.87M,156.83M,-499.98M,,-705.63M,834.05M,128.42M,62.32M,,62.32M,,,,,-235.78M,-35.52M,-80.56M,,512.47M,-361.37M,13.74M,164.84M,,62.32M,13.80M,-719.43M,,2.521M,145.76M,,AOR,Restated
2013-06,7.181M,,27.28M,5.46M,32.74M,200.48M,2.422M,202.90M,202.90M,,,,2.186M,-15.92M,-29.38M,7.231M,,,-22.15M,206.93M,,-24.35M,,,-647.51M,10.03M,-22.93M,-733.87M,,16.71M,-710.00M,-693.29M,1.685B,,1.685B,,,,,-216.87M,-5.248M,769.45M,,269.84M,242.51M,0.116M,512.47M,,1.685B,71.34M,-54.63M,,1.705M,97.78M,,AOR,Restated
2013-03,71.80M,,-80.18M,-2.262M,-82.75M,187.12M,4.366M,191.49M,191.49M,,,,10.51M,-2.538M,-6.972M,18.28M,,,11.30M,199.81M,,-24.13M,,,-2.146B,-4.582M,-56.88M,-1.969B,,478.93M,710.00M,1.189B,45.38M,,45.38M,,,,,-216.15M,-13.74M,1.004B,,1.034B,-764.48M,0.557M,269.84M,,45.38M,497.86M,-18.93M,,0.92M,99.20M,,AOR,Restated
2012-12,107.00M,,-54.62M,-0.232M,-56.41M,140.34M,2.881M,143.22M,143.22M,,22.34M,,2.292M,-0.293M,1.033M,21.80M,,,22.83M,254.66M,,,,,-803.46M,0.89M,-576.71M,-1.495B,,1.061B,0.00,1.061B,45.06M,,45.06M,0.00,0.00,0.00,,-208.99M,-5.138M,892.21M,,1.382B,-348.49M,0.00,1.034B,,45.06M,1.195B,476.19M,0.00,0.059M,94.26M,,AOR,Restated
2012-09,53.51M,,-12.42M,0.739M,-11.46M,132.86M,4.155M,137.01M,137.01M,,6.952M,,2.595M,-11.28M,8.238M,0.062M,,,8.30M,212.43M,,,,,-961.71M,8.823M,-72.61M,-869.77M,,-9.881M,-393.00M,-402.88M,2.416B,,2.416B,-0.001M,0.00,-0.001M,,-176.03M,-2.354M,1.835B,,204.90M,1.177B,0.00,1.382B,,2.416B,255.32M,-658.20M,0.00,0.283M,94.79M,,AOR,Restated
2012-06,76.87M,,-35.13M,-1.457M,-36.01M,132.96M,3.582M,136.54M,136.54M,,,,2.311M,-10.67M,-14.68M,22.51M,,,7.828M,176.99M,,,,,-815.62M,-0.074M,3.722M,-690.00M,,285.61M,388.00M,673.61M,32.49M,,32.49M,-0.213M,-275.00M,-275.21M,,-175.30M,-6.891M,248.69M,,469.22M,-264.32M,0.00,204.90M,,32.28M,621.71M,51.89M,-275.00M,0.133M,84.03M,,AOR,Restated
2012-03,57.46M,,-0.214M,-1.532M,-1.746M,127.42M,4.732M,132.15M,132.15M,,,,11.32M,-10.12M,-12.87M,-6.156M,,,-19.03M,174.04M,,,,,-570.20M,22.44M,-20.24M,-537.84M,,69.39M,-605.00M,-535.61M,1.088B,,1.088B,277.90M,,277.90M,,-162.13M,1.59M,669.53M,,163.48M,305.74M,0.00,469.22M,,1.366B,111.00M,-646.61M,,2.596M,96.43M,,AOR,Restated
