,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.545B,,1.545B,973.10M,443.37M,1.416B,476.00M,3.438B,0.00,,,,,465.87M,465.87M,,465.87M,68.32M,1.500B,1.568B,946.23M,,,,29.05B,32.48B,,101.59M,99.92M,201.51M,153.67M,355.18M,0.00,0.00,0.00,115.41M,115.41M,470.59M,13.80B,418.27M,14.22B,908.85M,343.49M,571.00M,15.13B,15.60B,,418.69M,-5.016B,20.82B,104.49M,,-148.50M,15.97B,,AOR,
2020-09,1.604B,,1.604B,1.147B,414.71M,1.562B,551.59M,3.717B,0.00,,,,,480.86M,480.86M,,480.86M,68.32M,1.509B,1.577B,822.59M,,,,28.82B,32.54B,,,,,1.041B,1.041B,0.00,0.00,0.00,,,1.041B,13.78B,427.84M,14.21B,853.23M,330.05M,,14.54B,15.58B,,418.36M,-4.925B,20.84B,94.02M,,-126.47M,16.11B,,AOR,
2020-06,1.679B,,1.679B,1.326B,224.87M,1.551B,147.47M,3.377B,,,,502.60M,,,502.60M,,502.60M,68.32M,387.46M,455.78M,786.92M,,,,29.79B,33.16B,,,,,1.016B,1.016B,0.00,0.00,0.00,,,1.016B,14.44B,447.42M,14.88B,888.39M,327.14M,,15.21B,16.23B,,418.34M,-4.996B,20.84B,93.80M,,-116.86M,16.05B,,AOR,
2020-03,303.42M,,303.42M,1.384B,221.23M,1.605B,89.64M,1.998B,,,,523.22M,,,523.22M,,523.22M,68.32M,1.630B,1.698B,702.50M,,,,30.92B,32.92B,,,,,997.60M,997.60M,844.98M,844.98M,844.98M,,,1.843B,13.12B,464.66M,13.58B,933.55M,429.36M,,14.01B,15.86B,,418.23M,-4.920B,20.82B,86.98M,,-96.21M,16.13B,,AOR,
2019-12,284.92M,,284.92M,1.224B,270.38M,1.494B,100.85M,1.880B,0.00,,,,,536.43M,536.43M,,536.43M,68.32M,1.617B,1.685B,583.42M,,,,31.50B,33.38B,,58.65M,97.09M,155.74M,176.41M,332.15M,1.588B,1.588B,1.588B,183.01M,183.01M,2.103B,13.33B,473.69M,13.80B,966.18M,475.88M,494.32M,14.77B,16.87B,,411.00M,-4.870B,20.19B,78.96M,,-112.16M,15.54B,,AOR,Restated
2019-09,265.79M,,265.79M,1.203B,361.53M,1.564B,64.95M,1.895B,,,,536.69M,,,536.69M,,536.69M,68.32M,1.605B,1.673B,556.85M,,,,29.97B,31.86B,,,,,1.026B,1.026B,1.335B,1.335B,1.335B,,,2.360B,12.35B,454.54M,12.81B,959.66M,470.34M,,13.28B,15.64B,,406.50M,-4.741B,19.80B,78.84M,,-117.68M,15.27B,,AOR,Restated
2019-06,268.67M,,268.67M,1.136B,368.99M,1.505B,91.05M,1.865B,,,,550.34M,,,550.34M,,550.34M,68.32M,1.589B,1.657B,519.39M,,,,31.28B,33.15B,,,,,1.076B,1.076B,1.869B,1.869B,1.869B,,,2.945B,13.28B,469.03M,13.75B,975.12M,483.23M,,14.23B,17.18B,,406.01M,-4.977B,19.74B,74.04M,,-100.62M,14.99B,,AOR,Restated
2019-03,249.13M,,249.13M,1.084B,351.08M,1.435B,158.31M,1.843B,,,,502.43M,,,502.43M,,502.43M,68.32M,1.539B,1.608B,484.26M,,,,28.79B,30.64B,,,,,1.001B,1.001B,419.29M,419.29M,419.29M,,,1.420B,12.29B,426.64M,12.72B,969.34M,450.54M,,13.17B,14.59B,,404.51M,-4.761B,19.65B,74.49M,,-144.62M,15.08B,,AOR,Restated
2018-12,215.38M,,215.38M,1.054B,330.34M,1.384B,100.75M,1.700B,,,,,,,0.00,,0.00,68.32M,1.581B,1.649B,482.91M,,,,28.64B,30.34B,,,,,1.034B,1.034B,1.147B,1.147B,1.147B,,,2.181B,12.08B,70.67M,12.15B,954.26M,424.05M,,12.57B,14.76B,,1.103B,-4.697B,18.42B,68.50M,718.50M,-129.77M,14.63B,,AOR,Restated
2018-09,191.20M,,191.20M,1.038B,340.82M,1.379B,90.09M,1.660B,,,,,,,,,,68.32M,1.563B,1.631B,423.19M,,,,28.59B,30.25B,,,,,1.075B,1.075B,1.312B,1.312B,1.312B,,,2.387B,12.12B,71.38M,12.19B,961.52M,400.86M,,12.59B,14.98B,,1.095B,-4.470B,17.89B,68.75M,718.50M,-138.49M,14.31B,,AOR,Restated
