,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,0.17M,,0.17M,136.74M,1.037M,293.55M,,,,14.93M,,11.58M,,2.322M,322.55M,,,,143.05M,7.185B,-3.115B,4.069B,,,,27.27M,0.079M,4.097B,4.419B,20.79M,13.50M,41.76M,76.06M,86.40M,162.45M,,188.00M,188.00M,4.027M,192.03M,,,,11.63M,385.93M,83.67M,973.71M,30.59M,1.004B,748.49M,776.98M,,33.75M,4.095M,12.09M,1.915B,2.301B,47.75M,2.093B,1.800B,1.823B,,,,0.929M,2.118B
2020-06,117.16M,,117.16M,117.97M,0.993M,273.26M,,,,17.95M,,11.58M,,3.347M,463.93M,,,,142.06M,7.055B,-3.018B,4.037B,,,,26.44M,0.052M,4.064B,4.528B,28.37M,10.08M,31.61M,70.06M,116.20M,186.27M,,175.00M,175.00M,3.665M,178.66M,,,,,381.39M,79.35M,1.045B,31.18M,1.077B,754.11M,781.16M,,33.51M,,9.806M,1.981B,2.362B,47.75M,2.148B,1.793B,1.823B,,,,1.073M,2.166B
2020-03,202.84M,,202.84M,135.86M,0.881M,292.25M,,,,18.25M,,11.60M,,0.77M,541.79M,,,,141.35M,6.889B,-2.933B,3.956B,,,,24.21M,0.054M,3.980B,4.522B,25.52M,23.82M,34.05M,83.39M,112.16M,195.56M,,175.00M,175.00M,3.443M,178.44M,,,,,387.18M,77.03M,1.045B,32.08M,1.077B,746.11M,770.41M,,33.13M,,8.691M,1.967B,2.354B,47.75M,2.157B,1.785B,1.823B,,,,1.224M,2.168B
2019-12,200.23M,,200.23M,209.20M,1.007M,338.82M,,,,13.93M,,13.56M,,1.684M,568.25M,,,,140.62M,6.783B,-2.891B,3.892B,0.00,,,27.32M,0.056M,3.919B,4.487B,21.66M,20.82M,55.25M,97.74M,117.44M,215.18M,,87.00M,87.00M,3.124M,90.12M,,,,,328.03M,71.60M,1.133B,32.68M,1.166B,702.10M,729.12M,,32.71M,,8.595M,2.008B,2.336B,47.69M,2.143B,1.782B,1.823B,,,,1.36M,2.151B
2019-09,82.32M,,82.32M,159.17M,0.863M,292.27M,,,,18.20M,,,,3.201M,421.68M,,,,139.62M,6.643B,-2.818B,3.825B,169.09M,,,26.53M,0.074M,4.021B,4.443B,29.16M,16.76M,35.03M,80.95M,103.64M,184.59M,0.50M,87.00M,87.00M,4.28M,91.28M,,,,,294.78M,56.97M,1.133B,33.33M,1.166B,647.47M,673.26M,,29.43M,,8.529M,1.934B,2.229B,47.69M,2.037B,1.776B,1.651B,,,,4.027M,2.214B
2019-06,241.39M,,241.39M,183.70M,0.796M,305.24M,,,,19.38M,,,,4.126M,631.33M,,,,138.22M,6.455B,-2.716B,3.739B,166.14M,,,26.93M,0.063M,3.932B,4.564B,35.18M,12.36M,45.34M,92.88M,116.50M,209.37M,1.00M,,,5.782M,5.782M,,,,,234.03M,54.36M,1.220B,33.80M,1.253B,611.16M,639.51M,,28.87M,,8.809M,1.985B,2.219B,47.69M,1.984B,1.769B,1.460B,,,,4.164M,2.345B
2019-03,314.89M,,314.89M,220.61M,0.996M,332.04M,,,,18.28M,,,,0.744M,680.19M,,,,136.48M,6.243B,-2.626B,3.617B,163.96M,,,20.54M,0.06M,3.801B,4.482B,25.70M,31.12M,50.24M,107.06M,109.26M,216.32M,1.00M,,,7.517M,7.517M,,,,1.305M,240.32M,53.70M,1.219B,34.50M,1.254B,546.56M,576.32M,,28.42M,,8.014M,1.920B,2.161B,47.68M,1.841B,1.763B,1.335B,,,,4.30M,2.321B
2018-12,2.287M,,2.287M,362.97M,0.668M,471.65M,,,,11.08M,,0.00,,1.863M,544.54M,,,,94.80M,6.006B,-2.543B,3.464B,163.18M,8.165M,,19.27M,0.061M,3.654B,4.199B,30.03M,22.43M,97.20M,149.66M,115.84M,265.50M,,,,0.00,0.00,,,,,287.26M,50.62M,1.226B,0.00,1.226B,458.60M,484.38M,,27.91M,,34.39M,1.823B,2.111B,47.61M,1.608B,1.763B,1.335B,,,,4.437M,2.088B
2018-09,316.08M,,316.08M,221.52M,0.852M,288.62M,,,,12.48M,,,,2.692M,619.86M,,,,,5.778B,-2.411B,3.366B,157.93M,5.321M,1.248M,22.10M,6.341M,3.559B,4.179B,34.87M,13.50M,135.88M,184.25M,89.96M,274.21M,1.00M,67.00M,67.00M,,67.00M,0.00,0.00,,10.92M,366.10M,48.20M,1.219B,,1.219B,358.71M,386.54M,,30.77M,,34.05M,1.719B,2.085B,47.61M,1.363B,1.756B,1.075B,,,,2.112M,2.094B
2018-06,740.99M,,740.99M,175.38M,4.896M,222.06M,,,,20.47M,,,,3.892M,987.41M,,,,,5.521B,-2.296B,3.225B,147.98M,3.047M,3.412M,22.33M,7.03M,3.409B,4.397B,33.90M,10.99M,122.77M,167.66M,92.39M,260.04M,1.00M,304.00M,304.00M,,304.00M,5.00M,5.00M,,9.589M,590.74M,46.53M,1.219B,,1.219B,293.93M,321.78M,,30.35M,,32.70M,1.652B,2.243B,47.61M,1.267B,1.749B,912.05M,,,,2.248M,2.154B
