,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,-14.96M,,42.25M,0.00,42.22M,,99.65M,-5.576M,,,,10.74M,,14.84M,-20.29M,3.019M,-2.259M,1.026M,,0.654M,-17.85M,129.06M,-147.24M,-0.275M,-0.275M,0.00,,0.335M,-147.18M,-59.00M,-59.00M,,0.00,0.00,-39.86M,-39.86M,-0.018M,-98.88M,128.74M,-116.99M,11.75M,,123.00M,-182.00M,0.00
2020-06,30.37M,,-43.97M,0.00,-43.73M,,94.62M,8.045M,,,,7.698M,,22.18M,18.99M,-0.135M,0.142M,-2.579M,,0.829M,17.24M,136.44M,-182.48M,0.227M,0.227M,0.00,,,-182.25M,,,,,,-39.86M,-39.86M,-0.019M,-39.88M,214.44M,-85.70M,128.74M,,,,
2020-03,53.91M,,-16.06M,0.059M,-16.07M,,100.14M,44.04M,,,,15.76M,,0.75M,46.57M,-4.317M,-36.69M,0.916M,,-0.111M,6.367M,204.90M,-148.70M,0.048M,0.048M,-9.459M,,,-158.11M,0.00,0.00,,0.00,0.00,-39.82M,-39.82M,-6.313M,-46.13M,213.78M,0.654M,214.44M,,0.00,0.00,0.00
2019-12,146.94M,,2.158M,-69.30M,-67.15M,,106.44M,55.42M,,,,6.289M,,26.49M,-46.55M,4.263M,25.90M,1.518M,,0.312M,-14.56M,262.98M,-167.67M,2.60M,2.60M,249.10M,,-2.401M,81.70M,0.00,0.00,,-172.42M,-172.42M,-40.79M,-40.79M,-0.004M,-213.21M,82.32M,131.47M,213.78M,,0.00,0.00,-172.42M
2019-09,90.36M,,-11.06M,-3.86M,-14.96M,,110.89M,36.35M,,,,1.662M,,47.31M,12.97M,1.186M,-20.16M,0.925M,,0.478M,-4.598M,270.87M,-199.20M,-2.346M,-2.346M,-3.846M,,2.401M,-202.09M,0.00,0.00,,-190.81M,-190.81M,-37.02M,-37.02M,-0.03M,-227.86M,241.39M,-159.08M,82.32M,,0.00,0.00,-190.81M
2019-06,181.01M,,-63.65M,-3.65M,-67.30M,,96.15M,64.64M,,,,6.571M,,16.79M,24.99M,-1.104M,4.738M,-3.382M,,-0.477M,24.77M,326.65M,-225.85M,0.00,0.00,-3.303M,,,-228.40M,0.00,0.00,,-125.26M,-125.26M,-38.09M,-38.09M,-8.398M,-171.75M,314.89M,-73.50M,241.39M,,0.00,0.00,-125.26M
2019-03,262.76M,,-8.257M,-3.684M,-10.44M,,92.26M,88.00M,,,,14.49M,,54.07M,148.46M,-7.201M,-40.82M,1.119M,,-22.13M,79.42M,585.29M,-195.65M,2.346M,2.346M,-1.828M,,,-195.13M,-7.00M,-7.00M,,-31.38M,-31.38M,-29.60M,-29.60M,-9.57M,-77.55M,2.287M,312.60M,314.89M,,95.00M,-102.00M,-31.38M
2018-12,275.04M,,-46.06M,-2.146M,-46.73M,,129.27M,97.80M,,,,14.97M,,21.15M,-184.74M,1.399M,9.273M,0.83M,,-3.511M,-176.75M,316.05M,-246.97M,2.825M,2.825M,-4.397M,,,-248.54M,-60.00M,-60.00M,,-291.04M,-291.04M,-30.18M,-30.18M,-0.082M,-381.30M,316.08M,-313.79M,2.287M,,158.00M,-218.00M,-291.04M
2018-09,122.34M,,3.537M,0.011M,-22.11M,,121.17M,64.82M,,,,6.108M,,6.429M,-72.84M,7.051M,6.765M,1.20M,,1.253M,-56.57M,242.19M,-260.23M,28.66M,28.66M,-9.961M,,,-241.54M,-237.00M,-237.00M,,-162.07M,-162.07M,-26.47M,-26.47M,-0.035M,-425.57M,740.99M,-424.92M,316.08M,,0.00,-237.00M,-162.07M
2018-06,42.43M,,3.668M,0.004M,3.128M,,84.91M,2.689M,,,,5.18M,,58.16M,25.48M,-8.068M,36.44M,-2.119M,,25.67M,77.40M,273.90M,-231.01M,0.323M,0.323M,-27.49M,,,-258.18M,0.00,0.00,,-212.52M,-212.52M,-27.07M,-27.07M,-0.065M,-239.66M,964.93M,-223.93M,740.99M,,0.00,0.00,-212.52M
2018-03,117.23M,,-5.577M,0.994M,36.47M,,82.13M,64.29M,,,,5.184M,,-25.00M,25.57M,-4.309M,-29.49M,1.023M,,-0.337M,-7.54M,272.76M,-156.26M,646.54M,646.54M,-35.42M,,,454.87M,0.00,0.00,,-207.13M,-207.13M,-27.65M,-27.65M,-7.968M,-242.75M,480.05M,484.88M,964.93M,,0.00,0.00,-207.13M
2017-12,-44.44M,,29.43M,96.50M,123.99M,,143.13M,-410.84M,,414.26M,,7.408M,,6.642M,-84.02M,3.434M,17.82M,0.792M,,0.935M,-61.03M,179.11M,-177.74M,82.73M,82.73M,-33.66M,,,-128.67M,0.00,0.00,,-55.49M,-55.49M,-23.13M,-23.13M,-2.036M,-80.65M,510.26M,-30.21M,480.05M,,,0.00,-55.49M
2017-09,17.59M,,0.837M,1.417M,14.13M,,146.27M,16.34M,,0.00,,7.813M,,5.101M,5.064M,-2.096M,-15.80M,0.88M,,-6.177M,-18.13M,189.10M,-193.48M,31.24M,31.24M,-9.756M,,,-172.00M,0.00,0.00,,0.00,0.00,-23.12M,-23.12M,-0.254M,-23.38M,516.53M,-6.278M,510.26M,,,0.00,0.00
2017-06,21.53M,,-13.81M,1.286M,-11.12M,,144.32M,20.10M,,68.56M,,9.915M,,2.40M,-1.249M,-1.213M,10.59M,-2.946M,,-0.318M,4.861M,260.57M,-184.95M,1.101M,1.101M,-5.884M,,,-189.73M,,,,-68.26M,-68.26M,-23.28M,-23.28M,-0.256M,-91.79M,537.48M,-20.95M,516.53M,,,,-68.26M
2017-03,105.72M,,-33.38M,1.283M,-31.88M,,135.10M,53.29M,,,,8.283M,,2.507M,8.796M,1.209M,-15.24M,1.17M,,0.419M,-3.643M,269.38M,-208.38M,0.374M,0.374M,-7.742M,,,-215.75M,,,,0.00,0.00,-9.306M,-9.306M,-5.377M,-14.68M,498.54M,38.94M,537.48M,,,,0.00
2016-12,-292.76M,,37.66M,2.685M,41.44M,,141.22M,-171.29M,,435.62M,,2.931M,,6.411M,-64.66M,0.184M,38.08M,0.896M,,1.681M,-23.83M,139.74M,-130.12M,1.351M,1.351M,-4.308M,,,-133.08M,0.00,0.00,0.00,0.00,0.00,-9.302M,-9.302M,-0.008M,-9.31M,501.19M,-2.651M,498.54M,0.00,0.00,0.00,0.00
2016-09,-10.26M,,-6.904M,1.727M,-3.932M,,139.49M,4.881M,,0.00,,5.088M,,-6.905M,-15.00M,1.498M,-10.52M,0.941M,,0.138M,-22.95M,105.42M,-85.63M,-0.76M,-0.76M,-6.005M,,,-92.40M,-20.00M,-20.00M,0.00,0.00,0.00,-9.303M,-9.303M,-0.01M,-29.31M,517.49M,-16.30M,501.19M,0.00,0.00,-20.00M,0.00
2016-06,-62.91M,,27.18M,0.074M,28.14M,,147.53M,-35.32M,,0.00,,7.357M,,12.82M,-16.96M,0.261M,6.998M,-3.158M,,0.416M,-12.44M,85.18M,-67.16M,0.00,0.00,-6.519M,,,-73.68M,-64.00M,-64.00M,0.001M,0.00,0.001M,-9.30M,-9.30M,-0.024M,-73.32M,579.32M,-61.83M,517.49M,0.001M,0.00,-64.00M,0.00
2016-03,-51.19M,,-18.99M,-2.009M,-22.36M,,161.89M,-28.97M,,,,10.61M,,1.191M,19.59M,1.101M,-26.27M,1.30M,,0.23M,-4.048M,67.11M,-92.24M,49.83M,49.83M,-11.65M,,,-54.06M,-413.00M,-413.00M,995.28M,,995.28M,-8.282M,-8.282M,-8.245M,565.75M,0.514M,578.80M,579.32M,995.28M,90.00M,-503.00M,
2015-12,-111.12M,,-12.02M,-1.834M,-13.90M,,149.88M,-81.19M,,,,2.023M,,64.79M,9.141M,1.233M,27.76M,1.289M,,-0.12M,39.30M,164.64M,-135.76M,0.273M,0.273M,-8.275M,,,-143.76M,-12.00M,-12.00M,0.00,,0.00,-8.278M,-8.278M,-8.86M,-29.14M,8.773M,-8.259M,0.514M,0.00,87.00M,-99.00M,
2015-09,-15.51M,,-17.36M,-1.648M,-22.77M,,144.33M,1.066M,,,,-2.913M,5.486M,46.16M,4.841M,2.141M,-18.41M,0.847M,,1.098M,-9.482M,146.36M,-174.75M,4.378M,4.378M,-10.70M,,,-181.06M,42.00M,42.00M,0.00,,0.00,-8.275M,-8.275M,-5.481M,28.24M,15.23M,-6.458M,8.773M,0.00,148.00M,-106.00M,
2015-06,-27.51M,,6.819M,-1.512M,5.386M,,152.51M,-7.921M,,,,8.624M,-2.049M,52.13M,39.12M,-6.336M,-35.39M,-2.761M,,-4.593M,-9.965M,171.21M,-249.85M,-0.079M,-0.079M,-21.34M,,,-271.26M,118.00M,118.00M,0.00,,0.00,-8.274M,-8.274M,-8.388M,101.34M,13.95M,1.283M,15.23M,0.00,260.00M,-142.00M,
2015-03,40.26M,,-34.12M,-1.421M,-35.68M,,175.50M,15.08M,,,,5.911M,-3.437M,39.11M,58.59M,-0.061M,-29.63M,-0.192M,,1.93M,30.64M,267.38M,-395.24M,3.081M,3.081M,-5.078M,,,-397.24M,125.00M,125.00M,0.00,,0.00,-8.263M,-8.263M,6.115M,122.85M,20.95M,-7.006M,13.95M,0.00,382.00M,-257.00M,
2014-12,-221.77M,,-149.74M,,-172.68M,,173.76M,-294.01M,,,,8.125M,7.376M,59.73M,-52.96M,-0.296M,12.60M,0.88M,,1.382M,-38.40M,293.18M,-514.89M,35.58M,35.58M,-208.18M,,0.00,-687.50M,140.00M,140.00M,,-19.08M,-19.08M,-8.26M,-8.26M,-7.377M,105.28M,309.99M,-289.03M,20.95M,,230.00M,-90.00M,-19.08M
2014-09,100.79M,,-71.91M,,-71.95M,,154.01M,62.99M,,,,4.615M,14.35M,45.50M,20.75M,-1.817M,29.37M,-0.162M,,-0.146M,48.00M,358.30M,-346.37M,4.668M,4.668M,-22.38M,,0.00,-364.84M,419.00M,419.00M,,-119.77M,-119.77M,-8.339M,-8.339M,-19.98M,270.92M,45.61M,264.38M,309.99M,,1.191B,-772.00M,-119.77M
2014-06,118.42M,,2.329M,,3.825M,,157.56M,60.85M,,,,5.66M,-4.311M,-14.02M,26.54M,-1.522M,-23.00M,-1.155M,,0.714M,1.585M,329.57M,-279.67M,-0.863M,-0.863M,-16.29M,,19.71M,-276.36M,-29.00M,-29.00M,,,,-8.347M,-8.347M,4.312M,-33.04M,25.43M,20.18M,45.61M,,245.00M,-274.00M,
2014-03,107.03M,,,,1.285M,,147.42M,57.60M,,,,3.029M,-16.04M,3.166M,-40.31M,7.076M,-16.09M,1.17M,,0.039M,-48.11M,255.38M,-338.70M,0.108M,0.108M,-5.937M,,8.382M,-336.15M,75.00M,75.00M,,,,-8.332M,-8.332M,16.13M,82.80M,23.40M,2.031M,25.43M,,366.00M,-291.00M,
2013-12,77.95M,,,,-17.85M,,182.03M,31.14M,,,,10.28M,-9.629M,0.927M,-10.44M,3.632M,-3.071M,1.119M,,-8.242M,-17.00M,257.85M,-351.34M,308.33M,308.33M,-10.12M,,,-81.23M,-15.00M,-15.00M,,-164.63M,-164.63M,-8.402M,-8.402M,6.883M,-181.15M,27.93M,-4.532M,23.40M,,370.00M,-385.00M,-164.63M
2013-09,69.89M,,,,-4.421M,,168.98M,37.57M,,,,9.329M,-1.936M,0.926M,27.56M,-2.562M,-29.50M,1.186M,,-0.319M,-3.631M,276.71M,-319.34M,14.27M,14.27M,-4.502M,,,-309.58M,20.00M,20.00M,,0.00,0.00,-8.423M,-8.423M,1.947M,13.52M,47.28M,-19.34M,27.93M,,260.00M,-240.00M,0.00
2013-06,89.11M,,,,-0.276M,,151.39M,46.09M,,,,9.70M,-5.21M,1.085M,-41.63M,-6.999M,37.55M,-3.716M,,0.189M,-14.61M,277.28M,-263.89M,0.42M,0.42M,-3.00M,,,-266.47M,15.00M,15.00M,,,,-4.206M,-4.206M,5.211M,16.00M,20.46M,26.82M,47.28M,,190.00M,-175.00M,
2013-03,42.82M,,,,0.096M,,148.65M,23.57M,,,,17.66M,-2.138M,1.563M,4.106M,2.896M,-27.88M,0.983M,,0.358M,-19.54M,212.68M,-260.17M,0.486M,0.486M,-1.25M,,,-260.93M,40.00M,40.00M,,,,-4.201M,-4.201M,2.17M,37.97M,30.74M,-10.28M,20.46M,,135.00M,-95.00M,
2012-12,40.87M,,0.045M,,16.45M,,115.98M,38.22M,,,,9.354M,0.00,2.847M,-65.93M,3.522M,35.23M,-0.073M,,0.514M,-26.74M,196.98M,-258.78M,36.59M,36.59M,-2.375M,,,-224.57M,25.00M,25.00M,,,,-4.196M,-4.196M,0.018M,20.82M,37.50M,-6.765M,30.74M,,120.00M,-95.00M,
2012-09,36.61M,,0.149M,,0.275M,,110.45M,15.64M,,,,10.53M,0.00,2.159M,-19.04M,-5.711M,12.28M,2.566M,,-1.795M,-11.69M,163.97M,-257.87M,0.025M,0.025M,-2.40M,,,-260.25M,90.00M,90.00M,,,,-4.193M,-4.193M,-0.671M,85.14M,48.64M,-11.14M,37.50M,,110.00M,-20.00M,
2012-06,35.94M,,0.342M,,-67.36M,,114.62M,17.35M,,,,28.46M,0.00,13.15M,8.541M,0.245M,9.474M,-4.209M,,3.167M,17.22M,159.36M,-222.78M,131.44M,131.44M,-2.088M,,,-93.43M,-40.00M,-40.00M,,,,-4.191M,-4.191M,-5.425M,-49.62M,32.33M,16.31M,48.64M,,80.00M,-120.00M,
2012-03,18.32M,,-0.042M,,0.493M,,110.36M,9.724M,,,,-1.47M,0.00,1.113M,21.45M,9.048M,-38.15M,0.518M,,0.38M,-6.755M,131.78M,-188.55M,1.28M,1.28M,0.00,,,-187.27M,62.00M,62.00M,,,,-4.177M,-4.177M,0.081M,57.90M,29.91M,2.417M,32.33M,,90.00M,-28.00M,
2011-12,26.36M,,,,-26.01M,,92.50M,17.36M,-3.317M,,-0.95M,10.51M,,4.507M,-40.11M,6.337M,18.49M,1.975M,,18.82M,5.509M,126.47M,-222.29M,321.55M,321.55M,,,,99.26M,-255.00M,-255.00M,,,,-12.51M,-3.129M,-0.619M,-258.75M,62.93M,-33.02M,29.91M,,0.00,-255.00M,
2011-09,28.48M,,,,-4.358M,,90.29M,20.50M,1.064M,,0.064M,15.50M,,-16.22M,15.70M,-4.252M,13.09M,0.376M,,-35.64M,-10.73M,154.66M,-264.77M,82.11M,82.11M,,0.0,-54.34M,-237.00M,110.00M,110.00M,,,,6.25M,-3.129M,-0.922M,105.95M,39.31M,23.61M,62.93M,,110.00M,0.00,
2011-06,67.56M,,,,-34.06M,,83.22M,30.34M,1.133M,,0.886M,14.32M,,17.20M,-26.73M,-3.238M,-13.41M,-2.222M,,24.55M,-21.05M,129.49M,-201.04M,-5.043M,-5.043M,,0.0,54.34M,-151.75M,40.00M,40.00M,,,,-6.25M,-3.128M,-0.19M,36.68M,24.90M,14.42M,39.31M,,110.00M,-70.00M,
2011-03,,,,,2.01M,,77.12M,6.543M,1.12M,,,12.61M,,12.87M,3.902M,8.861M,-9.615M,1.014M,,-25.23M,-21.07M,91.21M,-203.17M,5.043M,5.043M,,,,-198.13M,80.00M,80.00M,,,,,-3.122M,-1.018M,75.86M,55.95M,-31.05M,24.90M,,110.00M,-30.00M,
2010-12,49.11M,,,,-100.66M,,91.50M,31.34M,-8.298M,5.114M,0.162M,16.91M,,4.565M,15.90M,2.676M,12.76M,0.605M,,-4.276M,27.67M,117.42M,-199.13M,222.48M,222.48M,,,,23.35M,-120.00M,-120.00M,,,,,-3.119M,0.712M,-122.41M,37.59M,18.36M,55.95M,,225.00M,-345.00M,
2010-09,3.899M,,,,-0.265M,,85.36M,1.374M,6.162M,35.79M,0.193M,6.667M,,2.047M,3.642M,-8.809M,-8.315M,2.009M,,-5.434M,-16.91M,124.31M,-203.98M,21.03M,21.03M,,,-16.74M,-199.69M,80.00M,80.00M,,,,,-3.12M,-11.60M,65.28M,47.68M,-10.10M,37.59M,,90.00M,-10.00M,
2010-06,21.68M,,,,-12.81M,,76.73M,13.38M,1.068M,,-0.355M,2.009M,,7.839M,19.50M,-5.863M,6.976M,-1.603M,,-1.459M,17.55M,127.08M,-218.74M,,,,,15.94M,-202.80M,100.00M,100.00M,,,,,-3.116M,-1.984M,94.90M,28.50M,19.18M,47.68M,,100.00M,0.00,
2010-03,28.70M,,,,7.667M,,73.50M,15.72M,1.068M,,,4.21M,,0.587M,-18.30M,10.32M,-12.91M,2.664M,,2.884M,-15.34M,116.10M,-235.40M,,,,,0.803M,-234.60M,110.00M,110.00M,,,,,-3.112M,-0.038M,106.85M,40.16M,-11.65M,28.50M,,110.00M,0.00,
2009-12,36.36M,0.00,,,-31.24M,,62.29M,27.04M,,17.62M,1.954M,6.03M,,50.37M,-9.915M,8.779M,22.25M,0.668M,,14.86M,36.64M,196.92M,-185.03M,0.00,-0.394M,,,,-185.03M,5.409M,5.409M,,,,,-3.109M,-9.787M,-7.404M,35.67M,4.488M,40.16M,,15.00M,-9.591M,
2009-09,38.90M,,,,13.82M,,78.07M,36.52M,,-16.04M,,6.381M,,1.233M,-16.45M,-7.255M,-10.64M,2.50M,,-10.30M,-42.15M,116.74M,-116.34M,0.513M,0.513M,,,,-115.83M,-15.41M,-15.41M,,,,,-3.11M,23.43M,4.908M,29.85M,5.822M,35.67M,,20.00M,-35.41M,
2009-06,25.50M,12.71M,,,26.96M,,55.11M,11.90M,,6.73M,0.941M,7.313M,,-15.38M,20.70M,-1.896M,4.798M,-2.266M,,-7.123M,14.21M,147.85M,-132.34M,64.60M,71.07M,,,,-67.73M,-62.00M,-62.00M,,,,,-3.11M,-10.41M,-75.52M,25.25M,4.599M,29.85M,,20.00M,-82.00M,
2009-03,47.58M,-12.71M,,,-6.241M,,55.78M,26.35M,,9.307M,-0.941M,6.20M,,14.57M,34.40M,18.06M,-43.25M,2.201M,,3.091M,14.50M,152.53M,-177.50M,15.06M,8.597M,,,,-162.43M,10.00M,10.00M,,,,,-3.103M,0.149M,7.046M,28.10M,-2.852M,25.25M,,50.00M,-40.00M,
2008-12,43.70M,,,,-51.21M,-132.89M,52.51M,24.39M,,77.21M,,15.62M,,-0.002M,38.81M,6.475M,-4.153M,3.396M,1.918M,11.74M,58.19M,209.72M,-258.51M,0.949M,559.88M,605.41M,,-618.18M,-270.34M,517.00M,47.00M,0.001M,,0.001M,,-3.10M,-2.557M,41.34M,47.37M,-19.27M,28.10M,0.001M,892.00M,-375.00M,
2008-09,167.59M,,,,6.413M,132.89M,48.90M,40.94M,,-10.67M,,-19.83M,,-72.31M,46.10M,-32.45M,-8.431M,-3.269M,-1.918M,-12.75M,-12.72M,148.32M,-246.49M,0.00,-558.93M,-545.24M,,-6.413M,-798.14M,85.00M,555.00M,0.122M,,0.122M,,-3.10M,8.845M,560.87M,136.33M,-88.96M,47.37M,0.122M,-180.00M,265.00M,
2008-06,-45.98M,,,,6.889M,-41.52M,42.48M,31.96M,,10.67M,,19.83M,,81.22M,-28.60M,-7.198M,16.50M,9.83M,-4.577M,10.68M,-3.363M,143.71M,-179.28M,1.15M,134.31M,-60.17M,,-12.35M,-250.65M,-85.00M,-105.00M,313.87M,,313.87M,,-2.943M,-4.642M,201.28M,41.99M,94.34M,136.33M,313.87M,180.00M,-265.00M,
2008-03,45.98M,,,,5.061M,41.52M,41.52M,23.56M,,,,,,22.29M,-25.72M,14.85M,2.981M,0.859M,4.577M,-3.245M,-5.698M,132.70M,-133.16M,,-133.16M,,,,-133.16M,,20.00M,2.24M,,2.24M,,-2.93M,4.642M,23.95M,18.50M,23.49M,41.99M,2.24M,,,
2007-12,42.05M,,,,17.37M,38.55M,38.55M,28.22M,,,,,,5.59M,-12.64M,8.849M,34.62M,-12.03M,-9.645M,-7.357M,1.795M,133.58M,-140.25M,1.235M,-139.01M,,,-18.53M,-157.54M,,35.00M,2.785M,,-7.885M,,7.753M,-6.857M,28.01M,14.45M,4.047M,18.50M,2.785M,,,
