,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,333.26M,291.04M,266.83M,24.21M,24.26M,24.26M,0.031M,3.615M,14.39M,-14.39M,3.90M,31.78M,-7.564M,14.39M,-14.39M,-0.026M,-14.39M,-21.98M,-7.018M,-14.96M,,,,-14.96M,-14.98M,92.06M,99.65M,-7.59M,-0.04,,,-0.0401,-0.04,-0.04,,,-0.0401,-0.04,398.58M,398.58M,0.1
2020-06,288.29M,332.35M,247.29M,85.05M,23.17M,23.17M,-0.241M,3.352M,14.54M,-14.54M,4.579M,31.10M,53.96M,14.54M,-14.54M,-0.289M,-14.54M,39.12M,8.751M,30.37M,,,,30.37M,30.56M,148.29M,94.62M,53.67M,0.08,,,0.0805,0.08,0.08,,,0.0805,0.08,398.58M,401.28M,0.1
2020-03,370.34M,386.46M,260.71M,125.75M,33.43M,33.43M,0.071M,3.738M,14.21M,-14.21M,2.19M,39.36M,86.39M,14.21M,-14.21M,-0.054M,-14.21M,72.12M,18.21M,53.91M,,,,53.91M,53.86M,186.47M,100.14M,86.34M,0.14,,,0.1399,0.14,0.13,,,0.1299,0.13,398.34M,399.90M,0.1
2019-12,463.45M,461.37M,277.76M,183.60M,22.50M,22.50M,0.002M,2.959M,14.65M,-14.65M,5.241M,30.70M,152.90M,14.65M,-14.65M,69.16M,-14.65M,207.42M,60.48M,146.94M,,,,146.94M,146.94M,328.50M,106.44M,222.06M,0.36,,,0.36,0.36,0.36,,,0.36,0.36,404.46M,406.50M,0.1
2019-09,418.13M,429.11M,275.75M,153.36M,18.39M,18.39M,0.036M,4.607M,13.55M,-13.55M,4.481M,27.48M,125.88M,13.55M,-13.55M,3.753M,-13.55M,116.08M,25.72M,90.36M,,,,90.36M,90.33M,240.52M,110.89M,129.63M,0.22,,,0.2199,0.22,0.22,,,0.2199,0.22,412.46M,414.46M,0.09
2019-06,470.48M,534.12M,255.93M,278.19M,22.89M,22.89M,0.00,3.64M,14.57M,-14.57M,4.504M,31.03M,247.16M,14.57M,-14.57M,3.507M,-14.57M,236.10M,55.09M,181.01M,,,,181.01M,181.01M,346.81M,96.15M,250.66M,0.43,,,0.43,0.43,0.43,,,0.43,0.43,422.14M,424.35M,0.09
2019-03,633.17M,641.68M,247.92M,393.76M,31.09M,31.09M,-1.50M,5.847M,12.18M,-12.18M,6.044M,42.98M,350.78M,12.18M,-12.18M,2.04M,-12.18M,340.63M,77.87M,262.76M,,,,262.76M,263.92M,445.07M,92.26M,352.82M,0.62,,,0.6227,0.62,0.62,,,0.6227,0.62,423.12M,425.19M,0.07
2018-12,669.70M,716.30M,292.80M,423.50M,30.63M,30.63M,-1.477M,7.208M,15.62M,-15.62M,45.65M,83.49M,340.01M,15.62M,-15.62M,0.553M,-15.62M,324.94M,49.89M,275.04M,,,,275.04M,276.30M,469.83M,129.27M,340.56M,0.64,,,0.6429,0.64,0.64,,,0.6429,0.64,430.82M,433.33M,0.07
2018-09,546.68M,545.17M,361.14M,184.03M,20.72M,20.72M,25.66M,2.852M,14.19M,-14.19M,10.05M,33.62M,150.41M,14.19M,-14.19M,25.53M,-14.19M,161.74M,39.41M,122.34M,,,,122.34M,102.94M,297.11M,121.17M,175.94M,0.28,,,0.236,0.28,0.28,,,0.2362,0.28,440.77M,443.11M,0.06
2018-06,457.24M,453.45M,294.84M,158.61M,21.23M,21.23M,0.544M,5.392M,23.33M,-23.33M,54.50M,81.12M,77.49M,23.33M,-23.33M,0.422M,-23.33M,54.58M,12.15M,42.43M,,,,42.43M,42.01M,162.82M,84.91M,77.91M,0.09,,,0.0891,0.09,0.09,,,0.0891,0.09,451.06M,453.11M,0.06
