,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,20.08B,20.08B,,2.513B,,,75.00M,-75.00M,-7.00M,2.634B,75.00M,-75.00M,,-75.00M,1.755B,450.00M,1.34B,,1.34B,1.34B,161.00M,1.83B,10.12,,,10.12,10.12,10.05,,,10.05,10.05,132.32M,133.20M,0.625
2020-06,19.08B,19.08B,,2.354B,,,76.00M,-76.00M,-227.00M,2.246B,76.00M,-76.00M,,-76.00M,2.586B,783.00M,1.828B,,1.828B,1.828B,150.00M,2.662B,13.83,,,13.83,13.83,13.75,,,13.75,13.75,132.25M,133.02M,0.625
2020-03,18.94B,18.94B,,2.117B,,,60.00M,-60.00M,297.00M,2.529B,60.00M,-60.00M,,-60.00M,717.00M,252.00M,473.00M,,473.00M,473.00M,145.00M,777.00M,3.58,,,3.58,3.58,3.56,,,3.56,3.56,132.14M,132.81M,0.625
2019-12,16.30B,16.30B,,2.129B,,,58.00M,-58.00M,-289.00M,1.955B,58.00M,-58.00M,,-58.00M,593.00M,79.00M,512.00M,,512.00M,512.00M,140.00M,651.00M,3.87,,,3.87,3.87,3.84,,,3.84,3.84,132.45M,133.34M,0.55
2019-09,16.24B,16.24B,,1.889B,,,62.00M,-62.00M,-82.00M,1.934B,62.00M,-62.00M,,-62.00M,888.00M,200.00M,689.00M,,689.00M,689.00M,159.00M,950.00M,5.16,,,5.16,5.16,5.14,,,5.14,5.14,133.32M,134.02M,0.55
2019-06,16.24B,16.24B,,1.703B,,,60.00M,-60.00M,-174.00M,1.638B,60.00M,-60.00M,,-60.00M,1.229B,301.00M,940.00M,,940.00M,940.00M,140.00M,1.289B,6.96,,,6.96,6.96,6.94,,,6.94,6.94,135.06M,135.58M,0.55
2019-03,16.11B,16.11B,,1.66B,,,62.00M,-62.00M,39.00M,1.806B,62.00M,-62.00M,,-62.00M,746.00M,183.00M,566.00M,,566.00M,566.00M,136.00M,808.00M,4.18,,,4.18,4.18,4.16,,,4.16,4.16,135.38M,135.96M,0.55
2018-12,14.17B,14.17B,,2.115B,,0.00,59.00M,-59.00M,22.00M,2.24B,59.00M,-59.00M,,-59.00M,436.00M,83.00M,355.00M,,355.00M,355.00M,134.00M,495.00M,2.6,,,2.6,2.6,2.58,,,2.58,2.58,136.57M,137.53M,0.5
2018-09,14.21B,14.21B,,1.90B,,4.00M,53.00M,-53.00M,11.00M,2.017B,53.00M,-53.00M,,-53.00M,901.00M,266.00M,644.00M,,644.00M,641.16M,131.00M,954.00M,4.68,,,4.659,4.68,4.65,,,4.63,4.65,137.71M,138.68M,0.5
2018-06,14.26B,14.26B,,1.761B,,-790.00M,53.00M,-53.00M,,1.071B,53.00M,-53.00M,,-53.00M,19.00M,-174.00M,193.00M,,193.00M,769.70M,130.00M,72.00M,1.4,,,5.586,1.4,1.39,,,5.5520000000000005,1.39,137.76M,138.58M,0.5
