,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2012-03,248.00M,,-4.00M,,-4.00M,,,78.00M,78.00M,-9.00M,40.00M,16.00M,-255.00M,284.00M,-138.00M,52.00M,,1.977B,2.346B,-86.00M,,-86.00M,-56.00M,-48.00M,,-190.00M,-36.00M,-12.00M,-48.00M,,-151.00M,-151.00M,-41.00M,-41.00M,45.00M,318.00M,123.00M,1.377B,2.279B,3.656B,,,-36.00M,-151.00M,5.00M,11.00M
2011-12,199.00M,,,,,,,78.00M,78.00M,10.00M,14.00M,55.00M,-29.00M,-143.00M,22.00M,-198.00M,-1.82B,-2.142B,-1.797B,-130.00M,,-120.00M,-212.00M,117.00M,,-215.00M,0.00,7.00M,7.00M,,0.00,0.00,,-41.00M,4.00M,-600.00M,-630.00M,4.019B,-2.642B,1.377B,,,110.00M,0.00,156.00M,46.00M
2011-09,445.00M,,,,,,,74.00M,74.00M,-9.00M,12.00M,12.00M,510.00M,-85.00M,-30.00M,170.00M,1.82B,2.385B,2.919B,-87.00M,,-87.00M,-3.00M,-194.00M,,-284.00M,0.00,82.00M,82.00M,,-240.00M,-240.00M,,-41.00M,-23.00M,38.00M,-184.00M,1.568B,2.451B,4.019B,,,82.00M,-240.00M,311.00M,11.00M
2011-06,460.00M,,,,,,,75.00M,75.00M,-6.00M,11.00M,15.00M,-327.00M,13.00M,-64.00M,-16.00M,,-394.00M,161.00M,-58.00M,,-58.00M,-6.00M,-104.00M,,-168.00M,0.00,-35.00M,-35.00M,,-212.00M,-212.00M,,0.00,55.00M,11.00M,-181.00M,1.756B,-188.00M,1.568B,,,-35.00M,-212.00M,331.00M,46.00M
2011-03,315.00M,,,,,,,76.00M,76.00M,27.00M,30.00M,10.00M,-260.00M,471.00M,-111.00M,238.00M,,338.00M,796.00M,-71.00M,,-71.00M,-5.00M,-615.00M,,-691.00M,0.00,-157.00M,-157.00M,,-89.00M,-89.00M,,0.00,36.00M,188.00M,-22.00M,1.673B,83.00M,1.756B,,,-157.00M,-89.00M,76.00M,11.00M
2010-12,106.94M,,,,,,,66.40M,66.40M,-83.08M,10.90M,39.03M,-61.59M,-257.34M,-38.73M,170.30M,,-187.36M,-47.17M,-69.57M,,-69.57M,-822.88M,-53.48M,,-945.93M,168.24M,17.32M,185.56M,,0.17M,0.17M,,0.00,-3.264M,-438.62M,-256.16M,2.923B,-1.249B,1.673B,,,150.56M,0.17M,152.26M,45.60M
2010-09,393.22M,,,,,,,64.56M,64.56M,-34.66M,12.48M,7.297M,517.07M,-102.81M,46.04M,306.01M,,766.31M,1.209B,-61.00M,,-61.00M,-8.451M,-123.47M,,-192.93M,-133.24M,121.04M,-12.20M,,-50.30M,-50.30M,,0.00,4.005M,-33.92M,-92.41M,1.999B,923.87M,2.923B,,,-12.20M,-50.30M,276.36M,10.55M
2010-06,340.08M,,,,,,,69.29M,69.29M,-60.40M,12.29M,12.16M,-220.50M,122.69M,102.86M,-53.14M,,-48.10M,325.31M,-52.40M,,-52.40M,-1.669M,-90.86M,,-144.92M,,-12.72M,-12.72M,,-50.20M,-50.20M,,,2.179M,65.35M,4.602M,1.814B,184.99M,1.999B,,,-12.72M,-50.20M,351.18M,45.37M
2010-03,258.77M,,,,,,,62.76M,62.76M,-20.86M,27.34M,-0.489M,-280.98M,484.46M,-29.18M,252.84M,,427.14M,754.65M,-39.03M,,-39.03M,0.00,-488.19M,,-527.22M,,-196.63M,-196.63M,,-7.67M,-7.67M,,,5.08M,172.19M,-27.03M,1.614B,200.40M,1.814B,,,-196.63M,-7.67M,5.21M,10.49M
2009-12,250.66M,,,,,,,69.69M,69.69M,-4.039M,17.05M,15.47M,-66.21M,-142.91M,100.76M,33.39M,,-74.97M,274.09M,-63.32M,,-61.81M,0.00,-327.26M,,-389.06M,275.16M,148.85M,424.00M,,-14.57M,-14.57M,,,12.37M,-145.25M,276.55M,1.452B,161.58M,1.614B,,0.00,424.00M,-14.57M,149.18M,45.36M
