,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,7.985B,12.74B,20.73B,1.135B,,1.135B,21.86B,2.228B,4.443B,352.00M,4.795B,15.01B,29.36B,38.48B,12.88B,,,12.88B,12.88B,399.00M,325.00M,1.214B,1.938B,1.938B,14.82B,6.059B,6.059B,,,287.00M,6.346B,22.71B,33.00M,20.87B,2.94B,8.447B,370.00M,15.77B
2020-06,7.163B,12.84B,20.00B,2.238B,,2.238B,22.24B,2.118B,4.443B,374.00M,4.817B,14.35B,29.05B,38.46B,14.36B,,,14.36B,14.36B,399.00M,325.00M,1.31B,2.034B,2.034B,16.39B,6.058B,6.058B,,,266.00M,6.324B,24.04B,33.00M,19.62B,2.898B,8.448B,317.00M,14.42B
2020-03,6.054B,11.10B,17.16B,2.009B,,2.009B,19.17B,2.023B,4.443B,396.00M,4.839B,12.59B,26.57B,34.63B,12.69B,,,12.69B,12.69B,398.00M,500.00M,1.169B,2.067B,2.067B,14.76B,6.057B,6.057B,,,274.00M,6.331B,22.28B,33.00M,17.87B,2.857B,8.454B,48.00M,12.36B
2019-12,4.054B,10.97B,15.03B,1.056B,,1.056B,16.08B,1.955B,3.928B,177.00M,4.105B,12.44B,23.96B,29.07B,9.964B,,,9.964B,9.964B,399.00M,300.00M,225.00M,924.00M,924.00M,10.89B,4.967B,4.967B,,,247.00M,5.214B,17.04B,33.00M,17.48B,2.82B,8.455B,156.00M,12.04B
2019-09,5.527B,10.43B,15.96B,848.00M,,848.00M,16.80B,1.864B,3.922B,194.00M,4.116B,11.90B,22.80B,29.18B,10.07B,,,10.07B,10.07B,400.00M,299.00M,273.00M,972.00M,972.00M,11.04B,5.365B,5.365B,,,274.00M,5.639B,17.58B,33.00M,17.04B,2.608B,8.262B,177.00M,11.60B
2019-06,4.778B,9.991B,14.77B,904.00M,,904.00M,15.67B,1.796B,3.922B,211.00M,4.133B,11.46B,23.23B,28.91B,9.888B,,,9.888B,9.888B,399.00M,300.00M,854.00M,1.553B,1.553B,11.44B,4.377B,4.377B,,,312.00M,4.689B,17.04B,33.00M,16.43B,2.763B,7.465B,112.00M,11.87B
2019-03,3.877B,9.876B,13.75B,1.955B,,1.955B,15.71B,1.754B,3.897B,228.00M,4.125B,11.35B,22.52B,28.35B,9.956B,,,9.956B,9.956B,399.00M,669.00M,804.00M,1.872B,1.872B,11.83B,4.376B,4.376B,,,312.00M,4.688B,17.51B,33.00M,15.56B,2.722B,7.467B,-10.00M,10.84B
2018-12,2.343B,10.03B,12.37B,1.015B,,1.015B,13.38B,1.735B,3.897B,245.00M,4.142B,11.48B,22.06B,25.41B,8.148B,,,8.148B,8.148B,399.00M,645.00M,821.00M,1.865B,1.865B,10.01B,4.375B,4.375B,,,283.00M,4.658B,15.25B,33.00M,15.07B,2.535B,7.32B,-159.00M,10.16B
2018-09,4.142B,9.695B,13.84B,1.062B,,1.062B,14.90B,1.685B,3.895B,263.00M,4.158B,11.15B,22.29B,27.49B,10.63B,,,10.63B,10.63B,,398.00M,199.00M,597.00M,597.00M,11.23B,4.774B,4.774B,,,294.00M,5.068B,16.90B,33.00M,14.79B,2.707B,6.727B,-206.00M,10.59B
2018-06,8.052B,9.464B,17.52B,1.471B,,1.471B,18.99B,1.626B,3.895B,284.00M,4.179B,9.843B,21.28B,34.27B,12.17B,,,12.17B,12.17B,,,472.00M,472.00M,472.00M,12.64B,4.773B,4.773B,,,3.63B,8.403B,24.06B,33.00M,14.21B,2.672B,6.529B,-176.00M,10.21B
