,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.067B,1.067B,1.048B,19.00M,,75.00M,75.00M,,,,-32.00M,,66.00M,,-66.00M,39.00M,114.00M,-95.00M,,66.00M,-66.00M,-32.00M,-66.00M,-193.00M,-90.00M,,-2.00M,,-92.00M,-81.64M,-127.00M,,2020-09,-0.29,0.04,-0.25,,2020-09,,-0.2280,-0.25,,2020-09,377.00M,377.00M,0.11,,2020-09,AOR,
2020-06,394.00M,394.00M,901.00M,-507.00M,,79.00M,79.00M,,,0.00,0.00,,65.00M,2.00M,-69.00M,12.00M,91.00M,-598.00M,2.00M,65.00M,-69.00M,-13.00M,-69.00M,-680.00M,-3.00M,,-2.00M,,-670.00M,-679.00M,-615.00M,,2020-06,-1.80,0.02,-1.78,,2020-06,,-1.80,-1.78,,2020-06,377.00M,377.00M,0.11,,2020-06,AOR,
2020-03,2.087B,2.087B,719.00M,1.368B,578.00M,102.00M,680.00M,,,,-2.666B,,65.00M,5.00M,-65.00M,112.00M,792.00M,576.00M,5.00M,65.00M,-65.00M,-2.618B,-65.00M,-2.107B,-417.00M,,-1.00M,,-1.816B,441.80M,-2.042B,,2020-03,-4.48,-0.34,-4.82,,2020-03,,1.089,-4.82,,2020-03,383.00M,383.00M,0.09,,2020-03,AOR,
2019-12,1.589B,1.589B,1.371B,218.00M,,119.00M,119.00M,,,,-11.00M,,74.00M,,-64.00M,29.00M,148.00M,70.00M,,74.00M,-64.00M,-27.00M,-64.00M,-21.00M,-33.00M,,-2.00M,,-642.00M,18.03M,53.00M,,2019-12,0.03,-1.73,-1.70,,2019-12,,0.0513,-1.70,,2019-12,377.00M,377.00M,0.09,,2019-12,AOR,
2019-09,1.746B,1.746B,1.359B,387.00M,,107.00M,107.00M,,,,-9.00M,,60.00M,,-60.00M,18.00M,125.00M,262.00M,,60.00M,-60.00M,-12.00M,-60.00M,190.00M,54.00M,,0.00,,109.00M,142.48M,250.00M,,2019-09,0.34,-0.07,0.27,,2019-09,,0.3564,0.27,,2019-09,392.00M,394.00M,0.09,,2019-09,AOR,Restated
2019-06,1.806B,1.806B,1.383B,423.00M,,114.00M,114.00M,,,0.00,-10.00M,,65.00M,7.00M,-66.00M,7.00M,121.00M,302.00M,7.00M,65.00M,-66.00M,-17.00M,-66.00M,219.00M,68.00M,,0.00,,495.00M,157.90M,284.00M,,2019-06,0.37,0.83,1.20,,2019-06,,0.3868,1.19,,2019-06,409.00M,411.00M,0.09,,2019-06,AOR,Restated
2019-03,1.079B,1.079B,643.00M,436.00M,750.00M,135.00M,885.00M,,,,-6.00M,,65.00M,11.00M,-60.00M,4.00M,889.00M,-453.00M,11.00M,65.00M,-60.00M,16.00M,-60.00M,-497.00M,-119.00M,,0.00,,-317.00M,-373.44M,-432.00M,,2019-03,-0.89,0.15,-0.74,,2019-03,,-0.8795,-0.74,,2019-03,434.00M,434.00M,0.08,,2019-03,AOR,Restated
2018-12,2.939B,2.939B,4.495B,-1.556B,,136.00M,-3.08B,,,,277.00M,,68.00M,,-59.00M,23.00M,-3.057B,1.501B,,68.00M,-59.00M,211.00M,-59.00M,1.653B,391.00M,,0.00,,1.149B,1.051B,1.721B,,2018-12,2.50,0.00,2.50,,2018-12,,2.027,2.48,,2018-12,455.00M,467.00M,0.08,,2018-12,AOR,Restated
2018-09,2.156B,2.156B,759.00M,1.397B,1.201B,128.00M,1.329B,,,,-2.00M,,68.00M,,-68.00M,22.00M,1.351B,46.00M,,68.00M,-68.00M,7.00M,-68.00M,-15.00M,-171.00M,,-26.00M,,2.537B,131.46M,53.00M,,2018-09,0.32,4.85,5.17,,2018-09,,0.3230,5.14,,2018-09,486.00M,489.00M,0.08,,2018-09,AOR,Restated
2018-06,1.922B,1.922B,748.00M,1.174B,1.149B,135.00M,1.284B,,,,-262.00M,,68.00M,,-64.00M,62.00M,1.346B,-172.00M,,68.00M,-64.00M,-247.00M,-64.00M,-483.00M,13.00M,,-90.00M,,-425.00M,-394.74M,-415.00M,,2018-06,-0.97,0.14,-0.83,,2018-06,,-0.5986,-0.83,,2018-06,515.00M,515.00M,0.08,,2018-06,AOR,Restated
2018-03,2.198B,2.198B,942.00M,1.256B,873.00M,199.00M,1.072B,,,,-300.00M,,78.00M,,-75.00M,49.00M,1.121B,135.00M,,78.00M,-75.00M,-305.00M,-75.00M,-245.00M,-34.00M,,-44.00M,,-197.00M,46.00M,-167.00M,,2018-03,-0.41,0.03,-0.38,,2018-03,,0.1688,-0.38,,2018-03,520.00M,520.00M,0.06,,2018-03,AOR,Restated
2017-12,3.00M,3.00M,2.859B,-2.856B,,99.00M,-2.472B,,,,19.00M,,95.00M,,-83.00M,137.00M,-2.335B,-521.00M,,95.00M,-83.00M,-83.00M,-83.00M,-687.00M,-6.00M,,-121.00M,,183.00M,-820.83M,-592.00M,,2017-12,0.35,1.65,0.35,,2017-12,,0.3140,0.35,,2017-12,523.00M,523.00M,0.06,,2017-12,AOR,Restated
2017-09,1.933B,1.933B,818.00M,1.115B,843.00M,170.00M,1.013B,,,,170.00M,,79.00M,,-78.00M,57.00M,1.07B,45.00M,,79.00M,-78.00M,240.00M,-78.00M,207.00M,13.00M,,-19.00M,,193.00M,15.20M,286.00M,,2017-09,0.37,0.00,0.37,,2017-09,,0.0645,0.37,,2017-09,520.00M,523.00M,0.06,,2017-09,AOR,Restated
2017-06,2.165B,2.165B,824.00M,1.341B,849.00M,181.00M,1.03B,,,,22.00M,,82.00M,,-77.00M,71.00M,1.101B,240.00M,,82.00M,-77.00M,44.00M,-77.00M,207.00M,-5.00M,,-26.00M,,219.00M,116.42M,289.00M,,2017-06,0.40,0.01,0.41,,2017-06,,0.2670,0.41,,2017-06,520.00M,523.00M,0.06,,2017-06,AOR,Restated
2017-03,3.551B,3.551B,2.799B,752.00M,,231.00M,231.00M,,,,-4.00M,,128.00M,,-128.00M,95.00M,326.00M,426.00M,,128.00M,-128.00M,27.00M,-128.00M,325.00M,8.00M,,-14.00M,,303.00M,306.92M,453.00M,,2017-03,0.58,,0.58,,2017-03,,0.5875,0.58,,2017-03,519.00M,522.00M,0.06,,2017-03,AOR,Restated
2016-12,2.808B,2.808B,3.908B,-1.10B,,383.00M,383.00M,,,,3.487B,,150.00M,,-152.00M,-966.00M,-583.00M,-517.00M,,150.00M,-152.00M,3.604B,-152.00M,2.935B,369.00M,,11.00M,,2.577B,-471.60M,3.085B,,2016-12,0.63,,0.63,,2016-12,,-5.244,0.63,,2016-12,519.00M,519.00M,0.06,,2016-12,AOR,Restated
2016-09,2.882B,2.882B,1.941B,941.00M,,141.00M,141.00M,,,,953.00M,,154.00M,,-159.00M,372.00M,513.00M,428.00M,,154.00M,-159.00M,909.00M,-159.00M,1.178B,171.00M,,-14.00M,,993.00M,182.95M,1.332B,,2016-09,1.90,,1.90,,2016-09,,0.3352,1.89,,2016-09,518.00M,521.00M,0.06,,2016-09,AOR,Restated
2016-06,2.488B,2.488B,1.897B,591.00M,,147.00M,147.00M,,,,-1.521B,,160.00M,,-163.00M,420.00M,567.00M,24.00M,,160.00M,-163.00M,-1.606B,-163.00M,-1.745B,-182.00M,,-7.00M,,-1.57B,-201.10M,-1.585B,,2016-06,-3.04,,-3.04,,2016-06,,-0.3973,-3.04,,2016-06,518.00M,518.00M,0.06,,2016-06,AOR,Restated
2016-03,2.126B,2.126B,1.686B,440.00M,,194.00M,194.00M,,,,-3.282B,,159.00M,,-164.00M,464.00M,658.00M,-218.00M,,159.00M,-164.00M,-3.303B,-164.00M,-3.685B,-217.00M,,412.00M,,-3.056B,29.08M,-3.526B,,2016-03,-6.44,,-6.44,,2016-03,,0.0686,-6.44,,2016-03,474.00M,474.00M,0.24,,2016-03,AOR,Restated
2015-12,2.886B,2.886B,5.18B,-2.294B,,532.00M,532.00M,,,,-2.253B,,146.00M,,-141.00M,-1.153B,-621.00M,-1.673B,,146.00M,-141.00M,-2.318B,-141.00M,-4.132B,-778.00M,,380.00M,,-2.974B,-1.145B,-3.986B,,2015-12,-11.12,,-11.12,,2015-12,,-6.660,-11.12,,2015-12,410.00M,410.00M,0.24,,2015-12,AOR,Restated
2015-09,3.601B,3.601B,2.472B,1.129B,,198.00M,198.00M,,,,-5.851B,,130.00M,2.00M,-136.00M,524.00M,722.00M,407.00M,2.00M,130.00M,-136.00M,-5.894B,-136.00M,-5.623B,-1.714B,,402.00M,,-3.507B,588.70M,-5.493B,,2015-09,-8.64,,-8.64,,2015-09,,1.448,-8.64,,2015-09,406.00M,406.00M,0.24,,2015-09,AOR,Restated
2015-06,3.393B,3.393B,2.793B,600.00M,,212.00M,212.00M,,,,-4.168B,,121.00M,1.00M,-125.00M,583.00M,795.00M,-195.00M,1.00M,121.00M,-125.00M,-4.159B,-125.00M,-4.479B,-1.686B,,-23.00M,,-2.816B,-231.84M,-4.358B,,2015-06,-6.94,,-6.94,,2015-06,,-0.5751,-6.94,,2015-06,406.00M,406.00M,0.24,,2015-06,AOR,Restated
2015-03,3.265B,3.265B,2.477B,788.00M,,251.00M,251.00M,,,,-5.46B,,116.00M,2.00M,-117.00M,572.00M,823.00M,-35.00M,2.00M,116.00M,-117.00M,-5.472B,-117.00M,-5.624B,-2.035B,,-10.00M,,-3.599B,-104.60M,-5.508B,,2015-03,-8.88,,-8.88,,2015-03,,-0.2731,-8.88,,2015-03,406.00M,406.00M,0.24,,2015-03,AOR,Restated
2014-12,5.995B,5.995B,2.741B,3.254B,,252.00M,252.00M,,,,-2.003B,,131.00M,,-119.00M,587.00M,839.00M,2.415B,,131.00M,-119.00M,-2.005B,-119.00M,291.00M,670.00M,,-29.00M,,-408.00M,893.95M,422.00M,,2014-12,0.00,-1.01,-1.01,,2014-12,,2.165,-1.01,,2014-12,408.00M,410.00M,0.24,,2014-12,AOR,Restated
2014-09,5.336B,5.336B,2.763B,2.573B,,195.00M,195.00M,,,,-2.00M,,112.00M,2.00M,-116.00M,602.00M,797.00M,1.776B,2.00M,112.00M,-116.00M,-6.00M,-116.00M,1.654B,613.00M,,-25.00M,,1.016B,1.017B,1.766B,,2014-09,2.48,,2.48,,2014-09,,2.473,2.47,,2014-09,405.00M,407.00M,0.24,,2014-09,AOR,Restated
2014-06,4.51B,4.51B,2.984B,1.526B,,189.00M,189.00M,,,,1.052B,,122.00M,2.00M,-131.00M,615.00M,804.00M,722.00M,2.00M,122.00M,-131.00M,963.00M,-131.00M,1.554B,854.00M,,-25.00M,,675.00M,-8.80M,1.676B,,2014-06,1.65,,1.65,,2014-06,,-0.0442,1.64,,2014-06,404.00M,406.00M,0.24,,2014-06,AOR,Restated
2014-03,3.725B,3.725B,2.181B,1.544B,,211.00M,211.00M,,,,-22.00M,,109.00M,3.00M,-112.00M,621.00M,832.00M,712.00M,3.00M,109.00M,-112.00M,-40.00M,-112.00M,560.00M,231.00M,,-5.00M,,324.00M,338.30M,669.00M,,2014-03,0.80,,0.80,,2014-03,,0.8253,0.79,,2014-03,403.00M,405.00M,0.22,,2014-03,AOR,Restated
2013-12,2.624B,2.624B,1.244B,1.38B,,157.00M,157.00M,,,,-18.00M,,98.00M,4.00M,-111.00M,614.00M,771.00M,609.00M,4.00M,98.00M,-111.00M,-23.00M,-111.00M,475.00M,268.00M,,,,207.00M,218.70M,573.00M,,2013-12,0.51,0.00,0.51,,2013-12,,0.5391,0.51,,2013-12,402.00M,402.00M,0.22,,2013-12,AOR,Restated
2013-09,2.714B,2.714B,1.189B,1.525B,,143.00M,143.00M,,,,-22.00M,,101.00M,4.00M,-100.00M,627.00M,770.00M,755.00M,4.00M,101.00M,-100.00M,-16.00M,-100.00M,639.00M,210.00M,,0.00,,429.00M,443.74M,740.00M,,2013-09,1.06,,1.06,,2013-09,,1.087,1.05,,2013-09,402.00M,403.00M,0.22,,2013-09,AOR,Restated
2013-06,3.088B,3.088B,1.181B,1.907B,,167.00M,167.00M,,,,-49.00M,,104.00M,5.00M,-103.00M,591.00M,758.00M,1.149B,5.00M,104.00M,-103.00M,-49.00M,-103.00M,997.00M,314.00M,,0.00,,683.00M,716.32M,1.101B,,2013-06,1.69,,1.69,,2013-06,,1.763,1.68,,2013-06,402.00M,403.00M,0.22,,2013-06,AOR,Restated
2013-03,1.971B,1.971B,1.18B,791.00M,,150.00M,150.00M,,,,-1.951B,,107.00M,7.00M,-103.00M,547.00M,697.00M,94.00M,7.00M,107.00M,-103.00M,-1.953B,-103.00M,-1.962B,-623.00M,,0.00,,-1.339B,-12.32M,-1.855B,,2013-03,-3.34,,-3.34,,2013-03,,-0.0398,-3.34,,2013-03,402.00M,402.00M,0.20,,2013-03,AOR,Restated
2012-12,2.58B,2.58B,1.544B,1.036B,,198.00M,198.00M,,,,-957.00M,,106.00M,12.00M,-98.00M,557.00M,449.00M,587.00M,12.00M,106.00M,-98.00M,-990.00M,-98.00M,-501.00M,-144.00M,,,,-357.00M,324.93M,-395.00M,,2012-12,-0.89,0.00,-0.89,,2012-12,,0.8148,-0.89,,2012-12,400.00M,400.00M,0.20,,2012-12,AOR,Restated
2012-09,1.865B,1.865B,1.029B,836.00M,,150.00M,150.00M,,,,-1.128B,104.00M,108.00M,8.00M,-102.00M,540.00M,794.00M,42.00M,8.00M,108.00M,-102.00M,-1.101B,-102.00M,-1.161B,-442.00M,,,,-719.00M,-21.50M,-1.053B,,2012-09,-1.80,0.00,-1.80,,2012-09,,-0.0562,-1.80,,2012-09,400.00M,400.00M,0.20,,2012-09,AOR,Restated
2012-06,2.559B,2.559B,893.00M,1.666B,,176.00M,176.00M,,,,0.00,100.00M,95.00M,9.00M,-90.00M,541.00M,817.00M,849.00M,9.00M,95.00M,-90.00M,-25.00M,-90.00M,734.00M,257.00M,,,,477.00M,490.00M,829.00M,,2012-06,1.18,0.00,1.18,,2012-06,,1.212,1.18,,2012-06,400.00M,400.00M,0.20,,2012-06,AOR,Restated
2012-03,2.497B,2.497B,1.005B,1.492B,,168.00M,168.00M,,,,0.00,102.00M,83.00M,7.00M,-80.00M,541.00M,811.00M,681.00M,7.00M,83.00M,-80.00M,10.00M,-80.00M,611.00M,197.00M,,,,393.00M,411.28M,694.00M,,2012-03,1.03,-0.06,0.97,,2012-03,,1.023,0.97,,2012-03,400.00M,401.00M,0.20,,2012-03,AOR,Restated
2011-12,3.562B,3.562B,1.732B,1.83B,,,182.00M,,,,88.00M,,72.00M,,-61.00M,,64.00M,1.766B,,72.00M,-61.00M,-911.00M,-61.00M,794.00M,273.00M,,,,507.00M,463.26M,866.00M,,2011-12,1.29,0.03,1.32,,2011-12,,1.136,1.32,,2011-12,397.00M,402.00M,0.17,,2011-12,AOR,Restated
