,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,-103.00M,,97.00M,97.00M,,,,299.00M,0.00,36.00M,,31.00M,9.00M,227.00M,,,-160.00M,10.00M,-82.00M,63.00M,58.00M,472.00M,,2020-09,-204.00M,1.00M,1.00M,,,,,2020-09,0.00,,0.00,,0.00,0.00,,,-43.00M,-43.00M,-3.00M,-46.00M,,2020-09,224.00M,4.00M,1.897B,,2020-09,,,0.00,0.00,170.00M,194.00M,,2020-09,AOR,
2020-06,-677.00M,,593.00M,593.00M,,,,299.00M,0.00,3.00M,,19.00M,12.00M,-125.00M,,,71.00M,38.00M,81.00M,-164.00M,-99.00M,107.00M,,2020-06,-308.00M,3.00M,2.00M,,,,,2020-06,0.00,,0.00,,0.00,0.00,,,-42.00M,-42.00M,3.00M,-39.00M,,2020-06,-66.00M,8.00M,1.669B,,2020-06,,,0.00,0.00,-151.00M,-64.00M,,2020-06,AOR,
2020-03,-1.69B,,-619.00M,-619.00M,,,,401.00M,-311.00M,2.776B,,20.00M,8.00M,125.00M,,,-71.00M,-38.00M,-81.00M,9.00M,-56.00M,398.00M,,2020-03,-429.00M,25.00M,21.00M,,,,,2020-03,0.00,,0.00,,-38.00M,-38.00M,,,-34.00M,-34.00M,-15.00M,-87.00M,,2020-03,-94.00M,-23.00M,1.727B,,2020-03,,,0.00,-38.00M,151.00M,64.00M,,2020-03,AOR,
2019-12,12.00M,,157.00M,157.00M,,,,382.00M,-27.00M,3.00M,,23.00M,11.00M,-55.00M,,,56.00M,-25.00M,11.00M,31.00M,18.00M,570.00M,,2019-12,-411.00M,43.00M,40.00M,,,,,2019-12,0.00,,0.00,,-103.00M,-103.00M,,,-34.00M,-34.00M,113.00M,-23.00M,,2019-12,179.00M,9.00M,1.844B,,2019-12,,,0.00,-103.00M,-10.00M,66.00M,,2019-12,AOR,
2019-09,136.00M,,-56.00M,-57.00M,,,,381.00M,52.00M,13.00M,,23.00M,12.00M,52.00M,,,-102.00M,18.00M,-77.00M,145.00M,36.00M,502.00M,,2019-09,-531.00M,9.00M,4.00M,,,,,2019-09,0.00,,0.00,,-561.00M,-561.00M,,,-35.00M,-35.00M,0.00,-2.168B,,2019-09,-2.194B,-3.00M,1.656B,,2019-09,,,0.00,-561.00M,16.00M,242.00M,,2019-09,AOR,Restated
2019-06,151.00M,,-117.00M,-119.00M,,,,374.00M,65.00M,1.00M,,25.00M,9.00M,29.00M,,,5.00M,-9.00M,23.00M,-123.00M,-75.00M,621.00M,,2019-06,-499.00M,28.00M,15.00M,,,,,2019-06,0.00,,0.00,,-186.00M,-186.00M,,,-37.00M,-37.00M,-4.00M,-227.00M,,2019-06,2.46B,38.00M,3.853B,,2019-06,,,0.00,-186.00M,-6.00M,-53.00M,,2019-06,AOR,Restated
2019-03,-378.00M,,636.00M,591.00M,,,,360.00M,-115.00M,1.00M,,44.00M,-5.00M,-29.00M,,,-5.00M,9.00M,-23.00M,-13.00M,-61.00M,378.00M,,2019-03,-500.00M,310.00M,300.00M,,,,,2019-03,-162.00M,,-162.00M,,-999.00M,-999.00M,,,-34.00M,-34.00M,-19.00M,-1.221B,,2019-03,-1.092B,1.00M,1.355B,,2019-03,,,-162.00M,-999.00M,6.00M,53.00M,,2019-03,AOR,Restated
2018-12,1.262B,,-1.449B,-1.732B,,,,239.00M,396.00M,19.00M,,25.00M,3.00M,186.00M,,,-198.00M,-61.00M,-125.00M,50.00M,-148.00M,542.00M,,2018-12,-483.00M,-196.00M,-216.00M,,,,,2018-12,-94.00M,,-94.00M,,-759.00M,-759.00M,,,-37.00M,-37.00M,-8.00M,-898.00M,,2018-12,-659.00M,-16.00M,2.446B,,2018-12,,,-94.00M,-759.00M,9.00M,110.00M,,2018-12,AOR,Restated
2018-09,156.00M,,201.00M,195.00M,,,,342.00M,-145.00M,16.00M,,25.00M,52.00M,-93.00M,,,-2.00M,4.00M,33.00M,-23.00M,-81.00M,853.00M,,2018-09,-567.00M,89.00M,70.00M,,,,,2018-09,-21.00M,,-21.00M,,-1.698B,-1.698B,,,-38.00M,-38.00M,-3.00M,-1.689B,,2018-09,1.586B,10.00M,3.121B,,2018-09,,,-21.00M,-1.698B,31.00M,-153.00M,,2018-09,AOR,Restated
2018-06,-493.00M,-50.00M,319.00M,292.00M,,,,248.00M,34.00M,207.00M,,49.00M,-34.00M,-199.00M,,,233.00M,-7.00M,31.00M,-12.00M,46.00M,505.00M,,2018-06,-464.00M,560.00M,550.00M,,,,,2018-06,0.00,,0.00,,-428.00M,-428.00M,,,-42.00M,-42.00M,3.00M,-403.00M,,2018-06,-172.00M,227.00M,1.525B,,2018-06,,,0.00,-428.00M,-1.00M,352.00M,,2018-06,AOR,Restated
2018-03,-211.00M,50.00M,52.00M,402.00M,,,,399.00M,-38.00M,8.00M,,38.00M,-13.00M,37.00M,,,70.00M,-88.00M,64.00M,-58.00M,25.00M,804.00M,,2018-03,-657.00M,47.00M,41.00M,,,,,2018-03,-1.111B,,-1.111B,,-71.00M,-71.00M,,,-32.00M,-32.00M,-38.00M,-1.213B,,2018-03,-1.199B,-15.00M,1.47B,,2018-03,,,-1.111B,-71.00M,1.00M,76.00M,,2018-03,AOR,Restated
2017-12,-681.00M,138.00M,220.00M,339.00M,,,,-131.00M,55.00M,139.00M,,12.00M,-35.00M,-111.00M,,,75.00M,2.00M,-32.00M,-45.00M,-111.00M,725.00M,,2017-12,-321.00M,38.00M,33.00M,,,,,2017-12,0.00,,0.00,,0.00,0.00,,,-32.00M,-32.00M,11.00M,-115.00M,,2017-12,-164.00M,-6.00M,2.684B,,2017-12,,,0.00,0.00,78.00M,194.00M,,2017-12,AOR,Restated
2017-09,194.00M,-74.00M,168.00M,-76.00M,,,,370.00M,-25.00M,16.00M,,33.00M,1.00M,-102.00M,,,-1.00M,26.00M,69.00M,-4.00M,-12.00M,701.00M,,2017-09,-473.00M,280.00M,274.00M,,,,,2017-09,0.00,,0.00,,0.00,0.00,,,-30.00M,-30.00M,-1.00M,156.00M,,2017-09,473.00M,12.00M,2.854B,,2017-09,,,0.00,0.00,,51.00M,,2017-09,AOR,Restated
2017-06,203.00M,-64.00M,-115.00M,-206.00M,,,,241.00M,-20.00M,15.00M,,26.00M,-51.00M,26.00M,,,42.00M,8.00M,37.00M,-16.00M,97.00M,737.00M,,2017-06,-191.00M,75.00M,62.00M,,-190.00M,3.00M,,2017-06,-226.00M,,-226.00M,-55.00M,0.00,-55.00M,,,-33.00M,-33.00M,317.00M,92.00M,,2017-06,242.00M,8.00M,2.369B,,2017-06,,-55.00M,587.00M,0.00,-3.00M,144.00M,,2017-06,AOR,Restated
2017-03,317.00M,,-224.00M,-227.00M,,,,528.00M,-12.00M,49.00M,,55.00M,104.00M,48.00M,,,77.00M,-21.00M,-89.00M,21.00M,36.00M,746.00M,,2017-03,-673.00M,32.00M,12.00M,,190.00M,-3.00M,,2017-03,226.00M,,226.00M,55.00M,,55.00M,,,-32.00M,-32.00M,-373.00M,-124.00M,,2017-03,168.00M,-8.00M,2.119B,,2017-03,,55.00M,-587.00M,,3.00M,92.00M,,2017-03,AOR,Restated
2016-12,3.45B,,-24.00M,-21.00M,,,,172.00M,343.00M,-4.301B,,40.00M,115.00M,-252.00M,,,-71.00M,84.00M,3.00M,35.00M,-201.00M,263.00M,,2016-12,1.067B,1.131B,1.923B,,,-7.00M,,2016-12,-1.615B,0.00,-1.615B,-835.00M,,-835.00M,,,-31.00M,-31.00M,74.00M,-1.433B,,2016-12,-360.00M,-66.00M,1.959B,,2016-12,,-835.00M,47.00M,,,167.00M,,2016-12,AOR,Restated
2016-09,1.007B,,-43.00M,-1.394B,,,,394.00M,86.00M,319.00M,,23.00M,146.00M,87.00M,,,6.00M,98.00M,-54.00M,9.00M,146.00M,727.00M,,2016-09,-424.00M,1.68B,1.677B,,0.00,34.00M,,2016-09,-1.439B,0.00,-1.439B,59.00M,,59.00M,,,-32.00M,-32.00M,66.00M,-1.346B,,2016-09,671.00M,-9.00M,2.385B,,2016-09,,59.00M,-2.255B,,,691.00M,,2016-09,AOR,Restated
2016-06,-1.563B,,179.00M,179.00M,,,,484.00M,-179.00M,1.497B,,32.00M,56.00M,-154.00M,,,65.00M,-107.00M,53.00M,-18.00M,-161.00M,345.00M,,2016-06,-500.00M,191.00M,180.00M,,0.00,-26.00M,,2016-06,160.00M,0.00,160.00M,49.00M,,49.00M,,,-33.00M,-33.00M,-86.00M,90.00M,,2016-06,100.00M,-12.00M,1.723B,,2016-06,,49.00M,-290.00M,,0.00,-174.00M,,2016-06,AOR,Restated
2016-03,-3.468B,,90.00M,90.00M,,,,542.00M,-207.00M,3.035B,,108.00M,-175.00M,261.00M,,,-222.00M,251.00M,-76.00M,26.00M,240.00M,165.00M,,2016-03,-2.376B,18.00M,-1.609B,,0.00,-1.00M,,2016-03,137.00M,-626.00M,-489.00M,2.196B,,2.196B,,,-125.00M,-125.00M,-89.00M,1.493B,,2016-03,-701.00M,26.00M,1.635B,,2016-03,,2.196B,-885.00M,,0.00,-115.00M,,2016-03,AOR,Restated
