,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,2.178B,64.28B,,64.28B,,1.160B,1.160B,67.03B,,,,,,,514.90M,707.20M,707.20M,33.76B,198.80M,,33.56B,61.08B,102.97B,170.00B,,,,,,,,300.00M,8.601B,8.601B,143.88B,152.48B,158.32B,,11.69B,,,,884.90M,,,,11.69B,,AOR,
2020-09,4.738B,46.74B,42.55B,89.29B,,2.297B,2.297B,93.12B,,,,,,,510.00M,698.00M,698.00M,32.77B,223.00M,,32.54B,59.31B,101.52B,152.08B,,,,,,,,2.474B,10.90B,10.90B,122.59B,133.49B,140.50B,,1.294B,12.12B,961.80M,3.219B,884.90M,,,424.50M,11.58B,,AOR,
2020-06,4.462B,49.53B,39.97B,89.50B,,2.070B,2.070B,93.07B,,,,,,,501.00M,690.60M,690.60M,33.76B,218.00M,,33.54B,55.21B,98.33B,151.43B,,,,,,,,751.20M,12.62B,12.62B,122.05B,134.68B,140.05B,,1.294B,11.99B,951.50M,3.222B,884.90M,,,370.40M,11.38B,,AOR,
2020-03,5.833B,55.85B,39.44B,95.30B,,2.117B,2.117B,98.41B,,,,,,,490.20M,689.30M,689.30M,37.84B,157.80M,,37.68B,52.08B,102.74B,161.71B,,,,,,,,4.405B,10.10B,10.10B,131.49B,141.59B,150.83B,,1.294B,11.83B,938.30M,3.225B,884.90M,,,45.00M,10.88B,,AOR,
2019-12,4.459B,43.22B,38.88B,82.10B,,845.70M,845.70M,83.66B,14.50M,305.80M,731.00M,416.10M,1.467B,-984.10M,483.30M,696.80M,696.80M,31.41B,104.50M,,31.31B,51.16B,92.05B,136.83B,,,,,,,,1.043B,10.74B,10.74B,109.12B,119.86B,125.74B,,1.682B,11.66B,1.013B,3.066B,1.273B,,,-194.70M,11.09B,,AOR,
2019-09,5.038B,31.50B,38.92B,70.42B,,2.102B,2.102B,73.06B,,,,,,,400.50M,687.20M,687.20M,30.84B,105.70M,,30.74B,50.41B,90.22B,124.36B,,,,,,,,466.20M,11.83B,11.83B,97.26B,109.10B,113.54B,,1.291B,11.44B,1.010B,2.839B,882.00M,,,-91.00M,10.81B,,AOR,Restated
2019-06,5.348B,37.10B,37.87B,74.96B,,1.311B,1.311B,76.93B,,,,,,,407.50M,682.00M,682.00M,30.98B,110.80M,,30.87B,48.22B,87.48B,126.55B,,,,,,,,493.20M,11.76B,11.76B,100.23B,111.99B,115.75B,,1.291B,11.23B,1.014B,2.565B,882.00M,,,-159.80M,10.81B,,AOR,Restated
2019-03,5.074B,32.36B,37.06B,69.42B,,2.067B,2.067B,72.04B,,,,,,,411.50M,683.00M,683.00M,30.62B,114.50M,,30.51B,49.20B,86.89B,121.87B,,,,,,,,691.50M,11.18B,11.18B,95.84B,107.02B,111.25B,,1.291B,10.97B,1.003B,2.305B,882.00M,,,-345.30M,10.62B,,AOR,Restated
2018-12,4.582B,38.93B,36.89B,75.81B,,1.646B,1.646B,78.63B,15.40M,245.70M,649.90M,406.00M,1.317B,-888.80M,428.20M,669.30M,669.30M,32.49B,112.60M,,32.38B,51.24B,90.48B,132.21B,,,,,,,,2.762B,11.30B,11.30B,104.50B,115.80B,121.70B,,1.291B,10.78B,1.068B,2.174B,882.00M,,,-453.70M,10.51B,,AOR,Restated
2018-09,5.073B,40.68B,36.13B,76.81B,,1.541B,1.541B,79.86B,,,,,,,417.20M,672.70M,672.70M,31.35B,119.60M,,31.23B,50.58B,88.65B,132.38B,,,,,,,,2.611B,11.10B,11.10B,104.89B,115.99B,122.01B,,1.291B,10.50B,1.055B,1.951B,882.00M,,,-526.90M,10.36B,,AOR,Restated
2018-06,4.888B,42.47B,35.18B,77.66B,,2.027B,2.027B,81.11B,,,,,,,428.80M,673.50M,673.50M,32.47B,127.20M,,32.35B,49.41B,89.18B,135.11B,,,,,,,,4.203B,10.82B,10.82B,106.52B,117.35B,124.75B,,1.291B,10.26B,1.050B,1.738B,882.00M,,,-508.10M,10.36B,,AOR,Restated
2018-03,6.081B,40.46B,34.26B,74.72B,,581.50M,581.50M,76.83B,,,,,,,442.60M,611.60M,611.60M,32.11B,125.40M,,31.98B,48.60B,87.10B,129.67B,,,,,,,,1.143B,10.23B,10.23B,105.19B,115.42B,119.45B,,1.291B,9.974B,1.020B,1.553B,882.00M,,,-505.70M,10.23B,,AOR,Restated
2017-12,4.518B,50.61B,33.74B,84.35B,,1.647B,1.647B,87.32B,,,,,,,464.60M,605.60M,605.60M,32.59B,131.20M,,32.46B,46.79B,85.01B,138.59B,,,,,,,,3.120B,9.275B,9.275B,112.39B,121.67B,128.37B,,1.291B,9.685B,1.047B,1.392B,882.00M,,,-414.30M,10.22B,,AOR,Restated
2017-09,5.263B,45.01B,33.84B,78.85B,,1.274B,1.274B,81.80B,,,,,,,462.50M,526.50M,526.50M,33.34B,150.30M,,33.19B,44.66B,83.45B,131.40B,,,,,,,,2.666B,9.490B,9.490B,105.81B,115.30B,121.24B,,1.291B,9.431B,1.038B,1.259B,882.00M,,,-335.10M,10.17B,,AOR,Restated
2017-06,5.695B,39.60B,34.17B,73.77B,,1.707B,1.707B,77.57B,,,,,,,463.30M,523.10M,523.10M,33.50B,153.80M,,33.35B,43.42B,82.20B,125.61B,,,,,,,,622.30M,7.498B,7.498B,104.31B,111.81B,115.54B,,1.291B,9.248B,1.027B,1.158B,882.00M,,,-338.90M,10.07B,,AOR,Restated
2017-03,4.649B,35.86B,35.00B,70.85B,,1.560B,1.560B,74.35B,,,,,,,459.90M,519.30M,519.30M,33.47B,162.00M,,33.31B,43.94B,82.14B,121.49B,,,,,,,,802.70M,7.173B,7.173B,100.53B,107.70B,111.51B,,1.291B,9.074B,1.010B,1.046B,882.00M,,,-352.00M,9.978B,,AOR,Restated
2016-12,5.332B,36.81B,35.58B,72.39B,,1.044B,1.044B,75.40B,,,,,,,466.60M,519.40M,519.40M,33.82B,161.00M,,33.66B,44.50B,84.10B,123.93B,,,,,,,,678.50M,8.214B,8.214B,101.65B,109.87B,114.16B,,1.291B,8.908B,1.036B,1.094B,882.00M,,,-370.00M,9.770B,,AOR,Restated
2016-09,4.893B,32.96B,35.97B,68.93B,,1.984B,1.984B,72.98B,,,,,,,438.80M,524.40M,524.40M,33.42B,191.00M,,33.23B,44.69B,83.08B,120.08B,,,,,,,,680.30M,7.177B,7.177B,99.47B,106.65B,110.51B,,1.291B,8.736B,1.039B,1.226B,882.00M,,,-259.70M,9.580B,,AOR,Restated
2016-06,5.312B,35.34B,34.63B,69.97B,,2.217B,2.217B,74.05B,,,,,,,434.00M,527.80M,527.80M,34.56B,192.00M,,34.37B,41.01B,82.09B,121.51B,,,,,,,,871.50M,9.23B,9.23B,99.09B,108.32B,112.56B,,797.10M,8.566B,1.040B,1.212B,388.50M,,,-239.60M,8.952B,,AOR,Restated
2016-03,7.005B,34.96B,33.33B,68.29B,,1.903B,1.903B,71.95B,,,,,,,437.80M,523.60M,523.60M,34.14B,195.60M,,33.95B,39.20B,79.18B,117.80B,,,,,,,,770.40M,7.189B,7.189B,97.66B,104.85B,108.97B,,797.10M,8.395B,1.022B,1.097B,388.50M,,,-283.90M,8.833B,,AOR,Restated
2015-12,6.418B,36.99B,32.32B,69.30B,,2.157B,2.157B,73.08B,,,,,,,446.90M,526.40M,526.40M,33.18B,193.80M,,32.99B,37.57B,75.99B,116.75B,,,,,,,,898.10M,7.201B,7.201B,96.87B,104.07B,108.04B,,797.10M,8.243B,1.072B,1.034B,388.50M,,,-372.70M,8.706B,,AOR,Restated
2015-09,4.486B,40.67B,31.09B,71.76B,,1.918B,1.918B,74.94B,,,,,,,427.70M,529.70M,529.70M,33.38B,242.20M,,33.14B,36.94B,76.15B,120.00B,,,,,,,,828.00M,7.250B,7.250B,99.94B,107.19B,111.21B,,797.10M,8.094B,1.059B,891.30M,388.50M,,,-273.70M,8.784B,,AOR,Restated
2015-06,7.153B,40.29B,31.84B,72.13B,,2.034B,2.034B,75.18B,,,,,,,436.50M,534.30M,534.30M,32.95B,257.30M,,32.70B,38.83B,76.60B,119.94B,,,,,,,,381.10M,6.460B,6.460B,100.69B,107.15B,111.19B,,797.10M,7.950B,1.045B,768.50M,388.50M,,,-273.70M,8.749B,,AOR,Restated
2015-03,4.075B,28.31B,30.95B,59.26B,,2.219B,2.219B,62.59B,,,,,,,442.40M,527.30M,527.30M,32.63B,259.00M,,32.37B,36.60B,75.31B,106.95B,,,,,,,,1.024B,6.048B,6.048B,86.74B,92.78B,98.34B,,797.10M,7.772B,1.025B,719.70M,388.50M,,,-266.40M,8.608B,,AOR,Restated
