,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,294.50M,,0.00,0.00,0.00,28.30M,95.60M,123.90M,123.90M,,23.50M,,,-548.60M,87.00M,11.10M,,-69.80M,28.30M,-77.90M,,-125.70M,,-26.00M,-99.70M,0.00,-3.675B,-67.50M,1.177B,,0.00,-1.682B,-1.682B,,-1.50M,-1.50M,,0.00,0.00,-145.80M,-4.70M,-150.50M,0.10M,0.40M,-838.30M,,4.462B,260.60M,14.70M,4.738B,,,0.00,,-1.50M,74.80M,15.60M,,AOR,
2020-06,313.30M,,-0.10M,0.00,-0.10M,29.50M,95.30M,124.80M,124.80M,,17.40M,,,-113.40M,83.30M,-10.40M,,2.703B,2.776B,3.184B,,-132.00M,,-39.00M,-93.00M,,-2.479B,562.40M,7.209B,,993.20M,1.526B,2.519B,,-0.20M,-0.20M,,0.00,0.00,-145.90M,-19.20M,-165.10M,1.80M,-8.00M,-11.84B,,5.833B,-1.445B,73.70M,4.462B,,,993.20M,,-0.20M,117.10M,48.00M,,AOR,
2020-03,360.60M,,0.00,-10.60M,-10.60M,28.10M,95.70M,123.80M,123.80M,,22.40M,,,456.10M,-122.70M,-5.70M,,-3.570B,-3.699B,-2.685B,,-132.40M,,-37.60M,-94.80M,,-1.216B,-1.395B,-21.50B,,,-778.00M,-778.00M,,-296.80M,-296.80M,,-400.00M,-400.00M,-147.10M,-5.80M,-152.90M,8.80M,8.30M,25.71B,,4.459B,1.522B,-148.40M,5.833B,,,,,-696.80M,72.60M,126.70M,,AOR,
2019-12,371.10M,,0.50M,-3.10M,-2.60M,26.70M,90.60M,117.30M,117.30M,,12.90M,,,-203.00M,207.60M,-14.40M,,1.114B,1.342B,1.636B,,-245.30M,,-108.20M,-137.10M,0.00,-469.10M,518.30M,-12.40B,,0.00,-1.066B,-1.066B,,-264.40M,-264.40M,,,392.50M,-148.70M,-17.30M,-166.00M,24.10M,-1.10M,10.11B,,5.038B,-652.20M,73.80M,4.459B,,,0.00,,-264.40M,76.70M,169.60M,,AOR,
2019-09,384.60M,,0.40M,0.00,0.40M,26.80M,88.50M,115.30M,115.30M,,14.10M,,,249.40M,141.70M,-3.90M,,-317.50M,-179.70M,577.10M,,-118.00M,,-22.10M,-95.90M,-10.50M,-2.511B,-585.20M,1.667B,,0.00,26.50M,26.50M,,-307.20M,-307.20M,,0.00,0.00,-129.10M,-5.90M,-135.00M,10.80M,0.10M,-2.484B,,5.348B,-239.30M,-71.40M,5.038B,,,0.00,,-307.20M,127.30M,206.70M,,AOR,Restated
2019-06,389.40M,,0.30M,0.00,0.30M,24.80M,87.60M,112.40M,112.40M,,17.60M,,,-126.30M,-365.00M,-1.70M,,64.60M,-302.10M,84.80M,,-145.50M,,-18.60M,-126.90M,,1.258B,-346.20M,-4.276B,,498.00M,13.50M,511.50M,,-271.20M,-271.20M,,0.00,0.00,-131.10M,-17.30M,-148.40M,3.60M,,4.431B,,5.074B,239.50M,34.70M,5.348B,,,498.00M,,-271.20M,205.80M,225.00M,,AOR,Restated
2019-03,347.10M,,0.20M,-3.00M,-2.80M,24.90M,89.00M,113.90M,113.90M,,20.00M,,,-368.30M,-105.30M,-3.60M,,292.70M,183.80M,293.70M,,-91.00M,,-9.10M,-81.90M,,2.104B,-40.80M,11.61B,,,-158.70M,-158.70M,,-257.40M,-257.40M,,0.00,0.00,-120.80M,-5.90M,-126.70M,5.50M,,-11.45B,,4.582B,454.90M,37.60M,5.074B,,,,,-257.40M,27.20M,244.20M,,AOR,Restated
2018-12,409.90M,,0.70M,-2.60M,-1.90M,26.70M,87.30M,114.00M,114.00M,,16.10M,,,435.70M,-86.00M,2.40M,,-437.60M,-510.70M,459.10M,,-177.90M,,-58.60M,-119.30M,-34.20M,-523.70M,-328.60M,-1.021B,,-8.90M,171.80M,162.90M,,-234.60M,-234.60M,,,,-121.80M,-17.30M,-139.10M,2.70M,1.00M,77.80M,,5.073B,-484.20M,-7.60M,4.582B,,,0.00,-8.90M,-234.60M,141.30M,228.80M,,AOR,Restated
2018-09,374.50M,,0.10M,0.00,0.10M,26.70M,87.00M,113.70M,113.70M,,21.00M,,,294.30M,-33.50M,13.40M,,679.40M,659.30M,1.454B,,-130.60M,,-15.70M,-114.90M,0.00,-1.452B,517.40M,1.731B,,192.50M,86.00M,278.50M,,-235.90M,-235.90M,,,,-94.00M,-5.90M,-99.90M,8.00M,0.10M,-2.940B,,4.888B,245.00M,-59.70M,5.073B,,,497.90M,-305.40M,-235.90M,151.50M,178.00M,,AOR,Restated
2018-06,390.40M,,0.00,0.00,0.00,27.40M,89.90M,117.30M,117.30M,,23.20M,,,242.30M,-127.80M,7.00M,,-321.60M,-442.40M,332.30M,,-111.70M,,-17.30M,-94.40M,-70.00M,-1.575B,-1.396B,-7.539B,,1.70M,605.40M,607.10M,,-190.60M,-190.60M,,,,-94.60M,-17.30M,-111.90M,2.80M,,6.211B,,6.081B,-995.60M,-197.70M,4.888B,,,0.00,1.70M,-190.60M,171.00M,147.40M,,AOR,Restated
