,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-11,2.583B,,2.583B,1.784B,,1.784B,546.10M,1.360B,,1.712B,328.60M,,,6.408B,,,,,,,,,,3.530B,14.02B,7.148B,21.17B,,,1.202B,25.90B,32.31B,,3.399B,,,,3.399B,,3.399B,,126.20M,2.886B,3.012B,,3.012B,,,,2.054B,8.464B,10.95B,,10.95B,1.939B,1.939B,,,,302.60M,587.70M,1.511B,14.99B,23.46B,,75.50M,16.37B,1.333B,6.365B,,,-2.868B,8.55B,,AOR,
2020-08,1.797B,,1.797B,1.633B,,1.633B,514.80M,1.286B,,1.605B,320.00M,,,5.355B,,,,,,,,,,3.557B,14.01B,7.150B,21.16B,,,1.190B,25.91B,31.26B,,3.184B,,,,3.184B,,3.184B,,162.70M,2.626B,2.788B,,2.788B,,,,1.640B,7.613B,10.83B,,10.83B,1.924B,1.924B,,,,313.30M,584.90M,1.549B,14.89B,22.50B,,75.50M,16.31B,1.336B,6.370B,,,-2.909B,8.445B,,AOR,
2020-05,1.678B,,1.678B,1.615B,155.80M,1.771B,485.80M,1.143B,,1.426B,194.50M,,46.80M,5.121B,0.00,66.10M,2.413B,7.102B,365.20M,373.50M,,10.32B,-6.374B,3.946B,13.92B,7.096B,21.02B,566.70M,,132.70M,25.69B,30.81B,,3.248B,20.70M,80.30M,39.20M,3.388B,1.074B,4.462B,17.80M,279.00M,2.332B,2.610B,102.00M,2.712B,,,,299.70M,7.492B,10.93B,277.00M,11.21B,1.947B,1.947B,,958.70M,,291.00M,544.60M,70.70M,14.97B,22.46B,,75.50M,15.98B,1.349B,6.433B,,,-2.914B,8.058B,,AOR,
2020-02,606.90M,,606.90M,1.731B,,1.731B,477.90M,1.274B,,1.542B,428.40M,,,4.308B,,,,,,,,,,3.535B,13.95B,7.108B,21.06B,,,1.346B,25.94B,30.25B,,2.932B,,,,2.932B,,2.932B,,1.175B,863.70M,2.038B,,2.038B,,,,1.727B,6.697B,11.59B,,11.59B,2.027B,2.027B,,,,285.00M,538.60M,1.537B,15.69B,22.39B,,75.50M,15.36B,1.335B,6.611B,,,-2.584B,7.575B,,AOR,
2019-11,560.20M,,560.20M,1.773B,,1.773B,497.20M,1.434B,,1.720B,426.50M,,,4.479B,,,,,,,,,,3.588B,13.97B,7.133B,21.11B,,,1.278B,25.97B,30.45B,,3.063B,,,,3.063B,,3.063B,,1.345B,1.537B,2.882B,,2.882B,,,,1.417B,7.362B,10.95B,,10.95B,2.016B,2.016B,,,,308.30M,545.10M,1.555B,15.07B,22.43B,,75.50M,15.50B,1.387B,6.662B,,,-2.590B,7.712B,,AOR,Restated
2019-08,504.80M,,504.80M,1.710B,,1.710B,497.50M,1.419B,,1.700B,346.00M,,,4.261B,,,,,,,,,,3.668B,13.98B,7.151B,21.14B,,,1.248B,26.05B,30.31B,,2.787B,,,,2.787B,,2.787B,,1.296B,1.392B,2.688B,,2.688B,,,,1.429B,6.903B,11.62B,,11.62B,1.992B,1.992B,,,,312.80M,547.80M,1.555B,15.71B,22.62B,,75.50M,15.22B,1.371B,6.682B,,,-2.601B,7.383B,,AOR,Restated
2019-05,450.00M,,450.00M,1.680B,292.40M,1.972B,526.90M,1.246B,,1.559B,189.00M,,9.40M,4.186B,0.00,73.60M,2.478B,7.186B,,343.80M,,10.08B,-6.293B,3.787B,14.00B,7.167B,21.16B,452.90M,,198.50M,25.92B,30.11B,,2.854B,19.20M,37.50M,13.20M,2.924B,922.50M,3.846B,36.50M,1.469B,1.396B,2.865B,0.00,2.865B,,,,338.90M,7.087B,11.62B,0.00,11.62B,2.031B,2.031B,,1.153B,,313.20M,551.70M,68.50M,15.66B,22.74B,,75.50M,15.00B,1.387B,6.779B,,,-2.625B,7.054B,,AOR,Restated
2019-02,547.10M,,547.10M,1.704B,,1.704B,498.80M,1.263B,,1.544B,374.10M,,,4.170B,,,,,,,,,,3.823B,14.03B,7.196B,21.22B,,,1.072B,26.12B,30.29B,,2.750B,,,,2.750B,,2.750B,,1.971B,1.407B,3.378B,,3.378B,,,,1.388B,7.517B,11.64B,,11.64B,2.047B,2.047B,,,,319.00M,548.90M,1.281B,15.52B,23.04B,,75.50M,14.72B,1.414B,6.924B,,,-2.360B,6.930B,,AOR,Restated
2018-11,532.70M,,532.70M,1.717B,,1.717B,509.20M,1.349B,,1.639B,345.10M,,,4.234B,,,,,,,,,,3.897B,14.02B,7.203B,21.22B,,,1.032B,26.15B,30.38B,,2.824B,,,,2.824B,,2.824B,,1.056B,1.991B,3.047B,,3.047B,,,,1.427B,7.298B,12.21B,,12.21B,2.037B,2.037B,,,,327.60M,547.60M,1.313B,16.11B,23.40B,,75.50M,14.57B,1.433B,7.010B,,,-2.419B,6.652B,,AOR,Restated
2018-08,432.90M,,432.90M,1.709B,,1.709B,489.10M,1.416B,,1.686B,358.00M,,,4.186B,,,,,,,,,,3.955B,14.03B,7.421B,21.45B,,,963.00M,26.37B,30.55B,,2.724B,,,,2.724B,,2.724B,,1.349B,1.599B,2.949B,,2.949B,,,,1.515B,7.188B,12.67B,,12.67B,2.029B,2.029B,,,,350.70M,771.60M,1.326B,16.79B,23.98B,,75.50M,14.52B,1.161B,7.036B,,,-2.499B,6.225B,,AOR,Restated
2018-05,399.00M,,399.00M,1.684B,214.90M,1.899B,491.20M,1.364B,,1.642B,165.60M,,10.70M,4.124B,0.00,77.70M,2.397B,6.836B,,692.90M,,10.00B,-5.956B,4.047B,14.06B,7.445B,21.51B,499.60M,,133.50M,26.50B,30.62B,,2.746B,17.50M,94.80M,8.30M,2.867B,954.30M,3.821B,66.80M,1.550B,1.600B,3.150B,,3.150B,,,,304.10M,7.342B,12.67B,,12.67B,2.004B,2.004B,,999.40M,,351.30M,776.20M,76.30M,16.79B,24.13B,,75.50M,14.46B,1.202B,7.168B,,,-2.429B,6.141B,,AOR,Restated
2018-02,953.10M,,953.10M,1.496B,,1.496B,493.90M,1.170B,,1.452B,375.00M,,,4.277B,,,,,,,,,,3.626B,8.867B,4.604B,13.47B,,,865.90M,17.96B,22.24B,,2.506B,,,,2.506B,,2.506B,,1.211B,1.250B,2.461B,,2.461B,,,,1.243B,6.210B,7.164B,,7.164B,1.234B,1.234B,,,,369.10M,817.50M,1.481B,10.70B,16.91B,,75.50M,14.40B,1.235B,8.191B,,,-2.552B,4.966B,,AOR,Restated
2017-11,962.10M,,962.10M,1.510B,,1.510B,519.60M,1.212B,,1.516B,345.00M,,,4.334B,,,,,,,,,,3.631B,8.828B,4.582B,13.41B,,,815.90M,17.86B,22.19B,,2.467B,,,,2.467B,,2.467B,,1.298B,200.50M,1.498B,,1.498B,,,,1.384B,5.350B,8.228B,,8.228B,1.791B,1.791B,,,,359.00M,793.40M,1.440B,12.25B,17.60B,,75.50M,13.41B,1.243B,8.253B,,,-2.244B,4.231B,,AOR,Restated
2017-08,820.80M,,820.80M,1.546B,,1.546B,476.50M,1.334B,,1.595B,376.00M,,,4.338B,,,,,,,,,,3.648B,8.832B,4.593B,13.43B,,,797.40M,17.87B,22.21B,,2.173B,,,,2.173B,,2.173B,,1.660B,604.70M,2.265B,,2.265B,,,,1.452B,5.890B,7.823B,,7.823B,1.761B,1.761B,,,,379.10M,967.50M,1.486B,12.04B,17.93B,,75.50M,13.26B,1.071B,8.270B,,,-2.232B,3.904B,,AOR,Restated
2017-05,766.10M,,766.10M,1.430B,198.70M,1.629B,468.40M,1.224B,,1.484B,168.90M,,11.30M,4.061B,0.00,79.80M,2.250B,6.644B,,553.00M,,9.527B,-5.839B,3.688B,8.747B,4.530B,13.28B,505.30M,,135.70M,17.75B,21.81B,,2.120B,21.50M,58.00M,18.10M,2.217B,893.00M,3.110B,85.00M,1.234B,604.70M,1.839B,,1.839B,,,,296.60M,5.331B,7.643B,,7.643B,1.719B,1.719B,,1.250B,,357.60M,910.90M,111.10M,11.80B,17.13B,,75.50M,13.14B,1.121B,7.763B,,,-2.244B,4.328B,,AOR,Restated
2017-02,899.10M,,899.10M,1.428B,,1.428B,462.60M,1.191B,,1.461B,340.40M,,,4.128B,,,,,,,,,,3.575B,8.706B,4.500B,13.21B,,,761.60M,17.54B,21.67B,,1.855B,,,,1.855B,,1.855B,,1.942B,604.70M,2.547B,,2.547B,,,,1.342B,5.744B,7.176B,,7.176B,1.548B,1.548B,,,,340.10M,869.20M,1.93B,11.52B,17.27B,,75.50M,13.01B,1.130B,7.800B,,,-2.350B,4.063B,,AOR,Restated
2016-11,809.70M,,809.70M,1.383B,,1.383B,486.60M,1.239B,,1.526B,393.60M,,,4.112B,,,,,,,,,,3.571B,8.679B,4.487B,13.17B,,,752.80M,17.49B,21.60B,,1.938B,,,,1.938B,,1.938B,,1.422B,1.508B,2.929B,,2.929B,,,,1.377B,6.244B,6.542B,,6.542B,1.506B,1.506B,,,,345.20M,801.70M,1.982B,10.83B,17.08B,,75.50M,12.93B,1.179B,7.529B,,,-2.477B,4.181B,,AOR,Restated
2016-08,765.70M,,765.70M,1.446B,,1.446B,486.50M,1.277B,,1.548B,433.70M,,,4.193B,,,,,,,,,,3.655B,8.758B,4.552B,13.31B,,,754.40M,17.72B,21.91B,,1.945B,,,,1.945B,,1.945B,,690.50M,1.103B,1.794B,,1.794B,,,,1.476B,5.215B,7.078B,,7.078B,1.443B,1.443B,,,,380.30M,841.00M,2.048B,11.41B,16.62B,,75.50M,12.73B,1.185B,6.602B,,,-2.485B,4.908B,,AOR,Restated
2016-05,763.70M,,763.70M,1.361B,203.90M,1.565B,469.90M,1.163B,,1.414B,177.90M,,15.40M,3.937B,0.00,92.90M,2.236B,6.472B,,702.70M,,9.504B,-5.760B,3.744B,8.741B,4.539B,13.28B,531.60M,,129.20M,17.78B,21.71B,,2.046B,23.80M,110.50M,35.60M,2.216B,1.040B,3.257B,76.60M,269.80M,1.103B,1.373B,,1.373B,,,,308.00M,5.015B,7.058B,,7.058B,1.400B,1.400B,,1.755B,,376.90M,845.60M,128.60M,11.39B,16.41B,,75.50M,12.62B,1.177B,6.327B,,,-2.612B,4.930B,,AOR,Restated
2016-02,782.70M,,782.70M,1.391B,,1.391B,448.50M,1.124B,,1.350B,401.30M,86.20M,,4.011B,,,,,,,,,,3.604B,8.692B,4.510B,13.20B,,,813.60M,17.62B,21.63B,,1.726B,,,,1.726B,,1.726B,,640.30M,1.104B,1.744B,,1.744B,,,,1.784B,5.254B,7.024B,,7.024B,1.576B,1.576B,,,,374.90M,826.70M,1.688B,11.11B,16.37B,,75.50M,12.51B,1.164B,6.450B,,,-2.415B,4.889B,,AOR,Restated
2015-11,649.80M,,649.80M,1.461B,,1.461B,506.30M,1.184B,,1.455B,382.90M,98.60M,,4.048B,,,,,,,,,,3.588B,8.602B,4.471B,13.07B,,,879.60M,17.54B,21.59B,,1.704B,,,,1.704B,,1.704B,,306.70M,1.100B,1.407B,,1.407B,,,,1.858B,4.969B,7.417B,,7.417B,1.508B,1.508B,,,,368.20M,817.40M,1.712B,11.45B,16.42B,,75.50M,12.42B,1.155B,6.443B,,,-2.407B,4.797B,,AOR,Restated
2015-08,450.60M,,450.60M,1.532B,,1.532B,514.20M,1.518B,,1.796B,439.60M,87.60M,,4.305B,,,,,,,,,,3.679B,8.858B,4.655B,13.51B,,,825.90M,18.02B,22.32B,,1.760B,,,,1.760B,,1.760B,,823.70M,1.000B,1.824B,,1.824B,,,,1.716B,5.300B,7.610B,,7.610B,1.561B,1.561B,,,,402.90M,786.60M,1.714B,11.67B,16.97B,,75.50M,12.15B,1.232B,6.089B,,,-2.420B,4.949B,,AOR,Restated
2015-05,334.20M,,334.20M,1.387B,229.70M,1.616B,486.50M,1.269B,,1.541B,169.30M,,21.50M,3.686B,0.00,96.00M,2.273B,6.600B,,622.20M,,9.591B,-5.808B,3.783B,8.875B,4.677B,13.55B,561.30M,,111.70M,18.15B,21.83B,,1.684B,27.90M,20.70M,122.90M,1.856B,1.018B,2.874B,120.80M,615.80M,1.000B,1.616B,,1.616B,,,,279.30M,4.890B,7.575B,,7.575B,1.450B,1.450B,,1.451B,,396.00M,778.90M,90.90M,11.55B,16.44B,,75.50M,11.99B,1.297B,6.056B,,,-2.311B,4.997B,,AOR,Restated
2015-02,784.20M,,784.20M,1.585B,,1.585B,514.40M,1.290B,,1.585B,389.10M,120.70M,,4.464B,,,,,,,,,,3.725B,8.935B,4.993B,13.93B,,,1.265B,18.92B,23.38B,,1.481B,,,,1.481B,,1.481B,,1.898B,1.751B,3.648B,,3.648B,,,,1.573B,6.702B,6.643B,,6.643B,1.793B,1.793B,,,,407.90M,801.50M,1.595B,10.83B,17.53B,,75.50M,12.07B,1.293B,6.160B,,,-1.838B,5.441B,,AOR,Restated
2014-11,894.50M,,894.50M,1.706B,,1.706B,571.60M,1.546B,,1.893B,394.20M,98.50M,,4.986B,,,,,,,,,,3.824B,9.079B,5.128B,14.21B,,,1.186B,19.22B,24.20B,,1.657B,,,,1.657B,,1.657B,,2.071B,750.70M,2.822B,,2.822B,,,,1.615B,6.094B,7.713B,,7.713B,1.762B,1.762B,,,,437.90M,901.40M,1.624B,12.00B,18.09B,,75.50M,11.98B,1.260B,6.079B,,,-1.560B,5.672B,,AOR,Restated
2014-08,841.20M,,841.20M,1.623B,,1.623B,573.00M,1.484B,,1.823B,341.10M,66.60M,,4.696B,,,,,,,,,,3.907B,8.608B,4.968B,13.58B,,,1.194B,18.68B,23.37B,,1.571B,,,,1.571B,,1.571B,,1.795B,855.40M,2.651B,,2.651B,,,,1.571B,5.793B,6.669B,,6.669B,1.669B,1.669B,,,,480.50M,959.10M,1.600B,10.90B,16.69B,,75.50M,11.88B,1.238B,5.614B,,,-1.375B,6.202B,,AOR,Restated
2014-05,867.30M,,867.30M,1.484B,187.20M,1.671B,516.10M,1.260B,,1.559B,187.20M,74.10M,27.20M,4.394B,0.00,106.90M,2.229B,6.457B,,600.80M,,9.393B,-5.451B,3.942B,8.650B,5.014B,13.66B,575.70M,,137.60M,18.75B,23.15B,,1.611B,33.50M,63.10M,23.10M,1.731B,1.061B,2.792B,3.50M,1.112B,1.251B,2.362B,,2.362B,,,,265.90M,5.424B,6.424B,,6.424B,1.666B,1.666B,,1.342B,,470.60M,984.10M,105.70M,10.72B,16.14B,,75.50M,11.79B,1.232B,5.219B,,,-1.340B,6.535B,,AOR,Restated
2014-02,847.10M,,847.10M,1.648B,,1.648B,544.10M,1.232B,,1.560B,399.20M,103.60M,,4.558B,,,,,,,,,,3.797B,8.649B,5.012B,13.66B,,,909.80M,18.37B,22.92B,,1.360B,,,,1.360B,,1.360B,,545.30M,1.204B,1.749B,,1.749B,,,,1.574B,4.684B,7.180B,,7.180B,1.474B,1.474B,,,,470.40M,987.30M,1.822B,11.46B,16.15B,,75.50M,11.64B,1.216B,4.980B,,,-1.641B,6.308B,,AOR,Restated
2013-11,774.20M,,774.20M,1.726B,,1.726B,565.80M,1.409B,,1.752B,413.00M,110.80M,,4.776B,,,,,,,,,,3.809B,8.646B,5.020B,13.67B,,,900.40M,18.38B,23.15B,,1.424B,,,,1.424B,,1.424B,,1.051B,852.80M,1.904B,,1.904B,,,,1.662B,4.990B,6.741B,,6.741B,1.450B,1.450B,,,,453.10M,1.010B,1.874B,11.08B,16.07B,,75.50M,11.47B,1.164B,4.465B,,,-1.607B,6.633B,,AOR,Restated
2013-08,758.90M,,758.90M,1.638B,,1.638B,569.90M,1.431B,,1.774B,408.90M,114.30M,,4.693B,,,,,,,,,,3.789B,8.615B,5.004B,13.62B,,,842.90M,18.25B,22.94B,,1.426B,,,,1.426B,,1.426B,,1.583B,748.00M,2.331B,,2.331B,,,,1.706B,5.463B,5.914B,,5.914B,1.410B,1.410B,,,,469.50M,995.90M,1.869B,10.19B,15.65B,,75.50M,11.16B,1.190B,3.928B,,,-1.670B,6.824B,,AOR,Restated
2013-05,741.40M,,741.40M,1.446B,240.70M,1.687B,538.60M,1.229B,,1.546B,168.60M,128.00M,20.80M,4.299B,0.00,101.20M,2.169B,6.168B,,495.10M,,8.933B,-5.055B,3.878B,8.622B,5.015B,13.64B,567.30M,,144.60M,18.36B,22.66B,,1.423B,279.60M,88.00M,4.10M,1.795B,1.144B,2.939B,19.50M,599.70M,1.443B,2.043B,,2.043B,,,,292.70M,5.294B,5.926B,,5.926B,1.389B,1.389B,,1.560B,,456.30M,967.50M,115.60M,10.24B,15.53B,,75.50M,10.70B,1.167B,3.687B,,,-1.585B,6.672B,,AOR,Restated
2013-02,751.20M,,751.20M,1.592B,,1.592B,585.90M,1.240B,,1.606B,329.10M,87.60M,,4.366B,,,,,,,,,,3.807B,8.666B,5.060B,13.73B,,,894.70M,18.43B,22.79B,,1.186B,,,,1.186B,,1.186B,,682.70M,744.00M,1.427B,,1.427B,,,,1.670B,4.283B,6.632B,,6.632B,1.202B,1.202B,,,,462.70M,984.20M,2.213B,11.03B,15.31B,,75.50M,10.80B,1.169B,3.479B,,,-1.544B,7.017B,,AOR,Restated
2012-11,734.90M,,734.90M,1.674B,,1.674B,653.00M,1.332B,,1.770B,334.70M,51.90M,,4.566B,,,,,,,,,,3.814B,8.604B,5.026B,13.63B,,,943.30M,18.39B,22.95B,,1.245B,,,,1.245B,,1.245B,,1.940B,820.80M,2.761B,,2.761B,,,,1.731B,5.736B,5.572B,,5.572B,1.149B,1.149B,,,,456.30M,877.60M,2.178B,9.776B,15.51B,,75.50M,10.61B,1.262B,3.365B,,,-1.603B,6.984B,,AOR,Restated
2012-08,1.508B,,1.508B,1.474B,,1.474B,600.20M,1.417B,,1.808B,363.80M,63.20M,,5.217B,,,,,,,,,,3.604B,8.208B,4.724B,12.93B,,,883.00M,17.42B,22.64B,,1.265B,,,,1.265B,,1.265B,,1.682B,1.441B,3.123B,,3.123B,,,,1.587B,5.976B,5.462B,,5.462B,1.128B,1.128B,,,,448.00M,851.60M,2.126B,9.567B,15.54B,,75.50M,10.29B,1.289B,3.346B,,,-1.662B,6.645B,,AOR,Restated
2012-05,471.20M,,471.20M,1.324B,138.30M,1.462B,489.70M,1.212B,,1.479B,178.30M,59.70M,33.20M,3.691B,0.00,75.90M,1.981B,5.685B,,542.60M,,8.285B,-4.632B,3.653B,8.182B,4.705B,12.89B,627.90M,,194.70M,17.41B,21.10B,,1.149B,24.50M,39.20M,26.10M,1.239B,1.028B,2.267B,85.90M,526.50M,741.20M,1.268B,,1.268B,,,,222.60M,3.843B,6.162B,,6.162B,1.171B,1.171B,,1.853B,,461.00M,847.80M,105.80M,10.37B,14.21B,,75.50M,9.958B,1.308B,3.177B,,,-1.744B,6.422B,,AOR,Restated
2012-02,485.30M,,485.30M,1.437B,,1.437B,540.00M,1.228B,,1.528B,358.10M,27.80M,,3.836B,,,,,,,,,,3.550B,8.205B,4.728B,12.93B,,,1.119B,17.60B,21.44B,,1.012B,,,,1.012B,,1.012B,,690.80M,749.10M,1.440B,,1.440B,,,,1.397B,3.849B,6.195B,,6.195B,1.368B,1.368B,,,,482.80M,848.40M,1.775B,10.19B,14.03B,,75.50M,9.834B,1.338B,3.213B,,,-1.112B,6.922B,,AOR,Restated
