,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-11,4.719B,4.719B,2.998B,1.721B,804.10M,-0.40M,,,-100.60M,,804.10M,917.00M,,,-100.60M,32.50M,-100.60M,848.90M,189.40M,695.90M,,,-7.50M,688.40M,688.71M,1.066B,149.00M,917.00M,,1.12,,,1.121,1.12,,1.11,,,1.111,1.11,,614.80M,619.60M,0.51,,AOR,
2020-08,4.364B,4.364B,2.774B,1.590B,736.20M,-0.50M,,,-111.10M,,736.20M,854.20M,,,-111.10M,32.80M,-111.10M,775.90M,170.80M,646.40M,,,-7.50M,638.90M,639.29M,1.000B,146.10M,854.20M,,1.04,,,1.041,1.04,,1.03,,,1.031,1.03,,614.10M,619.80M,0.49,,AOR,
2020-05,5.023B,5.023B,3.255B,1.768B,927.10M,-11.50M,,,-118.60M,,927.10M,841.00M,,,-118.60M,10.60M,-118.60M,733.00M,139.60M,627.00M,,,-1.30M,625.70M,635.01M,1.074B,138.30M,935.40M,,1.03,,,1.045,1.03,,1.02,,,1.035,1.02,,611.10M,616.90M,0.49,,AOR,
2020-02,4.180B,4.180B,2.777B,1.403B,746.60M,-5.80M,,,-109.80M,,746.60M,656.60M,,,-109.80M,24.50M,-109.80M,571.30M,118.20M,463.90M,,,-9.80M,454.10M,458.70M,805.30M,148.70M,656.60M,,0.75,,,0.7576,0.75,,0.74,,,0.7475,0.74,,607.90M,612.80M,0.49,,AOR,
2019-11,4.421B,4.421B,2.852B,1.569B,759.00M,1.10M,,,-119.40M,,759.00M,810.10M,,,-119.40M,31.30M,-119.40M,722.00M,155.50M,591.40M,,,-10.60M,580.80M,579.94M,963.70M,153.60M,810.10M,,0.96,,,0.9586,0.96,,0.95,,,0.9486,0.95,,607.40M,612.30M,0.49,,AOR,Restated
2019-08,4.002B,4.002B,2.613B,1.390B,718.90M,-8.20M,,,-118.70M,,718.90M,670.60M,,,-118.70M,22.00M,-118.70M,573.90M,67.20M,528.50M,,,-7.90M,520.60M,527.84M,824.70M,154.10M,670.60M,,0.86,,,0.8719,0.86,,0.85,,,0.8618,0.85,,606.00M,611.50M,0.49,,AOR,Restated
2019-05,4.162B,4.162B,2.700B,1.461B,743.20M,-2.00M,,,-124.80M,,743.20M,718.10M,,,-124.80M,22.60M,-124.80M,615.90M,54.70M,581.20M,,,-11.00M,570.20M,572.02M,662.00M,155.50M,506.50M,,0.95,,,0.9530,0.95,,0.94,,,0.9430,0.94,,603.70M,609.60M,0.49,,AOR,Restated
2019-02,4.198B,4.198B,2.755B,1.443B,696.60M,-95.10M,,,-130.80M,,696.60M,746.40M,,,-130.80M,-73.70M,-130.80M,541.90M,95.80M,457.90M,,,-11.10M,446.80M,525.07M,900.90M,154.50M,746.40M,,0.74,,,0.8704,0.74,,0.74,,,0.8695,0.74,,600.40M,604.50M,0.49,,AOR,Restated
2018-11,4.411B,4.411B,2.902B,1.510B,753.30M,-209.40M,,,-132.70M,,753.30M,756.40M,,,-132.70M,-188.40M,-132.70M,435.30M,106.60M,351.20M,,,-7.80M,343.40M,501.50M,911.30M,154.90M,756.40M,,0.57,,,0.8338,0.57,,0.57,,,0.8315,0.57,,599.40M,604.50M,0.49,,AOR,Restated
2018-08,4.094B,4.094B,2.751B,1.343B,742.70M,1.40M,,,-133.50M,,742.70M,600.10M,,,-133.50M,22.30M,-133.50M,488.90M,110.70M,395.90M,,,-3.60M,392.30M,391.22M,755.30M,155.20M,600.10M,,0.66,,,0.6582,0.66,,0.65,,,0.6482,0.65,,598.00M,603.30M,0.49,,AOR,Restated
2018-05,3.890B,3.890B,2.471B,1.420B,732.20M,-151.30M,,,-137.10M,,732.20M,687.40M,,,-137.10M,-126.40M,-137.10M,423.90M,86.40M,358.10M,,,-3.70M,354.40M,474.86M,807.00M,184.10M,622.90M,,0.59,,,0.7952,0.59,,0.59,,,0.7931,0.59,,587.00M,593.20M,0.49,,AOR,Restated
2018-02,3.882B,3.882B,2.626B,1.256B,679.50M,-7.50M,,,-89.30M,,679.50M,577.00M,,,-89.30M,15.70M,-89.30M,503.40M,-432.50M,952.50M,,,-11.10M,941.40M,946.88M,720.90M,143.90M,577.00M,,1.64,,,1.650,1.64,,1.62,,,1.629,1.62,,572.50M,582.70M,0.49,,AOR,Restated
2017-11,4.199B,4.199B,2.752B,1.446B,735.60M,-1.60M,,,-74.90M,,735.60M,710.60M,,,-74.90M,19.20M,-74.90M,654.90M,234.90M,443.80M,,,-13.30M,430.50M,431.53M,856.30M,145.70M,710.60M,,0.75,,,0.7518,0.75,,0.74,,,0.7418,0.74,,571.30M,580.30M,0.49,,AOR,Restated
2017-08,3.769B,3.769B,2.456B,1.313B,702.80M,-5.20M,,,-72.40M,,702.80M,610.50M,,,-72.40M,15.30M,-72.40M,553.40M,168.50M,408.60M,,,-3.90M,404.70M,408.32M,755.60M,145.10M,610.50M,,0.70,,,0.7063,0.70,,0.69,,,0.6962,0.69,,576.50M,586.90M,0.49,,AOR,Restated
2017-05,3.807B,3.807B,2.483B,1.324B,780.90M,-7.90M,,,-69.30M,,780.90M,542.80M,,,-69.30M,66.40M,-69.30M,539.90M,144.20M,415.60M,,,-6.70M,408.90M,414.69M,592.50M,155.30M,437.20M,,0.70,,,0.71,0.70,,0.69,,,0.6998,0.69,,579.00M,588.70M,0.48,,AOR,Restated
2017-02,3.793B,3.793B,2.486B,1.308B,687.60M,-77.60M,,,-76.40M,,687.60M,620.10M,,,-76.40M,-77.60M,-76.40M,466.10M,107.00M,370.20M,,,-12.40M,357.80M,417.55M,767.30M,147.20M,620.10M,,0.62,,,0.7229,0.62,,0.61,,,0.7110,0.61,,580.70M,591.40M,0.48,,AOR,Restated
2016-11,4.112B,4.112B,2.593B,1.520B,708.10M,-42.50M,,,-75.50M,,708.10M,811.40M,,,-75.50M,-42.50M,-75.50M,693.40M,227.40M,495.80M,,,-14.00M,481.80M,510.36M,960.00M,148.60M,811.40M,,0.82,,,0.8685,0.82,,0.80,,,0.8476,0.80,,588.80M,599.70M,0.48,,AOR,Restated
