,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
1999-12,183.19M,183.19M,80.80M,102.39M,65.70M,,4.40M,,,,83.60M,18.79M,,,,4.40M,,18.30M,6.50M,11.80M,,11.80M,8.963M,18.79M,,18.79M,,0.1161,,,0.0882,0.1161,,0.1161,,,0.0882,0.1161,,101.60M,101.60M,,,
1999-09,208.40M,208.40M,120.40M,88.00M,65.80M,,-0.60M,,,,65.80M,22.20M,,,,-0.60M,,21.70M,8.30M,13.40M,,13.40M,13.77M,22.20M,,22.20M,,0.0325,0.00,,0.0362,0.0325,,0.0325,0.00,,0.0362,0.0325,,101.46M,101.46M,,,
1999-06,196.11M,196.11M,114.30M,81.81M,62.20M,,-0.60M,,,,62.20M,19.61M,,,,-0.60M,,19.10M,7.30M,11.80M,,11.80M,12.17M,19.61M,,19.61M,,0.03,0.00,,0.0337,0.03,,0.0288,0.00,,0.0324,0.0288,,101.36M,101.36M,,,
1999-03,166.40M,166.40M,95.40M,71.00M,54.70M,,-2.30M,,,,54.70M,16.30M,,,,-2.30M,,13.90M,5.30M,8.60M,,8.60M,10.02M,16.30M,,16.30M,,0.025,0.00,,0.0394,0.025,,0.025,0.00,,0.0394,0.025,,98.91M,98.91M,,,
1998-12,160.00M,160.00M,76.10M,83.90M,54.80M,,6.00M,,,,67.00M,16.90M,,,,6.00M,,14.70M,5.80M,8.90M,,8.90M,5.267M,16.90M,,16.90M,,0.1042,,,0.0617,0.1042,,0.1042,,,0.0617,0.1042,,85.40M,85.40M,,,
1998-09,172.80M,172.80M,103.40M,69.40M,53.90M,,-2.00M,,,,53.90M,15.50M,,,,-2.00M,,13.50M,5.10M,8.40M,,8.40M,9.644M,15.50M,,15.50M,,0.025,0.00,,0.0396,0.025,,0.0238,0.00,,0.0384,0.0238,,85.15M,85.15M,,,
1998-06,165.20M,165.20M,99.00M,66.20M,52.50M,,-1.40M,,,,52.50M,13.70M,,,,-1.40M,,12.40M,4.70M,7.70M,,7.70M,8.569M,13.70M,,13.70M,,0.0225,0.00,,0.0327,0.0225,,0.0225,0.00,,0.0327,0.0225,,85.00M,85.00M,,,
1998-03,118.30M,118.30M,67.60M,50.70M,40.10M,,-1.20M,,,,40.10M,10.60M,,,,-1.20M,,9.40M,3.60M,5.80M,,5.80M,6.540M,10.60M,,10.60M,,0.0175,0.00,,0.0262,0.0175,,0.0175,0.00,,0.0262,0.0175,,84.80M,84.80M,,,
1997-12,78.00M,78.00M,35.50M,42.50M,25.00M,,0.30M,,,,33.30M,9.20M,,,,0.30M,,9.30M,3.90M,5.40M,,5.40M,5.22M,9.20M,,9.20M,,0.0639,,,0.0618,0.0639,,0.0639,,,0.0618,0.0639,,84.50M,84.50M,,,
1997-09,87.50M,87.50M,51.00M,36.50M,26.10M,,0.10M,,,,26.10M,10.40M,,,,0.10M,,10.50M,3.90M,6.60M,,6.60M,6.537M,10.40M,,10.40M,,0.02,0.00,,0.0193,0.02,,0.02,0.00,,0.0193,0.02,,84.39M,84.39M,,,
1997-06,82.40M,82.40M,47.70M,34.70M,25.20M,,0.20M,,,,25.20M,9.50M,,,,0.20M,,9.70M,3.60M,6.10M,,6.10M,5.974M,9.50M,,9.50M,,0.0094,0.00,,0.0079,0.0094,,0.0094,0.00,,0.0079,0.0094,,84.24M,84.24M,,,
1997-03,68.50M,68.50M,39.30M,29.20M,21.30M,,,,,,21.30M,7.90M,,,,,,8.00M,3.00M,5.00M,,5.00M,5.00M,7.90M,,7.90M,,0.0075,0.00,,0.0075,0.0075,,0.0075,0.00,,0.0075,0.0075,,84.02M,84.02M,,,
1996-12,64.70M,64.70M,30.00M,34.70M,21.90M,,0.40M,,,,28.00M,6.70M,,,,0.40M,,7.10M,2.60M,4.50M,,4.50M,4.246M,6.70M,,6.70M,,0.0537,,,0.0507,0.0537,,0.0537,,,0.0507,0.0537,,83.75M,83.75M,,,
1996-09,70.40M,70.40M,41.20M,29.20M,21.00M,,0.30M,,,,21.00M,8.20M,,,,0.30M,,8.50M,3.10M,5.40M,,5.40M,5.209M,8.20M,,8.20M,,0.0081,0.00,,0.0058,0.0081,,0.0081,0.00,,0.0058,0.0081,,83.63M,83.63M,,,
1996-06,68.80M,68.80M,40.60M,28.20M,20.50M,,0.20M,,,,20.50M,7.70M,,,,0.20M,,7.90M,3.00M,4.90M,,4.90M,4.776M,7.70M,,7.70M,,0.0075,0.00,,0.0060,0.0075,,0.0075,0.00,,0.0060,0.0075,,83.56M,83.56M,,,
1996-03,55.30M,55.30M,32.90M,22.40M,16.30M,,0.30M,,,,16.30M,6.10M,,,,0.30M,,6.50M,2.40M,4.10M,,4.10M,3.911M,6.10M,,6.10M,,0.0062,0.00,,0.0040,0.0062,,0.0062,0.00,,0.0040,0.0062,,83.42M,83.42M,,,
1995-12,50.90M,50.90M,26.90M,24.00M,17.60M,,0.40M,,,,18.70M,5.30M,,,,0.40M,,5.50M,1.90M,3.60M,,3.60M,3.338M,6.40M,1.10M,5.30M,,0.0434,,,0.0403,0.0434,,0.0434,,,0.0403,0.0434,,82.90M,82.90M,,,
1995-09,57.20M,57.20M,33.50M,23.70M,17.00M,,-0.10M,,,,17.00M,6.70M,,,,-0.10M,,6.60M,2.50M,4.10M,,4.10M,4.162M,6.70M,,6.70M,,0.0075,0.00,,0.0084,0.0075,,0.0075,0.00,,0.0084,0.0075,,70.02M,70.02M,,,
1995-06,50.60M,50.60M,30.10M,20.50M,15.10M,,,,,,15.10M,5.40M,,,,,,5.40M,2.00M,3.40M,,3.40M,3.40M,5.40M,,5.40M,,0.0062,0.00,,0.0062,0.0062,,0.0062,0.00,,0.0062,0.0062,,69.87M,69.87M,,,
1995-03,42.80M,42.80M,25.20M,17.60M,13.00M,,0.10M,,,,13.00M,4.60M,,,,0.10M,,4.60M,1.70M,2.90M,,2.90M,2.837M,4.60M,,4.60M,,0.0056,0.00,,0.0047,0.0056,,0.0056,0.00,,0.0047,0.0056,,69.78M,69.78M,,,
1994-12,42.40M,42.40M,21.00M,21.40M,14.30M,,0.20M,,,,17.50M,3.90M,,,,0.20M,,4.00M,1.50M,2.50M,,2.50M,2.375M,3.90M,,3.90M,,0.0360,,,0.0342,0.0360,,0.0360,,,0.0342,0.0360,,69.43M,69.43M,,,
1994-09,44.70M,44.70M,26.10M,18.60M,13.50M,,0.10M,,,,13.50M,5.10M,,,,0.10M,,5.10M,1.90M,3.20M,,3.20M,3.137M,5.10M,,5.10M,,0.0062,0.00,,0.0053,0.0062,,0.0062,0.00,,0.0053,0.0062,,69.34M,69.34M,,,
1994-06,43.30M,43.30M,25.70M,17.60M,13.10M,,0.10M,,,,13.10M,4.50M,,,,0.10M,,4.60M,1.70M,2.90M,,2.90M,2.837M,4.50M,,4.50M,,0.0056,0.00,,0.0047,0.0056,,0.0056,0.00,,0.0047,0.0056,,69.26M,69.26M,,,
1994-03,36.70M,36.70M,21.80M,14.90M,11.10M,,0.10M,,,,11.10M,3.80M,,,,0.10M,,3.90M,1.50M,2.40M,,2.40M,2.338M,3.80M,,3.80M,,0.0044,0.00,,0.0035,0.0044,,0.0044,0.00,,0.0035,0.0044,,69.16M,69.16M,,,
1993-12,35.50M,35.50M,18.80M,16.70M,12.30M,,0.20M,,,,15.10M,1.60M,,,,0.20M,,1.60M,0.50M,1.10M,,1.10M,0.9625M,1.60M,,1.60M,,0.0159,,,0.0140,0.0159,,0.0159,,,0.0140,0.0159,,68.98M,68.98M,,,
1993-09,37.80M,37.80M,22.50M,15.30M,11.10M,,0.10M,,,,11.10M,4.20M,,,,0.10M,,4.20M,1.60M,2.60M,,2.60M,2.538M,4.20M,,4.20M,,0.005,0.00,,0.0041,0.005,,0.005,0.00,,0.0041,0.005,,68.96M,68.96M,,,
1993-06,35.40M,35.40M,21.80M,13.60M,10.10M,,,,,,10.10M,3.50M,,,,,,3.60M,1.20M,2.40M,,2.40M,2.40M,3.50M,,3.50M,,0.005,0.0006,,0.005,0.0056,,0.005,0.0006,,0.005,0.0056,,68.94M,68.94M,,,
1993-03,28.50M,28.50M,16.30M,12.20M,9.00M,,,,,,9.00M,3.20M,,,,,,3.30M,1.30M,2.00M,,2.00M,2.00M,3.20M,,3.20M,,0.0044,0.0006,,0.0044,0.005,,0.0044,0.0006,,0.0044,0.005,,68.94M,68.94M,,,
