,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,293.00M,293.00M,4.381B,4.674B,1.941B,1.941B,1.522B,856.00M,183.00M,,,9.176B,,1.392B,8.903B,,51.15B,-16.72B,34.42B,4.091B,2.157B,6.248B,1.399B,1.375B,43.45B,52.62B,,2.053B,2.053B,3.70B,5.753B,,2.213B,,2.213B,8.703B,8.703B,,16.67B,21.86B,,21.86B,,5.484B,5.484B,,7.118B,2.357B,36.82B,53.49B,,5.00M,-610.00M,4.923B,,,-5.187B,-869.00M,,AOR,Restated
2018-03,297.00M,297.00M,4.994B,5.291B,1.809B,1.809B,1.455B,824.00M,294.00M,,,9.673B,,1.231B,8.599B,,50.49B,-16.16B,34.33B,4.091B,2.193B,6.284B,1.581B,1.409B,43.61B,53.28B,,1.953B,1.953B,3.537B,5.49B,,2.793B,,2.793B,8.725B,8.725B,,17.01B,21.95B,,21.95B,,5.61B,5.61B,,7.259B,2.475B,37.29B,54.30B,,5.00M,-1.13B,5.279B,,,-5.172B,-1.018B,,AOR,Restated
2017-12,295.00M,295.00M,4.771B,5.066B,1.752B,1.752B,1.359B,651.00M,318.00M,,,9.146B,,1.217B,8.267B,,49.80B,-15.65B,34.16B,4.091B,2.203B,6.294B,1.816B,1.373B,43.64B,52.78B,,1.688B,1.688B,3.953B,5.641B,2.554B,2.554B,0.00,2.554B,7.163B,7.163B,,15.36B,22.51B,0.00,22.51B,,5.701B,5.701B,,7.497B,2.498B,38.21B,53.56B,,5.00M,-1.345B,5.714B,,,-5.154B,-780.00M,,AOR,Restated
2017-09,340.00M,340.00M,5.428B,5.768B,1.70B,1.70B,1.315B,826.00M,393.00M,,,10.00B,,1.28B,7.902B,,48.73B,-15.42B,33.31B,4.091B,2.214B,6.305B,538.00M,2.245B,42.40B,52.40B,,1.638B,1.638B,3.656B,5.294B,,2.467B,,2.467B,7.546B,7.546B,,15.31B,22.22B,,22.22B,,,,,7.467B,3.462B,33.15B,48.45B,,5.00M,3.152B,5.918B,,,-5.127B,3.948B,,AOR,Restated
2017-06,386.00M,386.00M,6.50B,6.886B,1.543B,1.543B,1.206B,827.00M,554.00M,,,11.02B,,1.212B,7.58B,,48.12B,-15.13B,32.99B,4.091B,2.224B,6.315B,905.00M,2.107B,42.32B,53.34B,,1.924B,1.924B,3.618B,5.542B,,2.334B,,2.334B,8.236B,8.236B,,16.11B,22.52B,,22.52B,,,,,7.50B,3.484B,33.51B,49.62B,,5.00M,2.577B,6.245B,,,-5.112B,3.715B,,AOR,Restated
2017-03,374.00M,374.00M,6.302B,6.676B,1.397B,1.397B,1.154B,856.00M,543.00M,,,10.63B,,1.247B,7.332B,,46.93B,-14.64B,32.29B,4.091B,2.236B,6.327B,1.379B,2.004B,42.00B,52.63B,,1.882B,1.882B,3.336B,5.218B,,1.714B,,1.714B,8.354B,8.354B,,15.29B,22.83B,,22.83B,,494.00M,494.00M,,7.808B,2.753B,33.88B,49.17B,,5.00M,1.823B,6.726B,,,-5.097B,3.457B,,AOR,Restated
2016-12,322.00M,322.00M,6.037B,6.359B,1.594B,1.594B,1.094B,639.00M,638.00M,,,10.32B,,1.209B,7.116B,,45.35B,-14.19B,31.16B,4.091B,2.173B,6.264B,1.498B,2.029B,40.95B,51.27B,,1.592B,1.592B,3.724B,5.316B,,1.855B,,1.855B,6.701B,6.701B,,13.87B,22.49B,,22.49B,,,,,7.842B,3.286B,33.62B,47.49B,,5.00M,1.64B,7.223B,,,-5.083B,3.785B,,AOR,Restated
2016-09,381.00M,381.00M,6.374B,6.755B,1.703B,1.703B,1.10B,855.00M,635.00M,,,11.05B,,1.149B,6.915B,,44.32B,-14.02B,30.30B,4.091B,2.189B,6.28B,1.524B,1.952B,40.06B,51.11B,,1.673B,1.673B,3.599B,5.272B,,1.798B,,1.798B,7.463B,7.463B,,14.53B,21.54B,,21.54B,,554.00M,554.00M,,7.387B,2.698B,32.18B,46.72B,,5.00M,1.403B,7.761B,,,-4.778B,4.391B,,AOR,Restated
2016-06,446.00M,446.00M,6.672B,7.118B,1.593B,1.593B,999.00M,834.00M,640.00M,,,11.18B,,1.136B,6.726B,,43.42B,-13.80B,29.61B,4.091B,2.213B,6.304B,1.965B,1.987B,39.87B,51.05B,,1.944B,1.944B,3.763B,5.707B,,1.715B,,1.715B,7.495B,7.495B,,14.92B,21.13B,,21.13B,,590.00M,590.00M,,7.426B,2.675B,31.82B,46.74B,,5.00M,719.00M,8.351B,,,-4.763B,4.312B,,AOR,Restated
2016-03,495.00M,495.00M,6.435B,6.93B,1.45B,1.45B,886.00M,845.00M,691.00M,,,10.80B,,1.058B,6.561B,,42.03B,-13.39B,28.63B,4.091B,2.236B,6.327B,2.072B,2.075B,39.11B,49.91B,,1.913B,1.913B,3.527B,5.44B,,2.61B,,2.61B,7.227B,7.227B,,15.28B,19.13B,,19.13B,,625.00M,625.00M,,7.44B,2.723B,29.92B,45.20B,,6.00M,-591.00M,10.04B,,,-4.749B,4.71B,,AOR,Restated
