,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-09,171.00M,171.00M,3.941B,4.112B,,814.00M,546.00M,,459.00M,,522.00M,6.453B,,,,,15.60B,,15.60B,,,1.091B,,2.614B,19.30B,25.75B,,1.081B,1.081B,1.959B,3.04B,4.614B,4.614B,91.00M,4.705B,,,156.00M,7.901B,9.872B,589.00M,10.46B,,,,,7.005B,3.246B,20.71B,28.61B,,335.00M,-4.792B,4.361B,367.00M,,-2.396B,-2.859B,,AOR,Restated
2009-06,191.00M,191.00M,2.617B,2.808B,,780.00M,535.00M,,460.00M,,557.00M,5.14B,,,,,15.57B,,15.57B,,,1.098B,,2.328B,19.00B,24.14B,,1.143B,1.143B,1.918B,3.061B,4.971B,4.971B,104.00M,5.075B,,,134.00M,8.27B,8.292B,572.00M,8.864B,,,,,6.881B,3.123B,18.87B,27.14B,,286.00M,-4.433B,4.013B,367.00M,,-2.499B,-3.00B,,AOR,Restated
2009-03,187.00M,187.00M,2.677B,2.864B,,785.00M,494.00M,,462.00M,,757.00M,5.362B,,2.361B,13.01B,207.00M,15.57B,,15.57B,,,1.102B,,2.48B,19.16B,24.52B,,1.005B,1.005B,1.976B,2.981B,5.216B,5.216B,98.00M,5.314B,,,613.00M,8.908B,8.314B,528.00M,8.842B,,,,,6.739B,3.138B,18.72B,27.63B,,285.00M,-4.043B,4.004B,367.00M,,-2.988B,-3.109B,,AOR,Restated
2008-12,191.00M,191.00M,2.916B,3.107B,,811.00M,525.00M,,459.00M,,1.033B,5.935B,5.132B,,20.27B,776.00M,26.18B,-10.44B,15.74B,,281.00M,281.00M,,3.224B,19.24B,25.18B,,952.00M,952.00M,2.042B,2.994B,5.553B,5.553B,107.00M,5.66B,,,716.00M,9.37B,8.423B,582.00M,9.005B,,297.00M,297.00M,,6.614B,2.824B,18.74B,28.11B,,285.00M,-3.668B,3.992B,367.00M,,-3.177B,-2.935B,,AOR,Restated
2008-09,273.00M,273.00M,4.348B,4.621B,,1.104B,670.00M,,456.00M,,656.00M,7.507B,,2.376B,13.21B,339.00M,15.93B,,15.93B,,,1.116B,,2.399B,19.44B,26.95B,,1.164B,1.164B,2.325B,3.489B,5.874B,5.874B,121.00M,5.995B,,,,9.484B,8.946B,590.00M,9.536B,,,,,3.736B,3.26B,16.53B,26.02B,,285.00M,-3.121B,3.769B,367.00M,,368.00M,934.00M,,AOR,Restated
2008-06,287.00M,287.00M,4.782B,5.069B,,1.166B,702.00M,,434.00M,,1.701B,9.072B,,2.39B,13.18B,407.00M,15.98B,,15.98B,,,1.123B,,2.748B,19.85B,28.92B,,1.389B,1.389B,2.804B,4.193B,6.314B,6.314B,133.00M,6.447B,,,,10.64B,8.708B,623.00M,9.331B,,,,,3.67B,3.624B,16.62B,27.26B,,257.00M,-3.166B,3.491B,367.00M,,1.445B,1.66B,,AOR,Restated
2008-03,203.00M,203.00M,4.316B,4.519B,,1.109B,637.00M,,426.00M,,822.00M,7.513B,,2.397B,14.19B,758.00M,17.34B,,17.34B,,,1.148B,,2.76B,21.25B,28.77B,,1.318B,1.318B,2.221B,3.539B,5.887B,5.887B,146.00M,6.033B,,,,9.572B,8.745B,630.00M,9.375B,,,,,3.657B,3.673B,16.70B,26.28B,,255.00M,-1.718B,3.496B,367.00M,,823.00M,2.489B,,AOR,Restated
2007-12,148.00M,148.00M,4.387B,4.535B,,1.027B,601.00M,,428.00M,,638.00M,7.229B,5.238B,,23.25B,1.915B,30.40B,-13.01B,17.39B,,1.156B,1.156B,,2.792B,21.34B,28.57B,,1.182B,1.182B,2.267B,3.449B,4.887B,4.887B,147.00M,5.034B,,,,8.483B,9.413B,680.00M,10.09B,,320.00M,320.00M,,3.62B,3.398B,17.43B,25.91B,,255.00M,-1.39B,3.489B,367.00M,,,2.657B,,AOR,Restated
2007-09,161.00M,161.00M,5.229B,5.39B,,1.166B,556.00M,,,,950.00M,8.062B,,,,,29.76B,-12.21B,17.55B,,1.163B,1.163B,,2.821B,21.54B,29.60B,,1.269B,1.269B,2.236B,3.505B,1.325B,1.325B,138.00M,1.463B,,,4.268B,9.236B,9.83B,698.00M,10.53B,,,,5.235B,5.235B,-1.463B,19.54B,28.77B,,255.00M,-1.321B,3.47B,367.00M,,-1.21B,828.00M,,AOR,Restated
2007-06,215.00M,215.00M,5.685B,5.90B,,1.219B,532.00M,,,,937.00M,8.588B,,,,,29.91B,-12.21B,17.70B,,1.17B,1.17B,,2.952B,21.82B,30.41B,,1.359B,1.359B,2.109B,3.468B,1.195B,1.195B,123.00M,1.318B,,,4.607B,9.393B,10.51B,731.00M,11.24B,,,,5.343B,5.343B,-1.521B,20.41B,29.80B,,254.00M,-1.496B,3.438B,367.00M,,-1.219B,610.00M,,AOR,Restated
2007-03,145.00M,145.00M,5.238B,5.383B,,1.124B,503.00M,,,,823.00M,7.833B,,,,,30.03B,-12.21B,17.82B,,1.16B,1.16B,,3.069B,22.05B,29.88B,,1.212B,1.212B,2.136B,3.348B,1.165B,1.165B,124.00M,1.289B,,,4.321B,8.958B,10.72B,751.00M,11.47B,,,,5.366B,5.366B,-1.503B,20.70B,29.66B,,246.00M,-1.813B,3.378B,366.00M,,-1.219B,226.00M,,AOR,Restated
2006-12,121.00M,121.00M,4.594B,4.715B,,988.00M,506.00M,,468.00M,,225.00M,6.902B,,,,,30.15B,-12.21B,17.94B,,1.167B,1.167B,,3.135B,22.24B,29.14B,,1.073B,1.073B,2.301B,3.374B,1.246B,1.246B,103.00M,1.349B,,,3.782B,8.505B,11.22B,824.00M,12.04B,,372.00M,372.00M,,5.341B,3.492B,21.25B,29.75B,,228.00M,-1.894B,2.718B,367.00M,,-1.291B,-606.00M,,AOR,Restated
2006-09,114.00M,114.00M,4.94B,5.054B,,1.16B,506.00M,,,,753.00M,7.473B,,,,,28.44B,-10.40B,18.04B,,1.174B,1.174B,,3.441B,22.66B,30.13B,,1.087B,1.087B,2.015B,3.102B,1.40B,1.40B,106.00M,1.506B,,,4.067B,8.675B,11.57B,836.00M,12.41B,,,,5.46B,,4.10B,21.97B,30.64B,,220.00M,-1.959B,2.585B,367.00M,,-993.00M,-514.00M,,AOR,Restated
2006-06,167.00M,167.00M,4.986B,5.153B,,1.121B,510.00M,,,,1.056B,7.84B,,,,,28.62B,-10.40B,18.22B,,1.181B,1.181B,,3.513B,22.91B,30.75B,,1.263B,1.263B,2.377B,3.64B,1.042B,1.042B,110.00M,1.152B,,,4.44B,9.232B,12.11B,862.00M,12.97B,,,,4.956B,,4.104B,22.03B,31.26B,,218.00M,-1.974B,2.562B,367.00M,,-947.00M,-508.00M,,AOR,Restated
2006-03,144.00M,144.00M,4.124B,4.268B,,1.073B,494.00M,,,,985.00M,6.82B,,,,,18.36B,,18.36B,,1.188B,1.188B,,3.548B,23.10B,29.92B,,1.16B,1.16B,2.21B,3.37B,1.049B,1.049B,136.00M,1.185B,,,4.189B,8.744B,12.29B,873.00M,13.16B,,,,5.126B,,4.155B,22.45B,31.19B,,195.00M,-2.265B,2.14B,384.00M,,-958.00M,-1.272B,,AOR,Restated
2005-12,138.00M,138.00M,3.676B,3.814B,,991.00M,515.00M,,,,844.00M,6.164B,,,,,32.13B,-11.46B,20.67B,,1.194B,1.194B,,1.469B,23.33B,29.50B,,1.078B,1.078B,2.34B,3.418B,1.077B,1.077B,162.00M,1.239B,,,3.615B,8.272B,12.53B,926.00M,13.46B,,421.00M,421.00M,4.998B,4.998B,-1.22B,22.65B,30.92B,,195.00M,-2.125B,2.258B,779.00M,,-979.00M,-1.43B,,AOR,Restated
2005-09,127.00M,127.00M,3.285B,3.412B,,1.111B,540.00M,,,,924.00M,5.987B,,,,,23.88B,-4.971B,18.91B,,1.202B,1.202B,,3.336B,23.45B,29.44B,,1.101B,1.101B,1.957B,3.058B,790.00M,790.00M,170.00M,960.00M,,,3.851B,7.869B,12.29B,939.00M,13.23B,,,,4.799B,,4.266B,22.30B,30.16B,,182.00M,-1.569B,2.314B,1.081B,,-575.00M,-729.00M,,AOR,Restated
2005-06,166.00M,166.00M,3.233B,3.399B,,1.052B,488.00M,,,,850.00M,5.789B,,,,,24.07B,-4.971B,19.10B,,1.209B,1.209B,,3.40B,23.70B,29.49B,,1.202B,1.202B,1.90B,3.102B,738.00M,738.00M,172.00M,910.00M,,,4.007B,8.019B,12.36B,965.00M,13.32B,,,,4.754B,,4.014B,22.09B,30.11B,,182.00M,-1.416B,2.38B,1.154B,,-607.00M,-615.00M,,AOR,Restated
2005-03,148.00M,148.00M,2.912B,3.06B,,1.033B,489.00M,,,,838.00M,5.42B,,,,,24.09B,-4.971B,19.12B,,1.216B,1.216B,,3.415B,23.75B,29.17B,,1.131B,1.131B,2.034B,3.165B,709.00M,709.00M,170.00M,879.00M,,,3.687B,7.731B,12.37B,1.009B,13.38B,,,,4.713B,,4.045B,22.13B,29.86B,,182.00M,-1.474B,2.509B,1.295B,,-619.00M,-697.00M,,AOR,Restated
2004-12,120.00M,120.00M,2.809B,2.929B,,836.00M,488.00M,,,,718.00M,4.971B,,,,,29.71B,-10.57B,19.14B,,1.223B,1.223B,,3.442B,23.80B,28.77B,,1.003B,1.003B,2.026B,3.029B,659.00M,659.00M,147.00M,806.00M,,,3.183B,7.018B,12.44B,1.088B,13.52B,,470.00M,470.00M,4.743B,,3.599B,22.34B,29.35B,,182.00M,-1.312B,2.521B,1.308B,,-664.00M,-581.00M,,AOR,
2004-09,117.00M,117.00M,3.018B,3.135B,,903.00M,519.00M,,,,743.00M,5.30B,,,,,29.55B,-10.30B,19.25B,,1.231B,1.231B,,3.476B,23.96B,29.26B,,1.043B,1.043B,2.029B,3.072B,647.00M,647.00M,148.00M,795.00M,,,3.257B,7.124B,12.49B,1.10B,13.59B,,,,4.733B,4.733B,-603.00M,22.45B,29.58B,,182.00M,-925.00M,2.536B,1.325B,,-782.00M,-314.00M,,AOR,Restated
2004-06,196.00M,196.00M,3.168B,3.364B,,919.00M,505.00M,,,,725.00M,5.513B,,,,,29.33B,-10.00B,19.33B,,1.238B,1.238B,,3.918B,24.49B,30.00B,,1.133B,1.133B,1.977B,3.11B,626.00M,626.00M,185.00M,811.00M,,,3.376B,7.297B,12.49B,1.135B,13.63B,,,,4.604B,,4.596B,22.83B,30.12B,,182.00M,-711.00M,2.545B,1.336B,,-802.00M,-122.00M,,AOR,Restated
2004-03,152.00M,152.00M,3.074B,3.226B,,965.00M,490.00M,,,,725.00M,5.406B,,,,,29.15B,-9.80B,19.35B,,1.245B,1.245B,,3.946B,24.54B,29.95B,,1.022B,1.022B,2.072B,3.094B,619.00M,619.00M,196.00M,815.00M,,,3.201B,7.11B,12.40B,1.174B,13.58B,,,,4.72B,,4.678B,22.98B,30.08B,,182.00M,-717.00M,2.597B,1.395B,,-802.00M,-135.00M,,AOR,Restated
2003-12,120.00M,120.00M,2.486B,2.606B,,796.00M,516.00M,,,,764.00M,4.682B,,,,,29.00B,-9.543B,19.46B,,1.253B,1.253B,,3.935B,24.65B,29.33B,,967.00M,967.00M,1.989B,2.956B,603.00M,603.00M,201.00M,804.00M,,,2.799B,6.559B,11.90B,1.225B,13.13B,,520.00M,520.00M,4.803B,,4.276B,22.72B,29.28B,,182.00M,-551.00M,2.605B,1.405B,,-785.00M,46.00M,,AOR,
2003-09,158.00M,158.00M,2.566B,2.724B,,936.00M,527.00M,,,,889.00M,5.076B,,,,,27.74B,-9.379B,18.36B,,1.263B,1.263B,,5.241B,24.87B,29.94B,,1.075B,1.075B,2.273B,3.348B,538.00M,538.00M,200.00M,738.00M,,,3.046B,7.132B,11.93B,1.234B,13.17B,,,,2.763B,,7.402B,23.33B,30.46B,,182.00M,-440.00M,2.612B,1.414B,,-1.461B,-521.00M,,AOR,Restated
2003-06,157.00M,157.00M,1.67B,1.827B,,924.00M,557.00M,,,,939.00M,4.247B,,,,,27.80B,-9.379B,18.42B,,1.27B,1.27B,,5.282B,24.97B,29.22B,,1.10B,1.10B,2.272B,3.372B,564.00M,564.00M,158.00M,722.00M,,,2.987B,7.081B,11.24B,1.294B,12.54B,,,,2.729B,2.729B,4.648B,22.64B,29.72B,,182.00M,-441.00M,2.628B,1.433B,,-1.438B,-502.00M,,AOR,Restated
2003-03,157.00M,157.00M,1.115B,1.272B,,924.00M,618.00M,,,,820.00M,3.634B,,,,,27.70B,-9.379B,18.32B,,1.277B,1.277B,,5.859B,25.45B,29.09B,,1.052B,1.052B,2.433B,3.485B,649.00M,649.00M,158.00M,807.00M,,,2.781B,7.073B,11.00B,1.35B,12.34B,,,,2.701B,,7.069B,22.12B,29.19B,,182.00M,-366.00M,2.78B,1.602B,,-1.096B,-102.00M,,AOR,Restated
2002-12,,104.00M,1.846B,1.95B,,1.481B,627.00M,,,,879.00M,4.937B,,,,,29.07B,-9.379B,19.69B,,1.292B,1.292B,,4.344B,25.33B,30.27B,,1.198B,1.198B,,1.198B,,868.00M,,868.00M,,,5.174B,7.24B,12.31B,1.422B,13.73B,,,,,,8.338B,22.07B,29.31B,,182.00M,677.00M,2.795B,1.621B,,,990.00M,,AOR,Restated
2002-09,123.00M,123.00M,2.707B,2.83B,,1.563B,648.00M,,,792.00M,154.00M,5.987B,,,,,28.25B,-10.00B,18.25B,,470.00M,470.00M,,6.796B,25.52B,31.50B,,1.36B,1.36B,2.456B,3.816B,405.00M,405.00M,145.00M,550.00M,,,2.852B,7.218B,10.51B,1.422B,11.93B,1.228B,,1.228B,2.625B,,5.989B,21.77B,28.99B,,182.00M,1.206B,2.806B,1.638B,,-45.00M,2.511B,,AOR,
2002-06,195.00M,195.00M,2.368B,2.563B,,1.556B,743.00M,,,792.00M,194.00M,5.848B,,,,,28.56B,-10.00B,18.56B,1.351B,,1.351B,,7.131B,27.04B,32.89B,,1.559B,1.559B,2.344B,3.903B,350.00M,350.00M,147.00M,497.00M,,,3.059B,7.459B,9.172B,1.444B,10.62B,1.94B,,1.94B,2.611B,,5.868B,21.04B,28.49B,,182.00M,3.118B,2.812B,1.645B,,-72.00M,4.395B,,AOR,
2002-03,134.00M,134.00M,2.181B,2.315B,,1.839B,758.00M,,,793.00M,547.00M,6.252B,,,,,28.45B,-10.10B,18.35B,,487.00M,487.00M,,7.877B,26.71B,32.96B,,1.462B,1.462B,2.284B,3.746B,520.00M,520.00M,191.00M,711.00M,,,2.93B,7.387B,8.784B,1.454B,10.24B,1.965B,,1.965B,2.573B,,5.922B,20.70B,28.08B,,182.00M,3.613B,2.847B,1.693B,,-71.00M,4.878B,,AOR,
2001-12,102.00M,102.00M,2.386B,2.488B,,1.162B,822.00M,,,790.00M,1.309B,6.571B,,,,,29.66B,-10.00B,19.66B,1.392B,1.325B,2.717B,,3.898B,26.27B,32.84B,,1.785B,1.785B,2.192B,3.977B,556.00M,556.00M,216.00M,772.00M,,,2.763B,7.512B,8.31B,1.524B,9.834B,1.627B,520.00M,2.147B,2.538B,,5.437B,19.96B,27.47B,,182.00M,4.188B,2.865B,1.716B,,-146.00M,5.373B,,AOR,Restated
2001-09,69.00M,69.00M,2.271B,2.34B,,1.829B,871.00M,,,693.00M,348.00M,6.081B,,,,,27.63B,-9.521B,18.10B,,1.35B,1.35B,,6.304B,25.76B,31.84B,,1.613B,1.613B,2.619B,4.232B,509.00M,509.00M,267.00M,776.00M,,,3.095B,8.103B,6.491B,1.607B,8.098B,2.168B,,2.168B,2.417B,,4.823B,17.51B,25.61B,,182.00M,4.986B,2.81B,1.719B,,-28.00M,6.231B,,AOR,
2001-06,265.00M,265.00M,1.222B,1.487B,,1.67B,883.00M,,,695.00M,439.00M,5.174B,,,,,28.16B,-10.00B,18.16B,,1.411B,1.411B,,4.261B,23.83B,29.00B,,1.495B,1.495B,2.357B,3.852B,301.00M,301.00M,312.00M,613.00M,,,3.429B,7.894B,5.554B,1.613B,7.167B,2.341B,,2.341B,2.399B,,2.461B,14.37B,22.26B,,182.00M,5.402B,2.816B,1.728B,,68.00M,6.74B,,AOR,
2001-03,172.00M,172.00M,1.386B,1.558B,,1.383B,727.00M,,,694.00M,211.00M,4.573B,,,,,27.37B,-9.80B,17.57B,,1.131B,1.131B,,3.257B,21.96B,26.53B,,1.261B,1.261B,1.827B,3.088B,451.00M,451.00M,245.00M,696.00M,,,2.96B,6.744B,4.669B,1.208B,5.877B,2.461B,,2.461B,,,4.219B,12.56B,19.30B,,182.00M,5.907B,2.843B,1.771B,,72.00M,7.233B,,AOR,
2000-12,89.00M,89.00M,2.144B,2.233B,,1.303B,757.00M,,,695.00M,191.00M,5.179B,,,,,28.16B,-9.521B,18.64B,385.00M,1.143B,1.528B,,870.00M,21.03B,26.21B,,1.267B,1.267B,2.231B,3.498B,569.00M,569.00M,227.00M,796.00M,,,2.696B,6.99B,4.151B,1.323B,5.474B,2.385B,508.00M,2.893B,1.706B,,1.974B,12.05B,19.04B,,182.00M,5.95B,2.911B,1.865B,,-2.00M,7.176B,,AOR,Restated
2000-09,171.00M,171.00M,2.163B,2.334B,,1.496B,730.00M,,,612.00M,180.00M,5.352B,,,,,25.58B,-9.307B,16.27B,,,,,4.277B,20.55B,25.90B,,1.299B,1.299B,2.284B,3.583B,495.00M,495.00M,273.00M,768.00M,,,2.929B,7.28B,2.392B,1.403B,3.795B,2.164B,,2.164B,,,5.567B,11.53B,18.81B,,182.00M,5.907B,2.974B,1.968B,,-2.00M,7.093B,,AOR,
2000-06,128.00M,128.00M,2.269B,2.397B,,1.447B,713.00M,,,612.00M,208.00M,5.377B,,,,,24.74B,-9.097B,15.64B,,,,,4.457B,20.10B,25.47B,,1.273B,1.273B,2.114B,3.387B,496.00M,496.00M,246.00M,742.00M,,,2.977B,7.106B,3.93B,1.465B,5.395B,2.012B,,2.012B,,,4.186B,11.59B,18.70B,,182.00M,5.597B,2.999B,2.002B,,-2.00M,6.774B,,AOR,
2000-03,76.00M,76.00M,1.893B,1.969B,,1.493B,717.00M,,,612.00M,208.00M,4.999B,,,,,23.69B,-8.88B,14.81B,,,,,4.505B,19.32B,24.31B,,1.231B,1.231B,1.818B,3.049B,241.00M,241.00M,231.00M,472.00M,,,2.758B,6.279B,4.018B,,4.018B,1.886B,,1.886B,,,5.709B,11.61B,17.89B,,182.00M,5.27B,3.047B,2.075B,,-2.00M,6.422B,,AOR,
1999-12,85.00M,85.00M,1.706B,1.791B,,1.134B,708.00M,,,612.00M,179.00M,4.424B,,,,,25.04B,-8.75B,16.29B,,,1.191B,,2.472B,19.95B,24.37B,,1.115B,1.115B,1.956B,3.071B,302.00M,302.00M,236.00M,538.00M,,,2.258B,5.867B,4.078B,1.611B,5.689B,1.846B,613.00M,2.459B,1.669B,1.669B,163.00M,11.65B,17.52B,,182.00M,5.718B,3.061B,2.101B,,-2.00M,6.858B,,AOR,Restated
1999-09,,96.00M,1.869B,1.965B,,1.742B,703.00M,,,476.00M,226.00M,5.112B,,,,,25.67B,-9.308B,16.36B,,,,,2.888B,19.25B,24.36B,,1.249B,1.249B,,1.249B,,475.00M,,475.00M,,,4.785B,6.509B,5.217B,,5.217B,1.752B,,1.752B,,,4.388B,11.36B,17.87B,,182.00M,5.37B,3.061B,2.111B,,,6.498B,,,
1999-06,,79.00M,1.486B,1.565B,,1.689B,657.00M,,,477.00M,225.00M,4.613B,,,,,24.89B,-9.057B,15.83B,,,,,3.064B,18.90B,23.51B,,1.245B,1.245B,,1.245B,,448.00M,,448.00M,,,4.611B,6.304B,4.643B,,4.643B,1.663B,,1.663B,,,4.463B,10.77B,17.07B,,182.00M,5.112B,3.058B,1.91B,,,6.438B,,,
1999-03,,62.00M,1.121B,1.183B,,1.704B,639.00M,,,476.00M,238.00M,4.24B,,,,,23.93B,-8.841B,15.09B,,,,,2.895B,17.98B,22.22B,,1.233B,1.233B,,1.233B,,412.00M,,412.00M,,,4.328B,5.973B,4.023B,,4.023B,1.531B,,1.531B,,,4.239B,9.793B,15.77B,,182.00M,4.891B,3.07B,1.681B,,,6.458B,,,
1998-12,87.00M,87.00M,1.448B,1.535B,,1.225B,596.00M,304.00M,,443.00M,-134.00M,3.969B,,,,,21.62B,-7.875B,13.74B,,,1.228B,,2.517B,17.49B,21.46B,,1.047B,1.047B,1.89B,2.937B,48.00M,48.00M,154.00M,202.00M,,,2.163B,5.302B,2.436B,1.764B,4.20B,1.47B,573.00M,2.043B,1.598B,1.598B,16.00M,9.455B,14.76B,,182.00M,4.733B,3.075B,1.288B,,-4.00M,6.698B,,AOR,Restated
1998-09,,72.00M,2.18B,2.252B,,1.732B,609.00M,,,404.00M,192.00M,5.189B,,,,,22.45B,-8.419B,14.04B,,,,,2.97B,17.00B,22.19B,,1.287B,1.287B,,1.287B,,343.00M,,343.00M,,,4.319B,5.949B,3.972B,,3.972B,1.387B,,1.387B,,,4.326B,9.685B,15.63B,,182.00M,4.511B,3.068B,1.201B,,,6.56B,,,
1998-06,,108.00M,2.124B,2.232B,,1.753B,651.00M,,,406.00M,219.00M,5.261B,,,,,22.01B,-8.292B,13.72B,,,,,2.967B,16.68B,21.94B,,1.104B,1.104B,,1.104B,,514.00M,,514.00M,,,4.257B,5.875B,3.845B,,3.845B,1.264B,,1.264B,,,4.32B,9.429B,15.30B,,182.00M,4.085B,3.073B,699.00M,,,6.641B,,,
1998-03,,124.00M,2.057B,2.181B,,1.596B,636.00M,,,406.00M,226.00M,5.045B,,,,,21.47B,-8.084B,13.38B,,,,,2.867B,16.25B,21.29B,,1.13B,1.13B,,1.13B,,504.00M,,504.00M,,,4.056B,5.69B,3.819B,,3.819B,1.116B,,1.116B,,,4.269B,9.204B,14.89B,,91.00M,3.69B,3.181B,562.00M,,,6.40B,,,
1997-12,,62.00M,2.37B,2.432B,,1.301B,626.00M,,,406.00M,221.00M,4.986B,,,,,21.07B,-7.911B,13.16B,,,,,2.714B,15.87B,20.86B,,1.028B,1.028B,,1.028B,,530.00M,,530.00M,,,4.014B,5.572B,3.877B,,3.877B,1.112B,,1.112B,,1.573B,2.509B,9.071B,14.64B,,182.00M,3.419B,3.104B,485.00M,,,6.216B,,AOR,
1997-09,,27.00M,2.891B,2.918B,,1.546B,629.00M,,,403.00M,210.00M,5.706B,,,,,20.61B,-7.697B,12.91B,,,,,2.719B,15.63B,21.34B,,1.178B,1.178B,,1.178B,,601.00M,,601.00M,,,4.458B,6.237B,4.169B,,4.169B,829.00M,,829.00M,,,4.114B,9.112B,15.35B,,91.00M,3.189B,3.162B,452.00M,,,5.99B,,,
1997-06,,22.00M,2.177B,2.199B,,1.524B,613.00M,,,404.00M,235.00M,4.975B,,,,,20.47B,-7.453B,13.02B,,,,,2.71B,15.73B,20.70B,,959.00M,959.00M,,959.00M,,432.00M,,432.00M,,,4.051B,5.442B,4.406B,,4.406B,802.00M,,802.00M,,,4.047B,9.255B,14.70B,,91.00M,2.866B,3.207B,158.00M,,,6.006B,,,
1997-03,,89.00M,1.657B,1.746B,,1.493B,611.00M,,,404.00M,257.00M,4.511B,,,,,20.30B,-7.247B,13.05B,,,,,2.758B,15.81B,20.32B,,990.00M,990.00M,,990.00M,,430.00M,,430.00M,,,3.879B,5.299B,4.411B,,4.411B,744.00M,,744.00M,,,4.045B,9.20B,14.50B,,91.00M,2.563B,3.17B,,,,5.824B,,,
1996-12,,68.00M,1.743B,1.811B,,1.382B,633.00M,,,404.00M,240.00M,4.47B,,,,,20.35B,-7.043B,13.30B,,,,,2.722B,16.03B,20.50B,,1.068B,1.068B,,1.068B,,554.00M,,554.00M,,,3.944B,5.566B,4.542B,,4.542B,743.00M,,743.00M,,1.53B,2.448B,9.263B,14.83B,,91.00M,2.434B,3.166B,,,,5.668B,,AOR,
1996-09,,39.00M,1.309B,1.348B,,1.439B,623.00M,,,358.00M,177.00M,3.945B,,,,,20.62B,-7.155B,13.47B,,,,,2.737B,16.20B,20.15B,,912.00M,912.00M,,912.00M,,264.00M,,264.00M,,,3.822B,4.998B,5.432B,,5.432B,575.00M,,575.00M,,,3.851B,9.858B,14.86B,,91.00M,2.042B,3.16B,,,,5.293B,,,
1996-06,,80.00M,808.00M,888.00M,,1.496B,605.00M,,,358.00M,189.00M,3.536B,,,,,20.47B,-7.092B,13.38B,,,,,2.747B,16.13B,19.66B,,856.00M,856.00M,,856.00M,,273.00M,,273.00M,,,3.662B,4.791B,5.469B,,5.469B,542.00M,,542.00M,,,3.838B,9.849B,14.64B,,91.00M,1.772B,3.159B,,,,5.022B,,,
1996-03,,38.00M,796.00M,834.00M,,1.378B,606.00M,,,358.00M,166.00M,3.342B,,,,,20.21B,-6.88B,13.33B,,,,,2.812B,16.14B,19.48B,,880.00M,880.00M,,880.00M,,294.00M,,294.00M,,,3.482B,4.656B,6.72B,,6.72B,443.00M,,443.00M,,,3.766B,10.93B,15.58B,,77.00M,1.478B,2.263B,,,,3.896B,,,
1995-12,82.00M,82.00M,819.00M,901.00M,,1.153B,589.00M,268.00M,,357.00M,-131.00M,3.137B,,,,,20.22B,-6.659B,13.56B,,,1.367B,,1.487B,16.42B,19.56B,,817.00M,817.00M,2.06B,2.877B,228.00M,228.00M,122.00M,350.00M,,,1.466B,4.693B,4.983B,2.069B,7.052B,446.00M,696.00M,1.142B,1.439B,1.439B,71.00M,11.14B,15.84B,,154.00M,1.418B,2.239B,,78.00M,,3.72B,,AOR,
1995-09,,108.00M,1.082B,1.19B,,1.56B,614.00M,,,,499.00M,3.863B,,,,,20.64B,-6.781B,13.86B,,,,,2.348B,16.20B,20.07B,,929.00M,929.00M,,929.00M,,705.00M,,705.00M,,,3.849B,5.483B,7.158B,,7.158B,447.00M,,447.00M,,,3.182B,10.79B,16.27B,,76.00M,1.409B,2.235B,,,,3.798B,,,
1995-06,,89.00M,810.00M,899.00M,,1.458B,615.00M,,,,520.00M,3.492B,,,,,20.65B,-6.638B,14.01B,,,,,2.448B,16.46B,19.95B,,914.00M,914.00M,,914.00M,,910.00M,,910.00M,,,3.726B,5.55B,7.391B,,7.391B,326.00M,,326.00M,,,3.085B,10.80B,16.35B,,76.00M,1.22B,2.227B,,,,3.601B,,,
1995-03,,61.00M,484.00M,545.00M,,1.483B,610.00M,,,,495.00M,3.133B,,,,,20.58B,-6.517B,14.06B,,,,,2.478B,16.54B,19.67B,,900.00M,900.00M,,900.00M,,886.00M,,886.00M,,,3.407B,5.193B,7.667B,,7.667B,311.00M,,311.00M,,,3.077B,11.06B,16.25B,,76.00M,1.249B,2.217B,,,,3.421B,,,
