,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,3.475B,4.027B,5.883B,-1.856B,94.00M,,94.00M,,,0.00,376.00M,5.00M,-371.00M,565.00M,659.00M,-2.515B,5.00M,376.00M,-371.00M,77.00M,-371.00M,-2.809B,-631.00M,-2.178B,,,,,-2.178B,-2.178B,-2.433B,,-2.433B,,-3.81,,,,-3.81,-3.81,,-3.81,,,,-3.81,-3.81,,571.98M,571.98M,0.00,,AOR,
2020-09,2.747B,3.173B,5.61B,-2.437B,70.00M,,70.00M,,,295.00M,340.00M,5.00M,-335.00M,659.00M,729.00M,-3.166B,5.00M,340.00M,-335.00M,406.00M,-335.00M,-3.095B,-696.00M,-2.399B,,,,,-2.399B,-2.628B,-2.755B,,-2.755B,,-4.71,,,,-5.159,-4.71,,-4.71,,,,-5.159,-4.71,,509.05M,509.05M,0.00,,AOR,
2020-06,1.238B,1.622B,4.946B,-3.324B,43.00M,,43.00M,,,1.471B,254.00M,10.00M,-244.00M,545.00M,588.00M,-3.912B,10.00M,254.00M,-244.00M,1.542B,-244.00M,-2.659B,-592.00M,-2.067B,,,,,-2.067B,-3.210B,-2.405B,,-2.405B,,-4.82,,,,-7.487,-4.82,,-4.82,,,,-7.487,-4.82,,428.81M,428.81M,0.00,,AOR,
2020-03,7.828B,8.515B,8.45B,65.00M,305.00M,,305.00M,,,-899.00M,257.00M,21.00M,-236.00M,1.41B,1.715B,-1.65B,21.00M,257.00M,-236.00M,-1.004B,-236.00M,-2.89B,-649.00M,-2.241B,,,,,-2.241B,-1.544B,-2.633B,,-2.633B,,-5.26,,,,-3.622,-5.26,,-5.26,,,,-3.622,-5.26,,425.71M,425.71M,0.10,,AOR,
2019-12,10.56B,11.31B,8.80B,2.513B,408.00M,,408.00M,,,-154.00M,265.00M,24.00M,-241.00M,1.222B,1.63B,883.00M,24.00M,265.00M,-241.00M,-71.00M,-241.00M,571.00M,157.00M,414.00M,,,,,414.00M,525.66M,836.00M,,836.00M,,0.95,,,,1.207,0.95,,0.95,,,,1.206,0.95,,434.58M,435.66M,0.10,,AOR,
2019-09,11.20B,11.91B,9.115B,2.796B,424.00M,,424.00M,,,-227.00M,284.00M,34.00M,-250.00M,1.337B,1.761B,1.035B,34.00M,284.00M,-250.00M,-228.00M,-250.00M,557.00M,132.00M,425.00M,,,,,425.00M,598.20M,841.00M,,841.00M,,0.96,,,,1.352,0.96,,0.96,,,,1.352,0.96,,441.92M,442.40M,0.10,,AOR,Restated
2019-06,11.23B,11.96B,9.039B,2.921B,401.00M,,401.00M,,,-121.00M,275.00M,35.00M,-240.00M,1.271B,1.672B,1.249B,35.00M,275.00M,-240.00M,-152.00M,-240.00M,882.00M,220.00M,662.00M,,,,,662.00M,752.82M,1.157B,,1.157B,,1.49,,,,1.694,1.49,,1.49,,,,1.694,1.49,,445.01M,445.59M,0.10,,AOR,Restated
2019-03,9.876B,10.58B,8.45B,2.134B,370.00M,,370.00M,,,-120.00M,271.00M,33.00M,-238.00M,1.269B,1.639B,495.00M,33.00M,271.00M,-238.00M,-12.00M,-238.00M,245.00M,60.00M,185.00M,,,,,185.00M,275.61M,516.00M,,516.00M,,0.41,,,,0.6105,0.41,,0.41,,,,0.6098,0.41,,451.95M,453.43M,0.10,,AOR,Restated
2018-12,10.23B,10.94B,8.557B,2.381B,384.00M,,384.00M,,,-176.00M,268.00M,34.00M,-234.00M,1.25B,1.634B,747.00M,34.00M,268.00M,-234.00M,-118.00M,-234.00M,395.00M,71.00M,324.00M,,,,,324.00M,468.36M,663.00M,,663.00M,,0.71,,,,1.023,0.71,,0.70,,,,1.013,0.70,,460.59M,461.92M,0.10,,AOR,Restated
2018-09,10.82B,11.56B,9.012B,2.547B,395.00M,,395.00M,,,-206.00M,262.00M,29.00M,-233.00M,1.261B,1.656B,891.00M,29.00M,262.00M,-233.00M,-162.00M,-233.00M,496.00M,124.00M,372.00M,,,,,372.00M,526.50M,758.00M,,758.00M,,0.81,,,,1.145,0.81,,0.81,,,,1.145,0.81,,460.53M,461.51M,0.10,,AOR,Restated
