,NetIncome,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,,,,,,,,,-2.863B,,-148.00M,332.00M,332.00M,,,1.413B,99.00M,1.696B,,-301.00M,-301.00M,1.443B,0.00,1.443B,0.00,0.00,,127.00M,1.269B,,297.00M,102.00M,399.00M,,1.443B,216.00M,-517.00M,0.00,-2.00M,-715.00M,,AOR,
2020-09,,,,,,,,,-2.604B,,-577.00M,160.00M,160.00M,,,1.322B,18.00M,923.00M,,1.559B,1.559B,0.00,0.00,0.00,0.00,0.00,,-48.00M,1.511B,,467.00M,-170.00M,297.00M,,0.00,2.10B,-541.00M,0.00,0.00,214.00M,,AOR,
2020-06,,,,,,,,,-908.00M,,-388.00M,209.00M,209.00M,,,-6.222B,-398.00M,-6.799B,,6.215B,6.215B,1.527B,-2.00M,1.525B,0.00,0.00,,-52.00M,7.688B,,486.00M,-19.00M,467.00M,,1.527B,7.766B,-1.551B,-2.00M,0.00,262.00M,,AOR,
2020-03,,,,,,,,,-168.00M,,-845.00M,315.00M,315.00M,,,417.00M,-49.00M,-162.00M,,772.00M,772.00M,,-171.00M,-171.00M,-43.00M,-43.00M,,-32.00M,526.00M,,290.00M,196.00M,486.00M,,,1.698B,-926.00M,-171.00M,2.00M,239.00M,,AOR,
2019-12,,,,,,,,,600.00M,,-1.139B,233.00M,233.00M,,,1.311B,234.00M,639.00M,,-945.00M,-945.00M,,-272.00M,-272.00M,-43.00M,-43.00M,,-12.00M,-1.272B,,323.00M,-33.00M,290.00M,,,410.00M,-1.355B,-272.00M,-5.00M,-817.00M,,AOR,
2019-09,,,,,,,,,828.00M,,-806.00M,134.00M,134.00M,,,236.00M,-33.00M,-469.00M,,-93.00M,-93.00M,0.00,-200.00M,-200.00M,-45.00M,-45.00M,,-28.00M,-366.00M,,330.00M,-7.00M,323.00M,,0.00,961.00M,-1.054B,-200.00M,1.00M,258.00M,,AOR,Restated
2019-06,,,,,,,,,736.00M,,-1.018B,178.00M,178.00M,,,-1.071B,-22.00M,-1.933B,,1.257B,1.257B,0.00,-17.00M,-17.00M,-44.00M,-44.00M,,-17.00M,1.179B,,348.00M,-18.00M,330.00M,,0.00,2.189B,-932.00M,-17.00M,1.00M,292.00M,,AOR,Restated
2019-03,,,,,,,,,1.651B,,-1.305B,359.00M,359.00M,,,481.00M,-15.00M,-480.00M,,-449.00M,-449.00M,,-608.00M,-608.00M,-46.00M,-46.00M,,-6.00M,-1.109B,,286.00M,62.00M,348.00M,,,400.00M,-849.00M,-608.00M,3.00M,267.00M,,AOR,Restated
2018-12,,,,,,,,,716.00M,,-1.009B,347.00M,347.00M,,,346.00M,-74.00M,-390.00M,,-296.00M,-296.00M,,0.00,0.00,-46.00M,-46.00M,,-12.00M,-354.00M,,314.00M,-28.00M,286.00M,,,205.00M,-501.00M,0.00,-16.00M,-801.00M,,AOR,Restated
2018-09,,,,,,,,,-77.00M,,-1.005B,602.00M,602.00M,,,-169.00M,24.00M,-548.00M,,701.00M,701.00M,,0.00,0.00,-46.00M,-46.00M,,-21.00M,634.00M,,305.00M,9.00M,314.00M,,,1.257B,-556.00M,0.00,3.00M,259.00M,,AOR,Restated
