,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,31.54B,31.54B,12.33B,19.21B,7.339B,,1.044B,13.00M,-1.031B,,11.53B,7.678B,13.00M,1.044B,-1.031B,-796.00M,-1.031B,5.851B,1.347B,4.504B,,,-147.00M,,4.357B,4.357B,11.09B,4.192B,6.895B,1.05,,,,1.05,1.05,1.05,,,,1.05,1.05,4.14B,4.142B,0.6275
2020-06,30.45B,30.45B,11.75B,18.70B,7.156B,,1.089B,16.00M,-1.073B,,11.34B,7.361B,16.00M,1.089B,-1.073B,-101.00M,-1.073B,6.187B,1.348B,4.839B,,,-139.00M,,4.70B,4.70B,11.46B,4.181B,7.276B,1.14,,,,1.14,1.14,1.13,,,,1.13,1.13,4.139B,4.141B,0.615
2020-03,31.61B,31.61B,12.30B,19.31B,8.585B,,1.034B,20.00M,-1.014B,,12.74B,6.579B,20.00M,1.034B,-1.014B,111.00M,-1.014B,5.676B,1.389B,4.287B,,,-131.00M,,4.156B,4.156B,10.86B,4.15B,6.71B,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,4.139B,4.141B,0.615
2019-12,34.78B,34.78B,15.63B,19.14B,8.308B,,1.159B,27.00M,-1.132B,,12.41B,6.731B,27.00M,1.159B,-1.132B,-1.887B,-1.132B,3.712B,-1.505B,5.217B,,,-122.00M,,5.095B,5.095B,8.976B,4.105B,4.871B,1.23,,,,1.23,1.23,1.23,,,,1.23,1.23,4.138B,4.14B,0.615
2019-09,32.89B,32.89B,13.38B,19.51B,7.216B,,1.146B,34.00M,-1.112B,,11.33B,8.18B,34.00M,1.146B,-1.112B,-145.00M,-1.112B,6.923B,1.586B,5.337B,,,-143.00M,,5.194B,5.194B,12.18B,4.114B,8.069B,1.26,,,,1.26,1.26,1.25,,,,1.25,1.25,4.138B,4.14B,0.615
2019-06,32.07B,32.07B,12.72B,19.35B,7.268B,,1.215B,31.00M,-1.184B,,11.50B,7.85B,31.00M,1.215B,-1.184B,-1.356B,-1.184B,5.31B,1.236B,4.074B,,,-130.00M,,3.944B,3.944B,10.76B,4.232B,6.525B,0.95,,,,0.95,0.95,0.95,,,,0.95,0.95,4.138B,4.139B,0.6025
2019-03,32.13B,32.13B,12.99B,19.14B,7.198B,,1.21B,29.00M,-1.181B,,11.43B,7.709B,29.00M,1.21B,-1.181B,260.00M,-1.181B,6.788B,1.628B,5.16B,,,-128.00M,,5.032B,5.032B,12.23B,4.231B,7.998B,1.22,,,,1.22,1.22,1.22,,,,1.22,1.22,4.138B,4.14B,0.6025
2018-12,34.28B,34.28B,15.29B,18.99B,9.41B,,1.199B,33.00M,-1.166B,,13.76B,5.228B,33.00M,1.199B,-1.166B,-2.695B,-1.166B,1.367B,-698.00M,2.065B,,,-126.00M,,1.939B,1.939B,6.918B,4.352B,2.566B,0.47,,,,0.47,0.47,0.47,,,,0.47,0.47,4.137B,4.141B,0.6025
2018-09,32.61B,32.61B,13.33B,19.28B,7.224B,,1.211B,25.00M,-1.186B,,11.60B,7.675B,25.00M,1.211B,-1.186B,186.00M,-1.186B,6.675B,1.613B,5.062B,,,-138.00M,,4.924B,4.924B,12.26B,4.377B,7.886B,1.19,,,,1.19,1.19,1.19,,,,1.19,1.19,4.136B,4.14B,0.6025
2018-06,32.20B,32.20B,13.63B,18.57B,7.605B,,1.222B,20.00M,-1.202B,,11.96B,6.617B,20.00M,1.222B,-1.202B,112.00M,-1.202B,5.527B,1.281B,4.246B,,,-126.00M,,4.12B,4.12B,11.10B,4.35B,6.749B,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,4.135B,4.139B,0.59
2018-03,31.77B,31.77B,13.26B,18.52B,6.844B,,1.201B,16.00M,-1.185B,,11.17B,7.349B,16.00M,1.201B,-1.185B,-110.00M,-1.185B,6.054B,1.388B,4.666B,,,-121.00M,,4.545B,4.545B,11.58B,4.324B,7.255B,1.11,,,,1.11,1.11,1.11,,,,1.11,1.11,4.104B,4.107B,0.59
2017-12,33.96B,33.96B,15.56B,18.40B,6.706B,,1.219B,25.00M,-1.194B,,11.16B,7.235B,25.00M,1.219B,-1.194B,-3.107B,-1.194B,2.934B,-15.85B,18.78B,,,-114.00M,,18.67B,18.67B,8.609B,4.456B,4.153B,4.57,,,,4.57,4.57,4.56,,,,4.56,4.56,4.087B,4.092B,0.59
2017-09,31.72B,31.72B,12.97B,18.74B,7.483B,,1.164B,23.00M,-1.141B,,11.76B,6.988B,23.00M,1.164B,-1.141B,-336.00M,-1.141B,5.511B,1.775B,3.736B,,,-116.00M,,3.62B,3.62B,10.95B,4.272B,6.675B,0.89,,,,0.89,0.89,0.89,,,,0.89,0.89,4.084B,4.089B,0.59
2017-06,30.55B,30.55B,12.48B,18.06B,5.883B,,1.218B,20.00M,-1.198B,,10.05B,8.014B,20.00M,1.218B,-1.198B,151.00M,-1.198B,6.967B,2.489B,4.478B,,,-116.00M,,4.362B,4.222B,12.35B,4.167B,8.185B,1.07,,,,1.036,1.07,1.07,,,,1.036,1.07,4.082B,4.087B,0.5775
2017-03,29.81B,29.81B,12.05B,17.77B,6.746B,,1.132B,14.00M,-1.118B,,10.80B,6.962B,14.00M,1.132B,-1.118B,-662.00M,-1.118B,5.182B,1.629B,3.553B,,,-103.00M,,3.45B,3.300B,10.37B,4.059B,6.314B,0.85,,,,0.8134,0.85,0.84,,,,0.8034,0.84,4.082B,4.087B,0.5775
2016-12,32.34B,32.34B,15.64B,16.70B,2.501B,0.00,1.137B,17.00M,-1.12B,,6.488B,10.21B,17.00M,1.137B,-1.12B,-2.144B,-1.12B,6.949B,2.349B,4.60B,,,-105.00M,,4.495B,4.495B,12.07B,3.987B,8.086B,1.1,,,,1.1,1.1,1.1,,,,1.1,1.1,4.08B,4.086B,0.5775
2016-09,30.94B,30.94B,12.23B,18.71B,8.226B,,1.038B,16.00M,-1.022B,,12.17B,6.54B,16.00M,1.038B,-1.022B,58.00M,-1.022B,5.576B,1.829B,3.747B,,,-127.00M,,3.62B,3.62B,10.56B,3.942B,6.614B,0.89,,,,0.89,0.89,0.89,,,,0.89,0.89,4.079B,4.086B,0.5775
2016-06,30.53B,30.53B,12.22B,18.31B,9.775B,,1.013B,11.00M,-1.002B,,13.76B,4.554B,11.00M,1.013B,-1.002B,-1.857B,-1.002B,1.695B,864.00M,831.00M,,,-129.00M,,702.00M,702.00M,6.69B,3.982B,2.708B,0.17,,,,0.17,0.17,0.17,,,,0.17,0.17,4.079B,4.085B,0.565
2016-03,32.17B,32.17B,12.61B,19.56B,7.60B,,1.188B,15.00M,-1.173B,,11.62B,7.942B,15.00M,1.188B,-1.173B,-3.00M,-1.173B,6.766B,2.336B,4.43B,,,-120.00M,,4.31B,4.31B,11.97B,4.017B,7.954B,1.06,,,,1.06,1.06,1.06,,,,1.06,1.06,4.08B,4.085B,0.565
2015-12,34.25B,34.25B,14.71B,19.55B,5.764B,,1.178B,15.00M,-1.163B,,9.803B,9.744B,15.00M,1.178B,-1.163B,-3.00M,-1.163B,8.578B,3.065B,5.513B,,,-122.00M,,5.391B,5.391B,13.80B,4.039B,9.756B,1.32,,,,1.32,1.32,1.32,,,,1.32,1.32,4.073B,4.087B,0.565
2015-09,33.16B,33.16B,13.30B,19.85B,8.309B,,1.202B,14.00M,-1.188B,,12.32B,7.535B,14.00M,1.202B,-1.188B,19.00M,-1.188B,6.366B,2.195B,4.171B,,,-133.00M,,4.038B,4.038B,11.58B,4.009B,7.568B,0.99,,,,0.99,0.99,0.99,,,,0.99,0.99,4.072B,4.078B,0.565
2015-06,32.22B,32.22B,12.45B,19.78B,7.974B,,1.208B,43.00M,-1.165B,,11.95B,7.821B,43.00M,1.208B,-1.165B,-29.00M,-1.165B,6.627B,2.274B,4.353B,,,-122.00M,,4.231B,4.231B,11.82B,3.98B,7.835B,1.04,,,,1.04,1.04,1.04,,,,1.04,1.04,4.079B,4.085B,0.55
2015-03,31.98B,31.98B,12.10B,19.89B,7.939B,,1.332B,43.00M,-1.289B,,11.93B,7.96B,43.00M,1.332B,-1.289B,-2.00M,-1.289B,6.669B,2.331B,4.338B,,,-119.00M,,4.219B,4.219B,11.99B,3.989B,8.001B,1.03,,,,1.03,1.03,1.02,,,,1.02,1.02,4.116B,4.121B,0.55
2014-12,33.19B,33.19B,14.40B,18.79B,16.86B,,1.282B,36.00M,-1.246B,,20.92B,-2.136B,36.00M,1.282B,-1.246B,-504.00M,-1.246B,-3.886B,-1.738B,-2.148B,,,-83.00M,,-2.231B,-2.231B,1.464B,4.068B,-2.604B,-0.54,,,,-0.54,-0.54,-0.54,,,,-0.54,-0.54,4.16B,4.167B,0.55
2014-09,31.59B,31.59B,12.25B,19.33B,8.277B,,1.255B,28.00M,-1.227B,,12.44B,6.89B,28.00M,1.255B,-1.227B,-5.00M,-1.227B,5.658B,1.864B,3.794B,,,-99.00M,,3.695B,3.695B,11.08B,4.167B,6.913B,0.89,,,,0.89,0.89,0.89,,,,0.89,0.89,4.152B,4.159B,0.55
2014-06,31.48B,31.48B,12.09B,19.40B,7.55B,,1.164B,22.00M,-1.142B,,11.71B,7.685B,22.00M,1.164B,-1.142B,1.00M,-1.142B,6.544B,2.22B,4.324B,,,-110.00M,,4.214B,4.214B,11.87B,4.161B,7.708B,1.02,,,,1.02,1.02,1.01,,,,1.01,1.01,4.147B,4.153B,0.53
2014-03,30.82B,30.82B,11.19B,19.63B,8.332B,,1.214B,22.00M,-1.192B,,12.47B,7.16B,22.00M,1.214B,-1.192B,986.00M,-1.192B,6.954B,968.00M,5.986B,,,-2.039B,,3.947B,3.947B,12.30B,4.137B,8.168B,1.15,,,,1.15,1.15,1.15,,,,1.15,1.15,3.425B,3.43B,0.53
2013-12,31.06B,31.06B,11.96B,19.10B,2.857B,,1.061B,23.00M,-1.038B,,7.04B,12.06B,23.00M,1.061B,-1.038B,-265.00M,-1.038B,10.76B,2.844B,7.916B,,,-2.849B,,5.067B,5.067B,16.00B,4.183B,11.82B,1.77,,,,1.77,1.77,1.76,,,,1.76,1.76,2.866B,2.874B,0.53
2013-09,30.28B,30.28B,10.96B,19.32B,8.037B,,555.00M,14.00M,-541.00M,,12.19B,7.128B,14.00M,555.00M,-541.00M,25.00M,-541.00M,6.612B,1.034B,5.578B,,,-3.346B,,2.232B,2.232B,11.32B,4.154B,7.167B,0.78,,,,0.78,0.78,0.78,,,,0.78,0.78,2.866B,2.874B,0.53
2013-06,29.79B,29.79B,11.03B,18.75B,8.047B,,514.00M,14.00M,-500.00M,,12.20B,6.555B,14.00M,514.00M,-500.00M,131.00M,-500.00M,6.186B,988.00M,5.198B,,,-2.952B,,2.246B,2.246B,10.85B,4.151B,6.70B,0.78,,,,0.78,0.78,0.78,,,,0.78,0.78,2.865B,2.872B,0.515
2013-03,29.42B,29.42B,10.93B,18.49B,8.148B,,537.00M,13.00M,-524.00M,,12.27B,6.222B,13.00M,537.00M,-524.00M,21.00M,-524.00M,5.719B,864.00M,4.855B,,,-2.903B,,1.952B,1.952B,10.37B,4.118B,6.256B,0.68,,,,0.68,0.68,0.68,,,,0.68,0.68,2.866B,2.872B,0.515
2012-12,30.04B,30.04B,13.07B,16.98B,16.01B,,575.00M,,-518.00M,,20.14B,-3.169B,,575.00M,-518.00M,-1.049B,-518.00M,-4.736B,-2.81B,-1.926B,,,-2.303B,,-4.229B,-4.229B,-24.00M,4.137B,-4.161B,-1.48,,,,-1.48,-1.48,-1.48,,,,-1.48,-1.48,2.862B,2.871B,0.515
2012-09,29.01B,29.01B,10.99B,18.02B,8.366B,,632.00M,,-632.00M,,12.53B,5.483B,,632.00M,-632.00M,72.00M,-632.00M,4.923B,631.00M,4.292B,,,-2.699B,,1.593B,1.593B,9.722B,4.167B,5.555B,0.56,,,,0.56,0.56,0.56,,,,0.56,0.56,2.857B,2.866B,0.515
2012-06,28.55B,28.55B,10.90B,17.66B,7.877B,,679.00M,,-679.00M,,12.00B,5.651B,,679.00M,-679.00M,106.00M,-679.00M,5.078B,793.00M,4.285B,,,-2.46B,,1.825B,1.825B,9.885B,4.128B,5.757B,0.64,,,,0.64,0.64,0.64,,,,0.64,0.64,2.849B,2.858B,0.5
2012-03,28.24B,28.24B,11.32B,16.92B,7.70B,,685.00M,,-685.00M,,11.73B,5.195B,,685.00M,-685.00M,122.00M,-685.00M,4.632B,726.00M,3.906B,,,-2.22B,,1.686B,1.686B,9.345B,4.028B,5.317B,0.59,,,,0.59,0.59,0.59,,,,0.59,0.59,2.842B,2.849B,0.5
