,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,4.504B,0.00,21.00M,899.00M,920.00M,4.192B,4.192B,650.00M,337.00M,,,-1.952B,,8.92B,-4.504B,,,-186.00M,-108.00M,,-1.733B,-6.345B,2.243B,,2.243B,,,,-2.546B,-2.546B,-1.202B,-1.505B,9.113B,1.07B,10.18B,,4.677B,-2.434B,
2020-06,4.839B,,20.00M,-31.00M,-11.00M,4.181B,4.181B,-33.00M,969.00M,,,4.505B,,14.73B,-6.167B,,,-1.591B,-399.00M,,1.422B,-5.144B,-5.759B,,-5.759B,,,,-2.543B,-2.543B,-493.00M,-8.795B,8.324B,789.00M,9.113B,,3.457B,-9.216B,
2020-03,4.287B,,26.00M,-1.00M,25.00M,4.15B,4.15B,-87.00M,1.104B,,,-1.208B,,8.824B,-5.484B,,,-210.00M,0.00,,-1.496B,-6.98B,4.763B,,4.763B,,,,-2.547B,-2.547B,347.00M,2.563B,3.917B,4.407B,8.324B,,8.692B,-3.929B,
2019-12,5.217B,0.00,10.00M,-179.00M,-169.00M,4.105B,4.105B,162.00M,1.851B,,,-2.811B,,8.998B,-6.206B,,,-599.00M,1.00M,,781.00M,-5.424B,186.00M,,186.00M,,,,-2.542B,-2.542B,-1.507B,-3.863B,4.206B,-289.00M,3.917B,,6.313B,-6.127B,
2019-09,5.337B,94.00M,14.00M,189.00M,297.00M,4.114B,4.114B,482.00M,-402.00M,,,691.00M,,10.91B,-4.465B,,,-100.00M,26.00M,,871.00M,-3.568B,-3.189B,,-3.189B,,,,-2.493B,-2.493B,-576.00M,-6.258B,3.12B,1.086B,4.206B,,2.123B,-5.312B,
2019-06,4.074B,,29.00M,-99.00M,-70.00M,4.232B,4.232B,129.00M,1.862B,,,-1.891B,,8.755B,-3.794B,,,-95.00M,-3.00M,,11.00M,-3.786B,-1.70B,,-1.70B,,,,-2.492B,-2.492B,-1.194B,-5.386B,3.537B,-417.00M,3.12B,,6.971B,-8.671B,
2019-03,5.16B,,21.00M,-195.00M,-174.00M,4.231B,4.231B,459.00M,-212.00M,,,-2.702B,,7.081B,-4.372B,,,-104.00M,-25.00M,,-406.00M,-4.803B,-528.00M,,-528.00M,,,,-2.489B,-2.489B,360.00M,-2.657B,3.916B,-379.00M,3.537B,,3.248B,-3.776B,
2018-12,2.065B,0.00,-60.00M,-1.771B,-1.831B,4.352B,4.352B,-1.634B,-496.00M,,,767.00M,,8.095B,-4.754B,,,-122.00M,-191.00M,,147.00M,-4.798B,-238.00M,,-238.00M,,,,-2.489B,-2.489B,-229.00M,-2.956B,3.575B,341.00M,3.916B,,1.629B,-1.867B,
2018-09,5.062B,0.00,23.00M,-586.00M,-563.00M,4.377B,4.377B,669.00M,435.00M,,,-406.00M,,9.811B,-4.34B,,,-152.00M,-1.00M,,-67.00M,-4.408B,-1.275B,,-1.275B,,,,-2.438B,-2.438B,-843.00M,-4.556B,2.728B,847.00M,3.575B,,2.848B,-4.123B,
2018-06,4.246B,,238.00M,-149.00M,89.00M,4.35B,4.35B,652.00M,-270.00M,,,495.00M,,9.785B,-3.471B,,,-185.00M,-6.00M,,34.00M,-3.443B,-2.418B,,-2.418B,,,,-2.438B,-2.438B,-1.693B,-6.549B,2.935B,-207.00M,2.728B,,3.166B,-5.584B,
