,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-08,1.430B,1.430B,840.00M,590.30M,317.20M,0.00,33.50M,-33.50M,,317.20M,273.10M,33.50M,-33.50M,3.80M,-33.50M,243.40M,46.90M,206.10M,,,206.10M,206.10M,319.30M,42.40M,276.90M,0.775,,,0.775,0.775,0.765,,,0.765,0.765,266.60M,269.60M,0.31
2020-05,1.401B,1.401B,821.60M,579.50M,319.20M,-1.90M,34.40M,-34.40M,,319.20M,260.30M,34.40M,-34.40M,0.20M,-34.40M,226.10M,40.40M,195.90M,,,195.90M,197.46M,300.10M,39.60M,260.50M,0.735,,,0.7409,0.735,0.73,,,0.7358,0.73,266.20M,268.60M,0.31
2020-02,1.212B,1.212B,742.10M,469.90M,274.70M,-0.30M,35.30M,-35.30M,,274.70M,195.20M,35.30M,-35.30M,4.50M,-35.30M,164.40M,30.10M,144.70M,,,144.70M,144.95M,241.60M,41.90M,199.70M,0.545,,,0.5459,0.545,0.54,,,0.5409,0.54,266.00M,268.60M,0.31
2019-11,1.485B,1.485B,854.80M,630.00M,326.90M,-1.10M,38.50M,-38.50M,,326.90M,303.10M,38.50M,-38.50M,3.50M,-38.50M,268.10M,66.40M,213.40M,,,213.40M,214.23M,347.40M,40.80M,306.60M,0.8,,,0.8031,0.8,0.795,,,0.7981,0.795,265.80M,268.80M,0.285
2019-08,1.329B,1.329B,789.30M,539.90M,278.70M,-1.10M,41.30M,-41.30M,,278.70M,261.20M,41.30M,-41.30M,-0.80M,-41.30M,219.10M,36.80M,191.90M,,,191.90M,192.82M,299.40M,39.00M,260.40M,0.725,,,0.7284,0.725,0.715,,,0.7184,0.715,265.60M,268.40M,0.285
2019-05,1.302B,1.302B,793.40M,508.50M,293.30M,-3.40M,42.40M,-42.40M,,293.30M,215.20M,42.40M,-42.40M,-0.80M,-42.40M,172.00M,32.10M,149.40M,,,149.40M,152.16M,253.10M,38.70M,214.40M,0.565,,,0.5754,0.565,0.56,,,0.5703,0.56,264.60M,267.80M,0.285
2019-02,1.232B,1.232B,764.60M,466.90M,267.90M,-0.60M,43.00M,-43.00M,,267.90M,199.00M,43.00M,-43.00M,4.00M,-43.00M,160.00M,22.10M,148.00M,,,148.00M,148.52M,243.30M,40.30M,203.00M,0.56,,,0.562,0.56,0.555,,,0.5569,0.555,264.40M,267.60M,0.285
2018-11,1.468B,1.468B,862.90M,605.00M,310.70M,-0.70M,43.90M,-43.90M,,310.70M,294.30M,43.90M,-43.90M,8.50M,-43.90M,258.90M,55.80M,214.00M,,,214.00M,214.55M,341.90M,39.10M,302.80M,0.81,,,0.8121,0.81,0.8,,,0.8021,0.8,263.60M,267.60M,0.26
2018-08,1.318B,1.318B,795.70M,522.50M,283.70M,-6.20M,44.70M,-44.70M,,283.70M,238.80M,44.70M,-44.70M,-4.10M,-44.70M,190.00M,24.90M,173.50M,,,173.50M,178.89M,272.20M,37.50M,234.70M,0.66,,,0.6805,0.66,0.65,,,0.6702,0.65,263.20M,266.40M,0.26
2018-05,1.301B,1.301B,795.90M,505.40M,300.60M,-8.50M,44.20M,-44.20M,,300.60M,204.80M,44.20M,-44.20M,-11.60M,-44.20M,149.00M,33.10M,123.30M,,,123.30M,129.91M,230.70M,37.50M,193.20M,0.47,,,0.4952,0.47,0.465,,,0.4899,0.465,262.80M,265.80M,0.26
2018-02,1.215B,1.215B,755.00M,460.40M,268.40M,-9.10M,41.80M,-41.80M,,268.40M,192.00M,41.80M,-41.80M,-6.80M,-41.80M,143.40M,-271.10M,422.60M,,,422.60M,429.24M,221.80M,36.60M,185.20M,1.61,,,1.635,1.61,1.59,,,1.615,1.59,262.40M,265.80M,0.26
2017-11,1.387B,1.387B,935.10M,452.00M,162.20M,-20.30M,44.80M,-44.80M,,162.20M,289.80M,44.80M,-44.80M,-21.90M,-44.80M,223.10M,57.70M,175.70M,,,175.70M,190.75M,303.50M,35.60M,267.90M,0.67,,,0.7276,0.67,0.66,,,0.717,0.66,261.40M,264.00M,0.235
2017-08,1.185B,1.185B,700.80M,484.40M,286.50M,-27.10M,21.50M,-36.90M,,286.50M,197.90M,21.50M,-36.90M,-28.00M,-36.90M,133.00M,33.00M,108.20M,,,108.20M,128.58M,186.00M,31.50M,154.50M,0.43,,,0.5107,0.43,0.425,,,0.5047,0.425,252.60M,255.60M,0.235
2017-05,1.114B,1.114B,669.70M,444.60M,307.30M,0.00,14.90M,-14.90M,,307.30M,137.30M,14.90M,-14.90M,-3.50M,-14.90M,118.90M,27.30M,100.00M,,,100.00M,100.00M,163.60M,29.80M,133.80M,0.4,,,0.4,0.4,0.395,,,0.395,0.395,249.40M,252.80M,0.235
2017-02,1.044B,1.044B,630.70M,413.00M,275.20M,-1.70M,14.50M,-14.50M,,275.20M,137.80M,14.50M,-14.50M,-3.50M,-14.50M,119.80M,33.30M,93.50M,,,93.50M,94.73M,162.60M,28.30M,134.30M,0.375,,,0.3799,0.375,0.37,,,0.3748,0.37,250.20M,253.80M,0.235
2016-11,1.227B,1.227B,687.00M,540.00M,315.00M,-9.20M,14.30M,-14.30M,,315.00M,225.00M,14.30M,-14.30M,-3.70M,-14.30M,207.00M,61.50M,157.40M,,,157.40M,163.87M,247.70M,26.40M,221.30M,0.625,,,0.6507,0.625,0.62,,,0.6454,0.62,252.00M,254.80M,0.215
2016-08,1.091B,1.091B,637.10M,453.90M,281.80M,-3.50M,14.10M,-14.10M,,281.80M,172.10M,14.10M,-14.10M,-4.10M,-14.10M,153.90M,34.30M,127.70M,,,127.70M,130.42M,197.30M,29.30M,168.00M,0.505,,,0.5158,0.505,0.5,,,0.5106,0.5,252.80M,255.80M,0.215
2016-05,1.063B,1.063B,630.50M,432.80M,303.90M,,13.70M,-13.70M,,303.90M,128.90M,13.70M,-13.70M,-3.20M,-13.70M,112.00M,25.90M,93.80M,,,93.80M,93.80M,152.30M,26.60M,125.70M,0.37,,,0.37,0.37,0.365,,,0.365,0.365,253.80M,256.60M,0.215
2016-02,1.030B,1.030B,625.20M,405.00M,274.30M,,13.90M,-13.90M,,274.30M,130.70M,13.90M,-13.90M,-0.50M,-13.90M,116.30M,31.30M,93.40M,,,93.40M,93.40M,156.60M,26.40M,130.20M,0.365,,,0.365,0.365,0.365,,,0.365,0.365,254.20M,256.60M,0.215
2015-11,1.202B,1.202B,680.20M,521.70M,307.10M,,13.80M,-13.80M,,307.10M,214.60M,13.80M,-13.80M,-1.90M,-13.80M,198.90M,59.40M,149.20M,,,149.20M,149.20M,239.90M,27.20M,212.70M,0.585,,,0.585,0.585,0.58,,,0.58,0.58,255.40M,258.40M,0.2
2015-08,1.060B,1.060B,638.00M,421.90M,271.50M,,13.60M,-13.60M,,271.50M,150.40M,13.60M,-13.60M,-11.50M,-13.60M,125.30M,37.40M,97.60M,,,97.60M,97.60M,165.10M,26.20M,138.90M,0.38,,,0.38,0.38,0.38,,,0.38,0.38,256.00M,258.40M,0.2
2015-05,1.024B,1.024B,620.10M,404.00M,281.20M,,13.00M,-13.00M,,281.20M,122.80M,13.00M,-13.00M,-18.40M,-13.00M,91.40M,14.50M,84.30M,,,84.30M,84.30M,132.00M,27.60M,104.40M,0.33,,,0.33,0.33,0.325,,,0.325,0.325,255.80M,258.00M,0.2
2015-02,1.010B,1.010B,620.70M,389.70M,267.60M,,12.90M,-12.90M,,267.60M,122.10M,12.90M,-12.90M,-28.60M,-12.90M,80.60M,20.00M,70.50M,,,70.50M,70.50M,118.40M,24.90M,93.50M,0.275,,,0.275,0.275,0.275,,,0.275,0.275,256.40M,258.60M,0.2
2014-11,1.174B,1.174B,667.50M,506.10M,303.80M,,12.40M,-12.40M,,303.80M,202.30M,12.40M,-12.40M,-2.60M,-12.40M,187.30M,48.60M,148.00M,,,148.00M,148.00M,224.30M,24.60M,199.70M,0.575,,,0.575,0.575,0.57,,,0.57,0.57,257.40M,260.20M,0.185
2014-08,1.043B,1.043B,622.70M,420.10M,260.50M,,12.40M,-12.40M,,260.50M,159.60M,12.40M,-12.40M,-2.00M,-12.40M,145.20M,31.10M,122.90M,,,122.90M,122.90M,182.20M,24.60M,157.60M,0.475,,,0.475,0.475,0.47,,,0.47,0.47,259.20M,261.20M,0.185
2014-05,1.033B,1.033B,620.90M,412.50M,290.80M,,12.50M,-12.50M,,290.80M,121.70M,12.50M,-12.50M,0.30M,-12.50M,109.50M,31.20M,84.50M,,,84.50M,84.50M,148.70M,26.70M,122.00M,0.325,,,0.325,0.325,0.32,,,0.32,0.32,260.40M,262.40M,0.185
2014-02,993.40M,993.40M,601.90M,391.50M,266.90M,,12.40M,-12.40M,,266.90M,124.60M,12.40M,-12.40M,-0.20M,-12.40M,112.40M,35.00M,82.50M,,,82.50M,82.50M,151.60M,26.80M,124.80M,0.315,,,0.315,0.315,0.31,,,0.31,0.31,262.20M,264.40M,0.185
2013-11,1.17B,1.17B,667.80M,502.20M,303.10M,,11.90M,-11.90M,,303.10M,199.10M,11.90M,-11.90M,-24.50M,-11.90M,162.70M,39.60M,130.00M,,,130.00M,130.00M,203.70M,29.10M,174.60M,0.49,,,0.49,0.49,0.485,,,0.485,0.485,263.60M,266.60M,0.17
2013-08,1.016B,1.016B,608.80M,407.60M,259.20M,,14.00M,-14.00M,,259.20M,148.40M,14.00M,-14.00M,0.30M,-14.00M,134.70M,35.30M,104.40M,,,104.40M,104.40M,173.90M,25.20M,148.70M,0.395,,,0.395,0.395,0.39,,,0.39,0.39,264.20M,267.00M,0.17
2013-05,1.003B,1.003B,608.20M,394.40M,278.40M,,13.50M,-13.50M,,278.40M,116.00M,13.50M,-13.50M,0.80M,-13.50M,103.30M,30.60M,78.60M,,,78.60M,78.60M,142.30M,25.50M,116.80M,0.3,,,0.3,0.3,0.295,,,0.295,0.295,264.20M,267.20M,0.17
2013-02,934.40M,934.40M,572.70M,361.70M,249.70M,,13.90M,-13.90M,,249.70M,112.00M,13.90M,-13.90M,0.60M,-13.90M,98.70M,28.10M,76.00M,,,76.00M,76.00M,138.80M,26.20M,112.60M,0.285,,,0.285,0.285,0.285,,,0.285,0.285,265.00M,268.00M,0.17
2012-11,1.146B,1.146B,663.40M,482.40M,282.10M,,13.90M,-13.90M,,282.10M,200.30M,13.90M,-13.90M,0.60M,-13.90M,187.00M,46.00M,148.50M,,,148.50M,148.50M,226.90M,26.00M,200.90M,0.56,,,0.56,0.56,0.555,,,0.555,0.555,264.80M,268.60M,0.155
2012-08,977.70M,977.70M,586.00M,391.70M,247.50M,,13.20M,-13.20M,,247.50M,144.20M,13.20M,-13.20M,0.90M,-13.20M,131.90M,33.00M,104.40M,,,104.40M,104.40M,171.30M,26.20M,145.10M,0.395,,,0.395,0.395,0.39,,,0.39,0.39,265.40M,268.60M,0.155
2012-05,984.00M,984.00M,595.60M,388.40M,267.10M,,13.90M,-13.90M,,267.10M,121.30M,13.90M,-13.90M,-0.10M,-13.90M,107.30M,30.80M,80.40M,,,80.40M,80.40M,146.00M,24.80M,121.20M,0.305,,,0.305,0.305,0.3,,,0.3,0.3,265.20M,268.20M,0.155
2012-02,906.70M,906.70M,551.40M,355.30M,242.80M,,13.50M,-13.50M,,242.80M,112.50M,13.50M,-13.50M,0.90M,-13.50M,99.90M,30.00M,74.50M,,,74.50M,74.50M,139.20M,25.80M,113.40M,0.28,,,0.28,0.28,0.275,,,0.275,0.275,266.20M,269.00M,0.155
2011-11,1.111B,1.111B,631.60M,479.10M,287.10M,,13.60M,-13.60M,,287.10M,192.00M,13.60M,-13.60M,-0.20M,-13.60M,178.20M,50.90M,152.70M,,,131.10M,152.00M,216.90M,25.10M,191.80M,0.495,0.0,,0.495,0.495,0.49,0.0,,0.49,0.49,265.40M,268.60M,0.14
2011-08,920.40M,920.40M,555.90M,364.50M,236.10M,1.10M,13.10M,-13.10M,,236.10M,128.40M,13.10M,-13.10M,1.10M,-13.10M,116.40M,31.20M,85.20M,6.80M,0.30M,92.30M,84.69M,154.20M,24.70M,129.50M,0.345,0.0,,0.342,0.345,0.345,0.0,,0.342,0.345,265.20M,268.20M,0.14
2011-05,883.70M,883.70M,533.00M,350.70M,241.40M,0.90M,12.30M,-12.30M,,241.40M,109.30M,12.30M,-12.30M,0.90M,-12.30M,97.90M,30.40M,67.50M,6.10M,0.20M,73.80M,67.08M,135.00M,24.80M,110.20M,0.28,0.0,,0.2777,0.28,0.275,0.0,,0.2727,0.275,264.80M,268.20M,0.14
2011-02,782.80M,782.80M,454.60M,328.20M,217.60M,0.50M,12.20M,-12.20M,,217.60M,110.60M,12.20M,-12.20M,0.50M,-12.20M,98.90M,30.00M,68.90M,7.90M,,76.80M,68.55M,134.80M,23.70M,111.10M,0.29,0.0,,0.2887,0.29,0.285,0.0,,0.2837,0.285,265.80M,269.20M,0.14
2010-11,979.40M,979.40M,533.40M,446.00M,260.60M,1.20M,12.30M,-12.30M,,260.60M,185.40M,12.30M,-12.30M,1.20M,-12.30M,174.30M,46.60M,127.70M,6.00M,,133.70M,126.82M,211.60M,25.00M,186.60M,0.505,0.0,,0.5017,0.505,0.495,0.0,,0.4918,0.495,265.80M,271.20M,0.13
2010-08,794.60M,794.60M,459.80M,334.80M,208.80M,0.50M,12.40M,-12.40M,,208.80M,126.00M,12.40M,-12.40M,0.50M,-12.40M,114.10M,18.30M,95.80M,6.60M,,102.40M,95.38M,150.70M,24.20M,126.50M,0.385,0.0,,0.3834,0.385,0.38,0.0,,0.3784,0.38,266.60M,269.80M,0.13
2010-05,798.30M,798.30M,471.60M,326.70M,229.20M,0.00,12.30M,-12.30M,,229.20M,97.50M,12.30M,-12.30M,,-12.30M,85.20M,25.70M,59.50M,6.70M,,66.20M,59.50M,120.30M,22.80M,97.50M,0.25,0.0,,0.25,0.25,0.245,0.0,,0.245,0.245,266.20M,269.60M,0.13
2010-02,764.50M,764.50M,454.30M,310.20M,209.40M,0.60M,12.30M,-12.30M,,209.40M,100.80M,12.30M,-12.30M,0.60M,-12.30M,89.10M,27.50M,61.60M,6.30M,,67.90M,61.19M,124.50M,23.10M,101.40M,0.255,0.0,,0.2534,0.255,0.255,0.0,,0.2535,0.255,264.60M,268.00M,0.13
2009-11,924.60M,924.60M,502.90M,421.70M,238.30M,-4.90M,12.60M,-12.60M,,238.30M,183.40M,12.60M,-12.60M,-4.90M,-12.60M,165.90M,55.80M,110.10M,6.20M,,116.30M,113.35M,203.20M,24.70M,178.50M,0.445,0.0,,0.4574,0.445,0.44,0.0,,0.4522,0.44,262.80M,265.80M,0.12
2009-08,791.70M,791.70M,472.70M,319.00M,201.50M,-0.60M,12.80M,-12.80M,,201.50M,117.50M,12.80M,-12.80M,-0.60M,-12.80M,104.10M,32.10M,72.00M,3.10M,,75.10M,72.41M,139.40M,22.50M,116.90M,0.285,0.0,,0.2866,0.285,0.285,0.0,,0.2866,0.285,261.80M,264.80M,0.12
2009-05,757.30M,757.30M,455.10M,302.20M,212.90M,-5.60M,13.00M,-13.00M,,212.90M,89.30M,13.00M,-13.00M,-5.60M,-13.00M,70.70M,23.80M,46.90M,3.80M,,50.70M,50.61M,110.80M,27.10M,83.70M,0.195,0.0,,0.2092,0.195,0.19,0.0,,0.2041,0.19,261.20M,263.60M,0.12
2009-02,718.50M,718.50M,434.30M,284.20M,193.90M,0.00,14.40M,-14.40M,,193.90M,90.30M,14.40M,-14.40M,,-14.40M,75.90M,21.40M,54.50M,3.20M,,57.70M,54.50M,110.30M,20.00M,90.30M,0.22,0.0,,0.22,0.22,0.22,0.0,,0.22,0.22,260.60M,263.80M,0.12
2008-11,906.90M,906.90M,510.80M,396.10M,231.00M,-37.80M,,,,231.00M,165.10M,,,-52.80M,,110.90M,32.10M,63.80M,,,82.40M,90.66M,163.00M,21.00M,142.00M,0.315,0.0,,0.4184,0.315,0.31,0.0,,0.4114,0.31,259.80M,264.80M,0.11
2008-08,781.60M,781.60M,473.20M,308.40M,212.90M,7.40M,,,,212.90M,95.50M,,,12.70M,,90.10M,26.80M,68.60M,,,68.60M,63.40M,116.00M,20.50M,95.50M,0.265,0.0,,0.2449,0.265,0.26,0.0,,0.2404,0.26,258.60M,264.60M,0.11
2008-05,764.10M,764.10M,466.20M,297.90M,222.00M,7.60M,,,,222.00M,75.90M,,,12.10M,,70.80M,21.80M,53.30M,,-0.20M,53.30M,48.04M,97.60M,21.70M,75.90M,0.205,0.0,,0.1846,0.205,0.205,0.0,,0.185,0.205,257.40M,263.00M,0.11
2008-02,724.00M,724.00M,438.20M,285.80M,204.80M,-0.30M,,,,204.80M,81.00M,,,5.00M,,65.90M,19.80M,51.40M,,,51.40M,51.61M,103.40M,22.40M,81.00M,0.2,0.0,,0.2008,0.2,0.195,0.0,,0.1958,0.195,256.00M,262.20M,0.11
