,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2010-02,21.90M,21.90M,325.30M,,325.30M,201.10M,233.70M,434.80M,119.80M,,901.80M,,,,,,,1.096B,-626.60M,469.70M,1.424B,234.50M,1.659B,215.30M,,2.344B,3.245B,237.20M,237.20M,333.90M,571.10M,,,,144.40M,,144.40M,,715.50M,872.30M,,872.30M,,,,9.20M,326.00M,1.198B,1.914B,656.00M,653.40M,,,,,13.00M,1.322B
2009-11,39.50M,39.50M,365.30M,,365.30M,220.00M,237.60M,457.60M,108.10M,,970.50M,0.0,29.70M,290.10M,774.00M,,34.60M,1.128B,-638.60M,489.80M,1.480B,237.30M,1.717B,210.50M,,2.417B,3.388B,298.70M,298.70M,403.40M,702.10M,,,,116.10M,,116.10M,,818.20M,875.00M,,875.00M,,,,8.90M,351.10M,1.226B,2.044B,0.00,591.50M,634.00M,,,,109.10M,1.335B
2009-08,27.90M,27.90M,328.60M,,328.60M,201.60M,245.80M,447.40M,116.50M,,920.40M,,,,,,,1.103B,-630.10M,472.70M,1.450B,235.70M,1.686B,190.90M,,2.386B,3.306B,238.50M,238.50M,327.20M,565.70M,,,,288.60M,,288.60M,,854.30M,870.90M,,870.90M,,,,,249.50M,1.120B,1.975B,608.20M,542.30M,,,,,181.20M,1.332B
2009-05,12.90M,12.90M,316.80M,,316.80M,209.00M,241.00M,450.00M,105.80M,,885.50M,,,,,,,1.080B,-607.30M,473.00M,1.301B,374.60M,1.676B,164.40M,,2.351B,3.236B,239.60M,239.60M,296.10M,535.70M,,,,321.00M,,321.00M,,856.70M,885.40M,,885.40M,,,,,234.60M,1.12B,1.977B,598.20M,499.50M,,,,,161.70M,1.259B
2009-02,23.40M,23.40M,342.00M,,342.00M,210.60M,237.20M,447.80M,107.80M,,921.00M,,,,1.013B,,,1.013B,-561.00M,451.70M,1.228B,369.40M,1.597B,,191.20M,2.24B,3.161B,253.10M,253.10M,283.40M,536.50M,,,,395.80M,,395.80M,,932.30M,884.40M,,884.40M,,,,,249.90M,1.134B,2.067B,0.00,481.60M,588.70M,,80.50M,-56.40M,24.10M,1.094B
2008-11,38.90M,38.90M,380.70M,,380.70M,208.30M,230.70M,439.00M,109.70M,,968.30M,0.0,26.20M,263.80M,679.00M,,41.30M,1.010B,-549.20M,461.10M,1.230B,374.80M,1.605B,153.00M,,2.252B,3.220B,266.10M,266.10M,414.00M,680.10M,,,,354.00M,,354.00M,,1.034B,885.20M,,885.20M,,,,,245.70M,1.131B,2.165B,0.00,425.40M,581.80M,,,,48.10M,1.055B
2008-08,30.30M,30.30M,429.80M,,429.80M,222.40M,239.90M,462.30M,57.60M,,980.00M,,,,,,,1.052B,-574.90M,476.60M,1.328B,419.70M,1.748B,,225.70M,2.450B,3.430B,249.20M,249.20M,334.40M,583.60M,,,,473.50M,,473.50M,,1.057B,878.20M,,878.20M,,,,,279.80M,1.158B,2.215B,0.00,403.30M,578.10M,,,,233.80M,1.215B
2008-05,47.30M,47.30M,416.50M,,416.50M,226.50M,233.10M,459.60M,59.40M,,982.80M,,,,,,,1.064B,-574.40M,489.40M,965.30M,228.00M,1.193B,,234.90M,1.918B,2.900B,260.20M,260.20M,360.20M,620.40M,,,,136.30M,,136.30M,,756.70M,626.90M,,626.90M,,,,9.50M,272.80M,899.70M,1.656B,0.00,380.50M,538.60M,,,,315.40M,1.234B
2008-02,24.44M,24.44M,423.76M,,423.76M,231.90M,217.48M,449.38M,53.76M,,951.34M,,,,,,,1.050B,-563.10M,486.65M,947.75M,227.77M,1.176B,,244.77M,1.907B,2.858B,251.36M,251.36M,366.51M,617.86M,,,,119.86M,,119.86M,,737.73M,676.66M,,676.66M,,,,9.126M,279.39M,956.05M,1.694B,0.00,360.36M,512.79M,,370.79M,-88.57M,282.22M,1.155B
2007-11,45.90M,45.90M,456.50M,,456.50M,208.20M,222.00M,430.20M,10.80M,39.70M,983.10M,0.0,30.40M,288.40M,460.30M,198.20M,51.60M,1.029B,-541.30M,487.60M,879.50M,207.50M,1.087B,,229.80M,1.804B,2.788B,243.30M,243.30M,468.40M,711.70M,,,,149.60M,,149.60M,,861.30M,573.50M,,573.50M,,,,,267.60M,841.10M,1.702B,0.00,323.80M,501.00M,,,,260.30M,1.085B
2007-08,45.72M,45.72M,399.86M,,399.86M,180.57M,259.28M,439.86M,58.15M,,943.59M,,,,,,,1.000B,-530.75M,469.51M,835.74M,204.36M,1.040B,,220.13M,1.730B,2.673B,209.33M,209.33M,338.94M,548.27M,,,,455.69M,,455.69M,,1.004B,417.97M,,417.97M,,,,9.233M,272.85M,690.82M,1.695B,0.00,298.79M,489.41M,,,,181.14M,969.33M
2007-05,40.47M,40.47M,360.93M,,360.93M,180.12M,247.39M,427.51M,59.47M,,888.38M,,,,,,,993.44M,-521.08M,472.36M,819.87M,193.51M,1.013B,,209.98M,1.696B,2.584B,215.61M,215.61M,332.41M,548.01M,,,,347.04M,,347.04M,,895.05M,415.85M,,415.85M,,,,4.465M,264.12M,679.97M,1.575B,0.00,355.39M,480.92M,,,,168.30M,1.005B
2007-02,38.58M,38.58M,379.79M,,379.79M,185.28M,226.56M,411.84M,57.12M,,887.33M,,,,,,,973.46M,-507.51M,465.95M,808.23M,191.00M,999.23M,,209.39M,1.675B,2.562B,218.19M,218.19M,340.52M,558.72M,,,,337.02M,,337.02M,,895.74M,418.43M,,418.43M,,,,4.03M,255.89M,674.32M,1.570B,0.00,381.95M,465.67M,,,,140.18M,987.80M
2006-11,49.00M,49.00M,379.10M,,379.10M,186.60M,219.10M,405.70M,21.60M,44.00M,899.40M,0.0,28.00M,263.80M,431.10M,177.00M,66.00M,965.90M,-496.40M,469.50M,803.80M,193.60M,997.40M,,201.70M,1.669B,2.568B,224.40M,224.40M,474.70M,699.10M,,,,81.40M,,81.40M,,780.50M,569.60M,,569.60M,68.10M,68.10M,,3.60M,212.90M,850.60M,1.631B,0.00,348.70M,444.30M,,223.40M,-83.10M,140.30M,933.30M
2006-08,37.71M,37.71M,327.82M,,327.82M,185.24M,231.86M,417.10M,47.13M,,829.76M,,,,,,,1.004B,-527.94M,475.59M,785.40M,192.23M,977.63M,,177.73M,1.631B,2.461B,188.51M,188.51M,348.32M,536.83M,,,,152.84M,,152.84M,,689.67M,566.14M,,566.14M,,,,3.267M,285.13M,851.27M,1.541B,0.00,378.89M,431.63M,,,,105.98M,916.50M
2006-05,74.07M,74.07M,327.07M,,327.07M,191.38M,190.48M,381.86M,49.97M,,832.96M,,,,,,,981.74M,-507.04M,474.70M,721.95M,161.65M,883.60M,,172.15M,1.530B,2.363B,174.64M,174.64M,377.48M,552.11M,,,,151.26M,,151.26M,,703.37M,462.96M,,462.96M,,,,3.359M,283.68M,746.63M,1.450B,0.00,384.10M,420.11M,,,,105.84M,910.05M
2006-02,31.58M,31.58M,345.35M,,345.35M,163.78M,191.20M,354.98M,53.75M,,785.67M,,,,,,,949.93M,-480.00M,469.94M,,826.43M,826.43M,,198.89M,1.495B,2.281B,170.07M,170.07M,354.14M,524.20M,,,,155.90M,,155.90M,,680.10M,467.66M,,467.66M,,,,30.94M,269.96M,737.62M,1.418B,402.52M,388.40M,,,,,41.34M,832.26M
2005-11,30.30M,30.30M,369.30M,,369.30M,157.00M,187.00M,344.00M,19.20M,37.40M,800.20M,0.0,28.40M,263.90M,416.00M,125.60M,78.90M,912.80M,-462.00M,450.80M,663.90M,158.30M,822.20M,,199.50M,1.472B,2.273B,198.20M,198.20M,394.70M,592.90M,,,,106.10M,,106.10M,,699.00M,463.90M,,463.90M,79.20M,79.20M,,29.20M,201.50M,744.60M,1.444B,0.00,385.40M,386.90M,,113.40M,-85.80M,27.60M,799.90M
2005-08,46.12M,46.12M,321.74M,,321.74M,154.17M,203.08M,357.25M,49.53M,,774.63M,,,,,,,965.37M,-495.79M,469.58M,,826.87M,826.87M,,200.56M,1.497B,2.272B,170.03M,170.03M,300.86M,470.90M,,,,427.04M,,427.04M,,897.94M,268.94M,,268.94M,,,,29.83M,245.93M,514.88M,1.413B,383.73M,383.48M,,,,,61.79M,829.00M
2005-05,20.10M,20.10M,328.12M,,328.12M,148.64M,196.64M,345.28M,45.56M,,739.05M,,,,,,,977.09M,-505.59M,471.50M,,789.72M,789.72M,,186.40M,1.448B,2.187B,167.82M,167.82M,293.33M,461.14M,,,,421.46M,,421.46M,,882.60M,271.20M,,271.20M,,,,29.13M,197.74M,468.95M,1.352B,372.13M,375.72M,,,,,58.14M,805.99M
2005-02,24.39M,24.39M,362.79M,,362.79M,153.35M,198.47M,351.82M,36.48M,,775.48M,,,,,,,999.31M,-516.34M,482.96M,,828.61M,828.61M,,189.62M,1.501B,2.277B,179.97M,179.97M,303.32M,483.29M,,,,367.38M,,367.38M,,850.67M,295.52M,,295.52M,,,,32.21M,193.72M,489.25M,1.340B,356.37M,425.83M,,,,,122.35M,904.55M
2004-11,70.34M,70.34M,407.64M,,407.64M,153.48M,196.70M,350.18M,35.92M,,864.08M,0.0,28.00M,258.10M,631.20M,,71.70M,989.00M,-502.40M,486.61M,,828.09M,828.09M,,190.87M,1.506B,2.370B,195.07M,195.07M,404.45M,599.51M,,,,173.18M,,173.18M,,772.69M,464.96M,,464.96M,,,,30.96M,211.29M,676.25M,1.449B,336.09M,434.07M,,,,,119.58M,889.75M
2004-08,25.91M,25.91M,325.68M,,325.68M,168.58M,208.60M,377.19M,45.73M,,774.50M,,,,,,,945.46M,-490.71M,454.76M,,725.94M,725.94M,,202.70M,1.383B,2.158B,161.17M,161.17M,289.52M,450.69M,,,,167.77M,,167.77M,,618.46M,496.27M,,496.27M,,,,26.01M,211.51M,707.79M,1.326B,320.04M,449.19M,,,,,36.41M,805.65M
2004-05,16.12M,16.12M,313.61M,,313.61M,172.07M,201.91M,373.97M,37.42M,,741.12M,,,,,,,941.96M,-485.41M,456.56M,,727.50M,727.50M,,209.00M,1.393B,2.134B,166.19M,166.19M,299.38M,465.57M,,,,142.81M,,142.81M,,608.38M,495.88M,,495.88M,,,,23.78M,204.90M,700.79M,1.309B,312.19M,448.46M,,,,,40.58M,801.23M
2004-02,17.74M,17.74M,325.39M,,325.39M,175.08M,191.25M,366.34M,30.09M,,739.55M,,,,,,,939.31M,-474.72M,464.59M,,741.00M,741.00M,,219.26M,1.425B,2.164B,153.58M,153.58M,299.68M,453.25M,,,,179.69M,,179.69M,,632.94M,,,,,,,23.32M,669.87M,669.87M,1.303B,278.36M,495.82M,,,,,64.09M,838.28M
2003-11,25.14M,25.14M,344.69M,,344.69M,172.24M,190.54M,362.77M,26.75M,,759.36M,,,,,,,912.39M,-454.07M,458.32M,,716.92M,716.92M,,210.88M,1.386B,2.145B,178.78M,178.78M,360.17M,538.94M,,,,171.04M,,171.04M,,709.98M,448.62M,,448.62M,,,,22.25M,209.46M,658.08M,1.368B,262.60M,472.55M,,,,,20.01M,755.16M
2003-08,12.18M,12.18M,283.70M,,283.70M,182.79M,204.93M,387.72M,29.59M,,713.19M,,,,,,,836.68M,-416.84M,419.84M,,673.32M,673.32M,,212.73M,1.306B,2.019B,167.93M,167.93M,276.94M,444.86M,,,,204.22M,,204.22M,,649.09M,450.01M,,450.01M,,,,,200.54M,650.56M,1.300B,252.96M,501.39M,,,,,-34.92M,719.44M
2003-05,24.99M,24.99M,325.71M,,325.71M,181.41M,203.19M,384.60M,37.82M,,773.12M,,,,,,,1.050B,-550.20M,499.78M,,529.64M,529.64M,,233.35M,1.263B,2.036B,201.87M,201.87M,276.48M,478.36M,,,,153.24M,,153.24M,,631.60M,451.53M,,451.53M,,,,,231.56M,683.09M,1.315B,81.78M,470.28M,,,,,169.15M,721.21M
2003-02,21.00M,21.00M,304.53M,,304.53M,150.73M,196.08M,346.80M,,38.86M,711.20M,,,,,,,1.016B,-526.76M,489.60M,,541.02M,541.02M,,242.20M,1.273B,1.984B,187.03M,187.03M,274.32M,461.35M,,,,207.97M,,207.97M,,669.32M,454.11M,,454.11M,,,,,220.96M,675.08M,1.344B,236.22M,458.84M,,,,,-55.44M,639.62M
2002-11,47.33M,47.33M,303.32M,,303.32M,123.56M,160.16M,283.72M,28.70M,61.56M,724.63M,,,,,,,761.93M,-371.85M,390.08M,,505.24M,505.24M,,310.85M,1.206B,1.931B,175.06M,175.06M,324.55M,499.61M,,,,137.27M,,137.27M,36.41M,673.29M,450.87M,,450.87M,,,,,214.33M,665.20M,1.338B,230.66M,458.95M,,,,,-97.31M,592.30M
2002-08,23.33M,23.33M,293.35M,,293.35M,144.39M,172.11M,316.49M,,30.39M,663.56M,,,,,,,982.58M,-510.06M,472.52M,,502.66M,502.66M,,266.45M,1.242B,1.905B,176.47M,176.47M,285.34M,461.81M,,,,260.48M,,260.48M,,722.28M,453.96M,,453.96M,,,,,144.06M,598.03M,1.320B,229.29M,395.72M,,,,,-40.14M,584.88M
2002-05,40.16M,40.16M,277.43M,,277.43M,118.73M,171.00M,289.73M,,31.49M,638.81M,,,,,,,961.76M,-493.84M,467.92M,,482.14M,482.14M,,261.43M,1.211B,1.850B,165.54M,165.54M,275.12M,440.66M,,,,271.77M,,271.77M,,712.44M,453.99M,,453.99M,,,,,141.47M,595.46M,1.308B,228.11M,375.85M,,,,,-61.55M,542.41M
2002-02,62.18M,62.18M,269.89M,,269.89M,116.21M,165.68M,281.88M,,31.28M,645.24M,,,,917.31M,,,917.31M,-474.75M,442.56M,,456.45M,456.45M,,274.44M,1.173B,1.819B,184.27M,184.27M,,184.27M,,,,296.14M,,296.14M,259.58M,739.98M,454.14M,,454.14M,,,,11.14M,136.43M,590.57M,1.331B,217.09M,358.87M,,,,,-98.98M,476.99M
2001-11,31.30M,31.30M,295.50M,,295.50M,118.00M,160.10M,278.10M,30.90M,,635.80M,0.0,21.60M,207.10M,582.00M,,76.60M,887.30M,-462.80M,424.50M,458.60M,6.00M,464.60M,,247.10M,1.136B,1.772B,184.00M,184.00M,318.90M,502.90M,,,,210.80M,,210.80M,,713.70M,454.10M,,454.10M,,,,,141.10M,595.20M,1.309B,202.90M,344.10M,,,,,-83.90M,463.10M
2001-08,32.13M,32.13M,271.40M,,271.40M,123.44M,171.65M,295.09M,,21.25M,619.87M,,,,,,,862.43M,-453.75M,408.69M,,467.29M,467.29M,,234.27M,1.110B,1.730B,160.50M,160.50M,248.62M,409.12M,,,,328.88M,,328.88M,,738.00M,454.21M,,454.21M,,,,,112.61M,566.82M,1.305B,200.05M,300.11M,,,,,-74.86M,425.30M
2001-05,47.48M,47.48M,248.64M,,248.64M,127.77M,157.40M,285.17M,,20.16M,601.45M,,,,,,,825.40M,-430.74M,394.66M,,441.21M,441.21M,,213.82M,1.050B,1.651B,169.93M,169.93M,236.35M,406.28M,,,,303.14M,,303.14M,,709.42M,454.30M,,454.30M,,,,,117.18M,571.47M,1.281B,193.24M,280.73M,,,,,-103.72M,370.25M
2001-02,31.29M,31.29M,264.12M,,264.12M,126.40M,158.56M,284.96M,,20.67M,601.04M,,,,,,,802.27M,-420.50M,381.77M,,473.44M,473.44M,,232.88M,1.088B,1.689B,162.24M,162.24M,236.67M,398.91M,,,,335.93M,,335.93M,,734.84M,454.02M,,454.02M,,,,12.48M,102.12M,556.14M,1.291B,183.82M,270.90M,,,,,-69.06M,385.67M
2000-11,23.90M,23.90M,303.30M,,303.30M,120.50M,153.50M,274.00M,18.80M,,620.00M,0.0,25.20M,200.30M,521.90M,,32.60M,780.00M,-407.00M,373.00M,,453.00M,453.00M,,213.90M,1.040B,1.660B,185.30M,185.30M,290.00M,475.30M,,,,551.90M,,551.90M,,1.027B,160.20M,,160.20M,3.20M,3.20M,,,110.00M,273.40M,1.301B,175.30M,263.30M,,,,,-79.30M,359.30M
2000-08,35.92M,35.92M,,,186.46M,,,274.17M,,17.37M,513.92M,,,,,,,757.45M,-402.60M,354.85M,,136.94M,136.94M,,604.83M,1.097B,1.611B,141.72M,141.72M,,141.72M,,,,606.83M,,606.83M,179.87M,928.42M,233.33M,,233.33M,,,,,101.29M,334.62M,1.263B,174.75M,220.38M,,,,,-47.63M,347.50M
2000-05,28.45M,28.45M,,,175.20M,,,252.03M,,19.21M,474.89M,,,,,,,750.63M,-394.18M,356.45M,,138.06M,138.06M,,225.92M,720.42M,1.195B,143.50M,143.50M,,143.50M,,,,202.23M,,202.23M,181.03M,526.77M,235.08M,,235.08M,,,,,99.05M,334.13M,860.90M,173.85M,202.86M,,,,,-42.30M,334.42M
2000-02,24.01M,24.01M,,,180.62M,,,247.32M,,31.04M,482.99M,,,,,,,746.43M,-384.07M,362.36M,,144.19M,144.19M,,210.76M,717.31M,1.200B,142.36M,142.36M,,142.36M,,,,188.17M,,188.17M,179.52M,510.05M,239.87M,,239.87M,,,,,96.99M,336.86M,846.92M,171.90M,215.50M,,,,,-34.02M,353.38M
1999-11,12.00M,12.00M,213.90M,,213.90M,,,234.20M,,30.50M,490.60M,,,,,,,735.00M,-371.70M,363.30M,,142.80M,142.80M,,192.10M,698.20M,1.189B,148.80M,148.80M,,148.80M,,,,100.60M,,100.60M,221.20M,470.60M,241.40M,,241.40M,3.80M,3.80M,,,90.60M,335.80M,806.40M,173.80M,242.80M,,,,,-34.20M,382.40M
1999-08,13.90M,13.90M,,,183.30M,,,271.40M,,37.80M,506.40M,,,,,,,726.80M,-362.30M,364.50M,,145.40M,145.40M,,217.60M,727.50M,1.234B,134.40M,134.40M,,134.40M,,,,213.00M,,213.00M,186.40M,533.80M,343.90M,,343.90M,,,,,-0.10M,343.80M,877.60M,175.30M,221.20M,,,,,-40.20M,356.30M
1999-05,13.50M,13.50M,,,182.90M,,,262.20M,,22.70M,481.30M,,,,,,,718.20M,-351.60M,366.60M,,147.30M,147.30M,,227.40M,741.30M,1.223B,146.20M,146.20M,,146.20M,,,,206.60M,,206.60M,174.60M,527.40M,243.40M,,243.40M,,,,,100.80M,344.20M,871.60M,,219.40M,,,,,,351.00M
1999-02,16.10M,16.10M,,,176.40M,,,246.40M,,21.40M,460.30M,,,,,,,725.30M,-353.10M,372.20M,,156.80M,156.80M,,227.90M,756.90M,1.217B,140.00M,140.00M,,140.00M,,,,190.80M,,190.80M,171.60M,502.40M,248.00M,,248.00M,,,,,99.20M,347.20M,849.60M,,245.70M,,,,,,367.60M
1998-11,17.70M,17.70M,,,212.80M,,,250.90M,,22.40M,503.80M,,,,,,,723.30M,-346.30M,377.00M,,160.90M,160.90M,,217.40M,755.30M,1.259B,145.90M,145.90M,,145.90M,,,,163.60M,,163.60M,208.50M,518.00M,250.40M,,250.40M,4.20M,4.20M,,,98.40M,353.00M,871.00M,,262.30M,,,,,,388.10M
1998-08,8.90M,8.90M,,,179.60M,,,278.80M,,25.20M,492.50M,,,,,,,722.00M,-337.70M,384.30M,,158.30M,158.30M,,238.80M,781.40M,1.274B,138.00M,138.00M,,138.00M,,,,254.00M,,254.00M,169.20M,561.20M,262.00M,,262.00M,,,,,90.10M,352.10M,913.30M,,234.00M,,,,,,360.60M
1998-05,12.70M,12.70M,,,173.90M,,,275.00M,,25.20M,486.80M,,,,,,,700.10M,-320.10M,380.00M,,151.10M,151.10M,,234.10M,765.20M,1.252B,121.90M,121.90M,,121.90M,,,,231.70M,,231.70M,178.00M,531.60M,259.00M,,259.00M,2.20M,2.20M,,,86.70M,347.90M,879.50M,,241.60M,,,,,,372.50M
