,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-02,179.60M,179.60M,502.00M,,502.00M,418.70M,409.00M,827.70M,96.70M,,1.606B,,,,,,,1.915B,-1.092B,823.10M,4.626B,2.907B,7.533B,400.80M,,8.757B,10.36B,584.40M,584.40M,530.80M,1.115B,,,,756.30M,,756.30M,,1.872B,4.379B,,4.379B,662.30M,662.30M,,12.20M,378.20M,5.419B,7.291B,1.692B,1.592B,,,,,-224.30M,3.060B
2017-11,186.80M,186.80M,555.10M,,555.10M,395.20M,398.10M,793.30M,32.40M,49.40M,1.617B,0.0,63.20M,488.30M,1.214B,,99.90M,1.866B,-1.057B,809.10M,4.490B,3.071B,7.561B,290.60M,107.90M,8.769B,10.39B,639.90M,639.90M,577.60M,1.218B,146.60M,219.40M,363.80M,583.20M,,583.20M,,1.947B,4.444B,,4.444B,1.094B,1.094B,235.30M,11.00M,93.90M,5.868B,7.815B,1.673B,1.166B,,,,,-279.50M,2.560B
2017-08,166.10M,166.10M,556.20M,,556.20M,404.50M,431.30M,835.80M,84.50M,,1.643B,,,,,,,1.809B,-1.043B,765.40M,4.503B,3.092B,7.595B,378.90M,,8.739B,10.38B,516.90M,516.90M,542.60M,1.060B,,314.00M,360.70M,674.70M,,674.70M,,1.734B,4.702B,,4.702B,1.106B,1.106B,,11.70M,305.60M,6.114B,7.848B,1.664B,1.124B,,,,,-265.90M,2.522B
2017-05,130.00M,130.00M,429.70M,,429.70M,417.30M,362.50M,779.80M,86.40M,,1.426B,,,,,,,1.719B,-1.016B,703.80M,1.895B,489.00M,2.384B,358.60M,,3.446B,4.872B,453.10M,453.10M,441.50M,894.60M,,,,906.80M,,906.80M,,1.801B,804.30M,,804.30M,,,,11.30M,457.00M,1.261B,3.063B,1.103B,1.074B,,,,,-379.30M,1.798B
2017-02,125.70M,125.70M,404.40M,,404.40M,415.80M,351.40M,767.20M,87.80M,,1.385B,,,,,,,1.665B,-982.40M,682.80M,1.858B,473.90M,2.332B,351.70M,,3.366B,4.751B,448.40M,448.40M,400.40M,848.80M,,,,889.60M,,889.60M,,1.738B,803.50M,,803.50M,,,,12.40M,477.60M,1.281B,3.020B,1.091B,1.073B,,,,,-445.00M,1.719B
2016-11,118.40M,118.40M,465.20M,,465.20M,420.00M,336.30M,756.30M,23.60M,58.30M,1.422B,0.0,62.40M,402.90M,1.048B,,117.00M,1.630B,-960.80M,669.40M,1.771B,424.90M,2.196B,250.80M,97.60M,3.214B,4.636B,450.80M,450.80M,453.70M,904.50M,125.00M,356.90M,36.30M,393.20M,,393.20M,,1.423B,1.054B,,1.054B,79.90M,79.90M,319.50M,11.50M,121.70M,1.575B,2.998B,1.084B,1.057B,,,,,-514.40M,1.627B
2016-08,134.20M,134.20M,445.30M,,445.30M,394.30M,366.00M,760.30M,128.20M,,1.468B,,,,,,,1.605B,-963.80M,641.10M,1.813B,433.60M,2.247B,360.50M,,3.248B,4.716B,361.00M,361.00M,420.30M,781.30M,,,,559.90M,,559.90M,,1.341B,1.058B,,1.058B,,,,17.20M,542.80M,1.601B,2.942B,1.083B,1.075B,,,,,-400.20M,1.757B
2016-05,131.50M,131.50M,399.60M,,399.60M,395.80M,343.80M,739.60M,131.50M,,1.402B,,,,,,,1.590B,-952.70M,637.10M,1.837B,410.20M,2.247B,357.70M,,3.242B,4.644B,366.20M,366.20M,390.80M,757.00M,,,,513.70M,,513.70M,,1.271B,1.055B,,1.055B,,,,17.00M,544.90M,1.600B,2.871B,1.074B,1.070B,,,,,-387.70M,1.756B
2016-02,111.80M,111.80M,371.20M,,371.20M,382.20M,320.00M,702.20M,121.00M,,1.306B,,,,,,,1.533B,-924.20M,609.10M,1.764B,370.10M,2.134B,350.70M,,3.094B,4.400B,336.70M,336.70M,365.30M,702.00M,,,,390.20M,,390.20M,,1.092B,1.056B,,1.056B,,,,16.70M,524.70M,1.581B,2.673B,1.048B,1.086B,,,,,-423.70M,1.710B
2015-11,112.60M,112.60M,455.20M,,455.20M,390.90M,319.90M,710.80M,22.40M,56.40M,1.357B,0.0,62.70M,360.10M,1.036B,,72.40M,1.531B,-912.90M,618.40M,1.759B,372.10M,2.131B,263.20M,81.50M,3.115B,4.473B,411.90M,411.90M,368.90M,780.80M,114.80M,107.50M,235.50M,343.00M,,343.00M,,1.239B,1.051B,,1.051B,100.40M,100.40M,278.90M,16.70M,116.40M,1.547B,2.786B,1.040B,1.037B,,,,,-406.10M,1.670B
