,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,24.00B,24.00B,17.46B,6.532B,832.00M,,1.091B,164.00M,-164.00M,4.721B,6.644B,-112.00M,164.00M,-164.00M,232.00M,-164.00M,-44.00M,165.00M,-209.00M,,,2.00M,-207.00M,-207.00M,4.137B,4.017B,120.00M,-0.12,,,-0.12,-0.12,-0.12,,,-0.12,-0.12,1.854B,1.854B,1.29
2020-06,15.93B,15.93B,14.86B,1.065B,1.569B,,965.00M,172.00M,-172.00M,6.425B,8.959B,-7.894B,172.00M,-172.00M,-2.531B,-172.00M,-10.60B,-2.32B,-8.277B,,,7.00M,-8.27B,-8.27B,-3.708B,6.717B,-10.42B,-4.44,,,-4.44,-4.44,-4.44,,,-4.44,-4.44,1.853B,1.853B,1.29
2020-03,29.70B,29.70B,19.80B,9.908B,683.00M,,1.167B,162.00M,-162.00M,5.449B,7.299B,2.609B,162.00M,-162.00M,1.698B,-162.00M,4.145B,564.00M,3.581B,,,18.00M,3.599B,3.599B,8.595B,4.288B,4.307B,1.93,,,1.93,1.93,1.93,,,1.93,1.93,1.862B,1.866B,1.29
2019-12,34.57B,34.57B,36.12B,-1.548B,1.129B,,969.00M,178.00M,-178.00M,6.259B,8.357B,-9.905B,178.00M,-178.00M,1.678B,-178.00M,-8.405B,-1.738B,-6.667B,,,57.00M,-6.61B,-6.61B,8.202B,16.43B,-8.227B,-3.51,,,-3.51,-3.51,-3.51,,,-3.51,-3.51,1.870B,1.882B,1.19
2019-09,34.78B,34.78B,24.24B,10.54B,954.00M,,1.059B,197.00M,-197.00M,5.493B,7.506B,3.03B,197.00M,-197.00M,1.216B,-197.00M,4.049B,1.469B,2.58B,,,0.00,2.58B,2.58B,8.607B,4.361B,4.246B,1.38,,,1.38,1.38,1.36,,,1.36,1.36,1.881B,1.894B,1.19
2019-06,36.32B,36.32B,25.17B,11.15B,1.076B,,1.047B,198.00M,-198.00M,5.328B,7.451B,3.703B,198.00M,-198.00M,2.43B,-198.00M,5.935B,1.645B,4.29B,,,15.00M,4.305B,4.305B,10.47B,4.334B,6.133B,2.28,,,2.28,2.28,2.27,,,2.27,2.27,1.889B,1.903B,1.19
2019-03,34.19B,34.19B,23.80B,10.39B,984.00M,,1.061B,225.00M,-225.00M,5.075B,7.12B,3.272B,225.00M,-225.00M,910.00M,-225.00M,3.957B,1.315B,2.642B,,,7.00M,2.649B,2.649B,8.276B,4.094B,4.182B,1.4,,,1.4,1.4,1.39,,,1.39,1.39,1.888B,1.901B,1.19
2018-12,40.34B,40.34B,29.17B,11.17B,1.08B,,901.00M,190.00M,-190.00M,5.895B,7.876B,3.29B,190.00M,-190.00M,1.798B,-190.00M,4.898B,1.175B,3.723B,,,7.00M,3.73B,3.73B,10.34B,5.252B,5.088B,1.97,,,1.97,1.97,1.95,,,1.95,1.95,1.895B,1.906B,1.12
2018-09,42.10B,42.10B,30.06B,12.04B,1.018B,,1.259B,182.00M,-182.00M,5.61B,7.887B,4.157B,182.00M,-182.00M,1.724B,-182.00M,5.699B,1.643B,4.056B,,,-9.00M,4.047B,4.047B,11.26B,5.38B,5.881B,2.13,,,2.13,2.13,2.11,,,2.11,2.11,1.901B,1.917B,1.12
2018-06,40.49B,40.49B,29.24B,11.25B,1.017B,,1.363B,217.00M,-217.00M,5.39B,7.77B,3.479B,217.00M,-217.00M,1.643B,-217.00M,4.905B,1.483B,3.422B,,,-13.00M,3.409B,3.409B,9.62B,4.498B,5.122B,1.79,,,1.79,1.79,1.78,,,1.78,1.78,1.900B,1.919B,1.12
2018-03,35.97B,35.97B,25.52B,10.45B,723.00M,,1.344B,159.00M,-159.00M,4.859B,6.926B,3.52B,159.00M,-159.00M,1.712B,-159.00M,5.073B,1.414B,3.659B,,,-21.00M,3.638B,3.638B,9.521B,4.289B,5.232B,1.92,,,1.92,1.92,1.9,,,1.9,1.9,1.896B,1.913B,1.12
2017-12,36.38B,36.38B,25.89B,10.49B,1.262B,,3.182B,173.00M,-173.00M,5.462B,9.906B,582.00M,173.00M,-173.00M,1.072B,-173.00M,1.481B,-1.637B,3.118B,,,-7.00M,3.111B,3.111B,6.389B,4.735B,1.654B,1.65,,,1.65,1.65,1.64,,,1.64,1.64,1.889B,1.908B,1.08
2017-09,33.89B,33.89B,23.88B,10.01B,1.107B,,3.213B,35.00M,-35.00M,5.088B,9.408B,599.00M,35.00M,-35.00M,2.094B,-35.00M,2.658B,672.00M,1.986B,,,-34.00M,1.952B,1.952B,7.802B,5.109B,2.693B,1.03,,,1.03,1.03,1.03,,,1.03,1.03,1.883B,1.896B,1.08
2017-06,32.88B,32.88B,23.64B,9.241B,927.00M,,3.065B,48.00M,-48.00M,4.715B,8.707B,534.00M,48.00M,-48.00M,1.467B,-48.00M,1.953B,487.00M,1.466B,,,-16.00M,1.45B,1.45B,7.312B,5.311B,2.001B,0.77,,,0.77,0.77,0.77,,,0.77,0.77,1.881B,1.893B,1.08
2017-03,31.52B,31.52B,21.70B,9.824B,810.00M,,2.871B,51.00M,-51.00M,4.73B,8.411B,1.413B,51.00M,-51.00M,1.767B,-51.00M,3.129B,430.00M,2.699B,,,-17.00M,2.682B,2.682B,7.374B,4.194B,3.18B,1.43,,,1.43,1.43,1.41,,,1.41,1.41,1.879B,1.895B,1.08
2016-12,30.14B,30.14B,21.18B,8.963B,1.165B,,2.869B,58.00M,-58.00M,4.969B,9.003B,-40.00M,58.00M,-58.00M,610.00M,-58.00M,512.00M,74.00M,438.00M,,,-23.00M,415.00M,415.00M,4.773B,4.203B,570.00M,0.22,,,0.22,0.22,0.22,,,0.22,0.22,1.877B,1.877B,1.08
2016-09,29.16B,29.16B,19.97B,9.187B,1.109B,,2.962B,64.00M,-64.00M,4.924B,8.995B,192.00M,64.00M,-64.00M,981.00M,-64.00M,1.109B,-192.00M,1.301B,,,-18.00M,1.283B,1.283B,5.303B,4.13B,1.173B,0.68,,,0.68,0.68,0.68,,,0.68,0.68,1.874B,1.883B,1.07
2016-06,27.84B,27.84B,22.00B,5.845B,1.033B,,2.973B,79.00M,-79.00M,5.268B,9.274B,-3.429B,79.00M,-79.00M,1.438B,-79.00M,-2.07B,-607.00M,-1.463B,,,-7.00M,-1.47B,-1.47B,4.73B,6.721B,-1.991B,-0.78,,,-0.78,-0.78,-0.78,,,-0.78,-0.78,1.872B,1.872B,1.07
2016-03,23.07B,23.07B,15.63B,7.442B,998.00M,,2.864B,0.00,0.00,5.774B,9.636B,-2.194B,0.00,0.00,483.00M,0.00,-1.711B,-1.004B,-707.00M,,,-18.00M,-725.00M,-725.00M,2.692B,4.403B,-1.711B,-0.39,,,-0.39,-0.39,-0.39,,,-0.39,-0.39,1.870B,1.870B,1.07
2015-12,28.01B,28.01B,19.97B,8.044B,1.303B,,2.856B,0.00,0.00,7.328B,11.49B,-3.443B,0.00,0.00,1.233B,0.00,-2.21B,-1.655B,-555.00M,,,-33.00M,-588.00M,-588.00M,3.19B,5.40B,-2.21B,-0.31,,,-0.31,-0.31,-0.31,,,-0.31,-0.31,1.869B,1.874B,1.07
2015-09,32.77B,32.77B,21.72B,11.05B,1.026B,,2.883B,0.00,0.00,5.907B,9.816B,1.236B,0.00,0.00,1.548B,0.00,2.784B,727.00M,2.057B,,,-20.00M,2.037B,2.037B,7.052B,4.268B,2.784B,1.09,,,1.09,1.09,1.09,,,1.09,1.09,1.868B,1.872B,1.07
2015-06,36.83B,36.83B,27.50B,9.33B,1.17B,,3.173B,0.00,0.00,7.152B,11.50B,-2.165B,0.00,0.00,3.528B,0.00,1.363B,755.00M,608.00M,,,-37.00M,571.00M,571.00M,8.321B,6.958B,1.363B,0.3,,,0.3,0.3,0.3,,,0.3,0.3,1.868B,1.877B,1.07
2015-03,32.32B,32.32B,21.60B,10.71B,944.00M,,3.118B,,,5.987B,10.05B,662.00M,,,2.243B,,2.905B,305.00M,2.60B,,,-33.00M,2.567B,2.567B,5.073B,4.411B,662.00M,1.38,,,1.38,1.38,1.37,,,1.37,1.37,1.867B,1.876B,1.07
2014-12,42.11B,42.11B,29.14B,12.98B,1.368B,,3.118B,,,7.082B,11.57B,1.407B,,,3.977B,,5.384B,1.912B,3.472B,,,-1.00M,3.471B,3.471B,17.76B,4.873B,12.88B,1.86,,,1.86,1.86,1.85,,,1.85,1.85,1.869B,1.869B,1.07
2014-09,51.82B,51.82B,34.69B,17.13B,1.122B,,3.236B,,,6.769B,11.13B,6.006B,,,2.857B,,8.863B,3.236B,5.627B,,,-34.00M,5.593B,5.593B,9.954B,3.948B,6.006B,2.97,,,2.97,2.97,2.95,,,2.95,2.95,1.881B,1.896B,1.07
