,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,29.72B,29.72B,22.90B,6.822B,5.39B,5.39B,,205.00M,0.00,129.00M,-129.00M,,6.021B,801.00M,129.00M,-129.00M,162.00M,-129.00M,834.00M,202.00M,632.00M,,,-1.00M,631.00M,776.00M,963.00M,,2020-10,0.81,,0.6509,0.81,,2020-10,,,0.6426,2020-10,772.00M,780.00M,0.18,,2020-10,AOR,
2020-07,30.49B,30.49B,23.55B,6.938B,5.493B,5.493B,,204.00M,,135.00M,-135.00M,,6.11B,828.00M,135.00M,-135.00M,368.00M,-135.00M,1.061B,241.00M,820.00M,,,-1.00M,819.00M,760.00M,1.196B,,2020-07,1.04,,0.6739,1.04,,2020-07,,,0.6681,2020-07,777.00M,786.00M,0.16,,2020-07,AOR,
2020-04,41.55B,41.55B,31.45B,10.10B,7.933B,7.933B,,273.00M,0.00,174.00M,-174.00M,,8.758B,1.337B,174.00M,-174.00M,422.00M,-174.00M,1.585B,373.00M,1.212B,,,0.00,1.212B,1.018B,1.759B,,2020-04,1.53,,1.116,1.53,,2020-04,,,1.110,2020-04,780.00M,788.00M,0.16,,2020-04,AOR,
2020-01,28.89B,28.89B,22.51B,6.386B,5.192B,5.192B,,209.00M,0.00,140.00M,-140.00M,,5.847B,539.00M,140.00M,-140.00M,-9.00M,-140.00M,390.00M,71.00M,319.00M,,,8.00M,327.00M,801.00M,530.00M,,2020-01,0.40,,0.4092,0.40,,2020-01,,,0.4091,2020-01,796.00M,805.00M,0.16,,2020-01,AOR,
2019-10,27.97B,27.97B,21.80B,6.176B,5.299B,5.299B,,201.00M,0.00,137.00M,-137.00M,,5.923B,253.00M,137.00M,-137.00M,106.00M,-137.00M,222.00M,79.00M,143.00M,,,120.00M,263.00M,772.00M,359.00M,,2019-10,0.32,,0.2349,0.32,,2019-10,,,0.2354,2019-10,802.00M,807.00M,0.16,,2019-10,AOR,Restated
2019-07,28.17B,28.17B,22.01B,6.161B,5.015B,5.015B,,200.00M,,130.00M,-130.00M,,5.606B,555.00M,130.00M,-130.00M,-45.00M,-130.00M,380.00M,93.00M,287.00M,,,10.00M,297.00M,740.00M,510.00M,,2019-07,0.37,,0.4125,0.37,,2019-07,,,0.4122,2019-07,800.00M,805.00M,0.14,,2019-07,AOR,Restated
2019-04,37.25B,37.25B,28.98B,8.268B,6.585B,6.585B,,274.00M,176.00M,197.00M,-197.00M,,7.364B,904.00M,197.00M,-197.00M,282.00M,-197.00M,989.00M,226.00M,763.00M,,,9.00M,772.00M,976.00M,1.186B,,2019-04,0.96,,0.6872,0.96,,2019-04,,,0.6796,2019-04,798.00M,805.00M,0.14,,2019-04,AOR,Restated
2019-01,28.29B,28.29B,21.96B,6.33B,5.367B,5.367B,,204.00M,0.00,141.00M,-141.00M,,5.948B,382.00M,141.00M,-141.00M,76.00M,-141.00M,317.00M,66.00M,251.00M,,,8.00M,259.00M,581.00M,458.00M,,2019-01,0.32,,0.2446,0.32,,2019-01,,,0.2453,2019-01,798.00M,806.00M,0.14,,2019-01,AOR,Restated
2018-10,27.83B,27.83B,21.75B,6.078B,4.867B,4.867B,,200.00M,0.00,142.00M,-142.00M,,5.437B,641.00M,142.00M,-142.00M,-100.00M,-142.00M,399.00M,91.00M,308.00M,,,9.00M,317.00M,569.00M,541.00M,,2018-10,0.39,,0.4869,0.39,,2018-10,,,0.4857,2018-10,797.00M,807.00M,0.14,,2018-10,AOR,Restated
2018-07,28.01B,28.01B,21.98B,6.038B,4.919B,4.919B,,204.00M,11.00M,144.00M,-144.00M,,5.493B,545.00M,144.00M,-144.00M,227.00M,-144.00M,628.00M,127.00M,501.00M,,,7.00M,508.00M,574.00M,772.00M,,2018-07,0.63,,0.4028,0.63,,2018-07,,,0.3950,2018-07,797.00M,805.00M,0.125,,2018-07,AOR,Restated
2018-04,37.72B,37.72B,29.42B,8.303B,6.543B,6.543B,,276.00M,1.771B,192.00M,-192.00M,,7.284B,1.019B,192.00M,-192.00M,1.807B,-192.00M,2.634B,616.00M,2.018B,,,8.00M,2.026B,741.00M,2.826B,,2018-04,2.39,,0.7399,2.39,,2018-04,,,0.7336,2018-04,839.00M,846.00M,0.125,,2018-04,AOR,Restated
2018-01,31.65B,31.65B,24.39B,7.26B,6.651B,6.651B,,220.00M,0.00,148.00M,-148.00M,,7.216B,44.00M,148.00M,-148.00M,0.00,-148.00M,-104.00M,-957.00M,853.00M,,,1.00M,854.00M,565.00M,44.00M,,2018-01,0.97,,0.97,0.97,,2018-01,,,0.96,2018-01,877.00M,886.00M,0.125,,2018-01,AOR,Restated
