,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-04,2.018B,-1.771B,0.00,-36.00M,27.00M,-1.78B,741.00M,,741.00M,741.00M,17.00M,,45.00M,,15.00M,-123.00M,134.00M,415.00M,388.00M,,0.00,1.312B,2.368B,,2018-04,-758.00M,,-758.00M,2.098B,,1.349B,,2018-04,-1.324B,,-1.324B,10.00M,-1.809B,-1.799B,-110.00M,-110.00M,-140.00M,,2018-04,347.00M,344.00M,691.00M,,2018-04,10.00M,1.01B,-2.334B,-1.809B,124.00M,,2018-04,AOR,Restated
2018-01,853.00M,0.00,,,523.00M,492.00M,,,565.00M,565.00M,-961.00M,,33.00M,,-20.00M,16.00M,443.00M,-382.00M,-528.00M,,,-784.00M,359.00M,,2018-01,-672.00M,,-672.00M,0.00,0.00,-672.00M,,2018-01,742.00M,,742.00M,20.00M,-341.00M,-321.00M,-110.00M,-110.00M,-3.00M,,2018-01,352.00M,-5.00M,347.00M,,2018-01,20.00M,716.00M,26.00M,-341.00M,187.00M,,2018-01,AOR,Restated
2017-10,388.00M,0.00,,,8.00M,8.00M,,,572.00M,572.00M,59.00M,,33.00M,,-1.002B,20.00M,-620.00M,-203.00M,444.00M,,,-329.00M,-271.00M,,2017-10,-615.00M,,-615.00M,0.00,0.00,-585.00M,,2017-10,767.00M,,767.00M,3.00M,-262.00M,-259.00M,-112.00M,-112.00M,-7.00M,,2017-10,819.00M,-467.00M,352.00M,,2017-10,3.00M,1.00M,766.00M,-262.00M,127.00M,,2017-10,AOR,Restated
2017-07,351.00M,0.00,,,25.00M,25.00M,,,563.00M,563.00M,202.00M,,32.00M,,78.00M,-124.00M,-23.00M,-6.00M,28.00M,,,-235.00M,1.016B,,2017-07,-705.00M,,-705.00M,-16.00M,0.00,-706.00M,,2017-07,550.00M,,550.00M,11.00M,-258.00M,-247.00M,-110.00M,-110.00M,-40.00M,,2017-07,356.00M,463.00M,819.00M,,2017-07,11.00M,1.501B,-951.00M,-258.00M,154.00M,,2017-07,AOR,Restated
2017-04,297.00M,0.00,,,35.00M,35.00M,,,736.00M,736.00M,6.00M,,53.00M,,-25.00M,149.00M,177.00M,367.00M,174.00M,,,1.207B,2.309B,,2017-04,-817.00M,,-817.00M,0.00,,-744.00M,,2017-04,-628.00M,,-628.00M,17.00M,-772.00M,-755.00M,-111.00M,-111.00M,-37.00M,,2017-04,322.00M,34.00M,356.00M,,2017-04,17.00M,1.00M,-629.00M,-772.00M,188.00M,,2017-04,AOR,Restated
2017-01,502.00M,,,,32.00M,32.00M,,,572.00M,572.00M,196.00M,,31.00M,,25.00M,-158.00M,416.00M,-258.00M,-467.00M,,,-542.00M,816.00M,,2017-01,-674.00M,,-674.00M,0.00,,-602.00M,,2017-01,208.00M,,208.00M,17.00M,-365.00M,-348.00M,-113.00M,-113.00M,-13.00M,,2017-01,374.00M,-52.00M,322.00M,,2017-01,17.00M,231.00M,-23.00M,-365.00M,95.00M,,2017-01,AOR,Restated
2016-10,382.00M,,,,19.00M,19.00M,,,549.00M,549.00M,48.00M,,33.00M,,-3.00M,-65.00M,-833.00M,-96.00M,446.00M,,,-604.00M,424.00M,,2016-10,-979.00M,,-979.00M,-401.00M,,-1.333B,,2016-10,1.419B,,1.419B,7.00M,-330.00M,-323.00M,-114.00M,-114.00M,-18.00M,,2016-10,319.00M,55.00M,374.00M,,2016-10,7.00M,2.681B,-1.262B,-330.00M,119.00M,,2016-10,AOR,Restated
2016-07,378.00M,,,,18.00M,18.00M,,,525.00M,525.00M,-43.00M,,34.00M,,-19.00M,28.00M,-66.00M,-68.00M,135.00M,,,60.00M,953.00M,,2016-07,-956.00M,,-956.00M,,,-889.00M,,2016-07,21.00M,,21.00M,29.00M,-44.00M,-15.00M,-100.00M,-100.00M,-42.00M,,2016-07,391.00M,-72.00M,319.00M,,2016-07,29.00M,37.00M,-16.00M,-44.00M,124.00M,,2016-07,AOR,Restated
2016-04,695.00M,,,,25.00M,25.00M,,,694.00M,694.00M,,,43.00M,,14.00M,85.00M,101.00M,263.00M,-216.00M,,,608.00M,2.079B,,2016-04,-1.09B,,-1.09B,,,-1.051B,,2016-04,213.00M,,213.00M,15.00M,-1.027B,-1.012B,-102.00M,-102.00M,-13.00M,,2016-04,277.00M,114.00M,391.00M,,2016-04,15.00M,267.00M,-54.00M,-1.027B,167.00M,,2016-04,AOR,Restated
2016-01,565.00M,,,,24.00M,24.00M,,,508.00M,508.00M,466.00M,,35.00M,,-48.00M,-60.00M,509.00M,-201.00M,-339.00M,,,-524.00M,1.072B,,2016-01,-817.00M,,-817.00M,,,-990.00M,,2016-01,40.00M,,40.00M,26.00M,-44.00M,-18.00M,-102.00M,-102.00M,1.00M,,2016-01,274.00M,3.00M,277.00M,,2016-01,26.00M,1.023B,-983.00M,-44.00M,77.00M,,2016-01,AOR,Restated
2015-10,427.00M,,,,23.00M,23.00M,,,484.00M,484.00M,-67.00M,,35.00M,,23.00M,27.00M,-785.00M,-21.00M,788.00M,,,88.00M,1.013B,,2015-10,-836.00M,,-836.00M,,,-870.00M,,2015-10,-32.00M,,-32.00M,20.00M,-31.00M,-11.00M,-102.00M,-102.00M,8.00M,,2015-10,268.00M,6.00M,274.00M,,2015-10,20.00M,134.00M,-166.00M,-31.00M,118.00M,,2015-10,AOR,Restated
2015-07,433.00M,,,,26.00M,26.00M,,,477.00M,477.00M,-30.00M,,43.00M,,40.00M,-69.00M,154.00M,14.00M,123.00M,,,88.00M,1.077B,,2015-07,-817.00M,,-817.00M,,,-852.00M,,2015-07,-63.00M,,-63.00M,28.00M,-43.00M,-15.00M,-90.00M,-90.00M,-41.00M,,2015-07,252.00M,16.00M,268.00M,,2015-07,28.00M,20.00M,-83.00M,-43.00M,123.00M,,2015-07,AOR,Restated
2015-04,624.00M,,,,30.00M,30.00M,,,620.00M,620.00M,-52.00M,,52.00M,,62.00M,43.00M,-62.00M,275.00M,143.00M,,,419.00M,1.755B,,2015-04,-879.00M,,-879.00M,,,-858.00M,,2015-04,-294.00M,,-294.00M,46.00M,-585.00M,-539.00M,-91.00M,-91.00M,11.00M,,2015-04,268.00M,-16.00M,252.00M,,2015-04,46.00M,4.00M,-298.00M,-585.00M,156.00M,,2015-04,AOR,Restated
2015-01,523.00M,,,,25.00M,25.00M,,,467.00M,467.00M,212.00M,,40.00M,,6.00M,-113.00M,433.00M,-346.00M,-352.00M,,,-479.00M,831.00M,,2015-01,-761.00M,,-761.00M,0.00,,-762.00M,,2015-01,67.00M,,67.00M,26.00M,-33.00M,-7.00M,-91.00M,-91.00M,-34.00M,,2015-01,264.00M,4.00M,268.00M,,2015-01,26.00M,49.00M,18.00M,-33.00M,104.00M,,2015-01,AOR,Restated
2014-10,365.00M,,,,9.00M,9.00M,,,456.00M,456.00M,-36.00M,,39.00M,,106.00M,19.00M,-682.00M,45.00M,480.00M,,,-147.00M,792.00M,,2014-10,-723.00M,,-723.00M,-252.00M,,-985.00M,,2014-10,297.00M,,297.00M,18.00M,-29.00M,-11.00M,-81.00M,-81.00M,4.00M,,2014-10,248.00M,16.00M,264.00M,,2014-10,18.00M,504.00M,-207.00M,-29.00M,91.00M,,2014-10,AOR,Restated
2014-07,350.00M,,,,9.00M,9.00M,,,444.00M,444.00M,-47.00M,,36.00M,,55.00M,-67.00M,127.00M,-33.00M,-8.00M,,,-6.00M,841.00M,,2014-07,-617.00M,,-617.00M,,,-610.00M,,2014-07,-136.00M,,-136.00M,33.00M,-78.00M,-45.00M,-82.00M,-82.00M,15.00M,,2014-07,265.00M,-17.00M,248.00M,,2014-07,33.00M,31.00M,-167.00M,-78.00M,148.00M,,2014-07,AOR,Restated
2014-04,509.00M,,,,12.00M,12.00M,,,581.00M,581.00M,-56.00M,,40.00M,,52.00M,20.00M,-25.00M,309.00M,264.00M,,,613.00M,1.751B,,2014-04,-730.00M,,-730.00M,,,-703.00M,,2014-04,-2.00M,,-2.00M,33.00M,-1.143B,-1.11B,-84.00M,-84.00M,12.00M,,2014-04,401.00M,-136.00M,265.00M,,2014-04,33.00M,17.00M,-19.00M,-1.143B,134.00M,,2014-04,AOR,Restated
2014-01,427.00M,,,,17.00M,17.00M,,,402.00M,402.00M,51.00M,,29.00M,,-105.00M,-13.00M,393.00M,-360.00M,-271.00M,,,-204.00M,656.00M,,2014-01,-544.00M,,-544.00M,,,-2.953B,,2014-01,2.719B,,2.719B,10.00M,-225.00M,-215.00M,-86.00M,-86.00M,-64.00M,,2014-01,344.00M,57.00M,401.00M,,2014-01,10.00M,2.523B,196.00M,-225.00M,93.00M,,2014-01,AOR,Restated
2013-10,300.00M,,,,17.00M,17.00M,-906.00M,,395.00M,395.00M,37.00M,,31.00M,,34.00M,-102.00M,-686.00M,-15.00M,363.00M,,,-510.00M,304.00M,,2013-10,-676.00M,,-676.00M,,,-681.00M,,2013-10,377.00M,,377.00M,31.00M,-148.00M,-117.00M,-78.00M,-78.00M,99.00M,,2013-10,440.00M,-96.00M,344.00M,,2013-10,31.00M,14.00M,363.00M,-148.00M,83.00M,,2013-10,AOR,Restated
2013-07,320.00M,,,,15.00M,15.00M,387.00M,,387.00M,387.00M,-2.00M,,23.00M,,15.00M,19.00M,109.00M,-29.00M,128.00M,,,238.00M,996.00M,,2013-07,-492.00M,,-492.00M,,,-511.00M,,2013-07,-51.00M,,-51.00M,60.00M,-90.00M,-30.00M,-77.00M,-77.00M,-134.00M,,2013-07,247.00M,193.00M,440.00M,,2013-07,60.00M,1.009B,-1.06B,-90.00M,111.00M,,2013-07,AOR,Restated
2013-04,484.00M,,,,25.00M,25.00M,519.00M,,519.00M,519.00M,-14.00M,,24.00M,,55.00M,88.00M,53.00M,380.00M,53.00M,,,524.00M,1.617B,,2013-04,-618.00M,,-618.00M,,,-626.00M,,2013-04,-952.00M,,-952.00M,95.00M,-146.00M,-51.00M,-78.00M,-78.00M,99.00M,,2013-04,238.00M,9.00M,247.00M,,2013-04,95.00M,2.00M,-954.00M,-146.00M,114.00M,,2013-04,AOR,Restated
2013-01,469.00M,,,,21.00M,21.00M,-1.265B,,387.00M,387.00M,46.00M,,21.00M,,-126.00M,5.00M,453.00M,-260.00M,-188.00M,,,-150.00M,686.00M,,2013-01,-591.00M,,-591.00M,-110.00M,,-695.00M,,2013-01,20.00M,,20.00M,38.00M,-57.00M,-19.00M,-78.00M,-78.00M,-111.00M,,2013-01,435.00M,-197.00M,238.00M,,2013-01,38.00M,544.00M,-524.00M,-57.00M,118.00M,,2013-01,AOR,Restated
2012-10,318.00M,,,,20.00M,20.00M,381.00M,,381.00M,381.00M,29.00M,,20.00M,,38.00M,-105.00M,-729.00M,-16.00M,335.00M,,,-569.00M,237.00M,,2012-10,-486.00M,,-486.00M,0.00,,-499.00M,,2012-10,731.00M,,731.00M,30.00M,-333.00M,-303.00M,-61.00M,-61.00M,92.00M,,2012-10,238.00M,197.00M,435.00M,,2012-10,30.00M,748.00M,-17.00M,-333.00M,99.00M,,2012-10,AOR,Restated
2012-07,280.00M,,,,17.00M,17.00M,884.00M,,383.00M,383.00M,43.00M,,17.00M,,52.00M,-29.00M,107.00M,-41.00M,-57.00M,,,-60.00M,732.00M,,2012-07,-443.00M,,-985.00M,-12.00M,,-462.00M,,2012-07,-7.00M,,-7.00M,4.00M,-526.00M,-522.00M,-63.00M,-63.00M,49.00M,,2012-07,511.00M,-273.00M,238.00M,,2012-07,4.00M,0.00,-7.00M,-526.00M,108.00M,,2012-07,AOR,Restated
2012-04,441.00M,,,,31.00M,31.00M,,,501.00M,501.00M,58.00M,,24.00M,,43.00M,3.00M,91.00M,-109.00M,165.00M,,,201.00M,1.299B,,2012-04,-542.00M,,,,,-527.00M,,2012-04,-51.00M,,-51.00M,38.00M,-345.00M,-307.00M,-65.00M,-65.00M,-26.00M,,2012-04,188.00M,323.00M,511.00M,,2012-04,38.00M,846.00M,-897.00M,-345.00M,113.00M,,2012-04,AOR,Restated
2012-01,-305.00M,,,,16.00M,16.00M,,,392.00M,392.00M,-283.00M,,19.00M,,-29.00M,-84.00M,320.00M,167.00M,-394.00M,,,401.00M,248.00M,,2012-01,-493.00M,,,0.00,,-489.00M,,2012-01,815.00M,-305.00M,510.00M,25.00M,-273.00M,-248.00M,-257.00M,-66.00M,17.00M,,2012-01,216.00M,-28.00M,188.00M,,2012-01,25.00M,820.00M,-310.00M,-273.00M,457.00M,,2012-01,AOR,Restated
2011-10,197.00M,,,,10.00M,10.00M,,,373.00M,373.00M,409.00M,,18.00M,,61.00M,11.00M,-803.00M,-196.00M,347.00M,140.00M,,-851.00M,217.00M,,2011-10,-481.00M,,,-51.00M,,-493.00M,,2011-10,-9.00M,390.00M,381.00M,2.00M,-471.00M,-469.00M,,-62.00M,-1.00M,,2011-10,643.00M,-427.00M,216.00M,,2011-10,2.00M,0.00,381.00M,-471.00M,-241.00M,,2011-10,AOR,Restated
2011-07,283.00M,,,,21.00M,21.00M,,,374.00M,374.00M,-38.00M,,20.00M,,49.00M,13.00M,36.00M,59.00M,246.00M,-140.00M,,249.00M,958.00M,,2011-07,-403.00M,,,0.00,,-417.00M,,2011-07,-26.00M,-15.00M,-41.00M,31.00M,-259.00M,-228.00M,65.00M,-64.00M,4.00M,,2011-07,431.00M,212.00M,643.00M,,2011-07,31.00M,0.00,-41.00M,-259.00M,107.00M,,2011-07,AOR,Restated
2011-04,421.00M,,,,23.00M,23.00M,,,499.00M,499.00M,-57.00M,,24.00M,,86.00M,-3.00M,86.00M,-98.00M,99.00M,,,239.00M,1.235B,,2011-04,-521.00M,,,,,-509.00M,,2011-04,-504.00M,-70.00M,-574.00M,60.00M,-544.00M,-484.00M,-65.00M,-65.00M,3.00M,,2011-04,825.00M,-394.00M,431.00M,,2011-04,60.00M,3.00M,-577.00M,-544.00M,134.00M,,2011-04,AOR,Restated
2011-01,283.00M,,,,15.00M,15.00M,,,386.00M,386.00M,32.00M,,17.00M,,-126.00M,-9.00M,271.00M,8.00M,-116.00M,101.00M,,182.00M,832.00M,,2011-01,-496.00M,,,0.00,,-561.00M,,2011-01,97.00M,,96.00M,5.00M,-253.00M,-248.00M,-250.00M,-67.00M,15.00M,,2011-01,758.00M,67.00M,825.00M,,2011-01,5.00M,80.00M,17.00M,-253.00M,115.00M,,2011-01,AOR,Restated
2010-10,207.00M,,,,50.00M,50.00M,,,368.00M,368.00M,21.00M,,18.00M,,-31.00M,-35.00M,-617.00M,15.00M,316.00M,-7.00M,,-418.00M,215.00M,,2010-10,-471.00M,,,0.00,,-461.00M,,2010-10,-10.00M,92.00M,83.00M,8.00M,-64.00M,-56.00M,,-60.00M,0.00,,2010-10,1.037B,-279.00M,758.00M,,2010-10,8.00M,0.00,82.00M,-64.00M,122.00M,,2010-10,AOR,Restated
2010-07,268.00M,,,,-22.00M,-22.00M,,,368.00M,368.00M,-8.00M,,18.00M,,83.00M,21.00M,110.00M,20.00M,85.00M,-94.00M,,59.00M,766.00M,,2010-07,-410.00M,,,0.00,,-395.00M,,2010-07,282.00M,-9.00M,273.00M,4.00M,-148.00M,-144.00M,61.00M,-62.00M,-3.00M,,2010-07,602.00M,435.00M,1.037B,,2010-07,4.00M,298.00M,-25.00M,-148.00M,100.00M,,2010-07,AOR,Restated
2010-04,375.00M,,,,22.00M,22.00M,,,478.00M,478.00M,-8.00M,,26.00M,,-2.00M,12.00M,148.00M,235.00M,101.00M,,,662.00M,1.553B,,2010-04,-542.00M,,,-7.00M,,-544.00M,,2010-04,-541.00M,-83.00M,-624.00M,12.00M,-80.00M,-68.00M,-61.00M,-61.00M,-78.00M,,2010-04,424.00M,178.00M,602.00M,,2010-04,12.00M,3.00M,-627.00M,-80.00M,149.00M,,2010-04,AOR,Restated
2010-01,251.00M,,,,7.00M,7.00M,,,368.00M,368.00M,171.00M,4.00M,19.00M,,-226.00M,-17.00M,389.00M,-302.00M,-342.00M,38.00M,,-47.00M,547.00M,,2010-01,-531.00M,-7.00M,-7.00M,-13.00M,,-532.00M,,2010-01,0.00,4.00M,4.00M,21.00M,-88.00M,-67.00M,-238.00M,-62.00M,17.00M,,2010-01,517.00M,-93.00M,424.00M,,2010-01,21.00M,6.00M,-6.00M,-88.00M,108.00M,,2010-01,AOR,Restated
2009-10,-876.00M,,,,5.00M,5.00M,,,356.00M,356.00M,-39.00M,1.157B,19.00M,,198.00M,-43.00M,-620.00M,16.00M,277.00M,-38.00M,,-611.00M,209.00M,,2009-10,-556.00M,7.00M,7.00M,-10.00M,,-573.00M,,2009-10,489.00M,112.00M,601.00M,22.00M,-50.00M,-28.00M,117.00M,-59.00M,-2.00M,,2009-10,369.00M,148.00M,517.00M,,2009-10,22.00M,502.00M,103.00M,-50.00M,131.00M,,2009-10,AOR,Restated
2009-07,251.00M,,,,7.00M,7.00M,,,348.00M,348.00M,36.00M,,20.00M,,36.00M,21.00M,161.00M,67.00M,-75.00M,,,180.00M,878.00M,,2009-07,-575.00M,,,-13.00M,,-588.00M,,2009-07,-388.00M,-63.00M,-451.00M,6.00M,-60.00M,-54.00M,-58.00M,-58.00M,4.00M,,2009-07,638.00M,-269.00M,369.00M,,2009-07,6.00M,0.00,-451.00M,-60.00M,140.00M,,2009-07,AOR,Restated
2009-04,431.00M,,,,12.00M,12.00M,,,453.00M,453.00M,54.00M,,25.00M,,-171.00M,18.00M,25.00M,145.00M,148.00M,,,484.00M,1.288B,,2009-04,-635.00M,,,0.00,,-634.00M,,2009-04,-151.00M,-53.00M,-204.00M,2.00M,-20.00M,-18.00M,-59.00M,-59.00M,2.00M,,2009-04,263.00M,375.00M,638.00M,,2009-04,2.00M,3.00M,-207.00M,-20.00M,163.00M,,2009-04,AOR,Restated
2009-01,347.00M,,,,,,,,348.00M,348.00M,194.00M,5.00M,22.00M,-35.00M,-49.00M,-8.00M,476.00M,-210.00M,-395.00M,-66.00M,,-337.00M,539.00M,,2009-01,-536.00M,,1.613B,0.00,,-527.00M,,2009-01,-6.00M,21.00M,15.00M,8.00M,-11.00M,-3.00M,,-59.00M,10.00M,,2009-01,280.00M,-25.00M,263.00M,,2009-01,8.00M,468.00M,-453.00M,-11.00M,81.00M,,2009-01,,Restated
2008-10,237.00M,,,,,,,,335.00M,335.00M,41.00M,21.00M,21.00M,19.00M,59.00M,-36.00M,-709.00M,19.00M,292.00M,52.00M,,-502.00M,231.00M,,2008-10,-560.00M,,-560.00M,0.00,,-568.00M,,2008-10,394.00M,73.00M,467.00M,7.00M,-87.00M,-80.00M,,-59.00M,19.00M,,2008-10,270.00M,10.00M,280.00M,,2008-10,7.00M,136.00M,331.00M,-87.00M,110.00M,,2008-10,,Restated
2008-07,276.00M,,,,,,,,327.00M,327.00M,47.00M,,23.00M,7.00M,53.00M,10.00M,88.00M,59.00M,-134.00M,-1.00M,,51.00M,784.00M,,2008-07,-476.00M,-23.00M,-1.076B,0.00,,-451.00M,,2008-07,-173.00M,-64.00M,-237.00M,77.00M,-158.00M,-81.00M,,-59.00M,7.00M,,2008-07,307.00M,-37.00M,270.00M,,2008-07,77.00M,0.00,-237.00M,-158.00M,294.00M,,2008-07,,Restated
2008-04,390.00M,,,,,,,,433.00M,433.00M,59.00M,,25.00M,9.00M,50.00M,6.00M,-48.00M,224.00M,151.00M,15.00M,,376.00M,1.342B,,2008-04,-577.00M,23.00M,23.00M,-80.00M,,-633.00M,,2008-04,-327.00M,-28.00M,-355.00M,80.00M,-381.00M,-301.00M,,-50.00M,-3.00M,,2008-04,242.00M,,307.00M,,2008-04,80.00M,775.00M,-1.13B,-381.00M,,,2008-04,,Restated
2008-01,366.00M,,,,,34.00M,,,325.00M,325.00M,34.00M,,,,-144.00M,-51.00M,278.00M,-381.00M,-10.00M,-34.00M,-209.00M,-422.00M,304.00M,,2008-01,-498.00M,-46.00M,1.582B,-4.00M,,-504.00M,,2008-01,,,662.00M,-27.00M,-269.00M,-296.00M,,-51.00M,-39.00M,,2008-01,166.00M,76.00M,242.00M,,2008-01,-27.00M,,,-269.00M,,,2008-01,,Restated
