,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,2.563B,,2.563B,3.071B,,3.071B,952.00M,67.00M,1.33B,2.349B,,,942.00M,9.475B,0.00,120.00M,1.652B,13.59B,786.00M,16.15B,-11.04B,5.111B,2.804B,,2.804B,,2.166B,1.124B,11.20B,20.68B,,1.573B,292.00M,1.865B,,1.865B,,695.00M,695.00M,251.00M,946.00M,,,1.093B,4.421B,9.132B,758.00M,9.89B,,,562.00M,9.00M,824.00M,11.28B,15.70B,,2.666B,8.691B,0.00,6.021B,,,-362.00M,4.974B,,AOR,
2020-09,2.115B,,2.115B,3.145B,,3.145B,1.061B,67.00M,1.452B,2.58B,,,1.183B,9.023B,,,,,17.03B,17.03B,-11.24B,5.794B,2.804B,,2.804B,,2.056B,1.197B,11.85B,20.87B,,1.548B,,1.548B,,1.548B,,195.00M,195.00M,240.00M,435.00M,,,1.437B,3.923B,9.632B,754.00M,10.39B,,,530.00M,3.00M,832.00M,11.75B,15.67B,,2.666B,8.987B,23.00M,6.136B,,,-340.00M,5.20B,,AOR,
2020-06,1.811B,,1.811B,3.345B,,3.345B,1.154B,77.00M,1.514B,2.745B,,,1.198B,9.099B,,,,,17.05B,17.05B,-11.14B,5.906B,2.801B,,2.801B,,2.034B,1.264B,12.00B,21.10B,,1.708B,,1.708B,,1.708B,,188.00M,188.00M,212.00M,400.00M,,,1.50B,4.094B,9.638B,779.00M,10.42B,,,511.00M,7.00M,886.00M,11.81B,15.91B,,2.666B,9.098B,125.00M,6.358B,,,-342.00M,5.189B,,AOR,
2020-03,1.385B,,1.385B,4.85B,,4.85B,1.176B,149.00M,1.895B,3.22B,,,1.20B,10.66B,,,,,20.10B,20.10B,-12.98B,7.12B,2.812B,,2.812B,,1.595B,1.44B,12.97B,23.62B,,2.64B,,2.64B,,2.64B,,193.00M,193.00M,222.00M,415.00M,,,1.451B,5.053B,9.633B,803.00M,10.44B,,,477.00M,13.00M,813.00M,11.73B,16.78B,,2.669B,10.81B,110.00M,6.412B,,,-351.00M,6.83B,,AOR,
2019-12,2.268B,,2.268B,4.577B,,4.577B,1.147B,127.00M,1.865B,3.139B,,,1.048B,11.21B,0.00,202.00M,3.167B,16.57B,931.00M,20.87B,-12.63B,8.241B,2.812B,,2.812B,,1.683B,1.429B,14.16B,25.38B,,2.432B,310.00M,2.742B,,2.742B,,11.00M,11.00M,208.00M,219.00M,,,1.313B,4.878B,10.32B,825.00M,11.14B,,,525.00M,13.00M,808.00M,12.47B,17.35B,,2.669B,11.99B,143.00M,6.427B,,,-362.00M,8.012B,,AOR,Restated
2019-09,1.571B,,1.571B,5.29B,,5.29B,1.114B,144.00M,2.122B,3.38B,,,979.00M,11.22B,,,,,23.55B,23.55B,-13.84B,9.706B,2.832B,,2.832B,,1.344B,1.687B,15.57B,26.79B,,2.733B,,2.733B,,2.733B,,,,208.00M,208.00M,,,1.094B,4.692B,10.31B,762.00M,11.08B,,,476.00M,17.00M,784.00M,12.34B,17.03B,,2.67B,13.80B,108.00M,6.48B,,,-353.00M,9.745B,,AOR,Restated
2019-06,1.176B,,1.176B,5.70B,,5.70B,1.089B,156.00M,2.102B,3.347B,,,997.00M,11.22B,,,,,23.35B,23.35B,-13.59B,9.756B,2.825B,,2.825B,,1.408B,1.671B,15.66B,26.88B,,3.017B,,3.017B,,3.017B,,,,215.00M,215.00M,,,1.073B,4.955B,10.31B,761.00M,11.07B,,,469.00M,16.00M,864.00M,12.40B,17.36B,,2.67B,13.65B,58.00M,6.52B,,,-352.00M,9.508B,,AOR,Restated
2019-03,1.38B,,1.38B,5.622B,,5.622B,1.047B,154.00M,2.063B,3.264B,,,922.00M,11.19B,,,,,23.18B,23.18B,-13.31B,9.872B,2.824B,,2.824B,,1.348B,1.757B,15.80B,26.99B,,3.08B,,3.08B,,3.08B,,,,255.00M,255.00M,,,1.029B,5.047B,10.31B,758.00M,11.06B,,,454.00M,20.00M,798.00M,12.32B,17.36B,,2.671B,13.73B,224.00M,6.67B,,,-354.00M,9.605B,,AOR,Restated
2018-12,2.008B,,2.008B,5.234B,,5.234B,934.00M,147.00M,1.947B,3.028B,,,881.00M,11.15B,0.00,252.00M,3.461B,18.31B,,22.03B,-13.15B,8.873B,2.825B,,2.825B,,1.384B,1.749B,14.83B,25.98B,,3.018B,248.00M,3.266B,,3.266B,,,,0.00,0.00,,,822.00M,4.802B,10.31B,0.00,10.31B,,,483.00M,22.00M,841.00M,11.64B,16.44B,,2.671B,13.74B,211.00M,6.744B,,,-355.00M,9.522B,,AOR,Restated
2018-09,2.057B,,2.057B,5.526B,,5.526B,890.00M,176.00M,1.821B,2.887B,,,966.00M,11.44B,,,,,,21.73B,-12.91B,8.821B,2.80B,,2.80B,,1.128B,1.566B,14.32B,25.75B,,3.142B,,3.142B,,3.142B,,,35.00M,,35.00M,,,1.054B,4.953B,10.42B,,10.42B,,,594.00M,19.00M,763.00M,11.78B,16.73B,,2.672B,13.22B,170.00M,6.597B,,,-463.00M,8.998B,,AOR,Restated
2018-06,2.058B,414.00M,2.472B,5.403B,,5.403B,777.00M,163.00M,1.697B,2.637B,,,924.00M,11.44B,,,,,,21.48B,-12.65B,8.825B,2.824B,,2.824B,,1.117B,1.563B,14.33B,25.76B,,3.029B,,3.029B,,3.029B,,,444.00M,,444.00M,,,999.00M,5.107B,10.43B,,10.43B,,,585.00M,20.00M,803.00M,11.82B,16.92B,,2.672B,12.94B,125.00M,6.443B,,,-470.00M,8.823B,,AOR,Restated
2018-03,2.332B,,2.332B,5.255B,,5.255B,717.00M,169.00M,1.572B,2.458B,,,990.00M,11.04B,,,,,,20.83B,-12.23B,8.596B,2.707B,,2.707B,,1.227B,1.626B,14.16B,25.19B,,2.83B,,2.83B,,2.83B,,,466.00M,,466.00M,,,1.026B,4.969B,10.43B,,10.43B,,,588.00M,26.00M,815.00M,11.83B,16.80B,,2.672B,12.59B,222.00M,6.644B,,,-471.00M,8.365B,,AOR,Restated
2017-12,2.337B,,2.337B,5.036B,,5.036B,703.00M,146.00M,1.547B,2.396B,,,1.008B,10.78B,0.00,248.00M,3.46B,17.06B,,20.77B,-12.25B,8.521B,2.693B,,2.693B,,1.23B,1.864B,14.31B,25.08B,,2.554B,231.00M,2.785B,,2.785B,,,512.00M,,512.00M,,,819.00M,4.862B,10.43B,,10.43B,,,609.00M,27.00M,835.00M,11.87B,16.74B,,2.673B,12.67B,207.00M,6.757B,,,-469.00M,8.322B,,AOR,Restated
2017-09,1.898B,,1.898B,4.852B,,4.852B,720.00M,159.00M,1.565B,2.444B,53.00M,,897.00M,10.14B,,,,,,20.34B,-11.91B,8.432B,2.685B,,2.685B,,2.191B,2.338B,15.65B,25.79B,,2.416B,,2.416B,,2.416B,,,515.00M,,515.00M,,,964.00M,4.601B,10.42B,,10.42B,,,571.00M,29.00M,949.00M,11.94B,16.54B,,2.673B,13.65B,169.00M,6.826B,,,-448.00M,9.217B,,AOR,Restated
2017-06,2.139B,,2.139B,4.385B,,4.385B,695.00M,134.00M,1.454B,2.283B,557.00M,,896.00M,10.26B,,,,,,20.08B,-11.71B,8.374B,2.407B,,2.407B,,2.232B,2.052B,15.06B,25.32B,,2.166B,,2.166B,,2.166B,,,336.00M,,336.00M,,,983.00M,4.068B,10.82B,,10.82B,,,550.00M,36.00M,938.00M,12.30B,16.37B,,2.673B,13.44B,131.00M,6.878B,,,-450.00M,8.917B,,AOR,Restated
2017-03,2.107B,,2.107B,4.008B,,4.008B,713.00M,134.00M,1.448B,2.295B,555.00M,,863.00M,9.828B,,,,,,19.86B,-11.45B,8.415B,2.419B,,2.419B,,2.141B,2.082B,15.06B,24.88B,,2.006B,,2.006B,,2.006B,,,97.00M,,97.00M,,,1.195B,3.842B,10.81B,,10.81B,,,539.00M,38.00M,703.00M,12.05B,15.90B,,2.674B,13.57B,222.00M,7.062B,,,-452.00M,8.951B,,AOR,Restated
2016-12,4.009B,,4.009B,3.922B,,3.922B,778.00M,109.00M,1.388B,2.275B,585.00M,,886.00M,11.68B,0.00,228.00M,3.399B,16.10B,,19.73B,-11.20B,8.532B,2.414B,,2.414B,,1.96B,2.417B,15.32B,27.00B,,1.764B,218.00M,1.982B,,1.982B,,,170.00M,,170.00M,261.00M,261.00M,1.066B,4.023B,12.21B,,12.21B,,,574.00M,39.00M,741.00M,13.53B,17.55B,,2.674B,14.14B,201.00M,7.153B,,,-454.00M,9.409B,,AOR,Restated
2016-09,3.289B,,3.289B,4.36B,,4.36B,836.00M,111.00M,1.528B,2.475B,703.00M,,933.00M,11.76B,,,,,,19.68B,-10.94B,8.741B,2.383B,,2.383B,,1.944B,1.927B,15.00B,26.76B,,1.543B,,1.543B,,1.543B,,,152.00M,,152.00M,,,1.401B,3.631B,12.16B,,12.16B,,,449.00M,44.00M,786.00M,13.40B,17.03B,,2.675B,14.44B,184.00M,7.262B,,,-360.00M,9.682B,,AOR,Restated
2016-06,3.108B,,3.108B,4.725B,,4.725B,885.00M,103.00M,1.662B,2.65B,1.099B,,998.00M,12.58B,,,,,,19.81B,-10.85B,8.961B,2.383B,,2.383B,,1.856B,1.957B,15.16B,27.74B,,1.49B,,1.49B,,1.49B,,,763.00M,,763.00M,,,1.676B,4.478B,12.16B,,12.16B,,,449.00M,43.00M,875.00M,13.48B,17.96B,,2.675B,14.60B,253.00M,7.428B,,,-361.00M,9.734B,,AOR,Restated
2016-03,9.593B,,9.593B,4.983B,,4.983B,901.00M,114.00M,1.878B,2.893B,1.198B,,438.00M,19.10B,,,,,,21.23B,-11.98B,9.252B,2.383B,,2.383B,,,3.192B,14.83B,33.93B,,1.844B,,1.844B,,1.844B,,,3.186B,,3.186B,,,1.773B,7.412B,12.21B,,12.21B,,,447.00M,45.00M,806.00M,13.46B,20.87B,,2.676B,17.96B,279.00M,7.534B,,,-364.00M,13.02B,,AOR,Restated
2015-12,10.08B,,10.08B,5.317B,,5.317B,879.00M,122.00M,1.992B,2.993B,527.00M,,1.156B,20.07B,0.00,240.00M,3.486B,19.97B,,23.69B,-11.58B,12.12B,2.385B,,2.385B,,552.00M,1.818B,16.87B,36.94B,,2.019B,293.00M,2.312B,,2.312B,,,659.00M,,659.00M,298.00M,298.00M,1.206B,5.337B,14.69B,,14.69B,,,479.00M,33.00M,944.00M,16.11B,21.45B,,2.677B,20.52B,274.00M,7.65B,,,-363.00M,15.46B,,AOR,Restated
