,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-12,5.94B,5.94B,5.101B,839.00M,71.00M,71.00M,385.00M,-385.00M,115.00M,,-115.00M,,71.00M,768.00M,,115.00M,-115.00M,-409.00M,-115.00M,244.00M,1.05B,-806.00M,,,1.00M,-824.00M,-574.00M,752.00M,393.00M,359.00M,,-0.92,-0.02,,,-0.6554,-0.94,,-0.92,-0.02,,,-0.6554,-0.94,,873.00M,873.00M,0.18,,AOR,Restated
2017-09,5.444B,5.444B,4.747B,697.00M,55.00M,55.00M,0.00,0.00,115.00M,,-115.00M,,55.00M,642.00M,,115.00M,-115.00M,-31.00M,-115.00M,496.00M,135.00M,361.00M,,,4.00M,365.00M,365.00M,1.005B,394.00M,611.00M,,0.42,,,,0.42,0.42,,0.42,,,,0.42,0.42,,872.00M,873.00M,0.18,,AOR,Restated
2017-06,4.957B,4.957B,4.474B,483.00M,75.00M,75.00M,262.00M,-262.00M,121.00M,,-121.00M,,75.00M,408.00M,,121.00M,-121.00M,-288.00M,-121.00M,-1.00M,-29.00M,28.00M,,,0.00,28.00M,185.20M,506.00M,386.00M,120.00M,,0.03,,,,0.2109,0.03,,0.03,,,,0.2105,0.03,,869.00M,871.00M,0.18,,AOR,Restated
2017-03,4.279B,4.279B,4.021B,258.00M,55.00M,55.00M,,,242.00M,,-242.00M,,55.00M,203.00M,,242.00M,-242.00M,-18.00M,-242.00M,-57.00M,-25.00M,-32.00M,,,,-32.00M,-32.00M,568.00M,383.00M,185.00M,,-0.04,,,,-0.04,-0.04,,-0.04,,,,-0.04,-0.04,,867.00M,867.00M,0.18,,AOR,Restated
2016-12,4.021B,4.021B,3.698B,323.00M,94.00M,94.00M,168.00M,-168.00M,99.00M,,-137.00M,,94.00M,229.00M,,99.00M,-137.00M,-267.00M,-137.00M,-175.00M,-22.00M,-153.00M,0.00,,4.00M,-149.00M,-2.12M,310.00M,386.00M,-76.00M,,-0.1723,0.00,,,-0.0023,-0.17,,-0.1723,0.00,,,-0.0023,-0.17,,864.00M,864.00M,0.18,,AOR,Restated
2016-09,3.833B,3.833B,3.662B,171.00M,43.00M,43.00M,,,159.00M,18.00M,-141.00M,,43.00M,128.00M,18.00M,159.00M,-141.00M,-39.00M,-141.00M,-52.00M,-59.00M,7.00M,0.00,,-1.00M,6.00M,6.00M,482.00M,375.00M,107.00M,,0.0070,0.00,,,0.0070,0.01,,0.0069,0.00,,,0.0069,0.01,,862.00M,864.00M,0.18,,AOR,Restated
2016-06,3.835B,3.835B,3.732B,103.00M,41.00M,41.00M,423.00M,-3.942B,196.00M,,-196.00M,,41.00M,62.00M,,196.00M,-196.00M,-3.973B,-196.00M,-4.107B,-902.00M,-3.205B,,,-3.00M,-3.208B,-131.76M,-3.515B,396.00M,-3.911B,,-3.73,,,,-0.1530,-3.73,,-3.73,,,,-0.1530,-3.73,,860.00M,860.00M,0.18,,AOR,Restated
2016-03,4.198B,4.198B,3.925B,273.00M,48.00M,48.00M,2.766B,-3.304B,165.00M,,-165.00M,,48.00M,225.00M,,165.00M,-165.00M,-3.351B,-165.00M,-3.291B,-875.00M,-2.416B,-2.00M,,6.00M,-2.412B,15.14M,-2.78B,346.00M,-3.126B,,-2.809,-0.0023,,,0.0176,-2.81,,-2.809,-0.0023,,,0.0176,-2.81,,858.00M,858.00M,0.18,,AOR,Restated
2015-12,5.082B,5.082B,4.556B,526.00M,53.00M,53.00M,282.00M,-387.00M,136.00M,,-136.00M,,53.00M,473.00M,,136.00M,-136.00M,-430.00M,-136.00M,-93.00M,-67.00M,-26.00M,0.00,,-2.00M,-28.00M,204.20M,445.00M,402.00M,43.00M,,-0.03,0.00,,,0.2413,-0.03,,-0.03,0.00,,,0.2413,-0.03,,856.00M,856.00M,0.18,,AOR,Restated
2015-09,5.582B,5.582B,5.039B,543.00M,37.00M,37.00M,381.00M,-463.00M,99.00M,,-99.00M,,37.00M,506.00M,,99.00M,-99.00M,-497.00M,-99.00M,-90.00M,-37.00M,-53.00M,,,-1.00M,-54.00M,223.80M,426.00M,417.00M,9.00M,,-0.06,0.00,,,0.2649,-0.06,,-0.06,0.00,,,0.2649,-0.06,,855.00M,855.00M,0.18,,AOR,Restated
