,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2007-09,3.928B,3.928B,2.956B,972.00M,,63.00M,,-2.00M,,,,-1.00M,62.00M,910.00M,,,,-2.00M,,896.00M,152.00M,726.00M,1.00M,,-18.00M,727.00M,727.66M,1.056B,146.00M,910.00M,,0.83,0.00,,,0.8319,0.83,,0.79,0.00,,,0.7918,0.79,,880.00M,917.00M,0.09,,,
2007-06,3.735B,3.735B,2.809B,926.00M,,82.00M,,47.00M,,,,-49.00M,33.00M,893.00M,,,,47.00M,,886.00M,284.00M,595.00M,935.00M,,-7.00M,1.53B,563.07M,1.033B,140.00M,893.00M,,0.66,1.03,,,0.6247,1.69,,0.63,0.99,,,0.5961,1.62,,905.00M,942.00M,0.09,,,
2007-03,3.422B,3.422B,2.566B,856.00M,,69.00M,,-2.00M,,,,-1.00M,68.00M,788.00M,,,,-2.00M,,785.00M,259.00M,529.00M,23.00M,,3.00M,552.00M,530.34M,919.00M,131.00M,788.00M,,0.53,0.02,,,0.5314,0.55,,0.52,0.02,,,0.5213,0.54,,992.00M,1.025B,0.075,,,
2006-12,3.509B,3.509B,2.533B,976.00M,,99.00M,,38.00M,,,,-46.00M,53.00M,923.00M,,,,38.00M,,909.00M,278.00M,627.00M,31.00M,,-4.00M,658.00M,600.62M,1.047B,124.00M,923.00M,,0.63,0.03,,,0.6034,0.66,,0.61,0.03,,,0.5844,0.64,,993.00M,1.03B,0.075,,,
2006-09,3.392B,3.392B,2.439B,953.00M,,84.00M,,-4.00M,,,,-1.00M,83.00M,870.00M,,,,-4.00M,,863.00M,257.00M,603.00M,8.00M,,-3.00M,611.00M,605.81M,992.00M,122.00M,870.00M,,0.60,0.01,,,0.6028,0.61,,0.57,0.01,,,0.5727,0.58,,1.011B,1.048B,0.075,,,
2006-06,3.116B,3.116B,2.284B,832.00M,,73.00M,,-2.00M,,,,-1.00M,72.00M,760.00M,,,,-2.00M,,752.00M,245.00M,498.00M,93.00M,,-9.00M,591.00M,499.35M,877.00M,117.00M,760.00M,,0.49,0.09,,,0.4913,0.58,,0.47,0.08,,,0.4713,0.55,,1.026B,1.07B,0.075,,,
2006-03,2.938B,2.938B,2.17B,768.00M,,86.00M,,12.00M,,,,-10.00M,76.00M,692.00M,,,,12.00M,,675.00M,223.00M,449.00M,7.00M,,-3.00M,456.00M,440.96M,809.00M,117.00M,692.00M,,0.44,0.04,,,0.4322,0.48,,0.42,0.04,,,0.4125,0.46,,1.024B,1.068B,0.075,,,
2005-12,-4.598B,-4.598B,-4.975B,377.00M,,8.00M,,-105.00M,,,,56.00M,64.00M,313.00M,,,,-75.00M,,278.00M,-580.00M,872.00M,230.00M,,24.00M,1.102B,935.00M,384.00M,71.00M,313.00M,,1.08,0.01,,,1.142,1.09,,1.04,0.01,,,1.100,1.05,,1.022B,1.056B,0.0625,,,
2005-09,4.965B,4.965B,4.228B,737.00M,,89.00M,,81.00M,,,,-32.00M,57.00M,680.00M,,,,28.00M,,642.00M,129.00M,492.00M,7.00M,,-21.00M,499.00M,427.28M,805.00M,125.00M,680.00M,,0.49,0.01,,,0.4260,0.50,,0.47,0.01,,,0.4084,0.48,,1.012B,1.05B,0.0625,,,
2005-06,4.974B,4.974B,4.284B,690.00M,,96.00M,,-7.00M,,,,-2.00M,94.00M,596.00M,,,,-8.00M,,544.00M,150.00M,384.00M,8.00M,,-10.00M,392.00M,389.07M,723.00M,127.00M,596.00M,,0.38,0.01,,,0.3850,0.39,,0.37,0.01,,,0.3749,0.38,,1.006B,1.026B,0.0625,,,
2005-03,4.759B,4.783B,4.216B,567.00M,,101.00M,,107.00M,,,,-109.00M,-8.00M,575.00M,,,,131.00M,,533.00M,166.00M,359.00M,6.00M,,-8.00M,365.00M,285.32M,700.00M,125.00M,575.00M,,0.36,0.005,,,0.2865,0.365,,0.355,0.005,,,0.2828,0.36,,1.002B,1.02B,0.0625,,,
2004-12,4.599B,4.599B,4.209B,390.00M,,90.00M,,21.00M,,,,26.00M,116.00M,274.00M,,,,35.00M,,280.00M,104.00M,170.00M,-373.00M,,-6.00M,-203.00M,156.80M,409.00M,135.00M,274.00M,,0.195,-0.425,,,0.1799,-0.23,,0.19,-0.425,,,0.1750,-0.23,,874.00M,882.00M,0.0625,,,
2004-09,4.795B,4.795B,4.391B,404.00M,,97.00M,,39.00M,,,,-35.00M,62.00M,342.00M,,,,34.00M,,303.00M,111.00M,186.00M,-230.00M,,-6.00M,-44.00M,161.29M,460.00M,118.00M,342.00M,,0.215,-0.27,,,0.1868,-0.055,,0.21,-0.27,,,0.1820,-0.055,,876.00M,884.00M,0.0625,,,
2004-06,4.963B,4.963B,4.904B,59.00M,,78.00M,,-8.00M,,,,7.00M,85.00M,-26.00M,,,,-15.00M,,-80.00M,-29.00M,-58.00M,-609.00M,,-7.00M,-667.00M,-52.90M,98.00M,124.00M,-26.00M,,-0.065,-0.695,,,-0.0592,-0.76,,-0.065,-0.695,,,-0.0592,-0.76,,874.00M,874.00M,0.0625,,,
2004-03,5.527B,5.527B,5.248B,279.00M,,96.00M,,2.00M,,,,8.00M,104.00M,175.00M,,,,-6.00M,,131.00M,49.00M,76.00M,-141.00M,,-6.00M,-65.00M,74.75M,307.00M,132.00M,175.00M,,0.085,-0.16,,,0.0836,-0.075,,0.085,-0.16,,,0.0836,-0.075,,872.00M,880.00M,0.0625,,,
2003-12,5.452B,5.464B,5.07B,394.00M,,89.00M,,1.00M,,,,2.00M,91.00M,303.00M,,,,13.00M,,260.00M,92.00M,146.00M,-1.093B,0.00,-22.00M,-947.00M,145.35M,437.00M,134.00M,303.00M,,0.27,-1.375,0.00,,0.2693,-1.095,,0.27,-1.375,0.00,,0.2693,-1.095,,868.00M,880.00M,0.0625,,,
2003-09,4.135B,4.148B,3.865B,283.00M,,80.00M,,-16.00M,,,,-1.00M,79.00M,204.00M,,,,-3.00M,,161.00M,63.00M,92.00M,-34.00M,,-6.00M,58.00M,101.74M,336.00M,132.00M,204.00M,,0.105,-0.04,,,0.1162,0.065,,0.105,-0.04,,,0.1161,0.065,,870.00M,874.00M,0.0625,,,
2003-06,3.582B,3.599B,3.475B,124.00M,,80.00M,,48.00M,,,,-27.00M,53.00M,71.00M,,,,65.00M,,74.00M,29.00M,42.00M,-16.00M,,-3.00M,26.00M,12.81M,196.00M,125.00M,71.00M,,0.045,-0.015,,,0.0114,0.03,,0.045,-0.015,,,0.0115,0.03,,868.00M,872.00M,0.0625,,,
2003-03,3.077B,3.077B,2.858B,219.00M,,81.00M,,15.00M,,,,-4.00M,77.00M,142.00M,,,,-2.00M,,117.00M,50.00M,59.00M,-8.00M,-8.00M,-8.00M,43.00M,50.00M,269.00M,127.00M,142.00M,,0.07,-0.01,0.00,,0.0596,0.05,,0.07,-0.01,-0.0092,,0.0597,0.05,,868.00M,872.00M,0.0625,,,
2002-12,3.337B,3.348B,3.273B,75.00M,,96.00M,,-25.00M,,,,0.00,96.00M,-21.00M,,,,-14.00M,,-60.00M,49.00M,-132.00M,-484.00M,,-23.00M,-616.00M,-117.00M,82.00M,103.00M,-21.00M,,-0.175,-0.545,,,-0.1576,-0.72,,-0.175,-0.545,,,-0.1576,-0.72,,864.00M,864.00M,0.0625,,,
2002-09,2.965B,2.982B,2.685B,297.00M,,89.00M,,-16.00M,,,,17.00M,106.00M,191.00M,,,,1.00M,,171.00M,72.00M,94.00M,,,-5.00M,94.00M,103.60M,327.00M,136.00M,191.00M,,0.11,0.00,,,0.1211,0.11,,0.11,0.00,,,0.1211,0.11,,864.00M,868.00M,0.0625,,,
2002-06,3.235B,3.235B,3.482B,-247.00M,,97.00M,,-68.00M,,,,61.00M,158.00M,-405.00M,,,,-68.00M,,-435.00M,-77.00M,-358.00M,-140.00M,,-5.00M,-498.00M,-302.04M,-271.00M,134.00M,-405.00M,,-0.415,-0.16,,,-0.3502,-0.575,,-0.415,-0.16,,,-0.3502,-0.575,,864.00M,864.00M,0.0625,,,
2002-03,2.989B,3.007B,2.939B,68.00M,,53.00M,,104.00M,,,,-108.00M,-55.00M,123.00M,,,,122.00M,,91.00M,36.00M,50.00M,-28.00M,,-5.00M,22.00M,-12.86M,255.00M,132.00M,123.00M,,0.06,-0.035,,,-0.0128,0.025,,0.06,-0.035,,,-0.0126,0.025,,864.00M,866.00M,0.0625,,,
2001-12,3.138B,3.172B,2.799B,373.00M,,101.00M,,-4.00M,,,,,101.00M,272.00M,,,,30.00M,,259.00M,99.00M,141.00M,297.00M,0.00,-5.00M,139.00M,143.47M,413.00M,141.00M,272.00M,,0.165,-0.005,0.00,,0.1679,0.16,,0.165,-0.005,-0.0000,,0.1679,0.16,,862.00M,862.00M,0.0625,,,
2001-09,3.365B,3.391B,2.955B,436.00M,,94.00M,,-2.00M,,,,,94.00M,342.00M,,,,24.00M,,307.00M,126.00M,181.00M,-2.00M,,-7.00M,179.00M,182.20M,474.00M,132.00M,342.00M,,0.21,0.00,,,0.2114,0.21,,0.21,0.00,,,0.2114,0.21,,856.00M,858.00M,0.0625,,,
2001-06,3.339B,3.339B,2.966B,373.00M,,101.00M,,-1.00M,,,,,101.00M,272.00M,,,,-1.00M,,241.00M,98.00M,143.00M,-60.00M,,-2.00M,382.00M,143.60M,396.00M,124.00M,272.00M,,0.17,-0.07,,0.3501,0.1707,0.45,,0.165,-0.07,,0.3477,0.1657,0.445,,854.00M,860.00M,0.0625,,,
2001-03,3.126B,3.144B,2.855B,289.00M,,91.00M,,-3.00M,,,,,91.00M,198.00M,,,,15.00M,,147.00M,61.00M,86.00M,22.00M,1.00M,-5.00M,109.00M,87.80M,332.00M,134.00M,198.00M,,0.10,0.025,0.00,,0.1021,0.125,,0.10,0.025,0.0012,,0.1021,0.125,,852.00M,860.00M,0.0625,,,
2000-12,3.161B,3.193B,3.086B,107.00M,,100.00M,,-2.00M,,,,0.00,100.00M,7.00M,,,,30.00M,,-14.00M,-11.00M,-21.00M,241.00M,,-4.00M,5.00M,-19.80M,122.00M,115.00M,7.00M,,-0.025,0.275,,,-0.0236,0.005,,-0.025,0.27,,,-0.0236,0.005,,872.00M,880.00M,0.0625,,,
2000-09,3.002B,3.024B,2.772B,252.00M,,92.00M,,91.00M,,,,-88.00M,4.00M,248.00M,,,,113.00M,,214.00M,84.00M,130.00M,27.00M,,-5.00M,157.00M,74.72M,387.00M,139.00M,248.00M,,0.145,0.03,,,0.0829,0.175,,0.145,0.03,,,0.0837,0.175,,890.00M,902.00M,0.0625,,,
2000-06,2.854B,2.854B,2.538B,316.00M,,77.00M,,11.00M,,,,,204.00M,112.00M,,,,11.00M,,88.00M,36.00M,52.00M,23.00M,,-5.00M,75.00M,45.40M,239.00M,127.00M,112.00M,,0.06,0.025,,,0.0526,0.085,,0.06,0.025,,,0.0526,0.085,,888.00M,898.00M,0.0625,,,
2000-03,2.839B,2.839B,2.573B,266.00M,,83.00M,,16.00M,,,,,205.00M,61.00M,,,,16.00M,,47.00M,20.00M,27.00M,22.00M,,-4.00M,264.00M,17.40M,183.00M,122.00M,61.00M,,0.03,0.27,,0.2432,0.0191,0.30,,0.03,0.265,,0.2421,0.0192,0.295,,884.00M,888.00M,0.0625,,,
1999-12,3.001B,3.10B,3.231B,-131.00M,,95.00M,,-74.00M,,,,,-331.00M,200.00M,,,,25.00M,,63.00M,18.00M,28.00M,207.00M,0.00,-4.00M,235.00M,80.86M,332.00M,132.00M,200.00M,,0.035,0.235,0.00,,0.0956,0.27,,0.03,0.235,-0.0001,,0.0890,0.265,,872.17M,896.17M,0.0625,,,
1999-09,2.959B,2.959B,2.646B,313.00M,,89.00M,,10.00M,,,,,246.00M,67.00M,,,,10.00M,,65.00M,27.00M,38.00M,20.00M,,-4.00M,58.00M,32.00M,224.00M,135.00M,67.00M,,0.045,0.02,,,0.0383,0.065,,0.045,0.02,,,0.0383,0.065,,892.31M,892.31M,0.0625,,,
1999-06,3.017B,3.017B,2.862B,155.00M,,95.00M,,60.00M,,,,,95.00M,60.00M,,,,60.00M,,88.00M,33.00M,55.00M,28.00M,,-5.00M,83.00M,17.50M,184.00M,124.00M,60.00M,,0.065,0.03,,,0.0224,0.095,,0.065,0.03,,,0.0228,0.095,,880.00M,888.00M,0.0625,,,
1999-03,3.237B,3.237B,2.971B,266.00M,,72.00M,,25.00M,,,,,192.00M,74.00M,,,,25.00M,,91.00M,38.00M,53.00M,28.00M,-19.00M,-4.00M,62.00M,38.00M,194.00M,120.00M,74.00M,,0.09,-0.02,0.00,,0.0730,0.07,,0.09,-0.02,-0.0216,,0.0730,0.07,,880.00M,884.00M,0.0625,,,
1998-12,1.607B,1.607B,1.407B,200.00M,,2.00M,,-190.00M,,,,,60.00M,140.00M,,,,-190.00M,,-68.00M,-29.00M,-39.00M,,,15.00M,66.00M,75.00M,198.00M,58.00M,140.00M,,-0.045,0.12,,,0.0954,0.075,,-0.045,0.12,,,0.0954,0.075,,812.00M,812.00M,0.0625,,,
1998-09,4.17B,4.17B,3.565B,605.00M,,110.00M,,-795.00M,,,,,384.00M,221.00M,,,,-795.00M,,-624.00M,-97.00M,-527.00M,,,-15.00M,-527.00M,144.42M,495.00M,151.00M,221.00M,,-0.60,0.00,,,0.1644,-0.60,,-0.60,0.00,,,0.1644,-0.60,,878.33M,878.33M,0.0625,,,
1998-06,4.585B,4.585B,3.902B,683.00M,,165.00M,,4.00M,,,,,247.00M,436.00M,,,,4.00M,,396.00M,153.00M,243.00M,,,-13.00M,243.00M,240.55M,579.00M,143.00M,436.00M,,0.275,0.00,,,0.2703,0.275,,0.275,0.00,,,0.2704,0.275,,523.56M,535.45M,0.0625,,,
1998-03,4.202B,4.202B,3.586B,616.00M,,160.00M,,60.00M,,,,,308.00M,308.00M,,,,60.00M,,331.00M,128.00M,203.00M,,,-7.00M,203.00M,166.20M,456.00M,148.00M,308.00M,,0.225,0.00,,,0.1550,0.225,,0.22,0.00,,,0.1500,0.22,,525.80M,525.80M,0.0625,,,
1997-12,4.608B,4.608B,3.665B,943.60M,,230.90M,,-114.80M,,,,,375.60M,568.00M,,,,-114.80M,,424.60M,167.00M,257.60M,,,-19.80M,257.60M,327.25M,712.70M,144.70M,568.00M,,0.295,0.00,,,0.4334,0.295,,0.29,0.00,,,0.4249,0.29,,503.41M,516.31M,0.0625,,,
1997-09,4.139B,4.139B,3.581B,557.60M,,125.80M,,23.00M,,,,,205.10M,352.50M,,,,23.00M,,332.60M,130.00M,202.60M,,,-12.80M,202.60M,188.59M,623.70M,271.20M,352.50M,,0.235,0.00,,,0.2073,0.235,,0.235,0.00,,,0.2077,0.235,,506.58M,513.61M,0.0625,,,
1997-06,2.231B,2.231B,1.962B,268.60M,,8.10M,,1.60M,,,,,86.60M,182.00M,,,,1.60M,,170.40M,68.50M,101.90M,,,-3.50M,101.90M,100.94M,260.50M,78.50M,182.00M,,0.20,0.00,,,0.1981,0.20,,0.20,0.00,,,0.1981,0.20,,509.50M,509.50M,0.0625,,,
1997-03,1.898B,1.898B,1.681B,216.20M,,7.90M,,6.00M,,,,,77.50M,138.70M,,,,6.00M,,135.70M,52.70M,83.00M,,,-2.90M,83.00M,79.33M,208.30M,69.60M,138.70M,,0.165,0.00,,,0.1577,0.165,,0.16,0.00,,,0.1529,0.16,,503.03M,518.75M,0.0625,,,
1996-12,8.551B,8.551B,6.997B,1.554B,,594.90M,,2.80M,,,,,895.30M,658.60M,,,,2.80M,,570.00M,204.90M,365.10M,,,-24.50M,365.10M,363.31M,959.00M,300.40M,658.60M,,0.265,0.00,,,0.2620,0.265,,0.26,0.00,,,0.2570,0.26,,588.05M,588.05M,0.125,,,
1996-09,1.860B,1.860B,1.656B,204.30M,,9.20M,,-69.00M,,,,,73.40M,130.90M,,,,-69.00M,,54.70M,-20.80M,75.50M,,,-0.30M,75.50M,116.90M,200.30M,69.40M,130.90M,,0.15,0.00,,,0.2323,0.15,,0.15,0.00,,,0.2323,0.15,,503.33M,503.33M,0.0625,,,
1996-06,1.831B,1.831B,1.642B,189.20M,,8.40M,,-0.40M,,,,,73.50M,115.70M,,,,-0.40M,,109.50M,37.70M,71.80M,,,,71.80M,72.06M,184.50M,68.80M,115.70M,,0.145,0.00,,,0.1455,0.145,,0.145,0.00,,,0.1455,0.145,,495.17M,495.17M,0.0625,,,
1996-03,1.661B,1.661B,1.513B,148.70M,,8.80M,,4.50M,,,,,67.90M,80.80M,,,,4.50M,,80.50M,29.00M,51.50M,,,-0.10M,51.50M,48.62M,139.90M,59.10M,80.80M,,0.09,0.00,,,0.0850,0.09,,0.09,0.00,,,0.0850,0.09,,572.22M,572.22M,0.0625,,,
1995-12,1.722B,1.722B,1.493B,228.20M,,11.60M,,0.30M,,,,,88.70M,139.50M,,,,0.30M,,132.90M,45.60M,87.30M,0.00,,0.10M,87.30M,87.10M,216.60M,77.10M,139.50M,,0.145,0.015,,,0.1447,0.16,,0.145,0.015,,,0.1447,0.16,,608.80M,608.80M,0.0625,,,
1995-09,1.490B,1.490B,1.308B,181.50M,,8.30M,,7.80M,,,,,70.40M,111.10M,,,,7.80M,,103.70M,34.90M,68.80M,-67.70M,,-0.20M,1.10M,63.63M,173.20M,62.10M,111.10M,,0.15,-0.15,,,0.1386,0.00,,0.15,-0.15,,,0.1386,0.00,,453.81M,453.81M,0.0625,,,
1995-06,1.444B,1.444B,1.239B,205.40M,,44.50M,,4.40M,,,,,105.70M,99.70M,,,,4.40M,,91.10M,34.90M,56.20M,,,-0.70M,56.20M,53.49M,160.90M,61.20M,99.70M,,0.125,0.00,,,0.1190,0.125,,0.125,0.00,,,0.1190,0.125,,449.60M,449.60M,0.0625,,,
1995-03,1.322B,1.322B,1.159B,162.80M,,41.10M,,13.70M,,,,,100.50M,62.30M,,,,13.70M,,63.10M,24.00M,39.10M,,,-0.10M,39.10M,30.61M,121.70M,59.40M,62.30M,,0.085,0.00,,,0.0665,0.085,,0.085,0.00,,,0.0665,0.085,,460.00M,460.00M,0.0625,,,
1994-12,1.533B,1.533B,1.312B,221.70M,,44.20M,,109.50M,,,,,110.60M,111.10M,,,,109.50M,,206.90M,79.40M,127.50M,,,,127.50M,60.02M,177.50M,66.40M,111.10M,,0.28,0.00,,,0.1318,0.28,,0.28,0.00,,,0.1324,0.28,,455.38M,457.27M,0.0625,,,
1994-09,1.405B,1.405B,1.199B,206.80M,,45.90M,,-0.30M,,,,,108.20M,98.60M,,,,-0.30M,,86.00M,34.30M,51.70M,,,0.30M,51.70M,51.88M,160.90M,61.80M,98.60M,,0.115,0.00,,,0.1154,0.115,,0.115,0.00,,,0.1154,0.115,,449.57M,449.57M,0.0625,,,
1994-06,1.425B,1.425B,1.317B,108.60M,,56.80M,,-6.20M,,,,,123.50M,-14.90M,,,,-6.20M,,-32.10M,-12.90M,-19.20M,,,,-19.20M,-15.48M,52.30M,67.20M,-14.90M,,-0.045,0.00,,,-0.0363,-0.045,,-0.045,0.00,,,-0.0363,-0.045,,426.67M,426.67M,0.0625,,,
1994-03,1.376B,1.376B,1.219B,157.30M,,50.90M,,3.30M,,,,,117.10M,40.20M,,,,3.30M,,29.90M,12.10M,17.80M,,,-0.30M,17.80M,15.82M,106.40M,66.20M,40.20M,,0.04,0.00,,,0.0356,0.04,,0.04,0.00,,,0.0356,0.04,,445.00M,445.00M,0.0625,,,
1993-12,1.653B,1.653B,1.525B,128.60M,,-6.30M,,4.40M,,,,,151.00M,-22.40M,,,,4.40M,,-34.80M,7.20M,-42.00M,,,0.40M,-42.00M,-44.64M,134.90M,157.30M,-22.40M,,0.00,-0.04,,,-0.0035,-0.04,,0.00,-0.04,,,-0.0035,-0.04,,764.31M,764.31M,0.0625,,,
1993-09,1.541B,1.541B,1.576B,-34.20M,,78.10M,,3.40M,,,,,176.30M,-210.50M,,,,3.40M,,-228.10M,-67.40M,-160.70M,,,0.40M,-160.70M,-163.10M,-66.60M,143.90M,-210.50M,,-0.355,0.00,,,-0.3603,-0.355,,-0.355,0.00,,,-0.3603,-0.355,,452.68M,452.68M,0.0625,,,
1993-06,1.597B,1.597B,1.387B,209.70M,,76.80M,,-2.90M,,,,,152.20M,57.50M,,,,-2.90M,,42.50M,19.60M,22.90M,,,0.50M,22.90M,24.64M,133.60M,76.10M,57.50M,,0.05,0.00,,,0.0538,0.05,,0.05,0.00,,,0.0538,0.05,,458.00M,458.00M,0.0625,,,
1993-03,1.560B,1.560B,1.372B,187.30M,,69.80M,,-0.60M,,,,,144.50M,42.80M,,,,-0.60M,,32.80M,14.00M,18.80M,,,0.20M,18.80M,19.16M,117.50M,74.70M,42.80M,,0.045,0.00,,,0.0459,0.045,,0.045,0.00,,,0.0459,0.045,,417.78M,417.78M,0.0625,,,
1992-12,1.652B,1.652B,1.668B,-16.20M,,113.90M,,38.40M,,,,,258.60M,-274.80M,,,,38.40M,,-244.50M,-65.80M,-178.70M,,,4.80M,-192.50M,-206.77M,-130.10M,144.70M,-274.80M,,-0.44,-0.005,,,-0.4998,-0.445,,-0.44,-0.005,,,-0.4998,-0.445,,469.65M,469.65M,0.0625,,,
1992-09,1.577B,1.577B,1.375B,202.50M,,73.90M,,24.40M,,,,,150.90M,51.60M,,,,24.40M,,63.50M,30.50M,33.00M,,,,33.00M,18.36M,128.60M,75.20M,51.60M,,0.08,0.00,,,0.0445,0.08,,0.08,0.00,,,0.0445,0.08,,412.50M,412.50M,0.0625,,,
1992-06,1.622B,1.622B,1.438B,183.30M,,70.90M,,0.80M,,,,,141.00M,42.30M,,,,0.80M,,29.30M,16.50M,12.80M,,,-0.70M,12.80M,12.32M,114.20M,71.90M,42.30M,,0.03,0.00,,,0.0289,0.03,,0.03,0.00,,,0.0289,0.03,,426.67M,426.67M,0.0625,,,
1992-03,1.673B,1.673B,1.504B,168.50M,,63.10M,,2.40M,,,,,131.30M,37.20M,,,,2.40M,,22.10M,12.70M,9.40M,,,-2.40M,9.40M,7.96M,105.40M,68.20M,37.20M,,0.025,0.00,,,0.0212,0.025,,0.025,0.00,,,0.0212,0.025,,376.00M,376.00M,0.0625,,,
1991-12,1.775B,1.775B,1.669B,106.70M,,107.20M,,34.60M,,,,,195.60M,-88.90M,,,,34.60M,,-68.20M,-10.50M,-57.70M,,,0.20M,-57.70M,-86.97M,-0.50M,88.40M,-88.90M,,-0.1348,,,,-0.2032,-0.1348,,-0.1348,,,,-0.2032,-0.1348,,428.00M,428.00M,0.0625,,,
1991-09,1.723B,1.723B,1.517B,206.10M,,72.80M,,7.00M,,,,,146.10M,60.00M,,,,7.00M,,50.90M,26.30M,24.60M,,,-1.60M,24.60M,20.40M,133.30M,73.30M,60.00M,,0.06,0.00,,,0.0498,0.06,,0.06,0.00,,,0.0498,0.06,,410.00M,410.00M,0.0625,,,
1991-06,1.788B,1.788B,1.57B,217.70M,,80.10M,,5.60M,,,,,148.60M,69.10M,,,,5.60M,,59.30M,27.00M,32.30M,,,-0.60M,32.30M,28.94M,137.60M,68.50M,69.10M,,0.075,0.00,,,0.0672,0.075,,0.075,0.00,,,0.0672,0.075,,430.67M,430.67M,0.0625,,,
1991-03,1.732B,1.732B,1.537B,195.40M,,75.40M,,3.20M,,,,,139.70M,55.70M,,,,3.20M,,48.40M,21.00M,27.40M,,,-0.60M,27.40M,25.48M,120.00M,64.30M,55.70M,,0.065,0.00,,,0.0604,0.065,,0.065,0.00,,,0.0604,0.065,,421.54M,421.54M,0.0625,,,
1990-12,1.853B,1.853B,1.622B,230.40M,,63.80M,,6.40M,,,,,125.40M,105.00M,,,,6.40M,,102.90M,44.20M,58.70M,,,0.10M,58.70M,54.86M,166.60M,61.60M,105.00M,,0.09,0.00,,,0.0838,0.09,,0.09,0.00,,,0.0838,0.09,,622.34M,622.34M,0.0625,,,
1990-09,1.791B,1.791B,1.575B,216.20M,,78.30M,,34.60M,,,,,141.00M,75.20M,,,,34.60M,,98.60M,43.20M,55.40M,,,-2.00M,55.40M,34.64M,141.00M,65.80M,75.20M,,0.13,0.00,,,0.0813,0.13,,0.13,0.00,,,0.0813,0.13,,426.15M,426.15M,0.0625,,,
1990-06,1.688B,1.688B,1.463B,225.80M,,76.20M,,4.20M,,,,,137.30M,88.50M,,,,4.20M,,84.30M,37.20M,47.10M,,,-0.10M,47.10M,44.58M,149.60M,61.00M,88.50M,,0.11,0.00,,,0.1041,0.11,,0.11,0.00,,,0.1041,0.11,,428.18M,428.18M,0.0625,,,
1990-03,1.594B,1.594B,1.400B,193.30M,,65.00M,,6.20M,,,,,126.20M,67.10M,,,,6.20M,,65.10M,28.90M,36.20M,,,-0.60M,36.20M,32.48M,128.30M,61.20M,67.10M,,0.085,0.00,,,0.0763,0.085,,0.085,0.00,,,0.0763,0.085,,425.88M,425.88M,0.0625,,,
1989-12,1.625B,1.625B,1.431B,194.10M,,46.20M,,9.70M,,,,,109.80M,84.30M,,,,9.70M,,84.70M,37.20M,47.50M,,,1.60M,47.50M,41.68M,147.90M,63.60M,84.30M,,0.11,0.00,,,0.0967,0.11,,0.11,0.00,,,0.0967,0.11,,436.31M,436.31M,0.0625,,,
1989-09,1.468B,1.468B,1.270B,197.80M,,63.10M,,17.50M,,,,,124.10M,73.70M,,,,17.50M,,80.60M,38.20M,42.40M,,,-2.50M,42.40M,31.90M,148.90M,75.20M,73.70M,,0.10,0.00,,,0.0752,0.10,,0.10,0.00,,,0.0752,0.10,,424.00M,424.00M,0.0625,,,
1989-06,1.371B,1.371B,1.195B,176.50M,,63.30M,,9.80M,,,,,116.20M,60.30M,,,,9.80M,,58.60M,27.20M,31.40M,,,-0.50M,31.40M,25.52M,113.20M,52.90M,60.30M,,0.075,0.00,,,0.0610,0.075,,0.075,0.00,,,0.0610,0.075,,418.67M,418.67M,0.0625,,,
1989-03,1.197B,1.197B,,,,,,,,,,,,1.197B,,,,,,,,12.40M,,,,12.40M,,1.197B,,1.197B,,0.03,0.00,,,0.03,0.03,,0.03,0.00,,,0.03,0.03,,425.57M,425.57M,0.0625,,,
1988-12,1.433B,1.433B,,,,,,,,,,,,-3.252B,,,,,,,,11.80M,,,,11.80M,,-3.252B,,-3.252B,,,,,,,,,,,,,,,,425.60M,425.60M,0.0625,,,
1988-09,1.224B,1.224B,,,,,,,,,,,,1.224B,,,,,,,,25.30M,,,,25.30M,,1.224B,,1.224B,,0.06,0.00,,,0.06,0.06,,0.06,0.00,,,0.06,0.06,,425.16M,425.16M,0.0625,,,
1988-06,1.192B,1.192B,,,,,,,,,,,,1.192B,,,,,,,,24.70M,,,,24.70M,,1.192B,,1.192B,,0.06,0.00,,,0.06,0.06,,0.06,0.00,,,0.06,0.06,,421.90M,421.90M,0.0625,,,
