,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2016-09,205.50M,2.90M,0.00,20.70M,23.60M,36.50M,15.50M,52.00M,52.00M,15.00M,22.50M,0.00,-453.30M,3.60M,88.20M,,,-75.30M,385.90M,704.50M,-53.00M,1.20M,-51.80M,0.00,-1.022B,-61.60M,-1.135B,489.40M,,489.40M,,-51.50M,-51.50M,,,0.00,,0.00,0.00,1.30M,439.20M,134.70M,8.50M,0.20M,143.40M,,495.60M,-6.20M,-51.50M
2016-06,194.90M,1.10M,4.50M,-32.30M,-26.70M,30.60M,15.60M,46.20M,46.20M,21.60M,29.30M,-34.90M,-234.10M,58.70M,176.50M,,,-152.80M,488.80M,752.50M,-54.80M,1.30M,-53.50M,0.00,-894.10M,191.90M,-755.70M,-24.40M,,-24.40M,,-41.80M,-41.80M,,,0.00,,0.00,0.00,0.10M,-66.10M,203.90M,-69.30M,0.10M,134.70M,,0.00,-24.40M,-41.80M
2016-03,258.70M,0.10M,,-17.40M,-17.30M,27.50M,15.50M,43.00M,43.00M,20.50M,12.80M,33.30M,-470.50M,-17.40M,200.10M,,,64.30M,501.10M,818.80M,-54.30M,2.00M,-52.30M,,-267.70M,70.40M,-249.60M,-6.80M,,-6.80M,,-70.30M,-70.30M,,,-519.00M,,-519.00M,0.00,6.60M,-589.50M,224.10M,-20.30M,0.10M,203.90M,,,-6.80M,-70.30M
2015-12,349.90M,1.50M,0.00,-19.50M,-18.00M,27.60M,15.60M,43.20M,43.20M,27.20M,20.30M,0.00,78.30M,22.40M,-180.80M,,,-98.30M,-290.10M,132.50M,-44.10M,1.90M,-42.20M,0.00,104.30M,-126.80M,-64.70M,-6.80M,,-6.80M,,-33.60M,-33.60M,,,0.00,,0.00,,1.80M,-38.40M,194.50M,29.40M,0.50M,224.40M,,0.00,-6.80M,-33.60M
2015-09,286.50M,-0.20M,0.00,15.80M,15.60M,26.40M,15.50M,41.90M,41.90M,27.70M,19.40M,-69.10M,-285.40M,11.30M,151.80M,,,-15.50M,338.40M,730.40M,-33.00M,1.60M,-31.40M,0.00,-671.60M,-9.80M,-712.80M,-26.10M,,-26.10M,,-66.80M,-66.80M,,,0.00,,0.00,,6.30M,-86.60M,263.80M,-69.00M,-0.30M,194.50M,,0.00,-26.10M,-66.80M
2015-06,368.50M,0.60M,0.00,-76.00M,-75.40M,25.90M,15.70M,41.60M,41.60M,26.20M,13.40M,39.60M,-151.70M,12.80M,-40.00M,,,-147.80M,284.60M,658.90M,-31.40M,5.70M,-25.70M,-765.30M,277.10M,63.90M,-450.00M,-6.80M,,-6.80M,,-42.20M,-42.20M,,,0.00,,0.00,,2.40M,-46.60M,101.50M,162.30M,0.00,263.80M,,0.00,-6.80M,-42.20M
2015-03,295.60M,0.10M,,-33.00M,-32.90M,23.80M,0.00,23.80M,23.80M,17.30M,13.10M,30.40M,-264.90M,-14.00M,106.90M,,,94.20M,454.20M,771.10M,-22.20M,1.40M,-20.80M,,-740.10M,64.50M,-696.40M,382.00M,,382.00M,,-65.90M,-65.90M,,,-403.60M,,-403.60M,,6.30M,-81.20M,108.40M,-6.50M,-0.40M,101.50M,,382.00M,0.00,-65.90M
2014-12,370.20M,1.20M,,-26.20M,-25.00M,25.30M,0.00,25.30M,25.30M,18.70M,13.00M,0.00,101.80M,7.00M,-241.10M,,,-26.20M,-334.10M,68.10M,-34.50M,1.40M,-33.10M,0.00,147.50M,-126.70M,-12.30M,0.00,,0.00,,-36.70M,-36.70M,,,0.00,,0.00,,0.00,-36.70M,90.60M,19.10M,-1.30M,108.40M,,0.00,0.00,-36.70M
2014-09,296.10M,0.90M,,-38.20M,-37.30M,25.10M,0.00,25.10M,25.10M,21.40M,8.60M,-63.10M,-170.40M,-2.50M,169.10M,,,27.40M,297.60M,616.30M,-28.90M,1.40M,-27.50M,0.00,-405.10M,-77.80M,-510.40M,-48.90M,,-48.90M,,-94.70M,-94.70M,,,0.00,,0.00,,2.10M,-141.50M,126.10M,-35.60M,0.10M,90.60M,,0.00,-48.90M,-94.70M
2014-06,293.40M,1.20M,,-40.40M,-39.20M,23.90M,0.00,23.90M,23.90M,19.10M,14.60M,33.70M,-73.70M,-8.00M,87.00M,,,-93.70M,68.80M,380.60M,-28.50M,0.90M,-27.60M,0.00,-1.209B,585.80M,-651.20M,344.70M,,344.70M,,-45.30M,-45.30M,,,0.00,,0.00,,0.00,299.40M,96.70M,28.80M,0.60M,126.10M,,344.70M,0.00,-45.30M
