,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-12,281.60M,,,,,23.90M,,23.90M,23.90M,49.30M,,49.90M,112.70M,43.60M,-406.10M,4.60M,-1.057B,967.00M,-335.60M,69.10M,-86.90M,0.00,-86.90M,,-2.142B,2.167B,-61.10M,0.00,,0.00,8.50M,-11.90M,-3.40M,,,,,-5.90M,,,-9.30M,6.90M,-1.30M,,5.60M,8.50M,,0.00,-11.90M
2005-09,305.30M,,,6.40M,6.40M,23.40M,,23.40M,23.40M,54.30M,,6.10M,-101.40M,-2.90M,369.30M,9.80M,369.30M,-574.00M,106.60M,502.10M,-49.50M,36.10M,-13.40M,,18.99B,-19.41B,-432.70M,0.00,,0.00,7.60M,-84.00M,-76.40M,,,,,-5.90M,,,-82.30M,19.80M,-12.90M,,6.90M,7.60M,,0.00,-84.00M
2005-06,394.30M,,,-6.40M,-6.40M,22.90M,,22.90M,22.90M,44.00M,,19.10M,-56.80M,-17.30M,382.40M,-14.40M,688.10M,-655.10M,290.40M,764.30M,-66.30M,0.00,-66.30M,,-10.58B,10.09B,-547.30M,0.00,,0.00,12.40M,-220.50M,-208.10M,,,,,-5.90M,,,-214.00M,16.80M,3.00M,,19.80M,12.40M,,0.00,-220.50M
2005-03,412.70M,,,,,22.20M,,22.20M,22.20M,42.00M,,-3.50M,-192.10M,-19.90M,305.70M,,,91.40M,185.10M,658.50M,-16.60M,,-16.60M,,-8.256B,7.768B,-505.00M,,,,15.70M,-166.40M,-150.70M,,,,,-6.00M,,,-156.70M,20.00M,-3.20M,,16.80M,15.70M,,,-166.40M
2004-12,413.50M,,,,,219.70M,,219.70M,219.70M,45.90M,,-112.70M,24.10M,34.40M,-239.20M,,,-912.50M,-235.70M,251.40M,-24.40M,0.00,-24.40M,,-15.21B,16.46B,1.228B,-6.00M,,-6.00M,7.60M,-1.489B,-1.482B,,,,,-6.00M,,,-1.494B,34.50M,-14.50M,,20.00M,7.60M,,-6.00M,-1.489B
2004-09,388.90M,,,,,25.80M,,25.80M,25.80M,51.00M,,-23.90M,-84.30M,-7.30M,384.20M,,,-30.30M,262.30M,704.10M,-52.60M,0.00,-52.60M,,-10.29B,9.702B,-639.40M,0.00,,0.00,7.70M,-53.40M,-45.70M,,,,,-6.50M,,,-52.20M,22.00M,12.50M,,34.50M,7.70M,,0.00,-53.40M
2004-06,386.30M,,,,,23.80M,,23.80M,23.80M,52.70M,,-237.40M,-65.90M,-24.50M,435.10M,,,236.40M,581.10M,806.50M,-60.80M,,-60.80M,,2.84B,-3.532B,-752.50M,0.00,,0.00,10.50M,-60.20M,-49.70M,,,,,-5.40M,,,-55.10M,23.10M,-1.10M,,22.00M,10.50M,,0.00,-60.20M
2004-03,460.00M,,,,,22.80M,,22.80M,22.80M,43.10M,,181.30M,-191.80M,-27.60M,412.70M,,,,193.30M,900.50M,-54.20M,,-54.20M,,-4.194B,3.564B,-684.20M,-200.00M,,-200.00M,25.90M,-25.80M,0.10M,,,,,-5.40M,,,-205.30M,12.10M,11.00M,,23.10M,25.90M,,-200.00M,-25.80M
2003-12,357.80M,,,,,25.20M,,25.20M,25.20M,107.80M,,-152.10M,55.50M,20.10M,-92.10M,,,,-16.50M,322.20M,-62.00M,,-62.00M,,241.50M,-497.90M,-318.40M,0.00,,0.00,10.30M,-18.50M,-8.20M,,,,,-5.40M,,,-13.60M,21.90M,-9.80M,,12.10M,10.30M,,0.00,-18.50M
2003-09,319.80M,,,,,22.40M,,22.40M,22.40M,-35.90M,,26.50M,-119.50M,-11.80M,592.40M,,,,461.10M,793.90M,-45.00M,,-45.00M,,5.274B,-5.912B,-682.50M,0.00,,0.00,3.40M,-105.40M,-102.00M,,,,,-5.40M,,,-107.40M,17.90M,4.00M,,21.90M,3.40M,,0.00,-105.40M
2003-06,286.30M,,,,,21.50M,,21.50M,21.50M,28.20M,,14.70M,-121.20M,-43.20M,566.90M,,,,402.50M,753.20M,-37.80M,,-37.80M,,-7.781B,7.137B,-682.40M,0.00,,0.00,22.70M,-93.40M,-70.70M,,,,,-5.50M,,,-76.20M,23.30M,-5.40M,,17.90M,22.70M,,0.00,-93.40M
2003-03,291.50M,,,,,20.20M,,20.20M,20.20M,14.10M,,69.90M,-207.20M,-31.90M,411.00M,,,,171.90M,567.60M,-26.30M,,-26.30M,,3.056B,-3.500B,-469.90M,0.00,,0.00,13.60M,-99.50M,-85.90M,,,,,-5.40M,,,-91.30M,16.90M,6.40M,,23.30M,13.60M,,0.00,-99.50M
2002-12,152.20M,,,,,,,22.40M,22.40M,,,1.228B,42.00M,57.30M,-1.037B,21.70M,-1.294B,,-1.047B,356.40M,-27.50M,,-27.50M,,-5.846B,5.120B,-753.00M,,,,3.70M,-0.20M,3.50M,,,,,-5.40M,,,395.90M,17.60M,-0.70M,,16.90M,3.70M,,,-0.20M
2002-09,178.50M,,,,,,,21.60M,21.60M,,,-439.90M,-65.30M,-9.60M,426.50M,-3.40M,426.50M,,764.30M,524.50M,-21.60M,,-21.60M,,722.10M,-1.175B,-474.90M,,,,3.40M,-44.80M,-41.40M,,,,,-5.50M,,,-46.90M,14.90M,2.70M,,17.60M,3.40M,,,-44.80M
2002-06,160.40M,,,,,,,20.90M,20.90M,,,-704.20M,-117.50M,-35.50M,502.90M,-14.70M,786.20M,,1.098B,574.90M,-19.90M,,-19.90M,,1.742B,-2.153B,-431.10M,,,,7.10M,-145.80M,-138.70M,,,,,-5.10M,,,-143.80M,14.90M,0.00,,14.90M,7.10M,,,-145.80M
2002-03,176.20M,,,,,,,19.00M,19.00M,,,-5.70M,-119.10M,-31.30M,364.30M,-3.60M,81.00M,,266.70M,456.20M,-20.90M,,-20.90M,,1.265B,-1.676B,-432.30M,,,,8.40M,-23.50M,-15.10M,,,,,-5.10M,,,-20.20M,11.20M,3.70M,,14.90M,8.40M,,,-23.50M
2001-12,124.70M,,,,,,,22.80M,22.80M,,,395.20M,87.80M,15.10M,-397.00M,-53.00M,-500.40M,,-425.90M,116.80M,-14.30M,,-14.30M,,-1.567B,1.096B,-484.90M,,,,5.10M,-9.00M,-3.90M,,,,,-5.10M,,,355.90M,23.40M,-12.20M,,11.20M,5.10M,,,-9.00M
2001-09,96.40M,,,,,,,20.60M,20.60M,,,-10.50M,-62.50M,-12.80M,201.80M,-3.70M,201.80M,,318.80M,425.30M,-20.70M,,-20.70M,,335.20M,-674.80M,-360.30M,,,,1.60M,-76.70M,-75.10M,,,,,-5.20M,,,-80.30M,38.70M,-15.30M,,23.40M,1.60M,,,-76.70M
2001-06,103.70M,,,,,,,19.50M,19.50M,,,-192.70M,-26.60M,-19.00M,220.00M,-9.00M,265.50M,,417.70M,348.20M,-17.50M,,-17.50M,,2.519B,-2.808B,-306.30M,,,,14.10M,-34.50M,-20.40M,,,,,-5.10M,,,-25.50M,22.30M,16.40M,,38.70M,14.10M,,,-34.50M
2001-03,86.60M,,,,,,,18.10M,18.10M,,,-80.10M,107.40M,34.80M,78.60M,65.70M,33.10M,,319.70M,344.30M,-22.40M,,-22.40M,,-1.328B,1.020B,-330.90M,,,,5.20M,0.00,5.20M,,,,,-5.20M,,,0.00,8.90M,13.40M,,22.30M,5.20M,,,0.00
2000-12,48.00M,,,,,,,19.50M,19.50M,,,241.40M,272.50M,11.30M,-705.60M,5.60M,-241.70M,,-183.50M,125.40M,-27.30M,0.00,-27.30M,0.00,1.888B,-1.697B,164.00M,-300.40M,,-300.40M,5.20M,0.00,5.20M,,,,,-5.20M,,0.70M,-299.70M,19.20M,-10.30M,,8.90M,5.20M,0.00,-300.40M,0.00
2000-09,58.80M,,,,,,,20.30M,20.30M,,,-228.60M,68.10M,10.40M,134.80M,-1.90M,211.60M,,434.50M,285.00M,-36.10M,0.00,-36.10M,0.00,-463.90M,235.20M,-264.80M,0.00,,0.00,3.10M,-1.70M,1.40M,,,,,-5.10M,,-6.20M,-9.90M,8.90M,10.30M,,19.20M,3.10M,0.00,0.00,-1.70M
2000-06,-14.10M,,,,,,,19.40M,19.40M,,,-192.40M,-129.20M,-29.10M,582.90M,-3.10M,2.10M,,416.10M,229.00M,-28.60M,0.00,-28.60M,0.00,-1.251B,1.039B,-240.40M,0.00,,0.00,6.70M,0.00,6.70M,,,,,-4.80M,,7.40M,9.30M,11.00M,-2.10M,,8.90M,6.70M,0.00,0.00,0.00
2000-03,-46.60M,,,,,,,18.40M,18.40M,,,166.90M,-0.60M,,28.00M,-0.60M,28.00M,,44.30M,183.00M,-38.30M,,-38.30M,,-131.20M,,-169.50M,,,,3.60M,-16.10M,-12.50M,,,,,-4.70M,,0.50M,-16.70M,14.20M,-3.20M,,11.00M,3.60M,,,-16.10M
1999-12,3.80M,,,,,,,22.10M,22.10M,,,1.254B,-286.40M,,-56.80M,-8.10M,-846.40M,,-1.186B,94.00M,-25.40M,,-13.30M,,-1.100B,1.051B,-72.90M,7.70M,,7.70M,0.80M,-0.30M,0.50M,,,,,-4.80M,,-18.90M,-15.50M,8.60M,5.60M,,14.20M,0.80M,7.70M,0.00,-0.30M
1999-09,74.00M,,,,,,,19.20M,19.20M,,,-334.00M,1.20M,,234.40M,1.20M,234.40M,,461.00M,220.20M,-43.30M,,-43.30M,,-77.10M,-116.00M,-236.40M,0.00,,0.00,-11.00M,0.00,-11.00M,,,,,-4.80M,,19.80M,4.00M,,-12.20M,,8.60M,-11.00M,0.00,0.00,0.00
1999-06,112.10M,,,,,,,15.50M,15.50M,,,-565.40M,8.80M,,337.70M,8.80M,337.70M,,670.50M,232.70M,-35.50M,,-35.50M,,-232.20M,59.50M,-208.20M,-30.00M,,-30.00M,5.70M,0.00,5.70M,,,,,-4.70M,,,-29.00M,,-4.50M,,,5.70M,0.00,-30.00M,0.00
1999-03,105.30M,,,,,,,15.00M,15.00M,,,-383.60M,-1.90M,,274.30M,-1.90M,274.30M,,511.00M,247.70M,-43.30M,,-43.30M,,-503.50M,,-546.80M,293.70M,,293.70M,17.10M,-0.30M,16.80M,,,,,-4.70M,,,305.80M,18.60M,6.70M,,,17.10M,293.70M,,-0.30M
1998-12,78.50M,,,,,,,15.10M,15.10M,,,84.50M,-355.60M,,332.20M,,-136.10M,,-155.10M,23.00M,-135.40M,,-135.40M,,-1.862B,1.956B,-42.20M,,,,3.70M,-1.00M,2.70M,,,,,-4.70M,,7.70M,5.70M,32.10M,-13.50M,,18.60M,3.70M,,,-1.00M
1998-09,135.10M,,,,,,,13.80M,13.80M,,,575.70M,80.20M,,-282.40M,-16.50M,-282.40M,,-506.10M,218.50M,44.40M,,44.40M,,-49.00M,-168.40M,-173.00M,,,,-6.70M,-41.10M,-47.80M,,,,,-4.70M,,17.90M,-34.60M,,10.90M,,32.10M,-6.70M,,,-41.10M
1998-06,123.00M,,,,,,,14.30M,14.30M,,,-729.30M,15.60M,,381.00M,15.60M,381.00M,,774.90M,182.90M,-44.30M,,-44.30M,,-165.10M,32.20M,-177.20M,,,,6.50M,0.00,6.50M,,,,,-4.40M,,,2.10M,,7.80M,,,6.50M,,,0.00
