,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,90.10M,40.98B,41.07B,12.56B,,12.56B,463.40M,54.10B,1.182B,452.70M,185.50M,638.20M,45.76B,,48.33B,62.89B,5.406B,,,5.406B,5.406B,499.70M,,499.70M,499.70M,5.906B,4.896B,4.896B,213.90M,213.90M,19.59B,14.20B,0.00,38.90B,44.80B,1.080B,14.43B,1.629B,,493.90M,,,950.60M,950.60M,18.09B
2020-06,108.00M,39.43B,39.53B,11.21B,,11.21B,361.30M,51.11B,1.190B,452.70M,199.70M,652.40M,43.78B,,46.38B,59.41B,5.576B,,,5.576B,5.576B,499.60M,,499.60M,499.60M,6.076B,4.895B,4.895B,197.10M,197.10M,18.51B,13.06B,0.00,36.66B,42.74B,1.079B,13.00B,1.614B,,493.90M,,,975.00M,975.00M,16.67B
2020-03,369.50M,36.80B,37.17B,7.568B,,7.568B,438.20M,45.18B,1.215B,452.70M,213.80M,666.50M,40.34B,34.60M,42.95B,56.27B,5.346B,,,5.346B,5.346B,499.50M,,499.50M,499.50M,5.846B,4.894B,4.894B,,,18.31B,12.64B,225.60M,36.07B,41.91B,1.079B,11.27B,1.602B,,493.90M,,,404.20M,404.20M,14.35B
2019-12,226.20M,34.91B,35.14B,7.507B,,7.507B,626.50M,43.27B,1.214B,452.70M,228.30M,681.00M,39.25B,0.00,41.92B,54.90B,5.963B,,,5.963B,5.963B,499.40M,,499.40M,499.40M,6.462B,3.908B,3.908B,132.50M,132.50M,18.11B,12.39B,225.60M,34.76B,41.22B,1.078B,10.68B,1.573B,,493.90M,,,341.70M,341.70M,13.67B
2019-09,45.90M,34.28B,34.33B,7.687B,,7.687B,458.80M,42.47B,1.214B,452.70M,242.90M,695.60M,38.57B,0.00,41.24B,54.01B,5.223B,,,5.223B,5.223B,499.30M,,499.30M,499.30M,5.722B,3.907B,3.907B,136.00M,136.00M,17.37B,12.53B,222.90M,34.16B,39.88B,1.078B,11.00B,1.539B,,493.90M,,,510.50M,510.50M,14.12B
2019-06,91.90M,32.55B,32.64B,7.167B,,7.167B,338.00M,40.15B,1.175B,452.70M,258.70M,711.40M,36.81B,0.00,39.44B,51.32B,4.868B,,,4.868B,4.868B,499.20M,,499.20M,499.20M,5.367B,3.907B,3.907B,134.50M,134.50M,16.57B,11.80B,220.10M,32.63B,37.99B,1.078B,10.28B,1.523B,,493.90M,,,453.10M,453.10M,13.33B
2019-03,158.00M,30.41B,30.56B,7.190B,,7.190B,446.70M,38.20B,1.127B,452.70M,276.70M,729.40M,34.51B,0.00,37.04B,48.85B,4.594B,,,4.594B,4.594B,,,,,4.594B,4.405B,4.405B,38.50M,38.50M,15.88B,11.60B,221.20M,32.15B,36.74B,1.078B,9.358B,1.497B,,493.90M,,,178.10M,178.10M,12.11B
2018-12,69.50M,29.91B,29.98B,6.497B,,6.497B,309.70M,36.78B,1.132B,452.70M,294.60M,747.30M,33.57B,43.20M,35.81B,46.58B,5.046B,,,5.046B,5.046B,499.10M,,499.10M,499.10M,5.546B,3.906B,3.906B,,,15.40B,10.69B,214.50M,30.21B,35.75B,1.077B,8.387B,1.479B,,493.90M,,,-120.90M,-120.90M,10.82B
2018-09,121.90M,28.45B,28.57B,6.777B,,6.777B,379.60M,35.73B,1.139B,452.70M,312.60M,765.30M,32.35B,,34.65B,45.54B,3.924B,,,3.924B,3.924B,,,,,3.924B,3.860B,3.860B,53.50M,53.50M,14.62B,11.01B,217.40M,29.76B,33.68B,1.077B,9.602B,1.443B,,493.90M,-249.90M,0.00,-13.80M,-263.70M,11.86B
2018-06,154.80M,27.02B,27.18B,6.230B,,6.230B,289.80M,33.70B,1.116B,452.70M,330.60M,783.30M,30.92B,,33.23B,43.36B,3.922B,,,3.922B,3.922B,,,,,3.922B,3.860B,3.860B,46.00M,46.00M,14.07B,10.25B,218.20M,28.44B,32.36B,1.076B,8.720B,1.426B,,493.90M,-210.90M,0.00,-11.00M,-221.90M,11.00B
2018-03,190.10M,25.47B,25.66B,6.044B,,6.044B,342.80M,32.05B,1.112B,452.70M,348.60M,801.30M,29.25B,,31.53B,41.33B,3.414B,,,3.414B,3.414B,,,,,3.414B,3.859B,3.859B,53.20M,53.20M,13.33B,9.838B,514.20M,27.59B,31.01B,1.076B,8.018B,1.402B,,493.90M,-160.80M,0.00,-11.80M,-172.60M,10.32B
2017-12,265.00M,23.07B,23.34B,5.422B,,5.422B,203.30M,28.96B,1.120B,452.70M,366.60M,819.30M,27.27B,0.00,29.63B,38.70B,3.481B,,,3.481B,3.481B,3.269B,,3.269B,3.269B,6.750B,37.10M,37.10M,135.00M,135.00M,13.09B,8.904B,503.70M,22.67B,29.42B,581.70M,6.032B,1.389B,,,1.295B,,-12.80M,1.282B,9.285B
2017-09,224.90M,22.97B,23.20B,5.520B,,5.520B,211.70M,28.93B,1.129B,452.70M,384.60M,837.30M,26.99B,,29.35B,38.93B,3.273B,0.00,,3.273B,3.273B,,,,,3.273B,3.312B,3.312B,201.50M,201.50M,13.35B,9.005B,498.20M,26.37B,29.64B,581.60M,6.116B,1.365B,,,1.240B,-0.30M,-13.60M,1.226B,9.289B
2017-06,161.00M,22.12B,22.28B,5.091B,,5.091B,212.60M,27.58B,1.152B,452.70M,401.80M,854.50M,25.98B,,28.36B,36.69B,3.153B,0.00,,3.153B,3.153B,,,,,3.153B,3.383B,3.383B,191.80M,191.80M,12.06B,8.408B,501.80M,24.55B,27.70B,581.00M,5.909B,1.351B,,,1.165B,-0.90M,-13.00M,1.151B,8.992B
2017-03,214.50M,20.52B,20.73B,4.851B,,4.851B,182.70M,25.76B,1.166B,449.40M,417.30M,866.70M,24.30B,,26.83B,34.81B,2.939B,0.00,,2.939B,2.939B,,,,,2.939B,3.112B,3.112B,168.40M,168.40M,11.63B,7.945B,494.20M,23.35B,26.29B,580.90M,5.543B,1.331B,,,1.072B,-0.80M,-3.70M,1.068B,8.523B
2016-12,211.50M,19.82B,20.03B,4.509B,,4.509B,170.50M,24.71B,1.177B,449.40M,432.80M,882.20M,23.48B,,25.88B,33.43B,2.496B,395.40M,,2.891B,2.891B,,,,,2.891B,3.148B,3.148B,111.30M,111.30M,11.37B,7.468B,483.70M,22.58B,25.47B,579.90M,5.140B,1.303B,,,939.60M,-1.10M,-5.10M,933.40M,7.957B
2016-09,143.40M,19.79B,19.94B,4.744B,,4.744B,174.40M,24.85B,1.115B,449.40M,448.30M,897.70M,23.52B,,25.86B,33.62B,2.722B,0.00,,2.722B,2.722B,2.426B,,2.426B,2.426B,5.149B,727.50M,727.50M,156.90M,156.90M,11.23B,7.792B,472.50M,20.38B,25.53B,580.80M,5.183B,1.285B,,,1.057B,-0.80M,-10.30M,1.046B,8.095B
