,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.119B,,1.119B,643.00M,,,643.00M,66.00M,11.00M,77.00M,,,83.00M,1.922B,,,35.81B,-19.78B,16.03B,0.00,,0.00,467.00M,,,245.00M,16.74B,18.66B,,2020-09,72.00M,847.00M,,847.00M,,,,500.00M,500.00M,,,219.00M,1.566B,236.00M,5.405B,5.405B,184.00M,382.00M,,182.00M,,,7.771B,,2020-09,937.00M,6.828B,,57.00M,10.89B,,2020-09,AOR,
2020-06,522.00M,,522.00M,620.00M,,,620.00M,68.00M,9.00M,77.00M,,,107.00M,1.405B,,,35.64B,-19.22B,16.42B,0.00,,0.00,476.00M,,,262.00M,17.16B,18.57B,,2020-06,76.00M,849.00M,,849.00M,,,,,,,,216.00M,1.065B,242.00M,5.503B,5.503B,171.00M,388.00M,,194.00M,,,7.392B,,2020-06,937.00M,7.145B,,37.00M,11.18B,,2020-06,AOR,
2020-03,817.00M,,817.00M,703.00M,,,703.00M,66.00M,12.00M,78.00M,,,118.00M,1.909B,,,35.54B,-18.64B,16.90B,0.00,,0.00,628.00M,,,275.00M,17.81B,19.72B,,2020-03,68.00M,1.244B,,1.244B,,,,,,,,198.00M,1.442B,236.00M,5.502B,5.502B,185.00M,405.00M,,172.00M,,,7.757B,,2020-03,937.00M,7.895B,,83.00M,11.96B,,2020-03,AOR,
2019-12,858.00M,,858.00M,1.122B,,,1.122B,62.00M,10.00M,72.00M,,,83.00M,2.135B,,,35.00B,-18.00B,17.00B,95.00M,,95.00M,663.00M,,,352.00M,18.11B,20.24B,,2019-12,112.00M,1.537B,,1.537B,,,,,,,,208.00M,1.745B,243.00M,5.501B,5.501B,186.00M,420.00M,,183.00M,,,8.092B,,2019-12,937.00M,7.993B,,105.00M,12.15B,,2019-12,AOR,
2019-09,1.165B,,1.165B,1.148B,,,1.148B,62.00M,9.00M,71.00M,,,136.00M,2.52B,,,34.08B,-17.37B,16.72B,95.00M,,95.00M,667.00M,,,374.00M,17.85B,20.37B,,2019-09,92.00M,1.552B,,1.552B,,,,600.00M,600.00M,,,227.00M,2.379B,198.00M,4.903B,4.903B,183.00M,448.00M,,174.00M,,,8.102B,,2019-09,937.00M,8.053B,,112.00M,12.27B,,2019-09,AOR,Restated
2019-06,961.00M,,961.00M,1.144B,,,1.144B,63.00M,9.00M,72.00M,,,101.00M,2.688B,,,33.99B,-17.26B,16.73B,95.00M,,95.00M,684.00M,,,1.085B,18.59B,21.28B,,2019-06,88.00M,1.566B,,1.566B,,,,600.00M,600.00M,,,305.00M,2.471B,189.00M,4.902B,4.902B,184.00M,476.00M,,179.00M,,,9.181B,,2019-06,937.00M,7.928B,,50.00M,12.10B,,2019-06,AOR,Restated
2019-03,1.019B,,1.019B,1.086B,,,1.086B,71.00M,12.00M,83.00M,,,160.00M,2.776B,,,34.38B,-17.67B,16.71B,97.00M,,97.00M,719.00M,,,1.104B,18.63B,21.41B,,2019-03,76.00M,1.535B,,1.535B,,,,,,,,323.00M,1.858B,192.00M,5.501B,5.501B,192.00M,509.00M,,179.00M,,,9.202B,,2019-03,937.00M,7.808B,,59.00M,12.21B,,2019-03,AOR,Restated
2018-12,1.462B,,1.462B,1.079B,,,1.079B,85.00M,11.00M,96.00M,,,257.00M,2.921B,,,38.63B,-21.83B,16.80B,97.00M,,97.00M,745.00M,,,754.00M,18.40B,21.32B,,2018-12,154.00M,1.655B,,1.655B,,,,,,,,177.00M,1.832B,1.081B,5.499B,5.499B,199.00M,478.00M,,195.00M,,,9.193B,,2018-12,937.00M,7.706B,,63.00M,12.13B,,2018-12,AOR,Restated
2018-09,1.564B,,1.564B,1.335B,0.00,,1.335B,99.00M,11.00M,110.00M,,,31.00M,3.065B,,,39.26B,-22.36B,16.90B,97.00M,,97.00M,757.00M,,,960.00M,18.71B,21.78B,,2018-09,127.00M,1.734B,,1.734B,,,,,,,,408.00M,2.142B,1.243B,5.498B,5.498B,215.00M,555.00M,,286.00M,,,9.734B,,2018-09,937.00M,7.357B,,-21.00M,12.04B,,2018-09,AOR,Restated
2018-06,1.667B,,1.667B,1.176B,,,1.176B,106.00M,11.00M,117.00M,,,92.00M,3.087B,,,39.22B,-22.34B,16.88B,98.00M,,98.00M,788.00M,,,1.017B,18.78B,21.87B,,2018-06,109.00M,1.636B,,1.636B,,,,,,,,408.00M,2.044B,1.364B,5.497B,5.497B,237.00M,431.00M,,311.00M,,,9.739B,,2018-06,937.00M,7.146B,,-41.00M,12.13B,,2018-06,AOR,Restated
