,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,761.00M,761.00M,866.00M,-105.00M,53.00M,53.00M,1.00M,0.00,49.00M,,-62.00M,27.00M,129.00M,-234.00M,,-62.00M,-14.00M,-62.00M,-310.00M,7.00M,-317.00M,,,,,320.00M,554.00M,-234.00M,,2020-09,,,-0.3991,-0.40,,,,,,2020-09,790.00M,790.00M,0.00,,2020-09,AOR,
2020-06,490.00M,490.00M,831.00M,-341.00M,88.00M,88.00M,0.00,-2.00M,30.00M,,-69.00M,26.00M,144.00M,-485.00M,,-69.00M,-211.00M,-69.00M,-765.00M,-15.00M,-750.00M,,,,,112.00M,597.00M,-485.00M,,2020-06,,,-0.8607,-0.95,,,,,,2020-06,790.00M,790.00M,0.00,,2020-06,AOR,
2020-03,1.024B,1.024B,948.00M,76.00M,76.00M,76.00M,97.00M,-88.00M,66.00M,,-64.00M,28.00M,170.00M,-94.00M,,-64.00M,109.00M,-64.00M,-49.00M,-3.00M,-46.00M,,,,,550.00M,644.00M,-94.00M,,2020-03,,,-0.1950,-0.06,,,,,,2020-03,794.00M,794.00M,0.05,,2020-03,AOR,
2019-12,1.233B,1.233B,928.00M,305.00M,93.00M,93.00M,0.00,-9.00M,79.00M,,-78.00M,42.00M,214.00M,91.00M,,-78.00M,-16.00M,-78.00M,-3.00M,17.00M,-20.00M,,,,,846.00M,616.00M,230.00M,,2019-12,,,0.0195,-0.0251,,,,,,2019-12,801.00M,801.00M,0.05,,2019-12,AOR,
2019-09,1.249B,1.249B,923.00M,326.00M,82.00M,82.00M,0.00,22.00M,81.00M,,-64.00M,22.00M,185.00M,141.00M,,-64.00M,98.00M,-64.00M,175.00M,10.00M,165.00M,,,,,763.00M,622.00M,141.00M,,2019-09,,,0.1291,0.21,,,,,,2019-09,802.00M,803.00M,0.05,,2019-09,AOR,Restated
2019-06,1.381B,1.381B,968.00M,413.00M,87.00M,87.00M,18.00M,-26.00M,79.00M,,-64.00M,26.00M,192.00M,221.00M,,-64.00M,36.00M,-64.00M,193.00M,32.00M,161.00M,,,,,826.00M,605.00M,221.00M,,2019-06,,,0.2102,0.20,,,,,,2019-06,813.00M,814.00M,0.05,,2019-06,AOR,Restated
2019-03,1.20B,1.20B,895.00M,305.00M,94.00M,94.00M,6.00M,36.00M,72.00M,,-49.00M,59.00M,225.00M,80.00M,,-49.00M,-4.00M,-49.00M,27.00M,-147.00M,174.00M,,,,,634.00M,554.00M,80.00M,,2019-03,,,0.2590,0.21,,,,,,2019-03,819.00M,820.00M,0.05,,2019-03,AOR,Restated
2018-12,1.38B,1.38B,985.00M,395.00M,88.00M,88.00M,25.00M,-29.00M,84.00M,,-80.00M,116.00M,288.00M,107.00M,,-80.00M,379.00M,-80.00M,406.00M,16.00M,390.00M,,,,,1.365B,613.00M,752.00M,,2018-12,,,0.1398,0.4762,,0.00,,,,2018-12,828.00M,829.00M,0.05,,2018-12,AOR,Restated
2018-09,1.538B,1.538B,993.00M,545.00M,101.00M,101.00M,8.00M,8.00M,86.00M,,-58.00M,56.00M,243.00M,302.00M,,-58.00M,113.00M,-58.00M,357.00M,103.00M,254.00M,,,,,928.00M,626.00M,302.00M,,2018-09,,,0.3519,0.30,,,,,,2018-09,848.00M,849.00M,0.05,,2018-09,AOR,Restated
2018-06,1.447B,1.447B,943.00M,504.00M,105.00M,105.00M,34.00M,16.00M,65.00M,,-65.00M,65.00M,235.00M,269.00M,,-65.00M,-64.00M,-65.00M,140.00M,44.00M,96.00M,,,,,881.00M,612.00M,269.00M,,2018-06,,,0.2199,0.11,,,,,,2018-06,854.00M,855.00M,0.05,,2018-06,AOR,Restated
2018-03,1.537B,1.537B,937.00M,600.00M,100.00M,100.00M,8.00M,249.00M,64.00M,,-45.00M,52.00M,216.00M,384.00M,,-45.00M,185.00M,-45.00M,524.00M,168.00M,356.00M,,,,,974.00M,590.00M,384.00M,,2018-03,,,0.3025,0.42,,,,,,2018-03,851.00M,852.00M,0.05,,2018-03,AOR,Restated
2017-12,1.381B,1.381B,940.00M,441.00M,95.00M,95.00M,24.00M,3.00M,55.00M,,-144.00M,57.00M,207.00M,234.00M,,-144.00M,42.00M,-144.00M,132.00M,160.00M,-28.00M,0.00,,,,981.00M,583.00M,398.00M,,2017-12,,,0.0285,-0.0329,,0.00,,,,2017-12,850.00M,850.00M,0.05,,2017-12,AOR,Restated
2017-09,1.184B,1.184B,996.00M,188.00M,89.00M,89.00M,201.00M,-228.00M,44.00M,,-35.00M,294.00M,427.00M,-239.00M,,-35.00M,-184.00M,-35.00M,-458.00M,141.00M,-599.00M,0.00,,,,402.00M,641.00M,-239.00M,,2017-09,,,-0.5235,-0.70,,0.00,,,,2017-09,850.00M,850.00M,0.05,,2017-09,AOR,Restated
2017-06,937.00M,937.00M,919.00M,18.00M,90.00M,90.00M,,6.00M,45.00M,,-86.00M,30.00M,165.00M,-147.00M,,-86.00M,121.00M,-86.00M,-112.00M,41.00M,-153.00M,14.00M,,,,445.00M,592.00M,-147.00M,,2017-06,,,-0.2260,-0.16,,0.02,,,,2017-06,850.00M,850.00M,0.05,,2017-06,AOR,Restated
2017-03,907.00M,907.00M,832.00M,75.00M,97.00M,97.00M,4.00M,-3.00M,39.00M,,-78.00M,28.00M,164.00M,-89.00M,,-78.00M,151.00M,-78.00M,-16.00M,34.00M,-50.00M,-4.907B,,,,467.00M,556.00M,-89.00M,,2017-03,,,-0.1151,-5.84,,-5.78,,,,2017-03,849.00M,849.00M,0.05,,2017-03,AOR,Restated
2016-12,1.002B,1.002B,916.00M,86.00M,-15.00M,-15.00M,19.00M,89.00M,38.00M,,-110.00M,34.00M,57.00M,29.00M,,-110.00M,35.00M,-110.00M,-46.00M,1.337B,-1.383B,12.00M,,,,1.032B,573.00M,459.00M,,2016-12,,,-1.682,-1.619,,0.02,,,,2016-12,849.00M,849.00M,0.05,,2016-12,AOR,Restated
2016-09,861.00M,861.00M,945.00M,-84.00M,104.00M,104.00M,47.00M,0.00,35.00M,,-89.00M,83.00M,222.00M,-306.00M,,-89.00M,82.00M,-89.00M,-313.00M,-107.00M,-206.00M,14.00M,,,,216.00M,522.00M,-306.00M,,2016-09,,,-0.24,-0.23,,0.01,,,,2016-09,847.00M,847.00M,0.05,,2016-09,AOR,Restated
2016-06,761.00M,761.00M,859.00M,-98.00M,131.00M,131.00M,0.00,294.00M,35.00M,,-88.00M,182.00M,348.00M,-446.00M,,-88.00M,342.00M,-88.00M,-192.00M,-54.00M,-138.00M,-32.00M,,,,66.00M,512.00M,-446.00M,,2016-06,,,-0.4096,-0.20,,-0.04,,,,2016-06,848.00M,848.00M,0.05,,2016-06,AOR,Restated
2016-03,612.00M,612.00M,885.00M,-273.00M,151.00M,151.00M,1.00M,-61.00M,43.00M,,-79.00M,24.00M,218.00M,-491.00M,,-79.00M,-43.00M,-79.00M,-613.00M,-253.00M,-360.00M,-47.00M,,,,58.00M,549.00M,-491.00M,,2016-03,,,-0.4399,-0.56,,-0.07,,,,2016-03,730.00M,730.00M,0.05,,2016-03,AOR,Restated
2015-12,277.00M,277.00M,269.00M,8.00M,124.00M,124.00M,340.00M,-112.00M,25.00M,,-142.00M,185.00M,334.00M,-326.00M,,-142.00M,-14.00M,-142.00M,-482.00M,-192.00M,-290.00M,,,,,-252.00M,432.00M,-684.00M,,2015-12,,,-1.070,-1.17,,0.00,,,,2015-12,677.00M,677.00M,0.05,,2015-12,AOR,Restated
2015-09,1.384B,1.384B,1.30B,84.00M,125.00M,125.00M,337.00M,-446.00M,46.00M,,-75.00M,585.00M,756.00M,-672.00M,,-75.00M,-398.00M,-75.00M,-1.145B,-396.00M,-749.00M,,,,,45.00M,717.00M,-672.00M,,2015-09,,,-0.6818,-1.11,,,,,,2015-09,677.00M,677.00M,0.21,,2015-09,AOR,Restated
2015-06,1.49B,1.49B,1.464B,26.00M,168.00M,168.00M,44.00M,-44.00M,78.00M,,-58.00M,111.00M,357.00M,-331.00M,,-58.00M,-3.00M,-58.00M,-392.00M,-6.00M,-386.00M,,,,,420.00M,751.00M,-331.00M,,2015-06,,,-0.5063,-0.57,,,,,,2015-06,677.00M,677.00M,0.21,,2015-06,AOR,Restated
2015-03,1.484B,1.484B,1.577B,-93.00M,171.00M,171.00M,0.00,1.00M,67.00M,,-47.00M,90.00M,328.00M,-421.00M,,-47.00M,48.00M,-47.00M,-420.00M,-144.00M,-276.00M,,,,,400.00M,821.00M,-421.00M,,2015-03,,,-0.4110,-0.41,,,,,,2015-03,675.00M,675.00M,0.21,,2015-03,AOR,Restated
2014-12,2.398B,2.398B,1.904B,494.00M,168.00M,168.00M,2.00M,-4.00M,87.00M,,-102.00M,479.00M,734.00M,-240.00M,,-102.00M,141.00M,-102.00M,-201.00M,-108.00M,-93.00M,1.019B,,,,892.00M,801.00M,91.00M,,2014-12,,,-0.1362,1.37,,1.51,,,,2014-12,677.00M,680.00M,0.21,,2014-12,AOR,Restated
2014-09,2.87B,2.87B,1.983B,887.00M,160.00M,160.00M,109.00M,-112.00M,115.00M,,-55.00M,96.00M,371.00M,516.00M,,-55.00M,-8.00M,-55.00M,453.00M,149.00M,304.00M,127.00M,,,,1.253B,737.00M,516.00M,,2014-09,,,0.5612,0.64,,0.19,,,,2014-09,675.00M,678.00M,0.21,,2014-09,AOR,Restated
2014-06,2.888B,2.888B,1.957B,931.00M,139.00M,139.00M,4.00M,-91.00M,109.00M,,-76.00M,145.00M,393.00M,538.00M,,-76.00M,49.00M,-76.00M,511.00M,151.00M,360.00M,180.00M,,,,1.218B,680.00M,538.00M,,2014-06,,,0.6242,0.80,,0.27,,,,2014-06,676.00M,679.00M,0.19,,2014-06,AOR,Restated
2014-03,2.69B,2.69B,1.83B,860.00M,187.00M,187.00M,17.00M,-15.00M,95.00M,,-49.00M,73.00M,355.00M,505.00M,,-49.00M,142.00M,-49.00M,598.00M,200.00M,398.00M,751.00M,,,,1.148B,643.00M,505.00M,,2014-03,,,0.5945,1.66,,1.08,,,,2014-03,693.00M,696.00M,0.19,,2014-03,AOR,Restated
2013-12,2.435B,2.435B,1.709B,726.00M,194.00M,194.00M,47.00M,-72.00M,81.00M,,-91.00M,226.00M,501.00M,225.00M,,-91.00M,92.00M,-91.00M,226.00M,90.00M,136.00M,239.00M,,,,1.202B,586.00M,616.00M,,2013-12,,,0.4923,0.54,,0.11,,,,2013-12,696.00M,700.00M,0.19,,2013-12,AOR,Restated
2013-09,3.00B,3.00B,1.975B,1.025B,143.00M,143.00M,11.00M,-17.00M,89.00M,,-71.00M,83.00M,315.00M,710.00M,,-71.00M,116.00M,-71.00M,755.00M,359.00M,396.00M,173.00M,,,,1.367B,657.00M,710.00M,,2013-09,,,0.5756,0.80,,0.24,,,,2013-09,707.00M,711.00M,0.19,,2013-09,AOR,Restated
2013-06,3.01B,3.01B,1.742B,1.268B,159.00M,159.00M,0.00,-107.00M,93.00M,,-67.00M,125.00M,377.00M,891.00M,,-67.00M,-20.00M,-67.00M,804.00M,563.00M,241.00M,185.00M,,,,1.428B,537.00M,891.00M,,2013-06,,,0.4380,0.60,,0.26,,,,2013-06,710.00M,714.00M,0.17,,2013-06,AOR,Restated
2013-03,3.784B,3.784B,1.824B,1.96B,172.00M,172.00M,38.00M,71.00M,84.00M,,-72.00M,463.00M,719.00M,1.241B,,-72.00M,198.00M,-72.00M,1.367B,987.00M,380.00M,3.00M,,,,1.961B,720.00M,1.241B,,2013-03,,,0.4748,0.54,,0.00,,,,2013-03,708.00M,712.00M,0.17,,2013-03,AOR,Restated
2012-12,405.00M,405.00M,1.276B,-871.00M,177.00M,177.00M,100.00M,-99.00M,65.00M,,-60.00M,208.00M,450.00M,-1.321B,,-60.00M,-6.00M,-60.00M,-1.387B,-983.00M,-404.00M,,,,,-933.00M,229.00M,-1.162B,,2012-12,,,0.5508,0.46,,0.00,,,,2012-12,709.00M,713.00M,0.17,,2012-12,AOR,Restated
2012-09,4.036B,4.036B,1.967B,2.069B,179.00M,179.00M,8.00M,-20.00M,55.00M,,-53.00M,170.00M,404.00M,1.665B,,-53.00M,117.00M,-53.00M,1.729B,1.279B,450.00M,,,,,2.29B,625.00M,1.665B,,2012-09,,,0.6584,0.64,,,,,,2012-09,706.00M,709.00M,0.17,,2012-09,AOR,Restated
2012-06,3.732B,3.732B,1.927B,1.805B,154.00M,154.00M,1.00M,-29.00M,55.00M,,-57.00M,172.00M,381.00M,1.424B,,-57.00M,51.00M,-57.00M,1.418B,1.025B,393.00M,,,,,2.004B,580.00M,1.424B,,2012-06,,,0.5867,0.56,,,,,,2012-06,706.00M,709.00M,0.17,,2012-06,AOR,Restated
2012-03,3.793B,3.793B,2.022B,1.771B,159.00M,159.00M,262.00M,-96.00M,68.00M,,-50.00M,135.00M,362.00M,1.409B,,-50.00M,-15.00M,-50.00M,1.344B,927.00M,417.00M,,,,,1.983B,574.00M,1.409B,,2012-03,,,0.6784,0.59,,,,,,2012-03,706.00M,710.00M,0.17,,2012-03,AOR,Restated
2011-12,3.619B,3.556B,3.286B,270.00M,,292.00M,,93.00M,23.00M,63.00M,-51.00M,,-760.00M,1.03B,63.00M,-51.00M,256.00M,-51.00M,1.235B,675.00M,560.00M,-11.00M,,,,1.845B,547.00M,1.298B,,2011-12,,,0.6941,0.78,,0.00,,,,2011-12,704.00M,708.00M,0.15,,2011-12,AOR,Restated
2011-09,3.663B,3.676B,1.786B,1.89B,,104.00M,,0.00,59.00M,30.00M,-30.00M,,680.00M,1.21B,30.00M,-30.00M,123.00M,-30.00M,1.303B,898.00M,405.00M,0.00,,,,1.85B,517.00M,1.333B,,2011-09,,,0.64,0.64,,0.00,,,,2011-09,711.00M,714.00M,0.15,,2011-09,AOR,Restated
