,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,4.688B,4.688B,2.558B,2.13B,131.00M,156.00M,287.00M,560.00M,,,59.00M,19.00M,-40.00M,,847.00M,1.283B,19.00M,59.00M,-40.00M,,-40.00M,1.243B,112.00M,1.131B,,1.131B,1.399B,97.00M,1.302B,,,,1.24,1.24,,,,1.23,2020-10,916.00M,920.00M,0.22,,2020-10,AOR,
2020-07,4.395B,4.395B,2.44B,1.955B,130.00M,145.00M,275.00M,572.00M,,,61.00M,,-61.00M,,847.00M,1.108B,,61.00M,-61.00M,-7.00M,-61.00M,1.04B,199.00M,841.00M,,841.00M,1.195B,94.00M,1.101B,,,,0.92,0.92,,,,0.91,2020-07,915.00M,922.00M,0.22,,2020-07,AOR,
2020-04,3.957B,3.957B,2.208B,1.749B,130.00M,137.00M,267.00M,550.00M,,,61.00M,7.00M,-54.00M,,817.00M,932.00M,7.00M,61.00M,-54.00M,,-54.00M,878.00M,123.00M,755.00M,,755.00M,1.03B,91.00M,939.00M,,,,0.82,0.82,,,,0.82,2020-04,917.00M,923.00M,0.21,,2020-04,AOR,
2020-01,4.162B,4.162B,2.304B,1.858B,135.00M,129.00M,264.00M,552.00M,,,59.00M,22.00M,-37.00M,,816.00M,1.042B,22.00M,59.00M,-37.00M,,-37.00M,1.005B,113.00M,892.00M,,892.00M,1.158B,94.00M,1.064B,,,,0.97,0.97,,,,0.96,2020-01,916.00M,927.00M,0.21,,2020-01,AOR,
2019-10,3.754B,3.754B,2.12B,1.634B,129.00M,126.00M,255.00M,515.00M,,,59.00M,35.00M,-24.00M,,770.00M,864.00M,35.00M,59.00M,-24.00M,,-24.00M,840.00M,142.00M,698.00M,,698.00M,991.00M,92.00M,899.00M,,,,0.76,0.76,,,,0.75,2019-10,919.00M,930.00M,0.21,,2019-10,AOR,Restated
2019-07,3.562B,3.562B,2.005B,1.557B,128.00M,112.00M,240.00M,515.00M,,,58.00M,38.00M,-20.00M,,755.00M,802.00M,38.00M,58.00M,-20.00M,,-20.00M,782.00M,211.00M,571.00M,,571.00M,929.00M,89.00M,840.00M,,,,0.61,0.61,,,,0.61,2019-07,929.00M,937.00M,0.21,,2019-07,AOR,Restated
2019-04,3.539B,3.539B,2.009B,1.53B,133.00M,113.00M,246.00M,508.00M,,,60.00M,43.00M,-17.00M,,754.00M,776.00M,43.00M,60.00M,-17.00M,,-17.00M,759.00M,93.00M,666.00M,,666.00M,913.00M,94.00M,819.00M,,,,0.71,0.71,,,,0.70,2019-04,942.00M,948.00M,0.20,,2019-04,AOR,Restated
2019-01,3.753B,3.753B,2.088B,1.665B,131.00M,110.00M,241.00M,516.00M,,,60.00M,40.00M,-20.00M,,757.00M,908.00M,40.00M,60.00M,-20.00M,,-20.00M,888.00M,117.00M,771.00M,,771.00M,1.036B,88.00M,948.00M,,,,0.81,0.81,,,,0.80,2019-01,957.00M,965.00M,0.20,,2019-01,AOR,Restated
2018-10,3.759B,3.759B,2.102B,1.657B,127.00M,120.00M,247.00M,519.00M,,,60.00M,44.00M,-16.00M,,766.00M,891.00M,44.00M,60.00M,-16.00M,,-16.00M,875.00M,118.00M,757.00M,,757.00M,1.055B,120.00M,935.00M,,,,0.90,0.90,,,,0.89,2018-10,974.00M,987.00M,0.20,,2018-10,AOR,Restated
2018-07,4.162B,4.162B,2.298B,1.864B,138.00M,128.00M,266.00M,505.00M,,,59.00M,43.00M,-16.00M,,771.00M,1.093B,43.00M,59.00M,-16.00M,,-16.00M,1.077B,61.00M,1.016B,,1.016B,1.246B,110.00M,1.136B,,,,1.02,1.02,,,,1.01,2018-07,994.00M,1.005B,0.20,,2018-07,AOR,Restated
2018-04,4.579B,4.579B,2.523B,2.056B,130.00M,125.00M,255.00M,509.00M,,,56.00M,25.00M,-31.00M,,764.00M,1.292B,25.00M,56.00M,-31.00M,,-31.00M,1.261B,161.00M,1.10B,,1.10B,1.425B,108.00M,1.317B,,,,1.07,1.07,,,,1.06,2018-04,1.029B,1.04B,0.10,,2018-04,AOR,Restated
2018-01,4.205B,4.205B,2.265B,1.94B,126.00M,110.00M,236.00M,489.00M,,,59.00M,27.00M,-32.00M,,725.00M,1.215B,27.00M,59.00M,-32.00M,,-32.00M,1.183B,1.018B,165.00M,,165.00M,1.361B,119.00M,1.242B,,,,0.16,0.16,,,,0.15,2018-01,1.056B,1.071B,0.10,,2018-01,AOR,Restated
2017-10,4.13B,4.13B,2.263B,1.867B,106.00M,122.00M,228.00M,473.00M,,,57.00M,50.00M,-7.00M,,701.00M,1.166B,50.00M,57.00M,-7.00M,,-7.00M,1.159B,92.00M,1.067B,,1.067B,1.321B,105.00M,1.216B,,,,0.92,0.92,,,,0.91,2017-10,1.064B,1.075B,0.10,,2017-10,AOR,Restated
2017-07,3.744B,3.744B,2.044B,1.70B,117.00M,106.00M,223.00M,454.00M,,,59.00M,14.00M,-45.00M,,677.00M,1.023B,14.00M,59.00M,-45.00M,,-45.00M,978.00M,53.00M,925.00M,,925.00M,1.139B,102.00M,1.037B,,,,0.86,0.86,,,,0.85,2017-07,1.071B,1.083B,0.10,,2017-07,AOR,Restated
2017-04,3.546B,3.546B,1.946B,1.60B,116.00M,107.00M,223.00M,437.00M,,,44.00M,12.00M,-32.00M,,660.00M,940.00M,12.00M,44.00M,-32.00M,,-32.00M,908.00M,84.00M,824.00M,,824.00M,1.055B,103.00M,952.00M,,,,0.76,0.76,,,,0.76,2017-04,1.078B,1.087B,0.10,,2017-04,AOR,Restated
2017-01,3.278B,3.278B,1.833B,1.445B,118.00M,103.00M,221.00M,417.00M,,,38.00M,2.00M,-36.00M,,638.00M,807.00M,2.00M,38.00M,-36.00M,,-36.00M,771.00M,68.00M,703.00M,,703.00M,906.00M,97.00M,809.00M,,,,0.65,0.65,,,,0.65,2017-01,1.078B,1.089B,0.10,,2017-01,AOR,Restated
2016-10,3.297B,3.297B,1.898B,1.399B,114.00M,114.00M,228.00M,394.00M,,,38.00M,1.00M,-37.00M,,622.00M,777.00M,1.00M,38.00M,-37.00M,,-37.00M,740.00M,130.00M,610.00M,,610.00M,878.00M,100.00M,778.00M,,,,0.56,0.56,,,,0.56,2016-10,1.083B,1.095B,0.10,,2016-10,AOR,Restated
2016-07,2.821B,2.821B,1.629B,1.192B,107.00M,103.00M,210.00M,386.00M,,,38.00M,6.00M,-32.00M,,596.00M,596.00M,6.00M,38.00M,-32.00M,,-32.00M,564.00M,59.00M,505.00M,,505.00M,699.00M,97.00M,602.00M,,,,0.47,0.47,,,,0.46,2016-07,1.083B,1.093B,0.10,,2016-07,AOR,Restated
2016-04,2.45B,2.45B,1.446B,1.004B,102.00M,91.00M,193.00M,386.00M,,,37.00M,7.00M,-30.00M,,579.00M,425.00M,7.00M,37.00M,-30.00M,,-30.00M,395.00M,75.00M,320.00M,,320.00M,528.00M,96.00M,432.00M,,,,0.29,0.29,,,,0.29,2016-04,1.113B,1.119B,0.10,,2016-04,AOR,Restated
2016-01,2.257B,2.257B,1.341B,916.00M,106.00M,82.00M,188.00M,374.00M,,,42.00M,2.00M,-40.00M,,562.00M,354.00M,2.00M,42.00M,-40.00M,,-40.00M,314.00M,28.00M,286.00M,,286.00M,452.00M,96.00M,356.00M,,,,0.25,0.25,,,,0.25,2016-01,1.146B,1.154B,0.10,,2016-01,AOR,Restated
2015-10,2.368B,2.368B,1.409B,959.00M,96.00M,77.00M,173.00M,363.00M,,,32.00M,6.00M,-26.00M,,536.00M,423.00M,6.00M,32.00M,-26.00M,0.00,-26.00M,397.00M,61.00M,336.00M,,336.00M,525.00M,96.00M,429.00M,,,,0.28,0.28,,,,0.28,2015-10,1.181B,1.19B,0.10,,2015-10,AOR,Restated
2015-07,2.49B,2.49B,1.472B,1.018B,112.00M,135.00M,247.00M,372.00M,,,24.00M,3.00M,-21.00M,,619.00M,399.00M,3.00M,24.00M,-21.00M,-3.00M,-21.00M,375.00M,46.00M,329.00M,,331.63M,492.00M,93.00M,399.00M,,,,0.2722,0.27,,,,0.2721,2015-07,1.221B,1.231B,0.10,,2015-07,AOR,Restated
2015-04,2.442B,2.442B,1.426B,1.016B,109.00M,140.00M,249.00M,365.00M,,,27.00M,,-27.00M,,614.00M,402.00M,,27.00M,-27.00M,14.00M,-27.00M,389.00M,25.00M,364.00M,,350.90M,506.00M,90.00M,416.00M,,,,0.2893,0.30,,,,0.2794,2015-04,1.23B,1.241B,0.10,,2015-04,AOR,Restated
2015-01,2.359B,2.359B,1.40B,959.00M,111.00M,117.00M,228.00M,351.00M,,,23.00M,2.00M,-21.00M,,579.00M,380.00M,2.00M,23.00M,-21.00M,78.00M,-21.00M,437.00M,89.00M,348.00M,,285.91M,552.00M,92.00M,460.00M,,,,0.2293,0.28,,,,0.2299,2015-01,1.224B,1.24B,0.10,,2015-01,AOR,Restated
2014-10,2.264B,2.264B,1.305B,959.00M,99.00M,127.00M,226.00M,360.00M,,,23.00M,9.00M,-14.00M,,586.00M,373.00M,9.00M,23.00M,-14.00M,39.00M,-14.00M,398.00M,142.00M,256.00M,,230.91M,515.00M,94.00M,421.00M,,,,0.2195,0.24,,,,0.2097,2014-10,1.221B,1.234B,0.10,,2014-10,AOR,Restated
2014-07,2.265B,2.265B,1.273B,992.00M,108.00M,126.00M,234.00M,357.00M,,,24.00M,3.00M,-21.00M,,591.00M,401.00M,3.00M,24.00M,-21.00M,-10.00M,-21.00M,370.00M,69.00M,301.00M,,309.14M,487.00M,93.00M,394.00M,,,,0.2567,0.25,,,,0.2466,2014-07,1.218B,1.233B,0.10,,2014-07,AOR,Restated
2014-04,2.353B,2.353B,1.352B,1.001B,107.00M,129.00M,236.00M,355.00M,,,23.00M,1.00M,-22.00M,,591.00M,410.00M,1.00M,23.00M,-22.00M,-23.00M,-22.00M,365.00M,103.00M,262.00M,,278.51M,482.00M,94.00M,388.00M,,,,0.2336,0.22,,,,0.2234,2014-04,1.216B,1.229B,0.10,,2014-04,AOR,Restated
2014-01,2.19B,2.19B,1.299B,891.00M,109.00M,120.00M,229.00M,356.00M,,,25.00M,10.00M,-15.00M,,585.00M,306.00M,10.00M,25.00M,-15.00M,24.00M,-15.00M,315.00M,62.00M,253.00M,,233.73M,434.00M,94.00M,340.00M,,,,0.1940,0.21,,,,0.1908,2014-01,1.206B,1.225B,0.10,,2014-01,AOR,Restated
