,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-10,1.136B,5.351B,387.00M,5.738B,2.963B,,3.125B,2.14B,624.00M,1.14B,,3.904B,602.00M,,,13.37B,0.00,256.00M,1.655B,646.00M,1.838B,237.00M,4.632B,-2.776B,1.856B,3.466B,153.00M,3.619B,1.538B,260.00M,8.984B,22.35B,,2020-10,1.124B,201.00M,255.00M,,1.58B,493.00M,2.073B,201.00M,,,,64.00M,64.00M,1.321B,1.321B,,,4.459B,5.643B,,,241.00M,226.00M,,2020-10,9.00M,27.21B,7.904B,24.24B,,,-299.00M,10.58B,,2020-10,AOR,
2020-07,1.01B,4.35B,406.00M,4.756B,2.806B,,2.965B,2.109B,662.00M,1.181B,,3.952B,575.00M,,,12.25B,0.00,255.00M,1.65B,633.00M,1.849B,152.00M,4.539B,-2.755B,1.784B,3.474B,157.00M,3.631B,1.538B,,8.923B,21.17B,,2020-07,1.118B,201.00M,101.00M,,1.42B,490.00M,1.91B,199.00M,,,,63.00M,63.00M,1.39B,1.39B,,,4.285B,5.643B,,,222.00M,215.00M,,2020-07,9.00M,26.28B,7.754B,24.20B,,,-277.00M,9.569B,,2020-07,AOR,
2020-04,1.029B,5.281B,423.00M,5.704B,2.625B,,2.749B,2.064B,686.00M,975.00M,,3.725B,557.00M,,,12.74B,0.00,255.00M,1.64B,615.00M,1.813B,130.00M,4.453B,-2.677B,1.776B,3.426B,132.00M,3.558B,1.678B,,9.08B,21.82B,,2020-04,1.062B,202.00M,182.00M,,1.446B,614.00M,2.06B,199.00M,,600.00M,600.00M,59.00M,659.00M,1.334B,1.334B,,,4.765B,6.40B,,,211.00M,177.00M,,2020-04,9.00M,25.64B,7.687B,24.00B,,,-315.00M,9.024B,,2020-04,AOR,
2020-01,1.37B,3.424B,536.00M,3.96B,2.679B,,2.796B,2.021B,619.00M,832.00M,,3.472B,541.00M,,,10.77B,0.00,256.00M,1.611B,619.00M,1.68B,152.00M,4.318B,-2.607B,1.711B,3.399B,142.00M,3.541B,1.713B,287.00M,8.998B,19.77B,,2020-01,1.043B,193.00M,215.00M,,1.451B,426.00M,1.877B,196.00M,,600.00M,600.00M,44.00M,644.00M,1.40B,1.40B,,,4.569B,4.83B,,,214.00M,196.00M,,2020-01,9.00M,25.08B,7.55B,23.80B,,,-188.00M,8.66B,,2020-01,AOR,
2019-10,1.071B,3.129B,489.00M,3.618B,2.533B,,2.629B,2.047B,575.00M,852.00M,,3.474B,485.00M,,,10.21B,0.00,254.00M,1.59B,602.00M,1.505B,120.00M,4.071B,-2.542B,1.529B,3.399B,156.00M,3.555B,1.703B,265.00M,8.818B,19.02B,,2019-10,958.00M,192.00M,215.00M,,1.365B,391.00M,1.756B,196.00M,,600.00M,600.00M,0.00,600.00M,1.336B,1.336B,,,4.447B,4.713B,,,212.00M,163.00M,,2019-10,9.00M,24.39B,7.595B,23.60B,,,-180.00M,8.214B,,2019-10,AOR,Restated
2019-07,918.00M,3.014B,547.00M,3.561B,2.373B,,2.455B,2.098B,548.00M,893.00M,,3.539B,487.00M,,,10.04B,0.00,254.00M,1.601B,664.00M,1.484B,112.00M,4.115B,-2.602B,1.513B,3.399B,170.00M,3.569B,1.65B,,8.763B,18.80B,,2019-07,890.00M,194.00M,136.00M,,1.22B,400.00M,1.62B,191.00M,,,,,,1.43B,1.43B,,,3.785B,5.312B,,,175.00M,164.00M,,2019-07,9.00M,23.88B,7.46B,23.10B,,,-137.00M,8.116B,,2019-07,AOR,Restated
2019-04,1.185B,3.116B,507.00M,3.623B,2.264B,,2.329B,2.113B,549.00M,1.015B,,3.677B,433.00M,,,10.06B,0.00,245.00M,1.585B,661.00M,1.404B,133.00M,4.028B,-2.534B,1.494B,3.399B,185.00M,3.584B,1.609B,,8.713B,18.78B,,2019-04,903.00M,197.00M,73.00M,,1.173B,393.00M,1.566B,195.00M,,,,,,1.393B,1.393B,,,3.605B,5.311B,,,175.00M,157.00M,,2019-04,9.00M,23.50B,7.396B,22.57B,,,-138.00M,8.201B,,2019-04,AOR,Restated
2019-01,1.016B,3.192B,520.00M,3.712B,2.444B,,2.476B,2.111B,526.00M,1.066B,,3.703B,394.00M,,,10.28B,0.00,245.00M,1.46B,639.00M,1.335B,243.00M,3.922B,-2.466B,1.456B,3.368B,199.00M,3.567B,1.588B,,8.637B,18.92B,,2019-01,978.00M,190.00M,202.00M,,1.37B,424.00M,1.794B,200.00M,,,,,,1.356B,1.356B,,,3.776B,5.31B,,,178.00M,146.00M,,2019-01,9.00M,23.03B,7.265B,21.94B,,,-154.00M,8.209B,,2019-01,AOR,Restated
2018-10,1.489B,3.44B,590.00M,4.03B,2.323B,,2.363B,2.009B,505.00M,1.207B,,3.721B,490.00M,,,10.60B,0.00,245.00M,1.448B,634.00M,1.282B,203.00M,3.812B,-2.405B,1.407B,3.368B,213.00M,3.581B,1.568B,248.00M,7.029B,17.63B,,2018-10,996.00M,193.00M,248.00M,,1.437B,437.00M,1.874B,208.00M,,,,,,1.201B,1.201B,,,3.922B,5.309B,,,177.00M,126.00M,,2018-10,10.00M,20.88B,7.274B,21.19B,,,-125.00M,6.845B,,2018-10,AOR,Restated
2018-07,1.364B,3.374B,610.00M,3.984B,2.882B,,2.935B,1.807B,603.00M,1.271B,,3.681B,289.00M,,,10.89B,0.00,221.00M,1.419B,625.00M,1.261B,198.00M,3.724B,-2.403B,1.321B,3.368B,263.00M,3.631B,1.613B,,6.994B,17.88B,,2018-07,1.094B,197.00M,185.00M,,1.476B,420.00M,1.896B,220.00M,,,,,,1.581B,1.581B,,,4.322B,5.308B,,,159.00M,121.00M,,2018-07,10.00M,20.19B,7.145B,20.44B,,,-77.00M,6.825B,,2018-07,AOR,Restated
2018-04,1.468B,4.87B,482.00M,5.352B,2.665B,,2.798B,1.492B,601.00M,1.401B,,3.494B,247.00M,,,11.89B,0.00,221.00M,1.387B,601.00M,1.22B,183.00M,3.612B,-2.355B,1.257B,3.368B,313.00M,3.681B,1.214B,,6.607B,18.50B,,2018-04,1.164B,202.00M,143.00M,,1.509B,412.00M,1.921B,218.00M,,,,,,1.961B,1.961B,,,4.58B,5.306B,,,165.00M,123.00M,,2018-04,10.00M,19.22B,7.087B,19.19B,,,-78.00M,7.042B,,2018-04,AOR,Restated
2018-01,1.469B,6.799B,655.00M,7.454B,2.182B,,2.204B,1.338B,524.00M,1.263B,,3.125B,246.00M,,,13.03B,0.00,221.00M,1.371B,576.00M,1.17B,162.00M,3.50B,-2.305B,1.195B,3.368B,362.00M,3.73B,1.203B,,6.634B,19.66B,,2018-01,1.041B,105.00M,217.00M,,1.363B,407.00M,1.77B,204.00M,,,,,,2.018B,2.018B,,,4.399B,5.305B,,,167.00M,128.00M,,2018-01,11.00M,18.29B,6.98B,16.69B,,,-79.00M,8.506B,,2018-01,AOR,Restated
2017-10,1.346B,5.01B,2.266B,7.276B,2.338B,,2.395B,1.198B,468.00M,1.264B,,2.93B,317.00M,,,12.92B,0.00,160.00M,1.315B,572.00M,1.129B,135.00M,3.311B,-2.245B,1.066B,3.368B,412.00M,3.78B,1.143B,,6.501B,19.42B,,2017-10,945.00M,106.00M,182.00M,,1.233B,352.00M,1.585B,199.00M,,,,,,1.665B,1.665B,,,4.115B,5.304B,,,160.00M,99.00M,,2017-10,11.00M,18.26B,7.056B,15.91B,,,-64.00M,9.349B,,2017-10,AOR,Restated
