,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2020-10,1.131B,,,,,,,97.00M,97.00M,-18.00M,,73.00M,,5.00M,-156.00M,48.00M,197.00M,-18.00M,,-44.00M,27.00M,,2020-10,-162.00M,,,0.00,21.00M,,-141.00M,2020-10,0.00,,0.00,83.00M,-50.00M,33.00M,-200.00M,-200.00M,-6.00M,-173.00M,,4.465B,1.001B,,5.466B,2020-10,83.00M,0.00,0.00,-50.00M,23.00M,68.00M,2020-10,AOR,
2020-07,841.00M,,,,,,,94.00M,94.00M,79.00M,,70.00M,,33.00M,-179.00M,-217.00M,38.00M,-31.00M,,139.00M,-250.00M,,2020-07,-87.00M,,,-80.00M,175.00M,,8.00M,2020-07,-1.401B,,-1.401B,0.00,-200.00M,-200.00M,-202.00M,-202.00M,-3.00M,-1.806B,,5.396B,-931.00M,,4.465B,2020-07,0.00,1.481B,-2.882B,-200.00M,238.00M,41.00M,2020-07,AOR,
2020-04,755.00M,,,,,,,91.00M,91.00M,-11.00M,,71.00M,,7.00M,54.00M,-254.00M,65.00M,-13.00M,,-130.00M,-278.00M,,2020-04,-71.00M,,,-27.00M,263.00M,,165.00M,2020-04,1.498B,,1.498B,76.00M,-199.00M,-123.00M,-193.00M,-193.00M,-10.00M,1.172B,,3.424B,1.972B,,5.396B,2020-04,76.00M,1.498B,,-199.00M,199.00M,76.00M,2020-04,AOR,
2020-01,892.00M,,,,,,,94.00M,94.00M,30.00M,,93.00M,,15.00M,-146.00M,2.00M,17.00M,-99.00M,,89.00M,-137.00M,,2020-01,-102.00M,,,,-60.00M,,-162.00M,2020-01,,,,15.00M,-200.00M,-185.00M,-192.00M,-192.00M,-153.00M,-530.00M,,3.129B,295.00M,,3.424B,2020-01,15.00M,,,-200.00M,82.00M,34.00M,2020-01,AOR,
2019-10,698.00M,,,,,,,92.00M,92.00M,-8.00M,,66.00M,,0.00,-160.00M,66.00M,186.00M,7.00M,,-121.00M,-22.00M,,2019-10,-97.00M,,,0.00,11.00M,,-86.00M,2019-10,0.00,,0.00,72.00M,-500.00M,-428.00M,-194.00M,-194.00M,-3.00M,-625.00M,,3.014B,115.00M,,3.129B,2019-10,72.00M,0.00,0.00,-500.00M,69.00M,76.00M,2019-10,AOR,Restated
2019-07,571.00M,,,,,,,89.00M,89.00M,8.00M,,67.00M,,-10.00M,-107.00M,138.00M,20.00M,-84.00M,,95.00M,62.00M,,2019-07,-93.00M,,,-5.00M,-64.00M,,-162.00M,2019-07,0.00,,0.00,0.00,-528.00M,-528.00M,-196.00M,-196.00M,-3.00M,-727.00M,,3.116B,-102.00M,,3.014B,2019-07,0.00,0.00,0.00,-528.00M,221.00M,33.00M,2019-07,AOR,Restated
2019-04,666.00M,,,,,,,94.00M,94.00M,8.00M,,65.00M,,-10.00M,181.00M,26.00M,-137.00M,-85.00M,,-8.00M,-23.00M,,2019-04,-118.00M,,,-23.00M,12.00M,,-129.00M,2019-04,0.00,,0.00,73.00M,-625.00M,-552.00M,-189.00M,-189.00M,-6.00M,-747.00M,,3.192B,-76.00M,,3.116B,2019-04,73.00M,0.00,,-625.00M,198.00M,76.00M,2019-04,AOR,Restated
2019-01,771.00M,,,,,,,88.00M,88.00M,41.00M,,65.00M,,1.00M,-121.00M,18.00M,-272.00M,76.00M,,167.00M,-132.00M,,2019-01,-133.00M,,,,67.00M,,-66.00M,2019-01,,,,0.00,-750.00M,-750.00M,-192.00M,-192.00M,-74.00M,-1.016B,,3.44B,-248.00M,,3.192B,2019-01,0.00,,,-750.00M,34.00M,34.00M,2019-01,AOR,Restated
2018-10,757.00M,,,,,,,120.00M,120.00M,-23.00M,,65.00M,,0.00,559.00M,-155.00M,81.00M,-201.00M,,-126.00M,158.00M,,2018-10,-165.00M,,,-1.00M,37.00M,,-129.00M,2018-10,,,,68.00M,-751.00M,-683.00M,-195.00M,-195.00M,-4.00M,-882.00M,,3.374B,66.00M,,3.44B,2018-10,68.00M,,,-751.00M,19.00M,76.00M,2018-10,AOR,Restated
2018-07,1.016B,,,,,,,110.00M,110.00M,22.00M,,64.00M,,-7.00M,-217.00M,-319.00M,12.00M,36.00M,,-84.00M,-572.00M,,2018-07,-133.00M,,,0.00,-541.00M,,-674.00M,2018-07,,,,0.00,-1.25B,-1.25B,-199.00M,-199.00M,-6.00M,-1.455B,,4.87B,-1.496B,,3.374B,2018-07,0.00,,,-1.25B,64.00M,33.00M,2018-07,AOR,Restated
2018-04,1.10B,,,,,,,108.00M,108.00M,40.00M,,64.00M,,-54.00M,-482.00M,-329.00M,283.00M,-112.00M,,-72.00M,-712.00M,,2018-04,-121.00M,,,0.00,143.00M,,22.00M,2018-04,,,,56.00M,-2.50B,-2.444B,-105.00M,-105.00M,-13.00M,-2.562B,,6.799B,-1.929B,,4.87B,2018-04,56.00M,,,-2.50B,295.00M,144.00M,2018-04,AOR,Restated
2018-01,165.00M,,,,,,,119.00M,119.00M,32.00M,,65.00M,,65.00M,156.00M,-211.00M,680.00M,78.00M,,382.00M,1.085B,,2018-01,-203.00M,,,-5.00M,1.56B,,1.352B,2018-01,,,,,-782.00M,-782.00M,-106.00M,-106.00M,-141.00M,-1.029B,,5.01B,1.789B,,6.799B,2018-01,,,,-782.00M,-78.00M,-34.00M,2018-01,AOR,Restated
