,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,109.90M,0.00,,0.00,-0.20M,-0.20M,,,39.50M,39.50M,2.20M,4.10M,4.40M,,-32.10M,44.30M,,-244.40M,-4.10M,,771.10M,566.90M,701.10M,,-20.00M,,-20.00M,-36.70M,143.70M,,87.00M,,70.00M,70.00M,,-41.80M,-41.80M,-45.80M,-45.80M,-0.10M,0.00,-17.70M,,210.10M,770.40M,4.10M,984.60M,,,70.00M,0.00,-41.80M,112.10M,12.90M,,AOR,
2020-06,113.60M,,,0.00,-0.20M,-0.20M,,,38.00M,38.00M,-7.20M,8.10M,4.60M,,0.50M,31.40M,,132.00M,-2.60M,,7.10M,167.90M,325.00M,,-6.60M,,-6.60M,-5.00M,-129.00M,,-140.60M,,0.00,0.00,,-85.90M,-85.90M,-39.50M,-39.50M,-13.90M,0.10M,-139.20M,,165.20M,45.20M,-0.30M,210.10M,,,,0.00,-85.90M,19.80M,12.80M,,AOR,
2020-03,157.40M,,0.00,-0.40M,-0.50M,-0.90M,,,40.50M,40.50M,-3.80M,,8.30M,,0.50M,-118.80M,,72.90M,0.80M,,5.70M,-39.40M,163.30M,,-10.60M,,-10.60M,-61.60M,21.20M,,-51.00M,,,,,-133.40M,-133.40M,-40.00M,-40.00M,0.00,-2.30M,-175.70M,,229.30M,-63.40M,-0.70M,165.20M,,,,,-133.40M,13.50M,1.60M,,AOR,
2019-12,86.30M,0.00,4.40M,-0.10M,-0.50M,3.80M,,,42.80M,42.80M,-18.80M,0.00,4.80M,,0.70M,8.60M,,111.50M,14.80M,,-23.50M,94.50M,237.70M,,-8.20M,,-8.20M,0.00,-39.00M,,-47.20M,,0.00,0.00,,-80.50M,-80.50M,-40.00M,-40.00M,10.90M,,-113.90M,,150.00M,76.60M,2.70M,229.30M,,,0.00,0.00,-80.50M,36.00M,1.70M,,AOR,
2019-09,105.90M,2.00M,,-0.50M,2.80M,4.30M,,,42.90M,42.90M,-7.40M,0.00,5.30M,,1.30M,13.70M,,-81.90M,-9.60M,,2.80M,-75.00M,77.50M,,-7.80M,,-7.80M,0.00,62.50M,,54.70M,,-50.00M,-50.00M,,-52.40M,-52.40M,-40.40M,-40.40M,0.30M,,-142.50M,,161.30M,-10.30M,-1.00M,150.00M,,,0.00,-50.00M,-52.40M,31.60M,14.30M,,AOR,Restated
2019-06,83.40M,,-0.40M,-0.50M,-4.00M,-4.90M,,,43.70M,43.70M,-5.60M,16.60M,6.30M,,1.40M,-26.10M,,78.40M,-0.90M,,7.00M,58.40M,199.60M,,-13.30M,,-13.30M,0.00,-32.10M,,-45.40M,,-300.00M,-300.00M,,10.00M,10.00M,-34.80M,-34.80M,-10.00M,,-334.80M,,346.20M,-180.60M,-4.30M,161.30M,,,,-300.00M,10.00M,65.10M,2.40M,,AOR,Restated
2019-03,95.20M,,0.40M,-0.20M,-0.50M,-0.30M,,,47.20M,47.20M,-5.40M,,5.40M,,1.40M,67.60M,,-94.70M,-4.30M,,5.60M,-25.80M,118.00M,,-5.80M,,-5.80M,0.00,27.80M,,22.00M,,,,,-45.00M,-45.00M,-34.80M,-34.80M,8.10M,,-71.70M,,275.10M,68.30M,2.80M,346.20M,,,,,-45.00M,2.20M,14.30M,,AOR,Restated
2018-12,138.40M,0.00,0.00,-0.20M,0.10M,-0.10M,204.00M,,49.10M,49.10M,-37.40M,0.00,5.70M,,1.60M,-77.10M,-15.80M,153.90M,13.10M,,-4.80M,69.30M,226.60M,,-8.50M,,-8.50M,0.00,-35.00M,,-43.50M,,0.00,0.00,,-5.10M,-5.10M,-34.70M,-34.70M,0.50M,0.00,-39.30M,,136.80M,143.80M,-5.50M,275.10M,,,0.00,0.00,-5.10M,51.70M,5.50M,,AOR,Restated
2018-09,85.70M,0.00,0.50M,-0.50M,0.00,0.00,-104.60M,,50.30M,50.30M,3.00M,0.00,8.40M,,1.30M,18.30M,7.40M,-196.90M,-13.10M,,-5.60M,-189.90M,-41.20M,,-15.20M,,-15.20M,,130.50M,,115.30M,,0.00,0.00,,-49.10M,-49.10M,-34.60M,-34.60M,1.10M,0.10M,-82.50M,,140.00M,-8.40M,5.20M,136.80M,,,24.00M,-24.00M,-49.10M,39.50M,14.30M,,AOR,Restated
2018-06,83.00M,,0.50M,-1.10M,-0.70M,-1.30M,50.40M,,50.40M,50.40M,16.50M,0.00,10.00M,,1.60M,-31.60M,-1.10M,58.00M,,,0.30M,25.60M,185.80M,,-5.30M,,-5.30M,-0.20M,-66.70M,,-72.20M,,0.00,0.00,,-48.30M,-48.30M,-30.40M,-30.40M,-0.30M,-56.60M,-135.60M,,166.30M,-22.00M,-4.30M,140.00M,,,15.00M,-15.00M,-48.30M,115.40M,5.10M,,AOR,Restated
2018-03,118.10M,,0.00,0.40M,-0.50M,-0.10M,54.20M,,54.20M,54.20M,-29.80M,,11.00M,,1.90M,-33.10M,-6.30M,43.80M,,,3.80M,8.20M,163.50M,,-7.30M,,-7.30M,0.20M,-18.10M,,-25.20M,,-25.00M,-25.00M,,-59.30M,-59.30M,-30.60M,-30.60M,0.80M,-0.10M,-114.20M,,143.50M,24.10M,-1.30M,166.30M,,,300.00M,-325.00M,-59.30M,6.80M,13.80M,,AOR,Restated
2017-12,257.10M,,0.00,0.00,-1.10M,-1.10M,55.90M,,55.90M,55.90M,-232.10M,0.00,13.50M,-7.10M,0.40M,-0.60M,1.40M,103.00M,1.90M,,3.20M,108.90M,195.50M,,-11.40M,,-11.40M,-8.70M,-46.80M,,-66.90M,,-75.30M,-75.30M,,-8.10M,-8.10M,-30.70M,-30.70M,0.20M,-0.70M,-114.60M,,124.80M,14.00M,4.70M,143.50M,,,-0.30M,-75.00M,-8.10M,107.80M,2.30M,,AOR,Restated
2017-09,60.30M,,0.00,-0.20M,-0.20M,-0.40M,55.40M,,55.40M,55.40M,8.70M,0.00,9.00M,1.40M,2.50M,7.60M,-8.70M,-137.30M,6.50M,,-2.00M,-133.90M,6.80M,,-6.90M,,-6.90M,0.00,106.10M,-1.40M,97.80M,,-100.00M,-100.00M,,-2.00M,-2.00M,-30.70M,-30.70M,0.50M,0.00,-132.20M,,148.60M,-27.60M,3.80M,124.80M,,,0.00,-100.00M,-2.00M,69.60M,24.70M,,AOR,Restated
2017-06,68.00M,,0.00,-0.30M,0.20M,-0.10M,55.80M,,55.80M,55.80M,-17.10M,0.10M,9.20M,4.10M,0.60M,0.90M,,75.60M,-3.70M,,-3.60M,69.20M,189.80M,,-11.80M,,-11.80M,0.00,-68.90M,0.10M,-80.60M,,-75.00M,-75.00M,,-8.10M,-8.10M,-28.40M,-28.40M,1.30M,-1.00M,-111.20M,,153.30M,-2.00M,-2.70M,148.60M,,,300.00M,-375.00M,-8.10M,0.00,0.00,,AOR,Restated
2017-03,15.20M,,,0.10M,-0.30M,-0.20M,25.10M,,25.10M,25.10M,2.10M,14.80M,20.90M,1.60M,1.10M,13.50M,0.00,-117.60M,-4.70M,,10.50M,-98.30M,-17.70M,,-7.40M,,-7.40M,-1.405B,24.70M,1.30M,-1.387B,,1.494B,1.494B,,-7.90M,-7.90M,-28.30M,-28.30M,0.00,-0.30M,1.458B,,97.30M,53.20M,2.80M,153.30M,,,1.644B,-150.00M,-7.90M,0.00,0.00,,AOR,Restated
2016-12,45.10M,,,,-0.40M,-0.40M,10.00M,,10.00M,10.00M,-9.20M,0.00,3.60M,,0.00,-9.80M,3.20M,17.20M,0.10M,,-4.30M,6.40M,55.50M,,-8.00M,,-8.00M,0.00,0.90M,,-7.10M,,0.00,0.00,,0.00,0.00,-20.40M,-20.40M,0.00,-3.50M,-23.90M,,72.80M,24.50M,,97.30M,,,0.00,0.00,0.00,,,,AOR,Restated
2016-09,40.50M,,,,-0.30M,-0.30M,10.20M,,10.20M,10.20M,0.80M,0.00,3.80M,0.00,-8.50M,-9.80M,-3.40M,16.90M,5.70M,,-3.80M,5.60M,59.20M,,-11.00M,,-11.00M,-2.00M,-0.40M,,-13.40M,,0.00,0.00,,0.00,0.00,-20.40M,-20.40M,0.00,-4.80M,-25.20M,,52.20M,20.60M,0.00,72.80M,,,0.00,0.00,0.00,,,,AOR,Restated
2016-06,50.90M,,,,-0.20M,-0.20M,12.30M,,12.30M,12.30M,-0.20M,0.00,3.70M,0.00,3.70M,-41.70M,2.80M,-0.20M,-5.70M,,-4.20M,-49.00M,17.50M,,-16.50M,,-16.50M,0.00,-19.50M,,-36.00M,,0.00,0.00,,-18.10M,-18.10M,-18.80M,-18.80M,0.00,0.10M,-36.80M,,107.50M,-55.30M,0.00,52.20M,,,0.00,0.00,-18.10M,,,,AOR,Restated
2016-03,49.20M,,,,-0.30M,-0.30M,11.90M,,11.90M,11.90M,-0.20M,0.00,3.40M,0.00,3.40M,27.10M,-2.80M,-2.10M,0.40M,,10.80M,33.40M,97.40M,,-8.90M,,-8.90M,-14.30M,-4.70M,,-27.90M,,0.00,0.00,,-46.50M,-46.50M,-18.90M,-18.90M,,1.10M,-64.30M,,102.30M,5.20M,0.00,107.50M,,,0.00,0.00,-46.50M,,,,AOR,Restated
