,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,833.90M,844.20M,594.60M,249.60M,,35.00M,35.00M,,-28.80M,13.50M,,-13.50M,10.50M,86.00M,163.60M,,13.50M,-13.50M,-27.20M,-13.50M,122.90M,35.60M,87.30M,0.00,87.30M,107.75M,176.90M,40.50M,136.40M,,0.81,,0.9995,0.81,,0.81,,0.9993,0.81,,107.90M,108.00M,0.42,,AOR,
2020-09,779.40M,792.70M,559.90M,232.80M,,32.10M,32.10M,,-6.20M,9.60M,0.10M,-9.50M,15.70M,87.30M,145.50M,0.10M,9.60M,-9.50M,27.40M,-9.50M,163.40M,53.50M,109.90M,0.00,109.90M,114.07M,212.50M,39.50M,173.00M,,1.01,,1.048,1.01,,1.01,,1.048,1.01,,108.70M,108.80M,0.42,,AOR,
2020-06,861.40M,868.70M,626.70M,242.00M,,25.70M,25.70M,,-9.40M,7.00M,0.10M,-7.30M,7.20M,70.90M,171.10M,0.10M,7.00M,-7.30M,-7.20M,-7.30M,156.60M,43.00M,113.60M,0.00,113.60M,120.42M,201.60M,38.00M,163.60M,,1.04,,1.102,1.04,,1.03,,1.092,1.03,,109.50M,109.60M,0.36,,AOR,
2020-03,912.20M,921.50M,616.50M,305.00M,,28.90M,28.90M,,-0.80M,7.60M,0.70M,-7.30M,8.40M,77.80M,227.20M,0.70M,7.60M,-7.30M,-2.40M,-7.30M,217.50M,60.10M,157.40M,,157.40M,157.98M,265.60M,40.50M,225.10M,,1.42,,1.425,1.42,,1.42,,1.425,1.42,,110.40M,110.60M,0.36,,AOR,
2019-12,590.50M,598.60M,367.30M,231.30M,,30.90M,30.90M,,-8.70M,6.50M,0.30M,-7.80M,29.70M,103.40M,127.90M,0.30M,6.50M,-7.80M,-5.90M,-7.80M,114.20M,27.90M,86.30M,0.00,86.30M,92.87M,163.50M,42.80M,120.70M,,0.78,,0.8393,0.78,,0.77,,0.8291,0.77,,110.80M,111.20M,0.36,,AOR,
2019-09,665.90M,675.40M,431.10M,244.30M,,30.80M,30.80M,,-16.70M,8.80M,0.60M,-8.20M,6.50M,80.20M,164.10M,0.60M,8.80M,-8.20M,-15.00M,-8.20M,140.90M,35.00M,105.90M,0.10M,106.00M,118.56M,192.60M,42.90M,149.70M,,0.95,,1.063,0.95,,0.94,,1.052,0.94,,111.60M,111.90M,0.36,,AOR,Restated
2019-06,612.90M,620.60M,389.60M,231.00M,,34.00M,34.00M,,-20.80M,10.00M,0.50M,-10.00M,7.30M,85.00M,146.00M,0.50M,10.00M,-10.00M,-16.40M,-10.00M,119.60M,35.10M,84.50M,3.80M,88.30M,103.01M,173.30M,43.70M,129.60M,,0.79,,0.9219,0.79,,0.78,,0.9118,0.78,,111.50M,111.60M,0.31,,AOR,Restated
2019-03,595.10M,602.60M,370.20M,232.40M,,30.70M,30.70M,,-2.30M,10.00M,0.50M,-9.90M,5.70M,83.60M,148.80M,0.50M,10.00M,-9.90M,-11.10M,-9.90M,127.80M,32.60M,95.20M,0.20M,95.40M,97.11M,185.00M,47.20M,137.80M,,0.85,,0.8654,0.85,,0.85,,0.8653,0.85,,111.50M,111.70M,0.31,,AOR,Restated
2018-12,740.60M,747.70M,474.00M,273.70M,,33.00M,33.00M,,-6.70M,8.30M,-0.10M,-9.70M,8.40M,90.50M,183.20M,-0.10M,8.30M,-9.70M,2.20M,-9.70M,175.70M,37.30M,138.40M,0.40M,138.80M,144.08M,233.10M,49.10M,184.00M,,1.23,,1.277,1.23,,1.23,,1.277,1.23,,111.20M,111.60M,0.31,,AOR,Restated
2018-09,568.20M,575.90M,357.20M,218.70M,,29.80M,29.80M,,-5.90M,10.50M,1.10M,-9.60M,6.60M,86.70M,132.00M,1.10M,10.50M,-9.60M,-6.10M,-9.60M,116.30M,30.60M,85.70M,0.30M,86.00M,90.35M,177.10M,50.30M,126.80M,,0.76,,0.7990,0.76,,0.76,,0.7989,0.76,,111.40M,111.80M,0.31,,AOR,Restated
2018-06,658.80M,667.50M,441.40M,226.10M,,32.60M,32.60M,,-8.60M,9.70M,0.90M,-9.30M,5.40M,88.40M,137.70M,0.90M,9.70M,-9.30M,-8.60M,-9.30M,119.80M,36.80M,83.00M,0.30M,83.30M,89.25M,179.90M,50.40M,129.50M,,0.74,,0.7931,0.74,,0.73,,0.7830,0.73,,112.00M,112.30M,0.27,,AOR,Restated
2018-03,768.20M,777.70M,508.10M,269.60M,,33.80M,33.80M,,-8.80M,9.60M,0.40M,-9.60M,5.10M,93.10M,176.50M,0.40M,9.60M,-9.60M,-7.50M,-9.60M,159.40M,41.30M,118.10M,0.30M,118.40M,124.92M,223.20M,54.20M,169.00M,,1.04,,1.098,1.04,,1.04,,1.098,1.04,,112.40M,112.70M,0.27,,AOR,Restated
2017-12,613.60M,620.70M,408.30M,212.40M,,33.50M,33.50M,,-9.00M,10.00M,0.10M,-10.40M,5.30M,94.70M,117.70M,0.10M,10.00M,-10.40M,-3.20M,-10.40M,104.10M,-153.00M,257.10M,0.30M,257.40M,262.80M,170.00M,55.90M,114.10M,,2.27,,2.318,2.27,,2.26,,2.308,2.26,,112.30M,112.60M,0.27,,AOR,Restated
2017-09,603.70M,611.40M,392.10M,219.30M,,33.50M,33.50M,,-5.50M,10.80M,0.50M,-10.50M,5.60M,94.50M,124.80M,0.50M,10.80M,-10.50M,-8.40M,-10.50M,105.90M,45.60M,60.30M,0.20M,60.50M,63.80M,172.10M,55.40M,116.70M,,0.53,,0.5594,0.53,,0.53,,0.5593,0.53,,112.30M,112.60M,0.27,,AOR,Restated
2017-06,634.80M,640.80M,423.90M,216.90M,,33.10M,33.10M,,-4.70M,11.10M,0.00,-12.50M,5.50M,94.40M,122.50M,0.00,11.10M,-12.50M,-3.90M,-12.50M,106.10M,38.10M,68.00M,0.30M,68.30M,71.31M,173.00M,55.80M,117.20M,,0.60,,0.6269,0.60,,0.60,,0.6268,0.60,,112.10M,112.50M,0.25,,AOR,Restated
2017-03,350.40M,356.20M,210.60M,145.60M,,25.20M,25.20M,,-65.20M,7.60M,0.60M,-7.90M,4.00M,54.30M,91.30M,0.60M,7.60M,-7.90M,-65.10M,-7.90M,18.30M,3.10M,15.20M,,15.20M,69.38M,51.00M,25.10M,25.90M,,0.16,,0.7496,0.16,,0.16,,0.7489,0.16,,91.90M,92.00M,0.25,,AOR,Restated
2016-12,185.70M,190.80M,77.10M,113.70M,,21.00M,21.00M,,-5.00M,5.50M,0.00,-5.50M,2.80M,33.80M,79.90M,0.00,5.50M,-5.50M,,-5.50M,74.90M,29.80M,45.10M,0.30M,45.40M,48.41M,90.40M,10.00M,80.40M,,0.55,,0.5871,0.55,,0.55,,0.5871,0.55,,81.10M,81.10M,0.25,,AOR,Restated
2016-09,166.30M,168.70M,60.80M,107.90M,,20.90M,20.90M,,-8.60M,0.20M,0.00,-0.20M,2.40M,33.50M,74.40M,0.00,0.20M,-0.20M,-6.80M,-0.20M,67.40M,26.90M,40.50M,0.30M,40.80M,45.97M,77.80M,10.20M,67.60M,,0.50,,0.5636,0.50,,0.50,,0.5636,0.50,,81.30M,81.30M,0.25,,AOR,Restated
2016-06,169.60M,173.10M,57.50M,115.60M,,22.90M,22.90M,,0.00,0.00,0.00,0.00,2.40M,37.60M,78.00M,0.00,0.00,0.00,5.80M,0.00,83.80M,32.90M,50.90M,0.30M,51.20M,51.20M,96.10M,12.30M,83.80M,,0.62,,0.62,0.62,,0.62,,0.62,0.62,,81.30M,81.30M,0.23,,AOR,Restated
2016-03,167.90M,170.50M,54.50M,116.00M,,21.80M,21.80M,,0.00,,,0.70M,2.80M,36.50M,79.50M,,,0.70M,0.30M,0.70M,80.50M,31.30M,49.20M,0.20M,49.40M,49.40M,91.40M,11.90M,79.50M,,0.60,,0.60,0.60,,0.60,,0.60,0.60,,81.80M,81.80M,0.23,,AOR,Restated
2015-12,180.54M,185.20M,76.10M,109.10M,,20.72M,18.73M,,,-0.016M,,0.016M,2.279M,33.24M,75.87M,,-0.016M,0.016M,3.758M,0.016M,79.64M,29.26M,50.38M,,50.38M,50.38M,91.85M,12.17M,79.62M,,0.61,,0.61,0.61,,0.61,,0.61,0.61,,82.41M,82.41M,0.23,,AOR,Restated
2015-09,184.20M,187.04M,51.42M,135.61M,0.581M,19.37M,19.95M,,,0.016M,,-0.016M,2.159M,34.50M,101.11M,,0.016M,-0.016M,0.357M,-0.016M,101.45M,33.94M,67.52M,,67.52M,67.28M,113.88M,12.42M,101.47M,,0.81,,0.8071,0.81,,0.81,,0.8071,0.81,,82.76M,82.76M,0.23,,AOR,Restated
2015-06,141.03M,148.72M,40.89M,107.83M,0.627M,19.93M,20.56M,,,0.00,,0.00,2.629M,34.46M,73.37M,,0.00,0.00,0.261M,0.00,73.63M,28.79M,44.84M,0.00,44.84M,44.69M,84.93M,11.30M,73.63M,,0.54,,0.5381,0.54,,0.54,,0.5381,0.54,,83.29M,83.29M,0.21,,AOR,Restated
2015-03,138.53M,142.84M,39.59M,103.25M,0.787M,19.78M,20.56M,,,0.00,,0.00,2.732M,33.70M,69.55M,,0.00,0.00,-0.276M,0.00,69.28M,27.02M,42.26M,0.00,42.26M,42.43M,79.69M,10.41M,69.28M,,0.50,,0.5020,0.50,,0.50,,0.5020,0.50,,83.96M,83.96M,0.21,,AOR,Restated
2014-12,162.92M,166.49M,48.62M,117.87M,0.873M,16.18M,17.06M,,,0.00,,0.00,2.796M,30.90M,86.96M,,0.00,0.00,-3.016M,0.00,83.95M,34.60M,49.34M,,49.34M,51.30M,95.03M,11.08M,83.95M,,0.58,,0.6033,0.58,,0.58,,0.6033,0.58,,84.30M,84.30M,0.21,,AOR,Restated
2014-09,145.18M,148.91M,44.93M,103.98M,0.961M,14.86M,15.82M,,,0.00,,0.00,2.713M,28.89M,75.08M,,0.00,0.00,-0.271M,0.00,74.81M,26.45M,48.37M,,48.37M,48.54M,85.18M,10.37M,74.81M,,0.57,,0.5721,0.57,,0.57,,0.5721,0.57,,85.05M,85.05M,0.21,,AOR,Restated
2014-06,140.04M,143.94M,45.01M,98.93M,1.12M,15.08M,16.20M,0.00,0.00,,,,3.114M,29.21M,69.72M,,,,-0.321M,,69.40M,26.41M,42.98M,,42.98M,43.18M,79.64M,9.926M,69.72M,,0.50,,0.5023,0.50,,0.50,,0.5023,0.50,,85.83M,85.83M,0.18,,AOR,Restated
2014-03,154.53M,157.88M,49.28M,108.61M,1.126M,14.09M,15.21M,0.00,0.00,,,,2.755M,26.57M,82.04M,,,,-0.495M,,81.54M,32.52M,49.02M,,49.02M,49.32M,90.66M,8.622M,82.04M,,0.56,,0.5634,0.56,,0.56,,0.5634,0.56,,86.45M,86.45M,0.18,,AOR,Restated
2013-12,138.51M,141.83M,133.13M,8.702M,,-34.40M,-30.04M,,,,,,-42.96M,-63.90M,72.60M,,,,-0.446M,,72.15M,26.04M,46.11M,,46.11M,46.40M,81.74M,9.136M,72.60M,,0.52,,0.5233,0.52,,0.52,,0.5233,0.52,,87.06M,87.06M,0.18,,AOR,Restated
2013-09,132.79M,136.74M,13.84M,122.90M,,29.84M,29.84M,,,,,,16.15M,54.47M,68.43M,,,,-0.517M,,67.91M,26.55M,41.36M,,41.36M,41.67M,76.93M,8.504M,68.43M,,0.47,,0.4736,0.47,,0.47,,0.4736,0.47,,87.65M,87.65M,0.18,,AOR,Restated
2013-06,146.60M,150.77M,14.52M,136.25M,,33.83M,33.83M,,,,,,18.44M,60.90M,75.36M,,,,-0.473M,,74.88M,28.72M,46.16M,,46.16M,46.45M,84.01M,8.651M,75.36M,,0.52,,0.5233,0.52,,0.52,,0.5233,0.52,,87.34M,87.34M,0.15,,AOR,Restated
2013-03,139.12M,142.70M,13.17M,129.54M,,32.90M,32.90M,,,,,,18.92M,60.11M,69.43M,,,,-0.721M,,68.71M,26.34M,42.37M,,42.37M,42.82M,77.74M,8.311M,69.43M,,0.48,,0.4851,0.48,,0.48,,0.4851,0.48,,87.27M,87.27M,0.15,,AOR,Restated
