,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,245.40M,92.40M,337.80M,337.30M,,390.40M,,812.10M,26.50M,1.567B,,,,,193.60M,,193.60M,,193.60M,2.895B,1.729B,4.624B,42.70M,,89.30M,4.950B,6.516B,,250.00M,,4.20M,152.90M,407.10M,,407.10M,,68.70M,68.70M,10.20M,10.20M,827.30M,1.313B,1.135B,132.10M,1.267B,377.60M,377.60M,,,,44.70M,1.854B,3.168B,,1.20M,1.810B,2.713B,1.250B,74.60M,3.349B,,AOR,
2020-09,212.70M,22.80M,235.50M,283.30M,,341.60M,,771.90M,33.30M,1.382B,,,,219.00M,116.10M,1.80M,336.90M,-138.20M,198.70M,2.782B,1.616B,4.397B,53.20M,,45.60M,4.694B,6.077B,,15.90M,,3.20M,134.00M,153.10M,66.20M,219.30M,,70.00M,70.00M,13.70M,13.70M,790.10M,1.128B,869.10M,135.60M,1.005B,396.80M,396.80M,,,,45.20M,1.604B,2.732B,,1.20M,1.768B,2.709B,1.162B,29.00M,3.344B,,AOR,
2020-06,210.10M,176.50M,386.60M,376.80M,,376.80M,,,17.80M,781.20M,,,,166.70M,117.80M,33.00M,317.50M,-124.10M,193.40M,2.730B,1.553B,4.283B,61.30M,,47.00M,4.585B,5.366B,,12.20M,,14.90M,265.50M,292.60M,155.80M,448.40M,,,,17.30M,17.30M,0.80M,496.50M,868.60M,137.30M,1.006B,384.90M,384.90M,,,,43.90M,1.584B,2.08B,,1.20M,1.704B,2.704B,1.120B,-2.60M,3.286B,,AOR,
2020-03,165.20M,43.60M,208.80M,396.50M,,408.00M,,,15.30M,632.10M,,,,166.40M,114.00M,26.00M,306.40M,-121.70M,184.70M,2.725B,1.584B,4.309B,62.30M,,49.20M,4.605B,5.238B,,9.20M,,2.90M,143.30M,155.40M,169.80M,325.20M,,,,17.20M,17.20M,0.80M,358.10M,868.10M,128.30M,996.40M,392.20M,392.20M,,,,38.60M,1.569B,1.927B,,1.20M,1.630B,2.700B,1.020B,0.10M,3.310B,,AOR,
2019-12,229.30M,71.00M,300.30M,234.70M,,291.50M,,,15.80M,607.60M,0.00,0.00,0.00,164.40M,53.40M,1.20M,219.00M,-118.60M,100.40M,2.682B,1.620B,4.302B,61.20M,,43.00M,4.506B,5.114B,,21.00M,,4.00M,111.60M,136.60M,103.10M,239.70M,,,,4.50M,4.50M,2.20M,281.60M,867.60M,46.70M,914.30M,399.70M,399.70M,,,0.00,26.80M,1.477B,1.758B,,1.20M,1.513B,2.691B,887.10M,37.60M,3.356B,,AOR,
2019-09,150.00M,21.40M,171.40M,235.50M,,300.50M,,,17.60M,489.50M,0.00,0.00,0.00,172.60M,53.40M,0.00,226.00M,-123.60M,102.40M,2.663B,1.632B,4.295B,69.70M,,62.50M,4.530B,5.019B,,10.30M,,0.00,34.90M,45.20M,113.40M,158.60M,,,,8.10M,8.10M,6.30M,199.00M,867.10M,47.40M,914.50M,418.20M,418.20M,,,0.00,24.10M,1.492B,1.691B,,1.20M,1.467B,2.686B,817.30M,-9.10M,3.329B,,AOR,Restated
2019-06,161.30M,82.90M,244.20M,245.90M,,316.30M,,,16.90M,577.40M,0.00,0.00,0.00,171.50M,54.00M,0.00,225.50M,-120.80M,104.70M,2.68B,1.68B,4.36B,63.50M,,53.70M,4.582B,5.159B,,9.00M,,3.20M,128.10M,140.30M,104.80M,245.10M,,,,13.20M,13.20M,5.50M,285.80M,916.60M,46.90M,963.50M,426.70M,426.70M,,,5.80M,23.20M,1.546B,1.832B,,1.20M,1.402B,2.680B,764.60M,8.10M,3.327B,,AOR,Restated
2019-03,346.20M,30.20M,376.40M,251.00M,,291.30M,,,15.50M,683.20M,0.00,4.90M,81.70M,162.10M,56.50M,0.00,305.20M,-175.30M,129.90M,2.698B,1.724B,4.422B,63.40M,,32.40M,4.647B,5.330B,,4.30M,,4.10M,58.90M,67.30M,107.80M,175.10M,299.90M,299.90M,299.90M,18.20M,18.20M,4.70M,511.40M,916.10M,50.10M,966.20M,433.40M,433.40M,,,9.40M,3.40M,1.534B,2.045B,,1.20M,1.349B,2.674B,764.30M,26.20M,3.285B,,AOR,Restated
2018-12,275.10M,35.70M,310.80M,287.30M,,357.70M,,,15.20M,683.70M,0.00,4.90M,81.70M,161.60M,,0.10M,248.30M,-171.70M,76.60M,2.691B,1.755B,4.446B,86.20M,,28.40M,4.637B,5.321B,,12.80M,,4.10M,91.50M,108.40M,122.90M,231.30M,299.80M,299.80M,299.80M,8.50M,8.50M,3.90M,595.90M,915.60M,0.00,915.60M,436.80M,436.80M,,,9.40M,7.40M,1.484B,2.08B,,1.20M,1.288B,2.660B,720.10M,11.50M,3.241B,,AOR,Restated
2018-09,136.80M,0.90M,137.70M,221.90M,,281.70M,,,16.10M,435.50M,0.00,4.90M,81.40M,155.30M,,0.20M,241.80M,-171.00M,70.80M,2.698B,1.802B,4.500B,88.70M,,24.70M,4.684B,5.120B,,6.30M,,0.00,24.50M,30.80M,98.70M,129.50M,,299.60M,299.60M,13.40M,13.40M,3.00M,478.90M,915.10M,,915.10M,475.40M,475.40M,,,9.40M,7.10M,1.489B,1.968B,,1.20M,1.185B,2.654B,715.00M,25.80M,3.152B,,AOR,Restated
