,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,361.60M,,361.60M,8.60M,181.20M,372.40M,512.10M,67.70M,395.00M,,205.90M,1.915B,287.90M,946.60M,30.63B,-10.85B,19.78B,2.337B,2.337B,587.50M,527.50M,24.97B,26.88B,358.90M,,305.80M,664.70M,118.60M,783.30M,66.50M,595.00M,372.30M,967.30M,967.30M,211.20M,2.098B,882.30M,9.276B,,9.276B,1.683B,,1.683B,1.048B,,-17.90M,,519.60M,16.00B,18.10B,7.077B,1.774B,,,,-48.40M,8.802B
2020-06,176.20M,,176.20M,12.90M,176.10M,508.70M,520.30M,80.50M,297.00M,,207.70M,1.790B,260.00M,799.40M,30.03B,-10.68B,19.35B,2.337B,2.337B,557.40M,501.10M,24.46B,26.25B,332.80M,,200.20M,533.00M,92.80M,625.80M,66.70M,,,1.134B,1.134B,198.90M,2.086B,619.10M,9.281B,,9.281B,1.602B,,1.602B,1.008B,,-20.90M,,546.10M,15.64B,17.72B,7.074B,1.524B,,,,-49.80M,8.548B
2020-03,304.40M,,304.40M,3.90M,133.20M,299.70M,498.90M,79.60M,322.00M,,228.20M,1.733B,115.90M,831.00M,29.84B,-10.46B,19.38B,2.337B,2.337B,497.40M,519.90M,24.45B,26.18B,298.10M,,226.30M,524.40M,137.30M,661.70M,69.00M,,,1.397B,1.397B,198.70M,2.398B,611.60M,8.994B,,8.994B,1.797B,,1.797B,1.013B,,-23.80M,,711.10M,15.28B,17.68B,7.072B,1.506B,,,,-48.70M,8.529B
2019-12,23.20M,,23.20M,7.20M,127.80M,314.00M,481.60M,78.20M,339.00M,,231.70M,1.468B,128.50M,839.20M,29.87B,-10.52B,19.35B,2.337B,2.337B,573.20M,511.50M,24.51B,25.98B,528.80M,,145.10M,673.90M,122.30M,796.20M,71.30M,,,1.184B,1.184B,284.10M,2.336B,602.80M,8.766B,,8.766B,1.744B,,1.744B,1.018B,,-26.60M,,716.10M,15.09B,17.43B,7.070B,1.552B,,,,-50.00M,8.572B
2019-09,50.10M,,50.10M,19.50M,102.30M,334.10M,454.40M,73.90M,395.00M,,204.80M,1.512B,131.40M,747.20M,29.28B,-10.14B,19.14B,2.337B,2.337B,541.00M,508.00M,24.40B,25.91B,311.30M,,287.90M,599.20M,110.70M,709.90M,58.20M,,,1.039B,1.039B,268.00M,2.075B,659.10M,8.768B,,8.768B,1.730B,,1.730B,1.150B,,-29.40M,,708.70M,15.24B,17.32B,7.067B,1.603B,,,,-50.70M,8.619B
2019-06,107.00M,,107.00M,17.00M,92.70M,308.80M,488.70M,80.20M,312.00M,,242.70M,1.539B,144.30M,665.00M,29.08B,-9.985B,19.09B,2.337B,2.337B,535.70M,512.40M,24.18B,25.72B,278.10M,,195.80M,473.90M,80.70M,554.60M,55.10M,,,2.584B,2.584B,288.70M,3.483B,648.20M,7.141B,,7.141B,1.631B,,1.631B,1.002B,,-28.40M,,726.90M,13.38B,16.86B,7.563B,1.349B,,,,-29.00M,8.883B
2019-03,133.60M,,133.60M,15.00M,77.50M,221.50M,466.50M,66.20M,773.30M,,266.50M,1.928B,155.90M,635.70M,28.87B,-9.856B,19.01B,2.339B,2.339B,518.30M,535.10M,24.13B,26.06B,293.70M,,222.50M,516.20M,150.20M,666.40M,52.60M,,,2.403B,2.403B,213.00M,3.335B,645.80M,7.145B,,7.145B,1.604B,,1.604B,994.30M,,-31.20M,,695.80M,13.33B,16.67B,8.110B,1.326B,,,,-13.20M,9.423B
2018-12,160.30M,,160.30M,16.70M,95.00M,261.70M,511.00M,79.10M,365.00M,,303.90M,1.681B,133.10M,685.20M,28.87B,-9.917B,18.95B,2.339B,2.339B,472.10M,396.50M,23.92B,25.60B,451.50M,,133.60M,585.10M,110.90M,696.00M,49.80M,,,1.839B,1.839B,282.10M,2.867B,637.30M,6.687B,,6.687B,1.599B,,1.599B,987.60M,,-37.50M,,609.90M,12.74B,15.61B,8.685B,1.346B,,,,-3.00M,10.03B
2018-09,679.70M,,679.70M,231.70M,82.40M,517.30M,520.90M,73.60M,195.00M,,332.50M,2.319B,109.10M,723.50M,29.18B,-10.17B,19.01B,2.334B,2.334B,518.00M,379.70M,23.76B,26.08B,303.70M,0.00,282.10M,585.80M,119.60M,705.40M,,,,1.611B,1.611B,343.00M,2.659B,622.70M,6.691B,,6.691B,1.536B,,1.536B,949.70M,,-40.10M,,610.80M,12.77B,15.43B,9.236B,1.452B,,,,,10.69B
2018-06,1.280B,,1.280B,194.30M,67.70M,488.70M,539.90M,85.90M,195.00M,,347.70M,2.937B,123.50M,705.30M,29.05B,-10.06B,18.99B,2.334B,2.334B,498.20M,359.60M,23.72B,26.66B,327.60M,,210.30M,537.90M,82.00M,619.90M,,,,2.124B,2.124B,334.10M,3.078B,627.90M,6.692B,,6.692B,1.436B,,1.436B,959.10M,,-42.70M,,608.70M,12.69B,15.76B,9.718B,1.22B,,,,,10.94B
