,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,367.50M,-0.50M,-1.90M,3.40M,1.00M,232.80M,232.80M,232.80M,66.80M,,,,0.50M,46.80M,8.40M,7.00M,200.50M,22.40M,40.50M,-95.00M,230.60M,,899.20M,-422.50M,,-422.50M,,2.20M,-8.40M,-428.70M,-0.50M,-169.00M,-169.50M,,0.00,0.00,,,-114.60M,-114.60M,-1.00M,-285.10M,176.20M,185.40M,,361.60M,,0.90M,-1.40M,0.00,,
2020-06,136.30M,-4.40M,-2.00M,4.10M,-2.30M,236.20M,236.20M,236.20M,61.60M,,,,5.00M,-158.00M,-21.30M,13.50M,-25.30M,26.60M,-75.00M,4.60M,-234.90M,,201.90M,-281.20M,,-281.20M,,10.90M,2.50M,-267.80M,669.60M,-613.00M,56.60M,,0.00,0.00,,,-114.50M,-114.50M,-4.40M,-62.30M,304.40M,-128.20M,,176.20M,,942.90M,-273.30M,0.00,,
2020-03,72.20M,-1.90M,-2.20M,4.60M,0.50M,232.90M,232.90M,232.90M,8.10M,,,,8.20M,42.60M,-17.10M,0.40M,-70.40M,39.40M,-9.40M,13.20M,-1.30M,,320.60M,-354.40M,,-354.40M,,25.00M,-4.00M,-333.40M,-61.20M,476.10M,414.90M,,0.00,0.00,,,-114.50M,-114.50M,-6.40M,294.00M,23.20M,281.20M,,304.40M,,0.00,-61.20M,0.00,,
2019-12,-259.80M,-9.50M,3.30M,-12.90M,-19.10M,-218.30M,-218.30M,-218.30M,-99.80M,,,,-7.50M,2.50M,-46.10M,-77.40M,-16.70M,-9.10M,89.80M,37.00M,-20.00M,,-624.50M,253.00M,,253.00M,,64.30M,-3.40M,313.90M,-1.727B,171.50M,-1.555B,,1.629B,1.629B,,,237.50M,237.50M,70.70M,381.50M,50.10M,70.90M,,5.20M,,-3.08B,1.353B,1.629B,,
2019-09,370.90M,-4.40M,-3.60M,3.50M,-4.50M,229.30M,229.30M,229.30M,97.50M,,,,9.70M,9.90M,34.50M,29.50M,79.90M,15.00M,43.40M,-101.50M,110.70M,,813.60M,-276.70M,,-276.70M,,27.90M,6.20M,-242.60M,1.856B,-1.796B,60.30M,,-500.00M,-500.00M,,,-111.90M,-111.90M,-76.30M,-627.90M,107.00M,-56.90M,,50.10M,,2.882B,-1.026B,-500.00M,,
2019-06,144.60M,-5.20M,-2.10M,4.00M,-3.30M,230.20M,230.20M,230.20M,15.90M,,,,-0.30M,-104.90M,-22.10M,0.70M,-16.90M,28.30M,-46.40M,45.80M,-115.50M,,271.60M,-263.40M,,-263.40M,,12.60M,-7.30M,-258.10M,-666.50M,881.10M,214.60M,,-550.40M,-550.40M,,,-115.80M,-115.80M,-2.80M,-454.40M,547.90M,-440.90M,,107.00M,,54.80M,-721.30M,-550.40M,,
2019-03,103.40M,-9.90M,-2.20M,5.40M,-6.70M,228.20M,228.20M,228.20M,-2.00M,,,,10.40M,26.60M,44.60M,35.50M,-19.20M,12.80M,-74.70M,3.20M,28.80M,,362.10M,-309.00M,,-309.00M,,36.30M,1.30M,-271.40M,433.10M,566.40M,999.50M,,-578.30M,-578.30M,,,-119.80M,-119.80M,-4.50M,296.90M,160.30M,387.60M,,547.90M,,494.60M,-61.50M,-578.30M,,
2018-12,-175.80M,-0.20M,0.10M,-5.30M,-5.40M,-23.30M,-23.30M,-23.30M,-50.00M,,,,6.30M,242.80M,-27.30M,-130.80M,-102.20M,16.70M,49.40M,-240.10M,-191.50M,,-439.70M,-15.00M,,-15.00M,-1.154B,-139.60M,6.60M,-1.302B,105.90M,470.40M,576.30M,,486.10M,486.10M,,,45.30M,45.30M,-1.10M,1.107B,679.80M,-635.30M,,44.50M,,100.40M,5.50M,486.10M,,
2018-09,357.60M,-0.70M,-2.00M,5.20M,2.50M,208.80M,208.80M,208.80M,92.80M,,,,3.80M,-10.20M,19.10M,25.80M,34.40M,43.30M,40.50M,-24.00M,128.90M,,794.40M,-263.10M,,-263.10M,0.00,-0.40M,-8.60M,-272.10M,-104.20M,-409.30M,-513.50M,,-486.10M,-486.10M,,,-122.10M,-122.10M,-1.00M,-1.123B,1.280B,-600.40M,,679.80M,,24.10M,-128.30M,-486.10M,,
2018-06,104.40M,-0.70M,-1.30M,17.50M,15.50M,134.10M,134.10M,134.10M,-48.80M,,,,0.80M,-70.90M,18.60M,-29.10M,1.60M,-18.00M,10.20M,19.20M,-68.40M,,137.60M,-260.40M,,-260.40M,1.154B,132.20M,-5.00M,1.021B,51.90M,243.50M,295.40M,,0.00,0.00,,,-170.90M,-170.90M,-14.20M,110.30M,11.30M,1.269B,,1.280B,,53.20M,-1.30M,0.00,,
2018-03,62.90M,-0.70M,-1.40M,2.50M,0.40M,97.30M,97.30M,97.30M,3.80M,,,,5.10M,46.20M,6.90M,-0.10M,24.50M,0.70M,-11.80M,23.70M,90.10M,,259.60M,-174.80M,,-174.80M,,2.30M,-1.60M,-174.10M,-29.50M,14.10M,-15.40M,,0.00,0.00,,,-57.40M,-57.40M,-4.90M,-77.70M,3.50M,7.80M,,11.30M,,0.70M,-30.20M,0.00,,
2017-12,36.30M,-2.80M,-1.80M,2.10M,-2.50M,102.40M,102.40M,102.40M,22.60M,4.10M,,,-9.50M,17.60M,-8.30M,0.30M,-6.40M,9.10M,-9.50M,13.80M,16.60M,,170.00M,-200.00M,,-200.00M,,0.90M,-0.30M,-199.40M,3.30M,86.40M,89.70M,,,,,,-56.80M,-56.80M,-3.50M,29.40M,3.50M,0.00,,3.50M,,1.70M,1.60M,,,
2017-09,160.70M,,-1.60M,2.10M,0.50M,102.90M,102.90M,102.90M,73.10M,-1.40M,,,6.20M,-33.90M,17.80M,18.50M,34.60M,7.30M,-5.20M,-2.10M,37.00M,,379.00M,-181.00M,,-181.00M,0.00,-0.80M,-0.10M,-181.90M,0.10M,-140.10M,-140.00M,-0.60M,0.00,-0.60M,,,-56.90M,-56.90M,0.60M,-196.90M,3.30M,0.20M,,3.50M,-0.60M,1.00M,-0.90M,0.00,,
2017-06,76.02M,1.311M,-3.30M,2.132M,0.143M,101.91M,101.91M,101.91M,34.89M,-1.326M,,,9.135M,-37.35M,8.281M,8.689M,-33.64M,12.31M,-49.08M,-3.006M,-93.79M,,126.98M,-208.20M,,-208.20M,,-14.73M,-0.846M,-223.78M,50.36M,102.81M,153.16M,0.13M,,0.13M,,,-56.65M,-56.65M,-0.034M,96.61M,3.449M,-0.193M,,3.30M,0.13M,51.22M,-0.86M,,,
2017-03,63.48M,-1.311M,,2.468M,1.157M,96.69M,96.69M,96.69M,19.01M,-1.374M,,,4.165M,51.55M,-10.58M,28.31M,24.64M,3.29M,-54.22M,10.61M,53.59M,,236.72M,-175.40M,,-175.40M,,2.03M,-2.354M,-175.72M,144.74M,-140.41M,4.338M,0.47M,,0.47M,,,-52.75M,-52.75M,-12.77M,-60.71M,3.156M,0.293M,,3.449M,0.47M,297.38M,-152.64M,,,
2016-12,57.80M,,,2.275M,-4.225M,89.84M,89.84M,89.84M,24.77M,-1.379M,,,-8.485M,33.80M,-9.88M,-17.92M,-64.45M,25.78M,-24.52M,10.09M,-47.09M,,111.23M,-265.06M,,-265.06M,0.655M,86.33M,-1.005M,-179.08M,-62.47M,183.60M,121.14M,-2.003M,,-2.003M,,,-51.51M,-51.51M,-0.57M,67.05M,3.937M,-0.806M,,3.20M,-2.003M,1.628M,-64.10M,,,
2016-09,158.55M,,,2.247M,2.247M,90.66M,90.66M,90.66M,85.10M,-1.373M,,,2.313M,-23.54M,9.54M,-7.511M,55.54M,-6.225M,0.555M,-1.955M,26.40M,,363.89M,-318.30M,,-318.30M,0.00,-0.453M,-0.297M,-319.06M,-0.991M,5.898M,4.907M,0.649M,,0.649M,,,-51.65M,-51.65M,-0.019M,-46.11M,5.213M,-1.276M,,3.937M,0.649M,0.937M,-1.928M,,,
2016-06,76.14M,,,2.287M,2.287M,92.73M,92.73M,92.73M,41.35M,-1.374M,,,0.775M,-73.75M,2.031M,-0.586M,-23.27M,-20.08M,-33.45M,27.01M,-122.10M,,89.80M,-282.78M,,-282.78M,0.00,-15.46M,0.042M,-298.20M,400.71M,-139.80M,260.91M,0.697M,,0.697M,,,-51.47M,-51.47M,0.00,210.14M,3.471M,1.742M,,5.213M,0.697M,450.52M,-49.81M,,,
2016-03,68.71M,,,2.491M,2.491M,91.97M,91.97M,91.97M,33.98M,-1.374M,,,2.797M,33.20M,0.109M,7.712M,18.18M,21.93M,-28.98M,-11.85M,40.30M,,238.88M,-220.85M,,-220.85M,-0.655M,26.58M,-2.84M,-197.76M,-50.86M,66.50M,15.64M,0.657M,,0.657M,,,-49.66M,-49.66M,-7.511M,-40.88M,3.231M,0.24M,,3.471M,0.657M,163.01M,-213.87M,,,
2015-12,41.83M,,,2.065M,2.065M,90.51M,90.51M,90.51M,24.73M,-1.374M,,,2.947M,30.48M,-24.45M,-0.403M,-27.18M,2.358M,-14.40M,3.874M,-29.72M,,130.99M,-213.71M,,-213.71M,-0.575M,1.00M,-0.442M,-213.73M,183.16M,-53.30M,129.86M,0.829M,,0.829M,,,-48.50M,-48.50M,-0.043M,82.15M,3.829M,-0.598M,,3.231M,0.829M,545.59M,-362.42M,,,
2015-09,140.56M,,,2.039M,2.039M,85.63M,85.63M,85.63M,71.86M,-1.373M,,,6.274M,-22.44M,2.493M,17.45M,32.87M,11.11M,-0.092M,5.466M,46.86M,,351.85M,-151.61M,,-151.61M,0.00,64.69M,-0.128M,-87.05M,-211.94M,-3.50M,-215.44M,0.775M,,0.775M,,,-48.58M,-48.58M,0.00,-263.24M,2.266M,1.563M,,3.829M,0.775M,1.104M,-213.04M,,,
2015-06,66.24M,,,2.015M,2.015M,81.88M,81.88M,81.88M,28.17M,-1.374M,,,3.204M,-30.04M,-12.90M,-44.83M,-43.31M,7.322M,-45.58M,8.652M,-160.70M,,19.44M,-147.68M,,-147.68M,0.00,-15.02M,0.064M,-162.63M,54.74M,-118.30M,-63.56M,248.19M,,248.19M,,,-45.25M,-45.25M,0.00,139.38M,6.074M,-3.808M,,2.266M,248.19M,55.58M,-0.835M,,,
2015-03,53.16M,,,2.226M,2.226M,79.55M,79.55M,79.55M,26.57M,-1.374M,,,3.797M,31.04M,-18.40M,4.638M,57.33M,-17.03M,-20.33M,12.39M,49.64M,,213.57M,-187.22M,,-187.22M,0.00,1.646M,-0.717M,-186.29M,-153.66M,167.80M,14.14M,8.206M,,8.206M,,,-43.79M,-43.79M,-4.31M,-25.76M,4.556M,1.518M,,6.074M,8.206M,1.045M,-154.71M,,,
2014-12,45.77M,,,1.246M,1.246M,81.00M,81.00M,81.00M,16.74M,-1.374M,,0.79M,1.008M,32.79M,-3.07M,28.02M,-24.14M,0.359M,-11.89M,7.76M,29.83M,,175.02M,-203.12M,,-203.12M,-8.00M,19.66M,-5.527M,-196.99M,-17.61M,55.20M,37.59M,29.11M,,29.11M,,,-44.14M,-44.14M,-1.862M,20.69M,5.835M,-1.279M,,4.556M,29.11M,2.002M,-19.61M,,,
2014-09,149.76M,,,2.089M,2.089M,80.19M,80.19M,80.19M,76.62M,-1.373M,,-1.334M,3.171M,-39.50M,10.54M,13.58M,44.83M,4.191M,12.74M,11.38M,57.78M,,366.90M,-221.81M,,-221.81M,-1.418M,22.37M,-0.659M,-201.52M,-25.05M,-141.33M,-166.38M,37.86M,,37.86M,,,-42.94M,-42.94M,1.171M,-170.29M,10.75M,-4.916M,,5.835M,37.86M,247.34M,-272.40M,,,
2014-06,55.82M,,,2.149M,2.149M,75.22M,75.22M,75.22M,23.31M,-1.374M,,-0.092M,-1.884M,-27.48M,-6.292M,-2.636M,-42.76M,-1.822M,-35.32M,8.15M,-108.15M,,45.00M,-208.80M,,-208.80M,0.056M,-15.15M,-0.314M,-224.20M,48.89M,164.39M,213.28M,10.38M,,10.38M,,,-42.83M,-42.83M,0.048M,180.88M,9.065M,1.686M,,10.75M,10.38M,227.50M,-178.61M,,,
2014-03,70.97M,,,1.796M,1.796M,76.08M,76.08M,76.08M,34.79M,-1.374M,,0.636M,0.878M,16.89M,-9.956M,-2.255M,34.85M,3.65M,2.838M,8.524M,54.54M,,238.31M,-218.33M,,-218.33M,1.362M,2.159M,-1.23M,-216.04M,-28.08M,44.14M,16.06M,10.32M,,10.32M,,,-41.59M,-41.59M,-2.479M,-17.70M,4.487M,4.578M,,9.065M,10.32M,0.861M,-28.94M,,,
2013-12,43.06M,,,2.04M,2.04M,76.71M,76.71M,76.71M,15.60M,-1.374M,,-0.074M,0.037M,17.75M,-3.718M,-15.31M,-24.59M,18.52M,0.213M,20.83M,13.70M,,149.69M,-222.11M,,-222.11M,-2.253M,-0.018M,-0.106M,-224.49M,0.215M,82.50M,82.72M,28.38M,,28.38M,,,-41.03M,-41.03M,-0.708M,69.36M,9.923M,-5.436M,,4.487M,28.38M,1.392M,-1.177M,,,
2013-09,135.09M,,,2.002M,2.002M,75.50M,75.50M,75.50M,62.30M,-1.373M,,-0.103M,2.52M,-27.13M,2.062M,0.596M,55.30M,5.366M,5.582M,4.079M,45.86M,,321.80M,-158.99M,,-158.99M,-2.694M,46.11M,-0.524M,-116.10M,200.65M,-358.36M,-157.70M,1.534M,,1.534M,,,-40.99M,-40.99M,-2.595M,-199.75M,3.973M,5.95M,,9.923M,1.534M,246.76M,-46.10M,,,
