,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,237.70M,,237.70M,620.50M,,620.50M,,,,,301.70M,,,121.50M,1.281B,,,,,380.70M,,,380.70M,,380.70M,3.876B,580.10M,4.457B,510.20M,248.00M,5.596B,6.877B,,143.20M,,143.20M,,143.20M,255.80M,255.80M,560.50M,560.50M,,185.00M,1.311B,1.291B,109.20M,1.401B,300.30M,53.30M,353.60M,,1.70M,150.60M,1.967B,3.278B,,0.30M,1.893B,1.802B,,,-98.50M,3.597B,,AOR,
2020-09,184.00M,,184.00M,488.90M,,488.90M,95.70M,16.10M,206.70M,,318.50M,,,109.20M,1.101B,,,,,382.80M,,,382.80M,,382.80M,3.837B,610.10M,4.448B,456.50M,236.90M,5.524B,6.624B,,131.40M,,131.40M,,131.40M,279.60M,279.60M,445.20M,445.20M,,182.60M,1.192B,1.391B,111.50M,1.502B,309.40M,56.40M,365.80M,,1.30M,151.80M,2.082B,3.273B,,0.30M,1.732B,1.779B,,,-161.00M,3.35B,,AOR,
2020-06,196.40M,,196.40M,478.80M,,478.80M,95.70M,13.30M,229.60M,,338.60M,,,106.20M,1.12B,,,,,385.10M,,,385.10M,,385.10M,3.808B,645.30M,4.453B,462.50M,224.60M,5.525B,6.645B,,128.90M,,128.90M,,128.90M,268.20M,268.20M,481.90M,481.90M,,157.60M,1.170B,1.564B,112.10M,1.677B,317.90M,49.10M,367.00M,,1.20M,156.00M,2.261B,3.432B,,0.20M,1.672B,1.738B,,,-198.30M,3.212B,,AOR,
2020-03,216.80M,,216.80M,546.60M,,546.60M,97.70M,13.10M,216.40M,,327.20M,,,102.00M,1.193B,,,,,374.60M,,,374.60M,,374.60M,3.784B,681.20M,4.465B,466.10M,207.60M,5.513B,6.706B,,145.40M,,145.40M,,145.40M,280.70M,280.70M,498.20M,498.20M,,192.30M,1.227B,1.695B,104.90M,1.800B,310.10M,53.30M,363.40M,,1.00M,144.40M,2.376B,3.603B,,0.20M,1.615B,1.717B,,,-230.90M,3.101B,,AOR,
2019-12,189.20M,,189.20M,608.20M,,608.20M,95.80M,13.20M,203.10M,,312.10M,,,102.30M,1.212B,0.00,10.10M,115.30M,344.00M,140.30M,38.30M,49.90M,697.90M,-316.20M,381.70M,3.681B,678.70M,4.359B,475.50M,212.40M,5.429B,6.641B,,159.30M,,159.30M,,159.30M,219.00M,219.00M,490.40M,490.40M,,198.10M,1.190B,1.624B,114.10M,1.738B,318.20M,51.50M,405.90M,20.20M,1.40M,96.50M,2.33B,3.520B,,0.20M,1.603B,1.693B,,,-176.80M,3.119B,,AOR,
2019-09,184.60M,,184.60M,488.90M,27.20M,516.10M,96.70M,12.30M,181.10M,,290.10M,,,71.00M,1.062B,,,,,362.70M,,,362.70M,,362.70M,3.534B,627.30M,4.162B,41.90M,175.80M,4.742B,5.804B,,156.70M,,156.70M,14.90M,171.60M,236.30M,236.30M,375.10M,375.10M,,161.20M,1.059B,1.514B,109.00M,1.623B,75.70M,43.90M,119.60M,,1.30M,140.60M,1.956B,3.016B,,0.20M,1.332B,1.662B,,,-207.30M,2.787B,,AOR,Restated
2019-06,199.60M,,199.60M,516.80M,30.00M,546.80M,97.10M,9.60M,181.20M,,287.90M,,,87.10M,1.121B,,,,,347.70M,,,347.70M,,347.70M,3.542B,654.50M,4.196B,41.10M,169.50M,4.755B,5.876B,,148.40M,,148.40M,14.90M,163.30M,229.30M,229.30M,408.10M,408.10M,,133.70M,1.075B,1.514B,109.10M,1.623B,78.70M,44.30M,123.00M,,1.30M,156.60M,1.976B,3.051B,,0.30M,1.354B,1.650B,,,-180.40M,2.824B,,AOR,Restated
2019-03,216.70M,,216.70M,525.20M,23.80M,549.00M,104.30M,12.60M,186.80M,,303.70M,,,78.40M,1.148B,,,,,333.90M,,,333.90M,,333.90M,3.541B,697.50M,4.238B,41.30M,158.80M,4.772B,5.920B,,147.60M,,147.60M,14.10M,161.70M,246.80M,246.80M,422.90M,422.90M,,146.50M,1.09B,1.648B,95.10M,1.743B,74.70M,41.50M,116.20M,,1.30M,152.70M,2.087B,3.177B,,0.30M,1.289B,1.634B,,,-182.50M,2.742B,,AOR,Restated
2018-12,172.50M,,172.50M,512.60M,,512.60M,96.20M,12.60M,189.20M,,298.00M,,,106.00M,1.089B,0.00,9.90M,106.50M,301.50M,,16.40M,40.70M,475.00M,-262.10M,212.90M,3.54B,744.30M,4.284B,12.20M,177.90M,4.687B,5.776B,,147.60M,,147.60M,,147.60M,256.20M,256.20M,348.40M,348.40M,,133.80M,1.055B,1.712B,0.00,1.712B,73.80M,38.80M,141.10M,19.20M,0.40M,102.50M,2.046B,3.102B,,0.30M,1.268B,1.592B,,,-186.10M,2.674B,,AOR,Restated
2018-09,205.40M,0.00,205.40M,476.00M,27.20M,503.20M,93.30M,13.20M,179.80M,,286.30M,,,66.30M,1.061B,,,,,,,,,,206.10M,3.549B,780.00M,4.329B,37.20M,149.10M,4.721B,5.782B,,155.70M,,155.70M,16.40M,172.10M,226.10M,226.10M,326.10M,326.10M,,117.50M,979.30M,1.787B,,1.787B,88.50M,38.20M,126.70M,,0.20M,168.60M,2.154B,3.134B,,0.30M,1.227B,1.575B,,,-153.90M,2.648B,,AOR,Restated
