,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,180.70M,,1.40M,1.40M,10.30M,37.60M,47.90M,47.90M,-65.00M,,25.90M,,-2.10M,-122.40M,14.10M,11.00M,-9.80M,-12.10M,116.50M,-2.70M,,188.30M,,-11.70M,,-11.70M,,-3.00M,,27.00M,12.30M,,-132.70M,-132.70M,-15.30M,-3.60M,-18.90M,-5.60M,-157.20M,,184.00M,43.40M,10.30M,237.70M,,-15.30M,143.70M,-276.40M,-3.60M,,AOR,
2020-09,84.80M,,-7.10M,-7.10M,9.90M,40.00M,49.90M,49.90M,-2.80M,,27.80M,,1.00M,-7.30M,14.10M,4.40M,2.60M,8.60M,-16.60M,5.80M,,180.50M,,-15.50M,,-15.50M,,-0.90M,,-0.30M,-16.70M,,-170.70M,-170.70M,16.60M,-28.00M,-11.40M,-0.10M,-182.20M,,196.40M,-18.40M,6.00M,184.00M,,16.60M,172.60M,-343.30M,-28.00M,,AOR,
2020-06,63.20M,,-9.70M,-9.70M,9.70M,39.80M,49.50M,49.50M,10.10M,,18.60M,,14.10M,67.80M,-12.80M,-18.30M,-7.10M,-25.60M,-2.30M,1.70M,,147.50M,,-12.90M,,-12.90M,,0.00,,-0.10M,-13.00M,,-146.10M,-146.10M,-4.00M,0.00,-4.00M,-10.40M,-160.50M,,216.80M,-26.00M,5.60M,196.40M,,-4.00M,200.00M,-346.10M,0.00,,AOR,
2020-03,61.90M,,-5.60M,-5.60M,9.80M,40.40M,50.20M,50.20M,4.80M,,10.70M,,14.90M,47.90M,-20.40M,-12.80M,16.80M,-15.70M,3.00M,18.80M,,155.70M,,-16.70M,,-16.70M,,-198.00M,,0.30M,-214.40M,,137.30M,137.30M,12.70M,-50.00M,-37.30M,-0.40M,99.60M,,189.20M,40.90M,-13.30M,216.80M,,12.70M,657.50M,-520.20M,-50.00M,,AOR,
2019-12,279.40M,,1.70M,1.70M,9.70M,39.20M,48.90M,48.90M,-224.60M,,22.90M,,11.40M,-112.80M,-23.00M,0.90M,0.60M,6.30M,120.70M,-7.30M,,122.20M,,-14.40M,,-14.40M,,-192.20M,,0.00,-206.60M,,88.10M,88.10M,0.70M,0.00,0.70M,-4.20M,84.60M,,184.60M,0.20M,4.40M,189.20M,,0.70M,377.40M,-289.30M,0.00,,AOR,
2019-09,78.10M,,2.00M,2.00M,9.40M,40.80M,50.20M,50.20M,-0.30M,,18.60M,,-5.60M,24.50M,-5.70M,9.80M,8.90M,1.90M,-55.30M,-15.90M,,137.30M,,-16.10M,,-16.10M,,-33.20M,,0.40M,-48.90M,,10.80M,10.80M,15.00M,-120.80M,-105.80M,-2.90M,-97.90M,,199.60M,-9.50M,-5.50M,184.60M,,15.00M,287.80M,-277.00M,-120.80M,,AOR,Restated
2019-06,94.60M,,-6.70M,-6.70M,10.10M,43.50M,53.60M,53.60M,3.60M,,17.20M,,-2.10M,6.10M,14.20M,0.40M,-4.60M,-14.70M,16.30M,17.70M,,177.90M,,-24.00M,,-24.00M,,-0.30M,,14.10M,-10.20M,,-153.60M,-153.60M,-12.20M,-19.00M,-31.20M,-0.20M,-185.00M,,216.70M,-17.30M,0.20M,199.60M,,-12.20M,263.30M,-416.90M,-19.00M,,AOR,Restated
2019-03,62.40M,,-4.80M,-4.80M,10.20M,44.30M,54.50M,54.50M,1.10M,,16.30M,,1.80M,-13.80M,-6.80M,3.40M,6.10M,7.30M,20.10M,16.30M,,147.60M,,-14.50M,,-14.50M,,4.90M,,,-9.60M,,-72.80M,-72.80M,25.60M,-40.00M,-14.40M,-7.10M,-94.30M,,172.50M,43.70M,0.50M,216.70M,,25.60M,266.90M,-339.70M,-40.00M,,AOR,Restated
2018-12,86.80M,,2.10M,2.10M,9.40M,46.70M,56.10M,56.10M,-20.20M,,23.80M,,6.90M,-35.20M,-16.00M,-11.20M,-13.50M,-32.60M,54.90M,-53.60M,,101.90M,,-14.50M,,-14.50M,,-22.10M,0.00,-0.20M,-36.80M,,-41.30M,-41.30M,-12.10M,-40.00M,-52.10M,-0.20M,-93.60M,,205.40M,-28.50M,-4.40M,172.50M,,-12.10M,281.60M,-322.90M,-40.00M,,AOR,Restated
2018-09,73.70M,,1.30M,1.30M,9.00M,49.80M,58.80M,58.80M,-10.40M,,18.80M,,6.20M,-9.80M,-7.20M,-0.40M,1.20M,9.30M,-24.50M,-31.40M,,117.00M,,-17.10M,,-17.10M,,-1.208B,0.00,-2.40M,-1.228B,,721.90M,721.90M,30.60M,0.00,30.60M,-7.10M,745.40M,,571.00M,-365.60M,0.00,205.40M,,30.60M,1.167B,-445.10M,0.00,,AOR,Restated
