,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported
2020-09,410.10M,,,13.90M,13.90M,74.50M,74.50M,,,12.00M,16.40M,,,,,,,426.80M,-23.20M,930.50M,,-29.50M,,,0.00,,-0.50M,-30.00M,,2020-09,,0.00,,0.00,0.00,-127.00M,-127.00M,35.50M,-12.20M,-103.70M,,2020-09,796.80M,26.50M,3.190B,,,0.00,0.00,0.00,,2020-09,AOR
2020-06,278.30M,,,18.60M,18.60M,74.20M,74.20M,,,16.50M,2.50M,,,,,,,-81.60M,-103.30M,205.20M,,-24.90M,,,-14.30M,,1.80M,-68.30M,,2020-06,0.00,-307.50M,,0.00,0.00,-127.40M,-127.40M,3.70M,-3.60M,-434.80M,,2020-06,-297.90M,17.00M,2.367B,,,0.00,-307.50M,0.00,,2020-06,AOR
2020-03,52.80M,,,17.10M,17.10M,75.00M,75.00M,,,29.00M,-7.40M,,,,,,,-295.80M,-198.30M,-327.60M,,-34.70M,,,1.00M,,,-40.50M,,2020-03,0.00,0.00,,0.00,0.00,-125.90M,-125.90M,-5.60M,1.901B,1.769B,,2020-03,1.401B,-32.20M,2.648B,,,0.00,,0.00,,2020-03,AOR
2019-12,441.70M,,,39.90M,39.90M,181.60M,181.60M,,,12.00M,77.30M,,,,,,,309.30M,-195.40M,866.40M,,-102.50M,,,-1.459B,,6.20M,-66.00M,,2019-12,0.00,0.00,,-250.00M,-250.00M,-127.00M,-127.00M,80.40M,-48.60M,-344.10M,,2019-12,456.30M,16.40M,1.304B,,,0.00,0.00,-250.00M,,2019-12,AOR
2019-09,386.30M,,,22.50M,22.50M,72.70M,72.70M,,,13.20M,-29.60M,,,,,,,74.40M,119.90M,659.40M,,-58.50M,,,-58.10M,,2.00M,-126.70M,,2019-09,-179.00M,-179.00M,,-250.10M,-250.10M,-123.70M,-123.70M,15.20M,-6.70M,-544.70M,,2019-09,-12.00M,-32.70M,805.90M,,,0.00,0.00,-250.10M,,2019-09,AOR
2019-06,412.60M,,,22.00M,22.00M,72.20M,72.20M,,,11.50M,1.40M,,,,,,,-177.10M,103.70M,446.30M,,-44.10M,,,-0.40M,,0.50M,-1.511B,,2019-06,155.10M,147.60M,,0.00,0.00,-131.70M,-131.70M,14.90M,-1.30M,29.20M,,2019-06,-1.035B,3.60M,850.60M,,,0.00,-7.50M,0.00,,2019-06,AOR
2019-03,147.30M,,,25.80M,25.80M,70.90M,70.90M,,,29.70M,4.90M,,,,,,,-266.20M,-65.00M,-52.60M,,-49.00M,,,-22.00M,,1.30M,-76.40M,,2019-03,23.90M,1.522B,,-250.00M,-250.00M,-127.70M,-127.70M,6.30M,-19.90M,1.130B,,2019-03,1.001B,2.90M,1.882B,,,1.498B,,-250.00M,,2019-03,AOR
2018-12,255.90M,,,,,88.50M,88.50M,,,,-253.30M,,,,,,,254.00M,-17.70M,510.40M,,-114.40M,,,-3.70M,,-12.80M,-108.80M,,2018-12,0.00,-0.10M,,-386.10M,-386.10M,-128.30M,-128.30M,,-64.30M,-509.90M,,2018-12,-108.30M,-10.80M,903.40M,,,0.00,-0.10M,-386.10M,,2018-12,AOR
2018-09,531.10M,,,,,85.20M,85.20M,,,,23.00M,,,,,,,-107.40M,-12.20M,519.70M,,-87.80M,,,0.00,,12.10M,-75.70M,,2018-09,-249.00M,-249.00M,,-14.00M,-14.00M,-129.40M,-129.40M,,14.90M,-377.50M,,2018-09,66.50M,-13.50M,1.022B,,,0.00,0.00,-14.00M,,2018-09,AOR
2018-06,458.50M,,,,,94.40M,94.40M,,,,43.10M,,,,,,,-135.70M,-16.40M,443.90M,,-110.60M,,,-79.90M,,3.30M,-187.20M,,2018-06,-5.30M,-12.80M,,-250.10M,-250.10M,-110.20M,-110.20M,,-21.90M,-395.00M,,2018-06,-138.30M,-67.30M,969.50M,,,0.00,-7.50M,-250.10M,,2018-06,AOR
2018-03,133.50M,,,,,93.40M,93.40M,,,,58.00M,,,,,,,-330.70M,-20.40M,-66.20M,,-52.80M,,,-201.60M,,-3.30M,-257.70M,,2018-03,247.90M,279.50M,,-250.00M,-250.00M,-111.60M,-111.60M,,-14.30M,-96.40M,,2018-03,-420.30M,46.00M,1.175B,,,1.147B,-1.115B,-250.00M,,2018-03,AOR
2017-12,488.00M,1.50M,,,114.50M,91.40M,91.40M,,-8.40M,,-285.20M,,,,,,,199.70M,-20.50M,650.30M,,-71.40M,1.50M,1.50M,-97.30M,,-1.10M,-168.30M,,2017-12,0.00,-0.10M,,-105.80M,-105.80M,-112.10M,-112.10M,,-68.70M,-210.00M,,2017-12,272.00M,18.40M,1.549B,,,0.00,-0.10M,-105.80M,,2017-12,AOR
2017-09,368.20M,-1.50M,,,-1.50M,87.80M,87.80M,,0.00,,81.70M,,,,,,,-67.70M,-0.80M,467.70M,,-70.40M,,,-20.40M,,3.30M,-87.50M,,2017-09,-4.00M,-4.00M,,-335.90M,-335.90M,-113.20M,-113.20M,,-2.50M,-455.60M,,2017-09,-75.40M,24.30M,1.259B,,,0.00,0.00,-335.90M,,2017-09,AOR
2017-06,353.90M,,,,,87.40M,87.40M,,0.00,,44.60M,,,,,,,-30.30M,-6.70M,448.90M,,-44.30M,-0.40M,-0.40M,-30.10M,,0.50M,-74.30M,,2017-06,,-7.60M,,-325.10M,-325.10M,-102.10M,-102.10M,,9.40M,-425.40M,,2017-06,-50.80M,38.40M,1.310B,,,,-7.60M,-325.10M,,2017-06,AOR
2017-03,127.60M,,,,,86.70M,86.70M,,8.40M,,37.00M,,,,,,,-293.00M,-10.10M,-43.40M,,-35.20M,0.40M,0.40M,-9.80M,,,-44.60M,,2017-03,0.00,0.00,,-250.10M,-250.10M,-102.70M,-102.70M,,11.30M,-341.50M,,2017-03,-429.50M,37.30M,1.322B,,,0.00,0.00,-250.10M,,2017-03,AOR
2016-12,204.20M,0.00,,,0.00,87.50M,87.50M,,0.00,,-62.80M,,,,,,,181.50M,-5.20M,405.20M,,-55.20M,6.90M,6.90M,0.00,,,-48.30M,,2016-12,-0.10M,-0.10M,,0.00,0.00,-103.00M,-103.00M,,-40.80M,-81.00M,,2016-12,275.90M,-65.80M,1.715B,,,,,0.00,,2016-12,AOR
2016-09,367.70M,0.00,,,0.00,88.70M,88.70M,,0.00,,46.80M,,,,,,,116.50M,68.90M,688.60M,,-44.50M,0.20M,0.20M,0.00,,,-44.30M,,2016-09,0.00,0.00,,0.00,0.00,-83.10M,-83.10M,,8.40M,-74.70M,,2016-09,569.60M,6.20M,1.505B,,,,,0.00,,2016-09,AOR
