,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,3.496B,3.496B,2.361B,1.135B,567.80M,,62.40M,1.90M,-60.50M,,567.80M,566.90M,1.90M,62.40M,-60.50M,-6.40M,-60.50M,500.00M,89.90M,410.10M,-5.50M,,-4.00M,400.60M,408.15M,562.40M,,2020-09,1.69,-0.02,1.67,,2020-09,1.67,-0.03,1.64,,2020-09,0.53,,2020-09,AOR,
2020-06,3.139B,3.139B,2.160B,978.30M,554.80M,,61.30M,1.80M,-59.50M,,554.80M,423.50M,1.80M,61.30M,-59.50M,-2.20M,-59.50M,361.80M,83.50M,278.30M,-36.20M,,-3.30M,238.80M,276.38M,423.10M,,2020-06,1.15,-0.15,1.00,,2020-06,1.14,-0.15,0.99,,2020-06,0.53,,2020-06,AOR,
2020-03,2.641B,2.641B,1.899B,742.50M,588.10M,,63.20M,,-63.20M,,588.10M,154.40M,,63.20M,-63.20M,12.60M,-63.20M,103.80M,51.00M,52.80M,-78.70M,,-3.30M,-29.20M,52.57M,167.00M,,2020-03,0.21,-0.33,-0.12,,2020-03,0.21,-0.33,-0.12,,2020-03,0.53,,2020-03,AOR,
2019-12,6.707B,6.707B,4.633B,2.074B,1.396B,,63.60M,2.70M,-60.90M,,1.396B,677.70M,2.70M,63.60M,-60.90M,-14.00M,-60.90M,602.80M,161.10M,441.70M,-140.60M,,-5.00M,296.10M,438.82M,666.40M,,2019-12,1.142,0.1003,1.243,,2019-12,1.12,0.10,1.22,,2019-12,0.53,,2019-12,AOR,
2019-09,3.471B,3.471B,2.367B,1.104B,567.80M,,65.00M,,-65.00M,,567.80M,536.50M,,65.00M,-65.00M,-4.70M,-65.00M,466.80M,80.50M,386.30M,77.10M,,-4.60M,458.80M,385.01M,531.80M,,2019-09,1.58,0.32,1.90,,2019-09,1.57,0.31,1.88,,2019-09,0.53,,2019-09,AOR,Restated
2019-06,3.618B,3.618B,2.463B,1.155B,587.90M,,64.50M,2.60M,-61.90M,,587.90M,566.90M,2.60M,64.50M,-61.90M,-0.50M,-61.90M,504.50M,91.90M,412.60M,47.70M,,-4.20M,456.10M,409.30M,569.00M,,2019-06,1.69,0.19,1.88,,2019-06,1.67,0.19,1.86,,2019-06,0.53,,2019-06,AOR,Restated
2019-03,2.804B,2.804B,1.989B,814.50M,578.00M,,52.10M,,-52.10M,,578.00M,236.50M,,52.10M,-52.10M,-16.90M,-52.10M,167.50M,20.20M,147.30M,56.40M,,-3.80M,199.90M,147.28M,219.60M,,2019-03,0.59,0.23,0.82,,2019-03,0.59,0.23,0.82,,2019-03,0.53,,2019-03,AOR,Restated
2018-12,3.895B,3.895B,2.745B,1.150B,703.40M,,49.00M,0.10M,-48.90M,,703.40M,446.70M,0.10M,49.00M,-48.90M,-20.50M,-48.90M,377.30M,121.40M,255.90M,5.50M,,-7.40M,254.00M,250.81M,426.30M,,2018-12,1.028,0.0223,1.050,,2018-12,1.00,0.0223,1.03,,2018-12,0.53,,2018-12,AOR,Restated
2018-09,4.031B,4.031B,2.718B,1.313B,725.60M,,48.50M,0.10M,-48.40M,,725.60M,587.00M,0.10M,48.50M,-48.40M,-8.60M,-48.40M,530.00M,-1.10M,531.10M,-11.70M,,-4.30M,515.10M,530.52M,578.50M,,2018-09,2.14,-0.05,2.09,,2018-09,2.11,-0.05,2.06,,2018-09,0.53,,2018-09,AOR,Restated
2018-06,4.358B,4.358B,2.964B,1.394B,753.30M,,50.30M,2.60M,-47.70M,,753.30M,640.30M,2.60M,50.30M,-47.70M,-6.10M,-47.70M,586.50M,128.00M,458.50M,-5.90M,,-4.50M,448.10M,455.41M,636.80M,,2018-06,1.83,-0.02,1.81,,2018-06,1.82,-0.03,1.79,,2018-06,0.45,,2018-06,AOR,Restated
