,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,2.201B,,,0.00,-1.225B,-1.225B,1.262B,1.262B,-668.00M,932.00M,234.00M,205.00M,,,,,,,-851.00M,,2.09B,2020-09,-530.00M,,-525.00M,-5.00M,0.00,838.00M,173.00M,481.00M,2020-09,-236.00M,-382.00M,-618.00M,,0.00,0.00,-2.112B,-2.112B,48.00M,-139.00M,-2.821B,2020-09,1.845B,-249.00M,31.00M,,2020-09,,1.722B,-2.34B,0.00,1.155B,,2020-09,AOR,
2020-06,3.435B,,,0.00,-170.00M,-170.00M,1.251B,1.251B,-38.00M,13.00M,194.00M,-482.00M,,,,,,,-648.00M,,3.555B,2020-06,-480.00M,,-479.00M,-1.00M,,-12.55B,16.00M,-13.01B,2020-06,15.36B,-4.045B,11.32B,,0.00,0.00,-2.111B,-2.111B,34.00M,-84.00M,9.159B,2020-06,2.196B,-296.00M,-55.00M,,2020-06,,19.21B,-7.888B,0.00,1.051B,,2020-06,AOR,
2020-03,3.41B,,,-6.00M,-248.00M,-254.00M,1.218B,1.218B,109.00M,45.00M,64.00M,122.00M,,,,,,,-1.581B,,3.133B,2020-03,-495.00M,,-463.00M,-32.00M,,420.00M,4.00M,-71.00M,2020-03,-940.00M,958.00M,18.00M,,0.00,0.00,-2.105B,-2.105B,124.00M,-237.00M,-2.20B,2020-03,1.35B,861.00M,-15.00M,,2020-03,,9.75B,-9.732B,0.00,239.00M,,2020-03,AOR,
2019-12,-326.00M,,,0.00,93.00M,93.00M,1.384B,1.384B,-1.453B,2.729B,270.00M,-468.00M,,,,,,,1.54B,,3.769B,2019-12,-726.00M,,-672.00M,-54.00M,0.00,-2.168B,61.00M,-2.833B,2019-12,-1.00B,530.00M,-470.00M,,0.00,0.00,-1.992B,-1.992B,91.00M,-69.00M,-2.44B,2019-12,2.846B,-1.505B,9.00M,,2019-12,,2.269B,-2.739B,0.00,1.028B,,2019-12,AOR,
2019-09,7.683B,,,-8.233B,-116.00M,-8.349B,1.553B,1.553B,2.227B,46.00M,64.00M,-194.00M,,,,,,,1.48B,,4.51B,2019-09,-662.00M,,-565.00M,-97.00M,-10.86B,4.798B,-35.00M,-6.76B,2019-09,-451.00M,5.798B,5.347B,,0.00,0.00,-2.004B,-2.004B,55.00M,-125.00M,3.273B,2019-09,1.837B,1.022B,-13.00M,,2019-09,,7.511B,-2.164B,0.00,500.00M,,2019-09,AOR,Restated
2019-06,5.056B,,,0.00,-162.00M,-162.00M,1.528B,1.528B,-100.00M,23.00M,199.00M,-380.00M,,,,,,,-3.553B,,2.611B,2019-06,-588.00M,,-479.00M,-109.00M,,-1.426B,112.00M,-1.902B,2019-06,-2.351B,3.425B,1.074B,,0.00,0.00,-2.002B,-2.002B,122.00M,-45.00M,-851.00M,2019-06,2.018B,-141.00M,-40.00M,,2019-06,,4.034B,-2.96B,0.00,1.901B,,2019-06,AOR,Restated
2019-03,3.889B,,,0.00,-151.00M,-151.00M,1.545B,1.545B,-60.00M,155.00M,185.00M,-367.00M,,,,,,,-3.498B,,1.698B,2019-03,-618.00M,,-460.00M,-158.00M,,8.10B,68.00M,7.55B,2019-03,1.938B,875.00M,2.813B,,-8.865B,-8.865B,-2.045B,-2.045B,126.00M,-496.00M,-8.467B,2019-03,1.225B,781.00M,12.00M,,2019-03,,7.583B,-4.77B,-8.865B,235.00M,,2019-03,AOR,Restated
2018-12,-383.00M,,,0.00,-95.00M,-95.00M,1.641B,1.641B,-1.231B,3.31B,267.00M,-286.00M,,,,,,,1.515B,,4.738B,2018-12,-792.00M,,-685.00M,-107.00M,0.00,-10.00M,38.00M,-764.00M,2018-12,-462.00M,924.00M,462.00M,,-5.03B,-5.03B,-1.963B,-1.963B,160.00M,-36.00M,-6.407B,2018-12,3.658B,-2.433B,0.00,,2018-12,,1.766B,-1.304B,-5.03B,1.989B,,2018-12,AOR,Restated
2018-09,4.122B,,,0.00,-174.00M,-174.00M,1.614B,1.614B,-474.00M,47.00M,303.00M,-988.00M,,,,,,,809.00M,,5.259B,2018-09,-562.00M,,-547.00M,-15.00M,0.00,-2.453B,111.00M,-2.904B,2018-09,4.974B,-4.184B,790.00M,,-1.105B,-1.105B,-1.994B,-1.994B,625.00M,278.00M,-1.406B,2018-09,2.811B,948.00M,-101.00M,,2018-09,,3.081B,-2.291B,-1.105B,469.00M,,2018-09,AOR,Restated
2018-06,3.879B,,,,-134.00M,-134.00M,1.562B,1.562B,-794.00M,34.00M,197.00M,-362.00M,,,,,,,-535.00M,,3.847B,2018-06,-424.00M,,-424.00M,0.00,,-1.131B,81.00M,-1.474B,2018-06,-2.749B,3.065B,316.00M,,0.00,0.00,-1.989B,-1.989B,102.00M,-337.00M,-1.908B,2018-06,2.416B,465.00M,-70.00M,,2018-06,,3.41B,-3.094B,0.00,940.00M,,2018-06,AOR,Restated
