,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2008-12,-199.25M,,0.00,1.109M,,-3.396M,-7.123M,38.19M,-1.499M,36.69M,36.69M,,2.736M,183.75M,4.726M,191.22M,42.19M,-14.62M,,,,27.57M,11.89M,60.99M,,-262.78M,,-262.78M,0.00,17.34M,4.029M,-241.41M,,187.75M,,187.75M,0.00,0.00,0.00,,0.00,0.00,,,-59.84M,0.00,-1.114M,126.80M,,285.93M,-53.62M,-8.373M,223.94M,,0.00,658.15M,-470.40M,0.00,39.52M,,AOR,Restated
2008-09,35.07M,,0.00,0.525M,,5.382M,-22.12M,45.79M,-3.01M,42.78M,42.78M,,2.078M,0.00,5.118M,7.196M,26.47M,22.16M,,,,48.63M,0.884M,112.44M,,-265.81M,,-265.81M,-139.98M,58.00M,104.41M,-243.38M,,140.75M,,140.75M,0.00,0.00,0.00,,-0.01M,-0.01M,,,-74.54M,0.729M,3.519M,70.44M,,339.76M,-60.50M,6.673M,285.93M,,0.00,719.21M,-578.46M,-0.01M,27.76M,,AOR,Restated
2008-06,87.70M,,-19.97M,-0.445M,,0.979M,-67.66M,39.24M,-2.708M,36.54M,36.54M,,4.378M,0.00,5.094M,51.89M,-39.83M,2.216M,,,,-37.61M,0.818M,65.15M,,-358.28M,,-358.28M,-10.68M,294.03M,-70.74M,-145.66M,,227.36M,,227.36M,0.00,0.00,0.00,,,,,,-98.71M,3.00M,33.36M,165.01M,,256.62M,84.50M,-1.364M,339.76M,,0.00,1.020B,-792.14M,0.00,70.34M,,AOR,Restated
2008-03,69.74M,,,-0.146M,,4.193M,4.047M,40.97M,-3.332M,37.64M,37.64M,,,0.00,6.529M,-35.89M,-1.056M,-17.54M,,,,-18.60M,-1.014M,62.44M,,-329.50M,,-329.50M,,,78.18M,-251.32M,,394.12M,,394.12M,0.00,-87.70M,-87.70M,,,,,,-53.39M,0.484M,-34.00M,219.52M,,220.22M,30.64M,5.759M,256.62M,,0.00,1.008B,-613.72M,-87.70M,,,AOR,Restated
2007-12,97.20M,,1.407M,0.00,,6.395M,-27.00M,40.67M,-4.479M,36.19M,36.19M,,1.515M,0.90M,2.529M,17.03M,-7.64M,-38.96M,,,,-46.60M,-58.16M,23.61M,,-500.45M,,-500.45M,-1.437M,321.88M,-15.00M,-195.00M,,158.48M,,158.48M,0.00,0.00,0.00,,-0.007M,-0.007M,,,-79.39M,5.004M,4.542M,88.62M,,296.80M,-82.77M,6.199M,220.22M,,0.00,372.25M,-213.77M,-0.007M,134.47M,,AOR,Restated
2007-09,73.11M,,0.00,2.883M,,1.52M,-43.90M,41.08M,-3.817M,37.26M,37.26M,,1.488M,0.00,4.114M,7.374M,-45.45M,55.47M,,,,10.01M,-4.108M,85.36M,,-286.79M,,-286.79M,-33.71M,93.31M,42.15M,-185.04M,,291.72M,,291.72M,0.00,-53.36M,-53.36M,,-0.017M,-0.017M,,,-91.66M,1.404M,6.049M,154.14M,,223.97M,54.45M,18.38M,296.80M,,0.00,676.75M,-385.03M,-53.38M,-64.90M,,AOR,Restated
2007-06,117.66M,,-74.84M,,,3.548M,-112.48M,80.56M,-4.95M,34.59M,34.33M,,0.958M,0.257M,9.403M,28.07M,-13.39M,8.768M,,,,-4.624M,2.055M,75.62M,,-308.47M,-114.11M,-422.57M,0.00,355.10M,-22.56M,-90.03M,,128.67M,,128.67M,-19.33M,0.00,-19.33M,,-103.30M,-103.30M,,,-133.59M,21.92M,91.92M,-13.71M,,259.82M,-28.12M,-7.732M,223.97M,,-19.33M,546.52M,-417.85M,-103.30M,64.90M,,AOR,Restated
2007-03,26.30M,,,,,,,,,41.02M,41.28M,,,,,2.357M,-15.80M,1.828M,,,,-13.97M,,55.96M,,-262.19M,114.11M,-148.08M,,,-14.08M,-162.16M,,-183.06M,,-183.06M,491.40M,0.00,491.40M,,,,,,-44.83M,,-72.54M,190.97M,,174.76M,84.77M,0.286M,259.82M,,491.40M,712.53M,-895.59M,0.00,,,AOR,Restated
2006-12,114.65M,,,,,,,,,43.55M,44.46M,,,,,-68.39M,22.28M,1.768M,19.00M,-15.20M,-3.799M,24.04M,,114.77M,,-313.16M,399.01M,85.86M,,-4.723M,-36.85M,44.28M,,-42.35M,,-42.35M,-92.14M,98.08M,5.941M,-0.177M,0.00,-0.177M,,,-43.71M,,-58.14M,-138.43M,,154.34M,20.62M,-0.196M,174.76M,,-92.32M,671.94M,-714.29M,98.08M,,,AOR,Restated
2006-09,36.17M,,,,,,,,,48.72M,48.72M,,,,,-10.56M,-32.64M,19.44M,-19.00M,15.20M,3.799M,-13.20M,,61.14M,,-363.27M,67.77M,-295.50M,,-0.63M,14.51M,-281.62M,,167.13M,,167.13M,114.26M,-98.08M,16.18M,48.26M,-9.90M,38.36M,,,-44.02M,,0.138M,177.78M,,202.34M,-42.70M,-5.311M,154.34M,,162.52M,559.93M,-392.80M,-107.98M,,,AOR,Restated
2006-06,58.57M,,,,,,,,,44.44M,49.83M,,,,,-36.00M,13.36M,22.08M,-0.271M,26.32M,-26.05M,35.45M,,107.85M,,-469.63M,128.85M,-340.78M,,-3.679M,10.29M,-334.17M,,291.14M,,291.14M,-73.46M,77.39M,3.931M,,-10.79M,-10.79M,,,-44.42M,,38.84M,278.71M,,142.47M,52.39M,7.485M,202.34M,,-73.46M,678.21M,-387.07M,66.60M,,,AOR,Restated
2006-03,21.19M,,,,,,,,,43.27M,43.27M,,,,,13.69M,0.271M,-26.32M,0.271M,-26.32M,26.05M,-26.05M,,52.10M,,-339.83M,20.71M,-319.12M,,9.032M,1.031M,-309.06M,,229.02M,,229.02M,106.86M,-77.39M,29.47M,,-77.39M,-77.39M,,,-42.12M,,26.58M,165.56M,,232.88M,-91.40M,0.988M,142.47M,,106.86M,328.90M,-99.88M,-154.78M,,,AOR,Restated
2005-12,200.56M,,,,,,,,,46.54M,46.54M,,,,,-137.54M,-15.68M,7.648M,26.70M,-7.425M,-19.28M,-8.029M,,101.53M,,-382.01M,775.11M,393.10M,,-5.673M,2.607M,390.04M,,-135.94M,,-135.94M,8.535M,,8.535M,72.34M,0.00,72.34M,,,-39.34M,,-291.78M,-386.18M,,131.88M,105.38M,-4.377M,232.88M,,80.88M,332.61M,-468.55M,0.00,,,AOR,Restated
2005-09,13.45M,,,,,,,,,61.13M,61.13M,,,,,-1.598M,13.38M,26.42M,13.38M,26.42M,-39.80M,39.80M,,112.78M,,-289.60M,75.98M,-213.62M,,1.627M,-2.354M,-214.34M,,107.10M,,107.10M,23.68M,,23.68M,0.00,0.00,0.00,,,-38.86M,,4.223M,96.14M,,138.96M,-5.425M,-1.662M,131.88M,,23.68M,360.69M,-253.59M,0.00,,,AOR,Restated
2005-06,49.04M,,,,,,,,,33.10M,33.10M,,,,,-12.34M,-5.864M,-30.03M,-5.864M,-30.03M,35.89M,-35.89M,,33.91M,,-225.11M,53.36M,-171.75M,,14.29M,-6.128M,-163.58M,,135.01M,,135.01M,5.304M,,5.304M,,0.00,0.00,,,-38.78M,,1.54M,103.07M,,167.78M,-26.60M,-2.214M,138.96M,,5.304M,235.25M,-100.24M,0.00,,,AOR,Restated
2005-03,25.80M,,,,,,,,,39.53M,39.53M,,,,,5.453M,-34.22M,11.04M,-34.22M,11.04M,23.18M,-23.18M,,47.60M,,-189.93M,184.29M,-5.647M,,-10.24M,-56.62M,-72.51M,,99.95M,,99.95M,10.95M,,10.95M,,0.00,0.00,,,-37.08M,,11.29M,85.11M,,109.39M,60.20M,-1.81M,167.78M,,10.95M,331.66M,-231.71M,0.00,,,AOR,Restated
2004-12,55.74M,,,,,,,,,35.00M,35.00M,,,,,-8.575M,8.554M,-25.85M,8.554M,-25.85M,17.09M,-17.51M,,60.88M,,-11.17M,-103.99M,-115.16M,300.80M,14.89M,-257.08M,-56.54M,,-75.64M,,-75.64M,7.588M,,7.588M,,,,,,-36.96M,,92.67M,-12.34M,,116.38M,-7.999M,1.013M,109.39M,,7.588M,332.14M,-407.78M,,,,AOR,Restated
2004-09,29.07M,,,,,,,,,32.26M,32.26M,,,,,21.37M,-0.054M,27.62M,-0.054M,27.62M,-27.57M,27.57M,,110.26M,,-318.62M,73.81M,-244.80M,-50.46M,-32.11M,54.36M,-273.02M,,209.46M,,209.46M,5.90M,,5.90M,,,,,,-36.86M,,-17.14M,161.35M,,116.76M,-1.401M,1.022M,116.38M,,5.90M,423.90M,-214.45M,,,,AOR,Restated
2004-06,20.71M,,,,,,,,,42.85M,42.85M,,,,,4.669M,-7.198M,-2.085M,-7.198M,-2.085M,9.283M,-9.283M,,58.94M,,-278.87M,25.44M,-253.42M,-189.44M,-2.406M,190.05M,-255.22M,,209.59M,,209.59M,2.024M,0.161M,2.185M,,,,,,-36.98M,,12.14M,186.94M,,123.75M,-9.335M,2.345M,116.76M,,2.024M,334.69M,-125.10M,0.161M,,,AOR,Restated
2004-03,19.95M,,,,,,,,,37.26M,37.26M,,,,,11.25M,-2.456M,1.259M,-2.456M,1.259M,1.197M,-1.197M,,67.26M,,-174.25M,4.731M,-169.52M,-60.90M,3.616M,80.18M,-146.62M,,104.08M,,104.08M,12.21M,-0.161M,12.05M,,,,,,-35.15M,,-7.229M,73.75M,,127.68M,-5.613M,1.682M,123.75M,,12.21M,224.03M,-119.94M,-0.161M,,,AOR,Restated
2003-12,67.21M,,,,,,,,,42.12M,42.12M,,,,,-33.27M,13.09M,14.03M,13.09M,14.03M,-34.21M,20.04M,,96.09M,,-396.48M,-355.99M,-752.46M,176.50M,-3.828M,225.66M,-354.13M,,317.24M,,317.24M,-122.24M,-68.71M,-190.95M,55.15M,3.172M,58.32M,,,-38.50M,,109.21M,255.32M,,128.38M,-2.712M,2.012M,127.68M,,-67.09M,457.57M,-140.34M,-65.54M,,,AOR,Restated
2003-09,17.54M,,,,,,,,,31.35M,31.35M,,,,,17.59M,-25.99M,8.062M,-25.99M,8.062M,17.93M,-17.93M,,48.55M,,-114.85M,144.56M,29.70M,-48.52M,-1.312M,62.50M,42.38M,,159.77M,,159.77M,104.64M,-103.85M,0.792M,-0.204M,-3.172M,-3.376M,,,-42.06M,,-146.88M,-31.75M,,68.42M,59.18M,0.779M,128.38M,,104.44M,338.38M,-178.61M,-107.02M,,,AOR,Restated
2003-06,16.58M,,,,,,,,,37.07M,37.07M,,,,,14.53M,0.861M,-20.68M,0.861M,-20.68M,19.82M,-19.82M,,48.36M,,-172.38M,10.91M,-161.47M,-117.49M,-7.627M,114.90M,-171.69M,,-85.64M,,-85.64M,2.803M,0.00,2.803M,48.42M,,48.42M,,,-33.96M,,125.32M,56.96M,,134.79M,-66.37M,0.00,68.42M,,51.23M,6.537M,-92.17M,0.00,,,AOR,Restated
2003-03,32.69M,,,,,,,,,34.43M,34.43M,,,,,6.142M,-2.57M,6.107M,-2.57M,6.107M,-3.537M,3.537M,,76.80M,,-77.43M,200.52M,123.09M,-10.49M,12.77M,11.80M,137.16M,,-104.31M,,-104.31M,21.74M,-20.56M,1.179M,,,,,,-37.73M,,-27.65M,-168.51M,,89.33M,45.46M,0.00,134.79M,,21.74M,126.38M,-230.69M,-20.56M,,,AOR,Restated
2002-12,38.34M,,,,,,,,,44.74M,44.74M,,,,,-4.954M,6.051M,-6.422M,6.051M,-6.422M,-1.036M,-1.778M,,76.35M,,162.26M,-94.71M,67.56M,,6.085M,233.90M,-48.42M,,1.059M,,1.059M,0.156M,-57.94M,-57.79M,-0.002M,7.088M,7.086M,,,-115.56M,,150.51M,-14.69M,,76.09M,13.24M,,89.33M,,0.154M,221.37M,-220.31M,-50.85M,,,AOR,Restated
2002-09,26.74M,,,,,,,,,32.20M,32.20M,,,,,-2.31M,-11.23M,26.58M,-11.23M,26.58M,1.036M,31.74M,,88.38M,,-145.04M,94.71M,-50.33M,,-6.085M,-48.90M,-105.31M,,-27.12M,,-27.12M,9.759M,-11.56M,-1.804M,-0.005M,-7.088M,-7.093M,,,-36.66M,,56.56M,-16.13M,,109.15M,-33.06M,,76.09M,,9.754M,33.48M,-60.60M,-18.65M,,,AOR,
2002-06,28.85M,,,,,,,,,33.31M,33.31M,,,,,1.292M,-0.013M,6.201M,-0.013M,6.201M,,12.38M,,75.83M,,-168.65M,,-168.65M,,,25.26M,-143.39M,,45.33M,,45.33M,4.047M,,4.047M,38.94M,,38.94M,,,-36.59M,,38.16M,89.89M,,86.83M,22.32M,,109.15M,,42.99M,125.81M,-80.48M,,,,AOR,
2002-03,30.30M,,,,,,,,,29.68M,29.68M,,,,,33.42M,-3.076M,-19.50M,-3.076M,-19.50M,,-45.16M,,48.24M,,-55.70M,,-55.70M,,,34.35M,-21.35M,,7.57M,,7.57M,0.868M,,0.868M,,,,,,-2.125M,,-19.45M,-13.14M,,73.07M,13.76M,,86.83M,,0.868M,84.55M,-76.98M,,,,AOR,
2001-12,31.65M,,,,,,,,,15.33M,15.33M,,,,,48.78M,-6.074M,-20.83M,-6.074M,-20.83M,,-53.81M,,41.96M,,-164.78M,,-164.78M,,-8.919M,62.43M,-111.27M,,218.24M,,218.24M,2.187M,-125.23M,-123.04M,-0.054M,,-0.054M,,,-139.45M,,-56.73M,-101.04M,,243.43M,-170.36M,,73.07M,,2.133M,240.74M,-22.50M,-125.23M,,,AOR,Restated
2001-09,31.49M,,,,,,,,,38.96M,38.96M,,,,,-8.672M,22.79M,-10.63M,22.79M,-10.63M,,24.33M,,86.11M,,-164.20M,,-164.20M,,28.04M,96.78M,-39.38M,,72.72M,-98.10M,-25.38M,0.949M,-22.06M,-21.11M,38.92M,,38.92M,,,-35.71M,,104.88M,61.60M,,135.10M,108.33M,,243.43M,,39.87M,120.84M,-48.12M,-22.06M,,,AOR,
2001-06,30.37M,,,,,,,,,27.32M,27.32M,,,,,-17.27M,27.04M,-6.04M,27.04M,-6.04M,6.869M,48.87M,,89.29M,,-172.00M,,-172.00M,,-19.12M,131.64M,-59.48M,,48.15M,98.10M,146.25M,0.118M,,0.118M,-0.007M,,-0.007M,,,-35.69M,,-104.01M,6.665M,,98.63M,36.47M,,135.10M,,0.111M,234.81M,-186.66M,,,,AOR,
2001-03,44.44M,,,,,,,,,26.85M,26.85M,,,,,-1.612M,-24.00M,30.87M,-24.00M,30.87M,-6.869M,6.869M,,76.55M,,-123.71M,,-123.71M,,,-34.64M,-158.36M,,-47.02M,,-47.02M,1.02M,,1.02M,24.86M,,24.86M,,,-2.125M,,183.34M,160.08M,,20.36M,78.27M,,98.63M,,25.88M,200.07M,-247.09M,,,,AOR,
2000-12,25.88M,,,,,,,,,25.07M,25.07M,,,,,-9.793M,0.782M,34.06M,0.782M,34.06M,-11.31M,58.37M,,99.53M,,-286.02M,,-286.02M,,,-4.573M,-290.59M,,328.11M,,328.11M,0.439M,,0.439M,-0.12M,,-0.12M,,,-106.46M,,-29.35M,192.62M,,18.80M,1.554M,,20.36M,,0.319M,131.51M,196.60M,,,,AOR,Restated
2000-09,34.85M,,,,,,,,,23.31M,23.31M,,,,,2.128M,-26.86M,7.846M,-26.86M,7.846M,19.01M,-19.01M,,41.28M,,-143.15M,,-143.15M,,,-10.68M,-153.83M,,4.074M,,4.074M,1.472M,,1.472M,41.94M,,41.94M,,,-33.16M,,102.28M,116.61M,,14.74M,4.061M,,18.80M,,43.42M,159.54M,-155.46M,,,,AOR,
2000-06,30.01M,,,,,,,,,22.63M,22.63M,,,,,6.111M,9.419M,7.438M,9.419M,7.438M,-16.86M,16.86M,,75.60M,,-262.70M,,-262.70M,,,33.92M,-228.78M,,93.26M,,93.26M,0.00,,0.00,0.009M,,0.009M,,,-33.14M,,81.13M,141.26M,,26.66M,-11.92M,,14.74M,,0.009M,122.48M,-29.22M,,,,AOR,
2000-03,31.04M,,,,,,,,,19.19M,19.19M,,,,,3.686M,-17.49M,8.328M,-17.49M,8.328M,9.159M,-9.159M,,44.76M,,-107.11M,,-107.11M,,,53.81M,-53.30M,,-9.288M,,-9.288M,0.269M,,0.269M,19.58M,,19.58M,,,-2.125M,,-6.551M,1.886M,,33.31M,-6.65M,,26.66M,,19.85M,82.62M,-91.91M,,,,AOR,
1999-12,51.80M,,,,,,,,,64.50M,64.50M,,,,,-47.66M,5.20M,-14.90M,3.40M,-49.00M,,-55.30M,,13.34M,,-142.10M,,-142.10M,,,172.38M,30.28M,,-8.70M,,-8.70M,-88.60M,,-88.60M,88.50M,,88.50M,,,-93.70M,,26.58M,-75.92M,,70.80M,-32.30M,,33.30M,,-0.10M,62.90M,-71.60M,,,,AOR,Restated
1999-09,54.00M,,,,,,,,,-32.20M,-32.20M,,,,,51.20M,-3.70M,-16.40M,-1.90M,17.70M,,-4.30M,,68.70M,,-120.70M,,-120.70M,,,246.20M,125.50M,,-138.80M,,-138.80M,88.80M,,88.80M,-77.80M,,-77.80M,,,-34.50M,,-1.30M,-163.60M,,40.10M,30.60M,,70.80M,,11.00M,123.30M,-262.10M,,,,,
1999-06,44.79M,,,,,,,,,14.50M,14.50M,,,,,-13.79M,6.534M,-3.091M,6.534M,-3.091M,,6.886M,,52.39M,,-215.69M,,-215.69M,,,215.29M,-0.401M,,-78.79M,,-78.79M,0.109M,,0.109M,77.80M,,77.80M,,,-29.23M,,-10.81M,-40.92M,,29.16M,11.07M,,40.10M,,77.91M,174.70M,-253.48M,,,,,
1999-03,28.01M,,,,,,,,,17.70M,17.70M,,,,,-14.51M,-2.834M,19.49M,-2.834M,19.49M,,33.31M,,64.51M,,-101.31M,,-101.31M,,,1.109M,-100.20M,,73.99M,,73.99M,0.391M,,0.391M,,,,,,-34.57M,,-0.092M,39.72M,,25.14M,4.028M,,29.16M,,0.391M,82.30M,-8.316M,,,,,
1998-12,27.84M,,,,,,,,,19.15M,19.15M,,,,,14.43M,2.395M,-7.647M,2.395M,-7.647M,,-21.47M,,39.95M,,-203.43M,,-203.43M,67.15M,,-54.09M,-190.37M,,16.71M,,16.71M,-96.10M,,-96.10M,167.99M,,167.99M,,,-5.334M,,61.93M,145.20M,,33.21M,-5.222M,,19.91M,,71.89M,203.17M,-186.46M,,,,AOR,Restated
1998-09,28.87M,,,,,,,,,14.28M,14.28M,,,,,-19.10M,-4.837M,23.57M,-4.837M,23.57M,,37.47M,,61.52M,,-205.37M,,-205.37M,0.00,,1.011M,-204.36M,,102.27M,,102.27M,96.10M,,96.10M,96.10M,,96.10M,,,-51.48M,,-96.10M,146.88M,,29.17M,4.049M,,33.21M,,192.20M,201.64M,-99.37M,,,,,
1998-06,27.98M,,,,,,,,,12.91M,12.91M,,,,,-0.099M,-2.446M,2.496M,-2.446M,2.496M,,0.10M,,40.89M,,-131.97M,,-131.97M,-67.15M,,0.00,-199.12M,,189.85M,,189.85M,,,,,,,,,-31.04M,,,158.80M,,28.58M,0.573M,,29.17M,,,634.96M,-445.12M,,,,,
1998-03,27.91M,,,,,,,,,11.12M,11.12M,,,,,0.865M,-4.512M,1.978M,-4.512M,1.978M,,-5.068M,,34.82M,,-161.45M,,-161.45M,,,-38.07M,-199.52M,,153.69M,,153.69M,,,,,,,,,-0.373M,,,153.32M,,39.97M,-11.38M,,28.58M,,,163.12M,-9.429M,,,,,
